,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Elizabeth's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Table for Two,"Towles, Amor*",0593296370,9780593296370,0593296370,464        pp,4.37,746,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Hardcover,view,/book/show/195474144-table-for-two
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Darling Girls,"Hepworth, Sally*",125028452X,9781250284525,125028452X,368        pp,4.21,"17,593","Apr 23, 2024","Apr 23, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Another domestic thriller from Sally Hepworth! Some good twists and turns in this one. I recommend for a quick read. It comes out in a few weeks so snAnother domestic thriller from Sally Hepworth! Some good twists and turns in this one. I recommend for a quick read. It comes out in a few weeks so snag a copy soon! Thanks to Netgalley and the publisher for the advanced copy. ...more,Notes are private!,0,1,1,"Mar 30, 2024","Apr 06, 2024","Apr 06, 2024",,Hardcover,view (with text),/book/show/127280429-darling-girls
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,James,"Everett, Percival",0385550367,9780385550369,0385550367,303        pp,4.63,"6,206","Mar 19, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Hardcover,view,/book/show/173754979-james
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Women in the Castle,"Shattuck, Jessica*",0062563661,9780062563668,0062563661,356        pp,3.85,"62,776","Mar 28, 2017","Mar 28, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Mar 16, 2024","Mar 26, 2024","Mar 26, 2024",,Hardcover,view,/book/show/30653967-the-women-in-the-castle
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dear Edward,"Napolitano, Ann*",198485478X,9781984854780,198485478X,340        pp,4.08,"179,423","Jan 06, 2020","Jan 06, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Hardcover,view,/book/show/45294613-dear-edward
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Reading Genesis,"Robinson, Marilynne",0374299404,9780374299408,0374299404,352        pp,4.14,159,unknown,"Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/127282468-reading-genesis
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Why Are All The Black Kids Sitting Together in the Cafeteria?,"Tatum, Beverly Daniel",0465083617,9780465083619,B00A2MTX5O,464        pp,4.34,"25,404",1997,"Sep 05, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Paperback,view,/book/show/16280.Why_Are_All_The_Black_Kids_Sitting_Together_in_the_Cafeteria_
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Real Americans,"Khong, Rachel*",0593537254,9780593537251,,416        pp,4.23,467,"Apr 30, 2024","Apr 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2024",,Hardcover,view,/book/show/62929342-real-americans
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Best of Everything,"Jaffe, Rona",0143035290,9780143035299,0143035290,448        pp,3.82,"6,823",1958,"May 31, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Paperback,view,/book/show/196842.The_Best_of_Everything
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Frozen River,"Lawhon, Ariel*",0385546874,9780385546874,0385546874,432        pp,4.48,"58,047","Dec 05, 2023","Dec 05, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was solid four stars but the authors note took it to five for me. Note, do not read the authors note until you’ve read the whole book. I enjoyed This was solid four stars but the authors note took it to five for me. Note, do not read the authors note until you’ve read the whole book. I enjoyed the adventures of Martha the midwife, as I’ve always been interested in stories related to birth. The mystery that was woven through the book kept me turning pages the whole time. I highly recommend! ...more",Notes are private!,0,1,1,"Feb 26, 2024","Mar 07, 2024","Jan 31, 2024",,Hardcover,view (with text),/book/show/112975658-the-frozen-river
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Dry        (Aaron Falk, #1)","Harper, Jane*",,,,336        pp,4.06,"239,194","Nov 08, 2016","May 31, 2016",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I struggled with this one on audio and got the print book instead. I found it to be a little all over the place. I don’t really recommend.,Notes are private!,0,1,1,"Feb 05, 2024","Feb 17, 2024","Jan 24, 2024",,Kindle Edition,view (with text),/book/show/27824826-the-dry
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Slow Dance,"Rowell, Rainbow*",0063380196,9780063380196,0063380196,400        pp,4.20,360,"Jul 23, 2024","Jul 23, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I have waited so long for another book by Rainbow Rowell that was made for adults. She did not disappoint. This tells the story of old high school friI have waited so long for another book by Rainbow Rowell that was made for adults. She did not disappoint. This tells the story of old high school friends who are now grown-ups and are trying to figure out who they are to each other. We go back-and-forth from their high school days to the current day as we get to know these characters. While I didn’t always love the younger versions, I do think they were a good reflection of those teenager years. Perhaps I didn’t like them because it felt too familiar? But I loved how everything came togetherg and the way the story was told. I will miss these characters, which is always a sign a good book. Thank you to Netgalley and the publisher for this advanced copy....more",Notes are private!,0,2,1,"Mar 09, 2024","Mar 13, 2024","Jan 22, 2024",,Hardcover,view (with text),/book/show/198530925-slow-dance
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lost Apothecary,"Penner, Sarah *",0778311015,9780778311010,0778311015,301        pp,3.75,"369,367","Mar 02, 2021","Mar 02, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 stars. I thought this was pretty good, the story was well paced and made for a propulsive read. It was a tad bit contrived in the end but it was a3.5 stars. I thought this was pretty good, the story was well paced and made for a propulsive read. It was a tad bit contrived in the end but it was an enjoyable experience. ...more",Notes are private!,0,0,1,Jan 2024,"Jan 06, 2024","Jan 01, 2024",,Hardcover,view (with text),/book/show/53288434-the-lost-apothecary
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Every Time We Say Goodbye        (Jane Austen Society, #3)","Jenner, Natalie*",1250285186,9781250285188,1250285186,336        pp,3.89,214,unknown,"May 14, 2024",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"As much as I loved her first two books, this book fell short for me. I enjoyed the premise but there were so many characters and moving parts that it As much as I loved her first two books, this book fell short for me. I enjoyed the premise but there were so many characters and moving parts that it felt very fragmented and hard to follow. I don’t think I’ll remember much again all, which is very different from her other books. There was also, in my opinion, a ton of telling versus showing and that made me feel disconnected during the reading experience. Regardless I appreciated the advance copy from NetGalley and the publisher and I wish this book the best! ...more",Notes are private!,0,0,1,"Dec 26, 2023","Dec 31, 2023","Jan 01, 2024",,Hardcover,view (with text),/book/show/195791123-every-time-we-say-goodbye
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Reader, Come Home: The Reading Brain in a Digital World","Wolf, Maryanne",0062388797,9780062388797,,272        pp,3.88,"3,607","Aug 07, 2018","Aug 14, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 31, 2023",,ebook,view,/book/show/35887237-reader-come-home
