,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Brian's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Hell or Richmond: A Novel        (The Battle Hymn Cycle, 2)","Peters, Ralph",0765330482,9780765330482,0765330482,544        pp,4.26,619,"May 07, 2013","May 07, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 28, 2024",not set,"Mar 28, 2024",,Hardcover,view,/book/show/16059369-hell-or-richmond
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Is the Day: Reclaim Your Dream. Ignite Your Passion. Live Your Purpose.,"Tebow, Tim",052565030X,9780525650300,,224        pp,4.25,"2,189",2018,"Sep 25, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 25, 2024",not set,"Mar 25, 2024",,Hardcover,view,/book/show/37861777-this-is-the-day
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Deeper Experiences of Famous Christians,"Lawson, James Gilchrist",1577487907,9781577487906,1577487907,320        pp,4.08,144,"Dec 01, 1981","Jul 01, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 20, 2024",not set,"Mar 20, 2024",,Paperback,view,/book/show/580421.Deeper_Experiences_of_Famous_Christians
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wars of the Roses: The Fall of the Plantagenets and the Rise of the Tudors,"Jones, Dan*",0143127888,9780143127888,0143127888,416        pp,4.27,"11,326","Oct 14, 2014","Oct 06, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 14, 2024",not set,"Mar 14, 2024",,Paperback,view,/book/show/24611635-the-wars-of-the-roses
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fight Club,"Palahniuk, Chuck*",0393327345,9780393327342,0393327345,218        pp,4.19,"591,627","Aug 17, 1996","Oct 17, 2005",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"“A moment was the most you could ever expect from perfection.”I have such conflicting feelings about this book. I think the idea that I suspect may be“A moment was the most you could ever expect from perfection.”I have such conflicting feelings about this book. I think the idea that I suspect may be behind it is a good one. But I don’t think this novel does a good job of making that point known. FIGHT CLUB has an interesting opening sentence. Maybe even a good one. But, by the end of the first chapter I had a bad feeling about this book.To be blunt I hated this text for the first 100 or so pages. At that point it got a little more interesting for me (it’s only 218 pages total), but I never wanted to pick it up. Now before you ask the obvious, it was a book club choice that’s why I kept reading. A book that looks at the neutering of men in society, a book that looks at civil chaos, a book that examines the idea of connection in an increasingly isolated world…such good topics. Good topics not fully realized in this text.Quotes:•	“On a long enough timeline, the survival rate for everyone will drop to zero.”•	“Loosing all hope was freedom.”•	“Then you’re trapped in your lovely nest, and the things you used to own, now they own you.”•	“There are lots of things we don’t want to know about the people we love.•	“Only in death will we have our own names since only in death are we no longer part of the effort.”I will say this about FIGHT CLUB, although I never liked it, I did appreciate it more after our club discussion than I did before we talked. The vulgarity, the ugliness, the violence…if you are going to go there, then the book needs to be stunning. This one isn’t. I did not enjoy the experience of this read, and I seriously doubt I will ever read this book again, but there is something there…I’m just not sure what....more",Notes are private!,2,21,1,"Mar 08, 2024","Mar 13, 2024","Mar 08, 2024",,Paperback,view (with text),/book/show/5759.Fight_Club
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,2023 on Goodreads,Various,,,,unknown,4.12,"1,420",2023,2023,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"In 2023 I read 52 books for a total of 18,367 pages.29 fiction, 23 nonfiction. All ed on Goodreads.Best and favorite reads of the year: ""Nobody’In 2023 I read 52 books for a total of 18,367 pages.29 fiction, 23 nonfiction. All ed on Goodreads.Best and favorite reads of the year: ""Nobody’s Fool"" and “Everybody’s Fool” (Richard Russo), the first novels of his I have ever read. I greatly enjoyed them, I have more of him on my “to read” pile. I also read the final two books in Kent Haruf’s Holt trilogy, ""Eventide” and “Benediction” and both were brilliant. I also read the final installment of Hilary Mantel’s Thomas Cromwell trilogy, “The Mirror and the Light” which was an astounding conclusion to that series. I also read “A Greif Observed” (C.S. Lewis) and I found a great comfort in Lewis’s ability to articulate such a complicated emotion. Favorite (and only) reread: ""Confederates in the Attic” (Tony Horwitz), a book which still holds up after my initial reading of it over 20 years ago. I read 23 nonfiction this year. Top of that list were the aforementioned ""Confederates in the Attic”, and I also enjoyed “Wild Bill” (Tom Clavin) and “Pirate Hunters” (Robert Curson). Two texts that were much more interesting than I was anticipating. Biggest 'meh' reads of the year: “Stealing Rembrandts” (Anthony M. Amore) and “The Line Becomes a River” (Francisco Cantu). Both nonfiction, both which could have been so much better than they were. Most disappointing book and one I should have put down: “Camino Winds” (John Grisham) was just dumb. “Lady Romeo” (Tana Wojczuk) was a nonfiction piece about a famous actress of the 1800s that was ruined by the author’s inability to handle the subject matter.Best Surprise of the Year: “Spearhead” (Adam Markos) a nonfiction text about a tank division in WW II which really drew me in. I have added another of his books to my “to read” pile. I also really enjoyed “Marley” (Jon Clinch) and as a result have added more Dickens, and Mr. Clinch to my “to read” pile. “Marley” is a backstory to the minor character from Dickens’ “A Christmas Carol” and it had my complete attention.I continued my way thru Daniel Silva's Gabriel Allon series. I read #16 (the first book in the series I ever picked up, which prompted me to go back to #1 and read from the beginning) and # 17 this past year, “The Black Widow” and “The House of Spies”, two books that together form one long story. They are smart books, have an element of legitimacy, are fast paced thrillers, and Silva is a decent writer.I read no plays in 2023. Very unusual for me. Other misc. observations:-I finished a project I had set of reading the Bible all the way through. Something that I enjoyed and learned a lot by doing, and something I intend to do again. -I listened to 8 audio books in 2023. I had never listened to audio books before. I’m finding it is a great thing to do, especially if it is a book I feel uncertain about. 5 of the 8 were nonfiction, and I feel that genre is better for audio. At least for me. It kind of feels like listening to a podcast. -I returned to Tim Dorsey’s Serge A. Storms series this summer, reading it on the beach which is the perfect place to consume it. They are usually good for a laugh. ""Naked Came the Florida Man"". Mr. Dorsey died in November 2023, so assuming the current output will be the end of the series I now only have 3 more books to go until my journey with this series ends.15 books I read in 2023 were part of larger series. I like series, but I feel that I have too many of them going at the moment. It makes me a little anxious. Looking forward to what reading in 2024 brings my way.Here is to a wonderful reading year Goodreads friends!...more",Notes are private!,8,25,0,not set,not set,"Feb 27, 2024",,,view (with text),/book/show/62316199-2023-on-goodreads
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Other Woman        (Gabriel Allon, #18)","Silva, Daniel",0062834827,9780062834829,0062834827,496        pp,4.15,"28,627","Jul 17, 2018","Jul 17, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 25, 2024",not set,"Feb 25, 2024",,Hardcover,view,/book/show/36421600-the-other-woman
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Destroy America in Three Easy Steps,"Shapiro, Ben",006300187X,9780063001879,006300187X,288        pp,4.10,"4,530","Jul 21, 2020","Jul 21, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"“If we do not unify around our common past, we can have no common future.” (3.5 stars) I was pleasantly surprised by this text. It was not what I expe“If we do not unify around our common past, we can have no common future.” (3.5 stars) I was pleasantly surprised by this text. It was not what I expected. I listened to it as an audiobook because I thought it would be more political than it was. It’s more history and political science theory then I was expecting. And that’s a good thing. A note, for me the audiobook took a little getting use to as Mr. Shapiro has a very quick reading pace, and I had to get used to his quick cadence.Mr. Shapiro breaks down the American citizenry into two broad categories, Unionist and Disintegrationist. The rest of the book is an examination of how individuals view and live out their American lives considering the philosophy that seems to govern them. This dichotomy is broken down in a concise and interesting manner in the text’s Introduction.As I read chapter one of HOW TO DESTROY AMERICA IN THREE EASY STEPS, I was pleasantly surprised to find that it was real political science. It was an examination of principles and ideas, not parties or politics. As I progressed through the text it also became part history lesson. I did not always agree with the lesson that Shapiro took from history, but I appreciated his thoughts on it. An interesting note, although he is conservative Mr. Shapiro frequently disagrees with, and takes on, the views of others who call themselves conservative. This willingness to disagree with principles over common political cause was engaging to read. Examine the ideas, not just circle the wagons because we may have a common enemy.Quotes:•	“But encouraging better individual decision making doesn’t fit within the Disintegrationist worldview.”•	“Disintegrationist history is designed to explain everything, but it fixes nothing.”•	“The social media mob will come for anyone and everyone-even, hilariously enough, those who have egged on the social media mob.”My favorite part of the experience was chapter 5 of this book, called “The American History”. It is an excellent, and interesting, overview of American policy as it relates to specific events from our founding to current day. It is 44 pages of concise, engaging, and thoughtful history and analysis. High school (or sadly college) classes should read it just to get an idea of the board sweep of American history so they can then begin to dive in and dissect and debate it.HOW TO DESTROY AMERICA IN THREE EASY STEPS was a better experience than I was anticipating, and my attention was held. I had to think, engage, and digest its content, and I appreciate books/writers that do that. Plus, the ideas it presents are well thought out. I’ll read another book of Mr. Shapiro’s at some point....more",Notes are private!,0,16,1,"Feb 20, 2024","Mar 16, 2024","Feb 20, 2024",,Hardcover,view (with text),/book/show/50496911-how-to-destroy-america-in-three-easy-steps
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Simon the Fiddler,"Jiles, Paulette*",0062966758,9780062966759,0062966758,368        pp,3.84,"10,682","Apr 14, 2020","Apr 06, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"“I want two people to be in love and stay in love and never desert each other.”SIMON THE FIDDLER is a lyrical novel, compelling in its rhythms and pac“I want two people to be in love and stay in love and never desert each other.”SIMON THE FIDDLER is a lyrical novel, compelling in its rhythms and pace. The novel is always in forward motion. It features rich robust characters without being bogged down in an eternal internal miasma of self-reflection. Never once while reading it was I bored with it.The plot, in brief, is that Simon is a young musician conscripted into Confederate forces at the tail end of the Civil War. Originally from Kentucky, Simon is now in Texas. Right at the war’s end, Simon sees an Irish governess at an officer’s ball he is playing for, and he falls in love. And Simon purses that love for the rest of the novel. The entire story takes pace in Texas between 1865 and 1867.The style of the novel is occasionally very abrupt, which took me a minute to get use to. However, that fast pace and abruptness ultimately works very well for this text. The protagonist Simon is always moving forward. He tackles the circumstances he finds himself in, he is not ruled by them. As a result, the narrative is always propelled forward.I especially enjoyed how music, the technical and emotional aspects of it, are integrated into the character’s emotional lives. Ms. Jiles does this with a deft and skillful hand. It is so seamless you sometimes don’t realize she is doing it unless you step back from the novel and think about it for a moment.Quotes:•	“He loved solitude; it was as necessary to him as music and water.”•	“He knew that he did not play music so much as walk into it…”•	“They would be for each other as much as the world was not.”•	“Trust in God, her mother said, but never dance in a small boat.”•	“But that’s why God made people young at first, to get the doing done.”•	“…and now everything I remember will be gone.”•	“He had forgotten that there was silence in the world.”•	“It was a song that came to people as sadness, as memory, as longing.”•	“Become wise, young man, and cynical, and life will be far more understandable.”•	“We all suffer from some deficiency and must bear our sinful natures with patience.”•	“A person could get seized at the most inopportune moments by sheer animal desire.”•	“If we all knew one another’s lives in all the details nobody would marry anybody.”SIMON THE FIDDLER was my first novel of Paulette Jiles. I will be moving on to others soon. What an interesting, and very good, writer she is....more",Notes are private!,10,29,1,"Feb 13, 2024","Feb 24, 2024","Feb 13, 2024",,Paperback,view (with text),/book/show/54427140-simon-the-fiddler
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Lunatic, the Lover & the Poet","Bedford, Brian",1682660583,9781682660584,1682660583,0        pp,4.71,7,2000,"Mar 15, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"“All the world’s a stage…”This one man show, compiled by the late actor Brian Bedford, is an examination of Shakespeare’s life using Shakespeare’s wor“All the world’s a stage…”This one man show, compiled by the late actor Brian Bedford, is an examination of Shakespeare’s life using Shakespeare’s works as a sort of outline for this “biography.” I realize that much of what Bedford conjectures in this piece is probably not true, but I wish it was. I saw Mr. Bedford perform this show live on stage, and it should be noted that this is an audio book only. There is no written version of it. It speaks to Mr. Bedford’s talents that he conveys so much characterization, and depth of emotion, through an audio only performance. His rendering of some of these famous Shakespearean monologues are among my favorites.Some highlights of the piece include:- Bedford’s (probably apocryphal) linking of some of the Sonnet’s to Shakespeare’s life and loves. It really makes some of those pieces come alive.- There are a trio of monologues from RICHARD II that are exquisite in their poetry and beautifully delivered.- This piece includes some rarely performed monologues from HENRY VI that remind the listener of just how good those early plays of Shakespeare’s are.- There is a lovely and sentimental connection that Bedford makes between THE TEMPEST and Shakespeare’s retirement from the stage.As noted, this piece is mostly not a true rendering of Shakespeare’s life and it draws heavily on the idea of an artist’s work being autobiographical, which is a tenuous premise. But I just love it, and this piece (which I first discovered early in my undergraduate days) was the motivating reason for my falling in love with Shakespeare. I am so glad it is now available in audio book format....more",Notes are private!,2,21,1,"Feb 13, 2024","Feb 17, 2024","Feb 13, 2024",,Audio CD,view (with text),/book/show/68766900-the-lunatic-the-lover-the-poet
