,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Elisa's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il poeta è un ladro di fuoco,"Rimbaud, Arthur",8898038143,9788898038145,8898038143,60        pp,3.71,41,"Feb 01, 2014",Feb 2014,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 27, 2018","May 27, 2018","May 27, 2018",,Paperback,view,/book/show/23007536-il-poeta-un-ladro-di-fuoco
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La vita comincia ogni giorno: Lettere di saggezza e commozione,"Rilke, Rainer Maria",8899793247,9788899793241,8899793247,64        pp,4.35,72,unknown,"Nov 09, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 27, 2018",not set,"May 27, 2018",,Paperback,view,/book/show/36671362-la-vita-comincia-ogni-giorno
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dal tuo terrazzo si vede casa mia,"Malaj, Elvis",8899767157,9788899767150,8899767157,164        pp,3.14,126,unknown,"Oct 19, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 08, 2018","Apr 07, 2018",,Paperback,view,/book/show/36404729-dal-tuo-terrazzo-si-vede-casa-mia
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Le piccole virtù,"Ginzburg, Natalia",8806150405,9788806150402,8806150405,139        pp,4.10,"7,543",1962,1998,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 29, 2017","Aug 29, 2017","Aug 29, 2017",,Paperback,view,/book/show/71169.Le_piccole_virt_
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Le correzioni,"Franzen, Jonathan",8806174495,9788806174491,8806174495,603        pp,3.83,"182,766",2001,2005,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 17, 2017","Aug 17, 2017","Aug 17, 2017",,Paperback,view,/book/show/7312821-le-correzioni
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chéri,Colette,8845905772,9788845905773,8845905772,167        pp,3.67,"5,075",1920,"Apr 01, 1984",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 16, 2017","Jun 16, 2017","Jun 16, 2017",,Paperback,view,/book/show/9700793-ch-ri
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Le lune di Giove,"Munro, Alice",8806183524,9788806183523,8806183524,292        pp,3.90,"4,737",1983,"Dec 02, 2008",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jun 16, 2017","Jun 16, 2017","Jun 16, 2017",,Hardcover,view,/book/show/8385682-le-lune-di-giove
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Just Kids,"Smith, Patti*",0060936223,9780060936228,0060936223,306        pp,4.21,"280,510","Jan 19, 2010","Nov 02, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 19, 2017",,Paperback,view,/book/show/7741657-just-kids
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On the Road,"Kerouac, Jack",0140042598,9780140042597,0140042598,307        pp,3.61,"411,207","Sep 05, 1957","Jan 01, 1976",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 25, 2016",,Paperback,view,/book/show/70401.On_the_Road
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Virgin Suicides,"Eugenides, Jeffrey",0747560595,9780747560593,0747560595,250        pp,3.80,"337,936",1993,2002,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,6,1,"Aug 24, 2016","Aug 24, 2016","Aug 24, 2016",,Paperback,view,/book/show/10956.The_Virgin_Suicides
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il caso Maurizius,"Wassermann, Jakob",8881122030,9788881122035,8881122030,527        pp,3.99,205,1928,Oct 2001,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 21, 2016",,Paperback,view,/book/show/17792093-il-caso-maurizius
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La vita come un romanzo russo,"Carrère, Emmanuel",8806191950,9788806191955,8806191950,276        pp,3.67,"3,381","Mar 01, 2007","Oct 20, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Apr 12, 2016","Apr 12, 2016","Apr 12, 2016",,Paperback,view,/book/show/15923226-la-vita-come-un-romanzo-russo
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The History of Jazz,"Gioia, Ted",019512653X,9780195126532,019512653X,471        pp,4.09,"4,917","Nov 01, 1997","May 06, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Mar 21, 2016",,Paperback,view,/book/show/177539.The_History_of_Jazz
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On the Road,"Kerouac, Jack",,,,320        pp,3.61,"411,207","Sep 05, 1957","Feb 24, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 20, 2016","Nov 25, 2016","Mar 20, 2016",,Paperback,view,/book/show/2552.On_the_Road
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Happy are the Happy,"Reza, Yasmina",184655800X,9781846558009,184655800X,224        pp,3.55,"5,483","Jan 04, 2013","Jul 03, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 17, 2016","Mar 19, 2016","Mar 17, 2016",,Hardcover,view,/book/show/18657667-happy-are-the-happy
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Single Man,"Isherwood, Christopher",0816638624,9780816638628,0816638624,186        pp,4.07,"33,323",1964,"Apr 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 10, 2016","Mar 11, 2016","Mar 10, 2016",,Paperback,view,/book/show/16842.A_Single_Man
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tra donne sole,"Pavese, Cesare",880614989X,9788806149895,880614989X,263        pp,3.52,"2,078",1949,Feb 1998,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 10, 2016","Mar 10, 2016","Mar 10, 2016",,Paperback,view,/book/show/959450.Tra_donne_sole
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il diavolo sulle colline,"Pavese, Cesare",8806144588,9788806144586,8806144588,154        pp,3.69,"1,544",1949,1997,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 10, 2016","Mar 10, 2016","Mar 10, 2016",,Paperback,view,/book/show/2384687.Il_diavolo_sulle_colline
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La bella estate,"Pavese, Cesare",8806314017,9788806314019,8806314017,330        pp,3.47,"7,373",1949,"Jan 05, 1971",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 10, 2016","Mar 10, 2016","Mar 10, 2016",,Paperback,view,/book/show/1739067.La_bella_estate
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dago Red,"Fante, John",8806171380,9788806171384,8806171380,226        pp,3.75,199,1940,"Mar 01, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Una delle cose più belle da fare davanti a un bicchiere è farsi raccontare la vita di chi ci sta davanti. Non solo le beghe quotidiane, ché per quelleUna delle cose più belle da fare davanti a un bicchiere è farsi raccontare la vita di chi ci sta davanti. Non solo le beghe quotidiane, ché per quelle è difficile trovare una soluzione pratica quando in testa si hanno solo il bisogno di staccarsi dal mondo e farsi lingua e gola, solo lingua e gola e piacevole vertigine, almeno per un po'. Sono gli episodi della propria personale mitologia a costituire l'accompagnamento migliore, e per una ragione molto semplice: proiettano in un passato felice. O anche infelice, ma ormai così lontano e metabolizzato da aver assunto le tinte del mito. Nessuno piange più per Dafne che è diventata albero per via dell'amante respinto: sono rimasti solo gli alberi, che tutt'al più sentiranno un formicolio di rimorsi dove scorre la linfa.Allora immaginate di avere davanti del vino, quel Dago Red che era la bevanda prediletta degli italiani espatriati in America il secolo scorso. Un vino dolciastro, che va alla testa, che «vellica i precordi». E immaginate di essere approdati in un bar, uno alla Hopper, con le luci bianche e le poltrone verdi, e il tintinnio dei bicchieri in preparazione. Stanchi, scossi, annoiati, col buio e il freddo di fuori che vi hanno avvelenato anche dentro. E al bancone trovate un Jimmy Toscana, un ex chierichetto cresciuto, un italoamericano qualunque. Niente di speciale all'apparenza, un po' come tutti quando indossano solo la propria faccia e nient'altro. Magari vi mettete a parlare e, dopo qualche bega quotidiana, un inanellarsi di ""una volta"" vi fa approdare al centro dell'uomo che avete davanti, al suo Olimpo personale. Il bicchiere fa riemergere tutto il dolce e l'amaro che una volta proprio quel vino aiutò a mandar giù. Ce n'è per ogni sapore, per ogni zona della lingua. Mostri mitologici e semidei, il Padre muratore e ubriacone, la Madre sciupata da una vita casalinga passata a riguardar dalla finestra le speranze della giovinezza, i Fratelli, la Morte, la Chiesa che su tutto incombe come un indice ammonitore, la Speranza tutta religiosa in un lieto fine, la Rassegnazione, il Comico e il Grottesco, il Sesso che rallegra e intorbidisce i giorni presenti e carica quelli futuri di un desiderio impreciso, ma proprio per questo ammaliante. Il nero che sporca il bianco di una vita piena di dio e angeli solo nominati, in realtà abitata solo da uomini che nell'abbracciarsi forte si incrinano sempre qualche costola. Questo Pantheon è capace in un attimo di far sparire tutto. Scompare il bar, scompare la luce, scompare il buio: ci siete solo voi, spettatori da tappezzeria, e lui e Loro. Se volete qualcosa per diventare solo lingua e gola, lingua gola e piacevole vertigine, questo è il bicchiere giusto.Sentimmo il suo messaggio ma non lo capimmo perché ci turbava e ci atterriva; e invece di soffrire con lei corremmo verso la porta del cortile mentre le risate di papà scuotevano la casa. Ma Clara rimase accanto a mamma tenendole la mano. (Una moglie per Dino Rossi) ...more",Notes are private!,0,2,1,"Jan 21, 2016","Jan 21, 2016","Jan 21, 2016",,Paperback,view (with text),/book/show/2751065-dago-red
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Complete Poems,"Sexton, Anne",0395957761,9780395957769,0395957761,622        pp,4.28,"16,081","Sep 30, 1981","Apr 28, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2016",,Paperback,view,/book/show/47730.The_Complete_Poems
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sorrows of Young Werther,"Goethe, Johann Wolfgang von",0812969901,9780812969900,0812969901,149        pp,3.69,"131,272",1774,"Feb 08, 2005",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 21, 2016","Jan 21, 2016","Jan 21, 2016",,Paperback,view,/book/show/16640.The_Sorrows_of_Young_Werther
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Un uomo,"Fallaci, Oriana",881715377X,9788817153775,881715377X,457        pp,4.39,"5,652",1979,2000,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 21, 2016","Jan 21, 2016","Jan 21, 2016",,Paperback,view,/book/show/1573886.Un_uomo
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I dolori del giovane Werther,"Goethe, Johann Wolfgang von",8858605942,9788858605943,B006EZRLJ8,350        pp,3.69,"131,272",1774,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 17, 2016",,Kindle Edition,view,/book/show/28367789-i-dolori-del-giovane-werther
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Un uomo,"Fallaci, Oriana",8817453749,9788817453745,8817453749,462        pp,4.39,"5,652",1979,Apr 1980,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 08, 2016",,Hardcover,view,/book/show/176039.Un_uomo
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Una splendida notte stellata,"Liao, Jimmy",8865790296,9788865790298,8865790296,144        pp,4.50,663,May 2009,"Nov 13, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 30, 2015",,Paperback,view,/book/show/24826554-una-splendida-notte-stellata
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Breakfast of Champions,"Vonnegut, Kurt, Jr.",0385334206,9780385334204,0385334206,303        pp,4.07,"260,549","Jul 12, 1973",May 1999,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 30, 2015","Nov 30, 2015","Nov 30, 2015",,Paperback,view,/book/show/4980.Breakfast_of_Champions
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mattatoio n. 5,"Vonnegut, Kurt, Jr.",8807016370,9788807016370,8807016370,196        pp,4.10,"1,369,572","Mar 31, 1969",Jun 2003,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Aug 09, 2015","Aug 22, 2015","Aug 09, 2015",,Paperback,view,/book/show/10333804-mattatoio-n-5
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tutto ciò che vi devo: Lettere alle amiche,"Woolf, Virginia",889803847X,9788898038473,889803847X,62        pp,4.03,352,"Nov 01, 2014",Dec 2014,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2015",,Paperback,view,/book/show/24239880-tutto-ci-che-vi-devo
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Perché sognare di sogni non miei?: Lettere dal mio altrove,"Pessoa, Fernando",8898038488,9788898038480,8898038488,61        pp,4.03,62,Nov 2014,Nov 2014,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2015",,Paperback,view,/book/show/24144569-perch-sognare-di-sogni-non-miei
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Le memorie di Barry Lyndon,"Thackeray, William Makepeace",8881127997,9788881127993,8881127997,unknown,3.63,"2,506",1844,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2015",,,view,/book/show/9750131-le-memorie-di-barry-lyndon
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Natale e Satana e altri racconti,"Soldati, Mario",888212584X,9788882125844,888212584X,157        pp,3.00,1,"Oct 26, 2006","Oct 26, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 13, 2015",,Paperback,view,/book/show/17254104-natale-e-satana-e-altri-racconti
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I poeti morti non scrivono gialli,"Larsson, Björn",,,,353        pp,3.38,177,2010,"Sep 01, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 31, 2014","Dec 31, 2014","Dec 31, 2014",,Paperback,view,/book/show/12555965-i-poeti-morti-non-scrivono-gialli
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tina,"Cacucci, Pino",8807818302,9788807818301,8807818302,240        pp,3.85,300,1991,2005,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 14, 2014",,Paperback,view,/book/show/9667281-tina
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Identity,"Kundera, Milan",0060930314,9780060930318,0060930314,176        pp,3.69,"28,441","Oct 29, 1997","Apr 21, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 14, 2014",,Paperback,view,/book/show/28635.Identity
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Star Rover,"London, Jack",0812970047,9780812970043,0812970047,266        pp,4.20,"8,780",1914,"Nov 11, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Dec 10, 2014","Dec 14, 2014","Dec 10, 2014",,Paperback,view,/book/show/862311.The_Star_Rover
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il mio Majakovskij,"Polonskaja, Veronika",9788836811,,,108        pp,3.83,12,"Jan 01, 2007",2007,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Nov 2014,"Dec 10, 2014",,Paperback,view,/book/show/23695566-il-mio-majakovskij
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Limonov,"Carrère, Emmanuel",8845927334,9788845927331,8845927334,356        pp,4.13,"11,841","Sep 01, 2011","Oct 03, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Dec 10, 2014","Dec 10, 2014","Dec 10, 2014",,Paperback,view,/book/show/16045771-limonov
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Poesie,"Mayakovsky, Vladimir",,,,unknown,4.23,26,unknown,1973,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 10, 2014",,Paperback,view,/book/show/18129382-poesie
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"La verità, vi prego, sull'amore","Auden, W.H.",8845911063,9788845911064,8845911063,68        pp,3.94,"1,562",1994,1994,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Dec 06, 2014",,Paperback,view,/book/show/3960273-la-verit-vi-prego-sull-amore
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Love is the Heart of Everything: Correspondence Between Vladimir Mayakovsky and Lili Brik 1915-1930,"Mayakovsky, Vladimir",0394555694,9780394555690,0394555694,294        pp,3.85,122,1986,"Jan 01, 1987",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 27, 2014","Nov 27, 2014","Nov 27, 2014",,Hardcover,view,/book/show/127077.Love_is_the_Heart_of_Everything
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Occhi blu, capelli neri","Duras, Marguerite",8807810646,9788807810640,8807810646,136        pp,3.43,"2,764",1986,2001,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2014",,Paperback,view,/book/show/9671474-occhi-blu-capelli-neri
