,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Judy's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Immortal,"Zelazny, Roger",0671698486,9780671698485,0671698486,216        pp,3.90,"11,794",1966,1989,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2024",not set,"Apr 11, 2024",,Paperback,view,/book/show/13827.This_Immortal
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"C is for Corpse        (Kinsey Millhone, #3)","Grafton, Sue",0312939019,9780312939014,0312939019,243        pp,3.93,"52,147","Nov 24, 1986","Nov 29, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Why did I ever stop reading Sue Grafton? She was the alphabet mystery writer. Her first, A Is For Alibi came out in 1982. I read it in 2004, then readWhy did I ever stop reading Sue Grafton? She was the alphabet mystery writer. Her first, A Is For Alibi came out in 1982. I read it in 2004, then read the second one, B Is For Burglar before the year was over. I thought her PI, Kinsey Millhone, was pretty cool and I liked that the books were set in a fictional Santa Barbara, since by then I was living in Los Angeles. But then I discovered Janet Evanovitch and her Stephanie Plum series, set in New Jersey. Stephanie rocks! I grew up in New Jersey and could just see it all.Like many readers of literary fiction, I use mystery/crime fiction as a palate cleanser. Sometimes you just need a book you can read in one or two days! Then again, sometimes a literary reading group can lead me to mysteries. That happened to me in 2005, when one of my groups read Fire Sale by Sara Paretsky. Now her PI, V I Warshawski, is the baddest of all female main characters. I stuck with her and have read all her books in order. She stole me away completely!But in 2017, Sue Grafton died before she could write her 26th book: Z Is For Zero. So tragic to me. I resolved to get back to her and I finally did. C Is For Corpse finds Kinsey Millhone investigating an attempted murder when the victim is actually murdered before she has found the culprit. Bobby Callahan lost much of his memory after the first attempt on his life, but he still managed to charm Kinsey plus he had already paid her a good retainer. She powers on and finds out all about his twisted rich family and the secret for which he was killed.What I most admire about all these female mystery writers is their portrayal of smart, tough women who risk dismemberment and death themselves as they pursue justice. (Another two I follow are Laura Lippman (Baltimore) and Nevada Barr who wrote all those great thrillers set in National Parks.) Paretsky and Grafton started publishing in 1982, Evanovitch created Stephanie Plum in 1993. Women born in mid-20th century America, who came of age during the wild times of 1970s feminism; each one set out to challenge the masculine domination of crime fiction and have done so with great panache, sly humor, and plenty of imbedded commentary on late 20th and early 21st century inequality, politics and patriarchy. I would argue that they also raised the bar on writing quality in the mystery genre.Who are your favorite female mystery writers?...more",Notes are private!,2,2,1,"Apr 09, 2024","Apr 11, 2024","Apr 09, 2024",,Paperback,view (with text),/book/show/89656.C_is_for_Corpse
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Other Americans,"Lalami, Laila*",1524747149,9781524747145,1524747149,320        pp,3.91,"17,185","Mar 26, 2019","Mar 26, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This novel, the third by Laila Lalami, kept me engrossed in the story of a Moroccan immigrant family whose father is killed in a hit and run accident This novel, the third by Laila Lalami, kept me engrossed in the story of a Moroccan immigrant family whose father is killed in a hit and run accident one night as he walked home from the restaurant he owned and ran. Told from nine different points of view, I learned the ways and troubles of a small town, Mohave, in the southern California desert. This is a composite story: a family saga, a murder mystery, and a love story. The main character is Nora, daughter of the dead man, jazz composer, who always wanted to get out of Mohave and pursue her musical dreams. Her chapters tell how and why her parents emigrated from Morocco, how much she loved her father but could not get along with her mother. The other characters have their own chapters revealing the PTSD of a former soldier and cop, the fears of an undocumented Mexican family, the regrets of Maryam the widow, and the Black female police detective who tries to solve the hit and run incident, plus a few more.By rotating through these viewpoints, the lives of these people are revealed with all their very human emotions, conflicts, and dreams. I became so involved with all of them and marveled at the exposition of tensions that run like fault lines through the lives of these people. They are all Americans, but they are all from somewhere else originally. Thus, it is a quintessential American tale. I live in a fairly diverse neighborhood of Los Angeles, which changes every year as people move away or in. I have spent time in the Mohave area, years ago when I used to play at a coffee house there. I have had dreams of musical success. I felt the truths that Laila Lalami wrote about in her crystal-clear prose while she kept me guessing about all the characters as their secrets are gradually revealed....more",Notes are private!,4,4,1,"Apr 06, 2024","Apr 09, 2024","Apr 06, 2024",,Hardcover,view (with text),/book/show/40988961-the-other-americans
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Seven Moons of Maali Almeida,"Karunatilaka, Shehan*",1908745908,9781908745903,1908745908,386        pp,3.93,"39,484","Aug 04, 2022","Aug 04, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This extremely difficult but entertaining novel won the Booker Prize in 2022. I finally read it for a reading group, though in resonance with the storThis extremely difficult but entertaining novel won the Booker Prize in 2022. I finally read it for a reading group, though in resonance with the story we never met because a key member had a death in the family.Once I got used to the second person voice (first paragraph: “You wake up with the answer to the questions that everyone asks. The answer to the question is Yes, and the answer is Just Like Here But Worse. That’s all the insight you’ll ever get. So you might as well go back to sleep.” Maali Almeida woke up dead. He was a “Photographer. Gambler. Slut.” He lived from 1955-1990 in the troubled times of the Sri Lankan civil wars.Once I figured out who was alive and who was dead, and believe me that took a while; once I figured out that Maali had seven days (seven moon rises) to decide what his afterlife would be, I sort of began to get a grip. I admit I knew exactly nothing about Sri Lanka when I started the book. I finally admitted that I needed to look stuff up. Where is Colombo anyway? Let me tell you it was not a good place to live in the late 1980s.Maali is a complex character you want to love but you sometimes hate. Sri Lanka has been violated in numerous ways since the first European traders landed on its shores. The usual suspects that now loom in almost every country on Earth are corrupted grasping rich guys who have no interest in human rights. Life is cheap and myths from the beginning of time abound.My favorite character was Jaki whose unrelenting bravery and energy pulsates right along with Maali’s. She is on the order of women like Buffy the Vampire Slayer (I am just saying that though I have never watched the show or the movie; I am of the Wonder Woman age: same deal.) After a rip roaring tale, the book ends with a dose of existential philosophy and I guess that is just about right....more",Notes are private!,2,8,1,"Apr 04, 2024","Apr 06, 2024","Apr 04, 2024",,Hardcover,view (with text),/book/show/57224204-the-seven-moons-of-maali-almeida
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tell No Man,"Johns, Adela Rogers St.",1568493789,9781568493787,1568493789,unknown,4.26,39,"Apr 01, 1967","Jan 01, 1966",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"With this novel I finished reading the list of top 10 bestsellers of 1966. It was my least favorite and I got quite aggravated trying to get though itWith this novel I finished reading the list of top 10 bestsellers of 1966. It was my least favorite and I got quite aggravated trying to get though it. It is a Christian story with a twist. It is melodramatic, wordy, repetitive but at least not fully predictable.Set in the early 1960s in Chicago and then a southern California beach town, it follows a married couple through all their difficulties. The husband left a successful job in finance after having a vision of Christ shown to him on a dark night of soul-searching. He went into training to be a Protestant minister and became a pastor at the beach town church. He wanted to bring the message of Jesus into reality in the 20th century by making the members of his congregation perform acts of faith in the town. His wife was part of the wealthy set in Chicago but also an atheist and strongly resisted following him as a minister’s wife. Thus, a huge challenge to the marriage though they loved each other with passion. The top elder of the church was a wealthy real estate guy who wanted to build a new church in the suburbs while the minister wanted to stay in the town and perform miracles.It was all too much of a “can this marriage be saved” plus religious belief and Bible passages plus the rich vs the poor kind of story for me. I was raised in a deeply religious family who spent so much time at church. I stopped going to church during my junior year in college. I believe in working for peace and social justice and just plain kindness but not exactly God or even a Supreme Being. I confess I have never read The Bible all the way through, but I am doing so now. Stay tuned! I also believe in respecting the religious beliefs of others. While reading the bestsellers of 26 years so far, from 1940 to 1966, I have noticed that there are usually one or two Christian themed books on the list. Tell No Man took the #7 spot for 1966.As promised in an earlier , here is the 1966 list of bestsellers. I have read all of them and my s can be found on Goodreads.1.	*Valley of the Dolls, Jacqueline Susann2.	*The Adventurers, Harold Robbins3.	*The Secret of Santa Vittoria, Robert Crichton4.	*Capable of Honor, Allen Drury 5.	*The Double Image, Helen MacInnes 6.	*The Fixer, Bernard Malamud 7.	*Tell No Man, Adela Rogers St Johns 8.	*Tai-Pan, James Clavell 9.	*The Embezzler, Louis Auchincloss 10.*All in the Family, Edwin O’Connor ...more",Notes are private!,2,3,1,"Apr 02, 2024","Apr 04, 2024","Apr 02, 2024",,Hardcover,view (with text),/book/show/254993.Tell_No_Man
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Collected Stories of Katherine Anne Porter,"Porter, Katherine Anne",0156188767,9780156188760,,495        pp,3.97,"6,153",1965,"Sep 19, 1979",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I have often said that I prefer novels to short stories and I still do. However, I have a method for short stories: read one per day. By that method II have often said that I prefer novels to short stories and I still do. However, I have a method for short stories: read one per day. By that method I have come to find that I do like a good short story. As I grew up, I read stories in magazines. Those are probably the best ones, simply because they were picked for magazine publication. I even wrote one of my own in middle school and won a contest with it.In Katherine Anne Porter’s collection, all her published stories, from very short to quite long, are included. So, I meandered my way through and discovered some of the best writing I have ever read. She won both the Pulitzer Prize and the National Book Award for it in 1966.Her excellent creation of place and her finely drawn characters put me right in the times and locations she was bringing to life. From Mexico to the Texas hill country where she grew up to various cities, she is concerned with human interaction and its effect on children. One of her recurring characters is clearly based on herself.Ms Porter published only one novel: Ship of Fools, in 1962 was the #1 bestseller that year. I read it back in 2002 but was not that impressed. In my opinion, the short story is her proper medium and anyone who wants to learn to write stories would be enlightened by reading this collection....more",Notes are private!,0,4,1,"Mar 30, 2024","Apr 02, 2024","Mar 30, 2024",,Paperback,view (with text),/book/show/129671.The_Collected_Stories_of_Katherine_Anne_Porter
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Struggle: Book 1,"Knausgård, Karl Ove",0374534144,9780374534141,0374534144,442        pp,4.09,"44,280",2009,"May 28, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I have finally read this big seller from 2012. Why? Because from time to time I read other writers’ memoirs to help get me out of the writer’s block II have finally read this big seller from 2012. Why? Because from time to time I read other writers’ memoirs to help get me out of the writer’s block I often fall into in my own. You have heard of reluctant readers? I am a reluctant writer. This time it worked and I am back at it.What I admired in Knausgaard’s writing about his own life is his honesty. He does not shy away from anything that puts him in a bad light. Even though I don’t intend to share my story while I am alive; even though I just want to leave a record, I have a hard time writing about the bad stuff I have done. That sense of constant guilt with which I was raised just does not leave me alone. I wonder if Karl Ove felt similar qualms. I wonder if he originally wrote these volumes for publication. In any case, though he got some negative feedback when he did, he also gathered quite a loyal following. The writing is good. I read it easily and quickly even though he writes pages of description about the scenes around him. That much description usually bores me and I admit I skimmed some of it but I also recognized how much he put me there in the locations of his life. He writes in this book about his complex relationship with his father. Though he feared and even hated his father for years he was completely undone by the man’s death. He tells us what that was like for him in excruciating emotional prose. I found I could relate to his details and even understand how and why it affected him so strongly. Will I go on to read the following five other volumes? Yes, I probably will....more",Notes are private!,4,5,1,"Mar 28, 2024","Mar 30, 2024","Mar 28, 2024",,Paperback,view (with text),/book/show/26145543-my-struggle
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"I, Juan de Pareja","Treviño, Elizabeth Borton de",0374435251,9780374435257,0374435251,192        pp,3.76,"8,479","Jun 01, 1965","Aug 01, 1987",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Juan de Pareja, born into slavery in 17th century Spain, was bequeathed by his kind mistress to her nephew Velazquez, the greatest painter in Spain atJuan de Pareja, born into slavery in 17th century Spain, was bequeathed by his kind mistress to her nephew Velazquez, the greatest painter in Spain at the time. After a harrowing journey from Seville to Madrid, he becomes the famous painter’s assistant. Juan was taught to read by his former mistress and then taught to mix paints, stretch canvases, and keep a painter’s studio in order.The boy became fascinated with painting. Because it was illegal in Spain for a slave to practice any arts, he secretly taught himself to paint by watching Velazquez create his pictures. He travels with the famous man from the court of King Philip IV to Italy and becomes expert at dealing with both royalty and the models for the paintings. But he suffers great guilt for his deception and fears for his future. Velazquez demonstrates his friendship for Juan in a surprising gesture, providing for Juan a fulfilling life.I loved this book so much. The world of a painter and his methods, the historical details of life in Renaissance Spain and Italy, the complex character of Juan, and the humanist message of the tale, all brought together in a story that any enterprising middle grade reader could follow.Elizabeth Borton de Trevina won the 1966 Newbery Medal for the book. I rarely find a Newbery winner I do not absolutely love and this is one of the very best I have read....more",Notes are private!,7,1,1,"Mar 27, 2024","Mar 28, 2024","Mar 27, 2024",,Paperback,view (with text),/book/show/847581.I_Juan_de_Pareja
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,North Woods,"Mason, Daniel*",0593597036,9780593597033,0593597036,372        pp,4.18,"27,149","Sep 19, 2023","Sep 19, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is one of the best novels I have read so far this year! It has everything: wonderful characters, the natural world and the supernatural world, loThis is one of the best novels I have read so far this year! It has everything: wonderful characters, the natural world and the supernatural world, love and betrayal, artists and con artists, and a plot that just won’t quit. The main character is the woods and how it remains despite all that human beings, weather, insects, and animals can wreak upon it.Instead of a family saga covering decades, it is the story of a house and surrounding woods through decades from the Puritans to the present in the North Woods of Massachusetts. Many residents of this yellow house have stuck around as ghosts and their deeds twist through the changes like threads in a tapestry. I don’t want to give away more because, so long as one keeps some track of the characters, the joy of reading this tale is one of discovery. I read it as a buddy read with one of my best reading friends. We met and discussed it for a good long time!...more",Notes are private!,8,13,1,"Mar 21, 2024","Mar 27, 2024","Mar 21, 2024",,Hardcover,view (with text),/book/show/71872930-north-woods
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Eyes and the Impossible,"Eggers, Dave",152476423X,9781524764234,152476423X,256        pp,4.26,"5,189","May 09, 2023","Apr 29, 2025",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Have you been in a bad mood about life, politics, the world and its wars, the slow approach of Spring? Read this book! It will cheer you up and bring Have you been in a bad mood about life, politics, the world and its wars, the slow approach of Spring? Read this book! It will cheer you up and bring a spring to your step.The Eyes and the Impossible won the Newbery Award this year. Its hero and narrator is a dog named Johannes. He can run so fast and see so much that he has the job of seeing everything that goes on. His friends are three Bison, a sea gull, a squirrel, a pelican, and a racoon. They live on an island that is their whole world but that seems to be some kind of park for visiting humans. Animal control persons are their only adversary though they also look down on certain creatures, especially the ducks.Each day Johannes reports to the Bison on what is going on. Those Bison are the wise elders but Johannes feels bad about their captivity and wants to free them from the island and return them to the vast lands from which they came. When an invasive weed takes over some of the island, goats are brought in to eat it and clear the area. Johannes makes friends with a female goat and together they develop a plan to liberate the Bison.This story is full of humor, pathos and adventure, as any good tale should be. It made me laugh and feel all kinds of feels about the outdoors, the captivity of animals, the urge for freedom and space. Amazing, especially since I prefer cats to dogs. Johannes captured my heart and the ending is perfect....more",Notes are private!,0,3,1,"Mar 17, 2024","Mar 21, 2024","Mar 17, 2024",,Hardcover,view (with text),/book/show/63246652-the-eyes-and-the-impossible
