,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Daniel's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Voices in the Ocean: A Journey into the Wild and Haunting World of Dolphins,"Casey, Susan",0385537301,9780385537308,0385537301,304        pp,4.04,"3,062","Aug 04, 2015","Aug 04, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 05, 2024",not set,"Apr 05, 2024",,Hardcover,view,/book/show/23615703-voices-in-the-ocean
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Darker Than Amber        (Travis McGee #7),"MacDonald, John D.",0449224465,9780449224465,0449224465,283        pp,4.07,"4,534","Jan 01, 1966",1994,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Re-reading these Travis McGee novels from my young teenage days illuminates my fall into a love for literary realism. MacDonald was first, followed byRe-reading these Travis McGee novels from my young teenage days illuminates my fall into a love for literary realism. MacDonald was first, followed by London, then Hemingway. Hemingway was followed by Cormac McCarthy, and then John Williams and Peter Heller. And occasionally, I run across an obscure contemporary writers that are just as amazing in capturing reality in words.But MacDonald was the first, and by luck, was probably the perfect gateway. The Travis McGee novels are mostly detective-mysteries, but MacDonald was never shy about diving deeper into the human psyche. He has a talent for taking seeming superficial acts and behaviors and relating them to seemingly universal human preceptions…""Maybe everybody at some time or another feels the strong attraction of something rotten-sweet enough to guarantee complete degradation."" Darker than Amber is indeed just another Travis McGee novel, but this journey with Travis brings us a step closer to the mentality of the cold and calculating person who instils confidence in others for the extraction of money: the con artist, the grifter. While this novel was written some 60 years ago, these types of people never cease to exists. Sometimes, they show up as bible salesmen.In this novel, McGee finds himself on a moral journey to rid the world of one particular operation. But along the way, the rewards of moral weakness appear and tempt Travis time and time again. It’s this struggle and its effect on McGee’s moral vision of himself that gives Darker than Amber its complexity and its place in reality....more",Notes are private!,0,10,1,"Mar 25, 2024",Apr 2024,"Mar 25, 2024",,Paperback,view (with text),/book/show/43935.Darker_Than_Amber
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Broca's Brain: Reflections on the Romance of Science,"Sagan, Carl",0345336895,9780345336897,0345336895,398        pp,4.05,"10,619","Apr 12, 1979","Feb 12, 1986",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Broca's Brain is Carl Sagan’s report on the state of astronomical science, and science in general, as it was in the late 1970s. As such, the book is aBroca's Brain is Carl Sagan’s report on the state of astronomical science, and science in general, as it was in the late 1970s. As such, the book is almost 50 years out-of-date with our present-day scientific luxuries and discoveries. It is for this reason that the book is not that interesting, even if Sagan wrote it. At best, the book allows the reader a chance to make comparisons between what we knew then and what we know now. One of the more interesting topics is Sagan’s critical assessment of scientific charlatans. While the actual charlatans of Sagan’s time are now all but forgotten, the fact that they goaded Sagan into strongly condemning them gives rise to the conclusion that there will always be con artists and victims living among us. It only requires a vague scientific view of present-day society to see them operating in all aspects of life, science included but especially politics.Along these same lines, a chapter towards the end of the book discusses religion from the perspective of scientific skepticism. This is probably the most timeless aspect of the book. However, the content is mostly an overview of his more thorough book on the subject, The Demon-Haunted World. Nonetheless, reading Sagan’s contemplations of religious beliefs is inspiring for those that love reality. There are other comparisons that can be made with Sagan’s time including the relatively basic state of the scientific explorations of Mars and other planets, the total absence of the Hubble and Webb Telescopes, and the numerous planets that have since been discovered orbiting distant stars. While all of this helps to bring Sagan’s time into perspective, it also left me wishing that I was reading some other book of a more contemporaneous nature....more",Notes are private!,0,16,1,"Mar 15, 2024","Mar 22, 2024","Mar 15, 2024",,Mass Market Paperback,view (with text),/book/show/485812.Broca_s_Brain
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Attribution,"Moore, Linda*",1647422531,9781647422530,1647422531,309        pp,4.09,732,"Oct 11, 2022","Oct 11, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"There are a couple of television series out there that I very much enjoy. The first is Fake or Fortune and the second is Art Detectives. Both shows taThere are a couple of television series out there that I very much enjoy. The first is Fake or Fortune and the second is Art Detectives. Both shows take relatively obscure works of art and investigate them to determine or verify the artist that painted them. There’s usually only a suspicion of greatness, but only provenance, science, and expert opinion secures an actual attribution.Attribution follows the same motif as the two television shows and it captured my attention from the start. The plot focuses on a young post-graduate student who follows the trail of a suspected 17th century work of art that is suspected of being painted by the famous Spanish painter, Diego Velázquez. The process of attribution is explained as the story progresses. Moore does a good job of raising investigative questions that are universal to many works of art that surround us today. At the end of the process, humans make various interpretations motivated by a host of human factors ranging from the sincerely honorable to the purely selfish. All of this makes this novel a worthwhile endeavor.The flaws in Attribution are typical of art-based novels. While Moore may have chosen an academic theme, there must have been some concern that such themes on their own do not make bestsellers. To spice things up, she adds in a sappy romance and inter-character conflicts that don’t add very much to the story. Also, the attribution process is a bit watered down and glossed over. And to make matters worse, the plot is propelled forward by the mother of all coincidences. In fact, it’s such a big coincident that I envisioned some diabolical plot twist that would remove the tarnish of writing about something that would never actually happen in real life.Nonetheless, its an entertaining novel for those that enjoy art. It provides an opportunity to tour a handful of Diego Velázquez’s works online as they are mentioned and described in the book. They are truly beautiful paintings that capture life. But most of all, it allows the reader a glimpse into the the process of ""declaring"" a masterpiece long after any certainty of such a declaration has vanished....more",Notes are private!,2,18,1,"Feb 19, 2024","Feb 27, 2024","Feb 19, 2024",,Paperback,view (with text),/book/show/59892387-attribution
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Project Hail Mary,"Weir, Andy*",0593135202,9780593135204,0593135202,476        pp,4.51,"565,483","May 04, 2021","May 04, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Given the vast multitude of science fiction novels being continuously produced, and given the pure rubbish that the vast majority of those novels actuGiven the vast multitude of science fiction novels being continuously produced, and given the pure rubbish that the vast majority of those novels actually are, it’s refreshing to read something that doesn’t suck. Project Hail Mary is among the best in the genre. The novel is founded upon two supporting pillars. The first is that Andy Weir is enamored and mesmerized by the actual workings of the universe. He writes about scientific concepts as if he were describing miracles that personally affect him. In doing so, he makes science real. He makes science a viable basis upon which life can be evaluated and evaluated correctly. All of that translates to truth and realism, and any book with those qualities is worth reading.The second thing about Project Hail Mary that places it above most of the rest, is that Andy Weir is a crafty writer. He may not create characters that exude the depths of their human emotions. But what Weir lacks in depth he makes up for with humor. Sarcasm is his speciality, but self-deprecating humor and nerdy utterances are also his thing. This aspect of Weir’s writing endears his main character to his readers. We are so entertained by the humor that we feel the kindness of his heart and miss him once the curtain closes on his story.Both aspects of Weir’s writing make the story a worthwhile science fiction experience. Alien life, near-light-speed travel, and distant solar systems are all put forth to contemplate in a serious way. Closer to home, elements of climate change are included in the story, which places the issue into perspectives that may not have been previously contemplated. And the overall plot is filled with challenges that demand creative and realistic solutions. As a final thought, it’s difficult to ponder the future of Andy Weir as a writer. In their skeletal forms, both The Martian and Project Hail Mary are essentially the same novel: marooned astronaut uses science to define his environment and survive in isolation, all the while keeping his spirits up by laughing at his own predicament. I suspect that Andy Weir, much like Ernest Hemingway, is his own main character in every novel he writes. Moving forward, Weir will need to search out new experiences for his character to experience, if he wishes to remain interesting....more",Notes are private!,0,21,1,"Feb 08, 2024","Feb 17, 2024","Feb 08, 2024",,Hardcover,view (with text),/book/show/54493401-project-hail-mary
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Oath and Honor: A Memoir and a Warning,"Cheney, Liz",031657208X,9780316572088,B0C2PKJVMF,381        pp,4.63,"16,023","Dec 05, 2023","Dec 05, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Oath and Honor is an intensely interesting and factual book that focuses on the acts undertaken by then President Trump to overturn the results of theOath and Honor is an intensely interesting and factual book that focuses on the acts undertaken by then President Trump to overturn the results of the 2020 election. Cheney’s writing is crisp and damning and gives no quarter to those that directly participated or encouraged the January 6th attack on the US Capitol. In the future, as other books by historians come into being, Cheney’s account will hold its own and serve to passionately depict her patriotism and her present belief in the rule-of-law.However, for as thorough, comprehensive, and critical of Trump that this book is, it leaves out any discussion regarding a critical piece of evidence that speaks directly to the cause of the January 6th attack on the US Capitol. Cheney supported Trump’s candidacy for president in 2016. She defended Trump after he enthusiastically bragged about assaulting women while multiple women claimed he did just that; one of whom has twice proven her case in courts of law. Cheney was silent after Trump referred to the violent white supremacists in Charlottesville as ""very fine people."" She must have never read the violations of law that were included in the Mueller Report, and she voted against impeaching Trump over his attempted extortion of the Ukrainian president. Cheney helped to raise funds for Trump during his 2020 reelection bid, accepting as acceptable the thousand of lies told by Trump by that time. And on page 86 she admits that she ""wanted"" Trump to win reelection in November 2020.What’s missing from this book is any sort of examination of how Trump achieved the position of power and confidence necessary to carry out the January 6th attack. There was an obvious escalation of Trump’s moral depravity and lawlessness that Cheney and her Republican colleagues repeatedly enabled and encouraged for four years. In 2016, what made Cheney think that an accused and self-admitted sexual predator would have the courage and character necessary to ""preserve, protect and defend the Constitution of the United States?""By the time of the January 6th attack, Trump was more confident than ever that the Republican members of Congress would not only look the other way but also serve his needs. Cheney’s exclamation of ""you did this!"" made towards Congressman Jason Smith as the rioters were attempting to batter down the doors to the House Chamber, failed to recognize that she did this too!In the absence of examining this systemic cause of the January 6th attack, Cheney’s book and her warning are both incomplete. We are presently heading into another election where the same forces are at play in the Republican Party. In the absence of examining this critical piece of history we are seeing it repeated once again, and the work of the January 6 Committee could end up being for naught....more",Notes are private!,9,21,1,"Jan 31, 2024","Feb 06, 2024","Jan 31, 2024",,Kindle Edition,view (with text),/book/show/134156069-oath-and-honor
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mars - Frontier,"Shanun-Klein, Henya",,,B09N7F674Y,unknown,3.21,34,unknown,"Feb 24, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The author, Henya Shanun-Klein, is a professor of psychology and to her credit she infused her specialized knowledge into her story about an ill-fatedThe author, Henya Shanun-Klein, is a professor of psychology and to her credit she infused her specialized knowledge into her story about an ill-fated mission to Mars. The overarching problem, however, is just that. Mars - Frontier comes across as a science fiction novel that was written by a psychology professor for psychology enthusiasts.The novel reads like a research paper ready for peer  and publication. The tone is one of professional standoffishness. Events happen which are written about in the best tradition of log entries and report writing with the intention of surviving objective examination. There are no characters in this novel, only subjects of observation.Then we have the crew of humanity’s first deep space mission to another planet, which is comprised of psychologists and lawyers. They are being sent to colonize a hostile and barren world, but their primary focus en route is the development of ethical and legal codes to live by. One of the main antagonistic points in the novel is that the crew has no idea why their spaceship occasionally malfunctions. It seems like a better suited crew would have avoided all of the psychological angst (but it would have also spoiled all of the psychological content).And finally, there’s the cyborg crew member whose primary role is to provide ""psychological assistance"" to the crew. The problem with this role lies in his/her/it’s inability to speak in complete sentences. My Alexa TV Cube is far more advanced in his/her/it’s speech capabilities and thus, far better equipped to render psychological assistance to me during my on-going struggles with streaming online programing.Mars - Frontier is a case where the writer maintained a professional detachment from the human condition. While students of psychology may find this to be the only si-fi novel that has ever spoken to them, students of life will wonder why this book escaped the classroom....more",Notes are private!,4,13,1,"Jan 27, 2024","Jan 30, 2024","Jan 27, 2024",,Kindle Edition,view (with text),/book/show/60499266-mars---frontier
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Là-Bas,"Huysmans, Joris-Karl",0486228371,9780486228372,0486228371,304        pp,3.96,"4,172",1891,1972,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"In 1891 science was transitioning from a tool of industrial purpose to a a stand-alone occupation in search of its own ends. Therefore, it’s not surprIn 1891 science was transitioning from a tool of industrial purpose to a a stand-alone occupation in search of its own ends. Therefore, it’s not surprising that a writer would jump into the scientific tone of the time and write about a highly controversial subject from a literary-scientific perspective. After all in science, any subject is fair game for study as long as the study is rational, objective, and open minded.Là-Bas presents the occult of Paris in 1891 and carefully compares it to similar practices that took place in the mid 1400s. It’s the story of a writer who is writing a biography of Gilles de Rais, a notorious person of 15th century fame who is associated with the heroic accomplishments Joan of Arc and subsequently the torture, mass murder, and desecration of innocent children in western France. Through the writer’s into Rais’ life, the writer discovers that the black arts are still practiced in modern-day, 1891 France.The story elements are well written and through Huysmans’ examination of human beliefs, then and (now), he allows his readers to contemplate their present. This is probably the best aspect of Là-Bas. In addition to this perspective, however, Huysmans insists on being scientific and objective about about his observations. This is where the book bogs down. It is filled with ramblings through religious texts, doctrine, and practices; so much so that only the scholarly-religious would find Huysmans’ commentary enlightening (or understandable).Overall, it’s an interesting book on a subject that seems unique in mainstream Victorian literature. Essentially, Hardy, James, and Verne were Huysmans’ contemporaries. The story elements are the best part of the novel, but Huysmans’ desire to be scientifically relevant when it comes to worshiping the Devil makes this an arduous reading experience....more",Notes are private!,0,15,1,"Jan 13, 2024","Jan 24, 2024","Jan 13, 2024",,Paperback,view (with text),/book/show/315298.L_Bas
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,City Primeval,"Leonard, Elmore",,,,275        pp,3.92,"4,433","Sep 01, 1980","Jun 01, 2005",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"City Primeval is a weaker Leornard novel. All the signature components of his work are here, but they never quite gel into the unforgettable experiencCity Primeval is a weaker Leornard novel. All the signature components of his work are here, but they never quite gel into the unforgettable experience that his better novels possess. This is probably due to the normalness of the characters. There’s the Detroit detective who is conservative in behavior, there’s the gorgeous and competent female lawyer that is also conservative in behavior, and then there’s the wild, out-of-left-field, criminal that is a bit too smart to be truly wild. All this adds up to an Elmore Leornard novel that never gets off the ground into that realm of human decision and indecision that happens in the moment, in response to circumstances at the time. The best of Leonard's novels make you feel like you are flying through life as opposed to City Primeval, which has you walking along Earth's surface the entire time....more",Notes are private!,2,18,1,"Jan 09, 2024","Jan 13, 2024","Jan 09, 2024",,Paperback,view (with text),/book/show/288993.City_Primeval
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Arrest,"Lethem, Jonathan",0062938789,9780062938787,0062938789,307        pp,3.15,"2,967","Nov 10, 2020","Nov 10, 2020",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Lethem’s dystopian world has a few fundamental problems that I could not overcome. It’s a world where all the machines have stopped working. They resiLethem’s dystopian world has a few fundamental problems that I could not overcome. It’s a world where all the machines have stopped working. They reside in a state of ""arrest.""One problem is that the novel focuses on a story element that disproves Lethem’s own premise. It’s clear that machines do work in certain cases, which prompts the question: why do some machines work while others do not?Investigating the root of that question creates a significant distraction. Apparently, gasoline is out, but human-generated methane works. Nuclear power does not work, but then again it does in one particular case. Fire is still allowed and is used to power steam engines, but their widespread use to solve bigger problems has never been contemplated. This all leads to a conclusion that the randomly working machines are matter of convenience to Lethem’s story. Without working machines, Lethem’s world would be devoid of a story.Another problem is Lethem’s depiction of a world without (most) machines as a sort of utopia. His characters live their new green lives like happy Amish folks on a communal farm. The reality is that there are numerous people in Lethem’s isolated community who would need to survive the disfunction of basic social health services. In Lethem’s world, the trash is magically cleared, clean water is just there, and sewage disposal just happens.As for the story, it’s not very compelling. It probably has something to do with realizing that we are all ultimately composed of the decisions we’ve made in our lives, both active and passive. Had the story been more powerful, the distraction of the story may have headed off the distractions associated with its numerous flaws. But it was not, and the flaws won....more",Notes are private!,6,13,1,"Jan 02, 2024","Jan 08, 2024","Jan 02, 2024",,Hardcover,view (with text),/book/show/51179946-the-arrest
