,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Liv's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"As Yet Unsent        (The Locked Tomb, #2.5)","Muir, Tamsyn*",,,,24        pp,4.39,"2,815","Sep 21, 2021","Jun 08, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"girls don't want romance girls want forced proximity and bickering (it's me, i'm girls)girls don't want romance girls want forced proximity and bickering (it's me, i'm girls)...more",Notes are private!,0,6,2,not setnot set,Feb 2024Jan 2022,"Feb 01, 2024",,ebook,view (with text),/book/show/58662978-as-yet-unsent
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Star Trek, Vol. 1: Godshock","Kelly, Collin",1684059909,9781684059904,1684059909,192        pp,4.10,284,unknown,"Jul 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"this is fun if you don't think too hard about the crossover crew dynamics and don't mind the characters looking like they were drawn using playmates athis is fun if you don't think too hard about the crossover crew dynamics and don't mind the characters looking like they were drawn using playmates action figures as reference. rly enjoyed the ancient eldritch organic space ship monster and the bones floating abandoned in space motif. also appreciated the nonbinary transmasc vulcan who endures precisely zero grief abt terms of address and pronouns. also bev makes a ""sub rosa"" reference, which: yes. definitely enjoyed defiant way more tho and only stuck around for the context this one lends to thatedit: who in god's name designed those uniforms. i just wanna talk...more",Notes are private!,0,0,1,not set,"Jan 30, 2024","Jan 31, 2024",,Paperback,view (with text),/book/show/123289261-star-trek-vol-1
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"These Burning Stars        (The Kindom Trilogy, #1)","Jacobs, Bethany*",0316463329,9780316463324,0316463329,464        pp,4.22,"1,429","Oct 17, 2023","Oct 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,Paperback,view,/book/show/75593500-these-burning-stars
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Star Trek: Defiant, Vol. 1","Cantwell, Christopher",,9798887240282,B0BX9CSBSJ,128        pp,3.71,92,unknown,"Nov 14, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,honestly rad as hell. i think b'elanna and ro should kiss while being enemies about ithonestly rad as hell. i think b'elanna and ro should kiss while being enemies about it...more,Notes are private!,0,2,1,not set,"Jan 24, 2024","Jan 25, 2024",,Hardcover,view (with text),/book/show/123286981-star-trek
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gwen & Art Are Not in Love,"Croucher, Lex*",1250847214,9781250847218,1250847214,416        pp,4.05,"13,581","May 11, 2023","Nov 28, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"listen!!! i do not do romance. as an aro dyke with more than a little romance repulsion, it just ends in frustration if i go there. i ALSO do not do hlisten!!! i do not do romance. as an aro dyke with more than a little romance repulsion, it just ends in frustration if i go there. i ALSO do not do historical fiction. when my friend put this book in my hands i gave her major side-eye but decided to roll with it because in 3 years of book recs she has not once steered me wrong, and holy shit, i am so glad i trusted her. this had it all-- the friendship, the banter, the enemies to friends to [hard stop, NOT lovers], the riverdale and mary oliver references, a sexy butch knight flirting with the princess with her sword. the plot did not once sacrifice the friendships for the romantic pairings, and i want to fling myself at the author's feet and thank them for that specifically and profusely. almost none of the tropes that frustrate me with romance cropped up in this book. there were like, three chapters where i wanted to pull my hair out and yell IF YOU WOULD JUST HAVE A CONVERSATION-- but it lasted those three (3) chapters and that's it. incredible. the ""historical"" side of things is played very fast and loose, and i adore it. feels camp, feels queer, feels very ""fuck your rules.""if you love romance, you will probably like this novel, because it is very smartly written and has lovable characters and a satisfying ending and everyone who gets paired off legitimately has chemistry instead of just getting smashed together to fulfill some sort of true love quota.if you do not love (or even like) romance, you will probably still enjoy this novel, because the friendships here are what get to shine. so, from one romance-repulsed aromantic allosexual queer to whomever is reading this  ... this YA romcom gets my highest queerplatonic recommendation. there is SUCH a multiplicity of relationships on display in this novel, and it's truly wonderful. i've never been so delighted to be so wrong about a book....more",Notes are private!,0,8,1,not set,"Jan 20, 2024","Jan 20, 2024",,Hardcover,view (with text),/book/show/61885131-gwen-art-are-not-in-love
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Desolation Called Peace        (Teixcalaan, #2)","Martine, Arkady*",1529001633,9781529001631,1529001633,496        pp,4.33,"28,154","Mar 02, 2021","Mar 04, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"worth every blazing second i spent bending my brain back into the arc of this world after 12 months off. i bounced hard off the politics and intricacyworth every blazing second i spent bending my brain back into the arc of this world after 12 months off. i bounced hard off the politics and intricacy at the start and did not think i was going to like the plot, but it really came together for me around the 65% mark (shoutout to (view spoiler)[a well-written sex scene, it will really rearrange your brain (hide spoiler)]). i love how this book expands and complicates the narrative of the first while also holding true to those core dynamics i got so attached to in a memory called empire. it's a masterclass in how to up the stakes of an already high-stakes endeavor, and i feel lucky to exist in a world where i get to read it and its sister book...more",Notes are private!,2,4,1,"Jan 15, 2024","Feb 08, 2024","Jan 15, 2024",,Paperback,view (with text),/book/show/57299781-a-desolation-called-peace
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Whipping Girl: A Transsexual Woman on Sexism and the Scapegoating of Femininity,"Serano, Julia*",1541604520,9781541604520,1541604520,464        pp,4.26,"7,902","May 14, 2007","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2024",,Paperback,view,/book/show/182761626-whipping-girl
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Enterprise War,"Miller, John Jackson*",1982113316,9781982113315,1982113316,421        pp,4.02,"1,082",Jul 2019,Jul 2019,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 14, 2024",,Paperback,view,/book/show/43618217-the-enterprise-war
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Star Trek: Strange New Worlds: The High Country,"Miller, John Jackson*",,,,320        pp,4.01,722,"Feb 21, 2023","Feb 21, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"miller tends to whiplash from mishap to mishap rather than holding the reins of his own plot (a complaint i had with rogue elements, too), but he's stmiller tends to whiplash from mishap to mishap rather than holding the reins of his own plot (a complaint i had with rogue elements, too), but he's stellar when it comes to banter and really knows his star trek lore. while i have an entire skeleton of bones to pick re: sticking una with a r*mantic arc (and with a man) (god) (i pretend i do not see it), that too feels classically star trek (""meridian"" and ""tomorrow and tomorrow and tomorrow,"" i'm looking at y'all). aside from that bit of nonsense, i enjoyed myself with this one. i do not understand the decision for the narrative to refer to una as ""chin-riley"" the entire goddamn book rather than ""una"" or ""number one,"" but it wouldn't be a star trek pocket book if it didn't make an incomprehensible decision or two.tl;dr: a fun time if you don't mind an excess of pike chapters, are a horse girl, love uhura, wish la'an and hemmer had interacted more, and don't mind spock and m'benga getting reduced to bit roles while ortegas is barely there and chapel isn't to be seen at all. definitely one of the better star trek novels, and i'll be tracking down the enterprise war in the hopes that una doesn't have to kiss a dude in that one...more",Notes are private!,0,0,1,"Jan 07, 2024","Jan 14, 2024","Jan 13, 2024",,Kindle Edition,view (with text),/book/show/60902686-star-trek
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Walking Practice,"Min, Dolki",0063258617,9780063258617,0063258617,176        pp,3.60,"1,737","Mar 14, 2022","Mar 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"this ultimately did not work for me, but i enjoyed my time with it and appreciate the language it gives to so much of what i've been thinking/feeling this ultimately did not work for me, but i enjoyed my time with it and appreciate the language it gives to so much of what i've been thinking/feeling re: disability, queerness, and neurodivergence. i also loved the translator's note at the end. it made me wish i could have read it in the original korean because i feel like maybe it would have worked a lot better for me without the remove of translation. tl;dr, worth the time i spent with it, but not as mind-bendingly !!! as i was hoping...more",Notes are private!,0,1,1,not set,"Jan 29, 2024","Jan 12, 2024",,Hardcover,view (with text),/book/show/61150781-walking-practice
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Women! In! Peril!,"Marshall, Jessie Ren*",1639732276,9781639732272,1639732276,288        pp,4.17,72,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2024",,Paperback,view,/book/show/133938853-women-in-peril
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Heavenly Favorite,"Rijneveld, Lucas",1644452731,9781644452738,1644452731,288        pp,3.89,"5,653","Nov 05, 2020","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2024",,Hardcover,view,/book/show/127282582-my-heavenly-favorite
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rain Artist,"Foster, Claire Rudy*",,9798988815402,B0CHCBKNPS,unknown,3.69,45,"Feb 24, 2024","Feb 24, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2024",,Paperback,view,/book/show/200453873-the-rain-artist
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Antiquity,"Johansson, Hanna",1646221710,9781646221714,1646221710,224        pp,3.45,518,"Aug 20, 2020","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2024",,Hardcover,view,/book/show/185767241-antiquity
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Portrait of a Body,"Delporte, Julie",1770466800,9781770466807,1770466800,268        pp,3.99,99,unknown,"Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 09, 2024",,Paperback,view,/book/show/65215485-portrait-of-a-body
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rainbow Black,"Thrash, Maggie*",0063286874,9780063286870,0063286874,416        pp,4.06,414,"Mar 19, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2024",,Paperback,view,/book/show/173502162-rainbow-black
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Solution        (Animorphs, #22)","Applegate, K.A.",0590762559,9780590762557,0590762559,152        pp,4.07,"3,833","Jan 01, 1998",Oct 1998,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,[spongebob_staring_at_coffee.gif] sure was a Choice to come home from work and binge this book in 1 sitting on a monday night after talking to a cowor[spongebob_staring_at_coffee.gif] sure was a Choice to come home from work and binge this book in 1 sitting on a monday night after talking to a coworker about climate change and the end of the human race...more,Notes are private!,0,2,1,"Jan 08, 2024","Jan 08, 2024","Jan 08, 2024",,Paperback,view (with text),/book/show/366790.The_Solution
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Rapture,"Leede, C.J.*",1250857929,9781250857927,1250857929,384        pp,5.00,5,"Oct 15, 2024","Oct 15, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,saw the moodboard on insta and if it's even a little bit accurate i'm going to be incapable of being normal about this booksaw the moodboard on insta and if it's even a little bit accurate i'm going to be incapable of being normal about this book...more,Notes are private!,0,13,0,not set,not set,"Jan 07, 2024",,Hardcover,view (with text),/book/show/203579244-american-rapture
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Disability Intimacy: Essays on Love, Care, and Desire","Wong, Alice",0593469739,9780593469736,0593469739,384        pp,4.20,15,"Apr 30, 2024","Apr 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2024",,Paperback,view,/book/show/150247408-disability-intimacy
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Angel of Indian Lake        (The Indian Lake Trilogy, #3)","Jones, Stephen Graham*",1668011689,9781668011683,,416        pp,4.42,"1,024","Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2024",,ebook,view,/book/show/178072409-the-angel-of-indian-lake
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Threat        (Animorphs, #21)","Applegate, K.A.",0590762540,9780590762540,0590762540,158        pp,3.94,"3,636","Jan 01, 1998",Sep 1998,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,bro. WHAT.,Notes are private!,0,1,1,not set,"Jan 04, 2024","Jan 04, 2024",,Paperback,view (with text),/book/show/363361.The_Threat
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Star Trek: Open a Channel: A Woman's Trek,"Visitor, Nana",,9798886633016,B0C7P8NTH2,272        pp,0.00,0,unknown,"Oct 01, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Hardcover,view,/book/show/176443778-star-trek
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Exhibit,"Kwon, R.O.*",0593190025,9780593190029,0593190025,224        pp,4.29,66,"May 21, 2024","May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Hardcover,view,/book/show/177192267-exhibit
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Perfume and Pain,"Dorn, Anna*",1668047179,9781668047170,1668047179,352        pp,4.39,166,"May 21, 2024","May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Paperback,view,/book/show/199797848-perfume-and-pain
