,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Aliaa's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,الحب الاكتئابي,"Engdahl, Emma",,,,unknown,3.20,15,unknown,2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2024",,Paperback,view,/book/show/199249763
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,تمشية قصيرة مع لولو,"Kheir, Mohamed*",,,,unknown,3.76,83,unknown,2023,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,جمال لا تكفيه كلمات,Notes are private!,0,2,1,"Feb 26, 2024","Feb 27, 2024","Feb 27, 2024",,,view (with text),/book/show/85443576
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,صيد فيل مجنح,"هنائي, شيرين*",,9789773788343,,175        pp,4.08,102,Jan 2024,Jan 2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/205971469
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,فكر وتصرف كأنك قط,"Garnier, Stéphane",,9789778674217,,232        pp,3.46,"4,503","Mar 02, 2017",Oct 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 21, 2024",,Paperback,view,/book/show/201061890
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,يد عمياء,"محمد, أكرم",,9789778676310,,142        pp,4.50,2,unknown,2024,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 16, 2024","Feb 17, 2024","Feb 17, 2024",,Paperback,view,/book/show/207926442
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,شجو الهديل,"الحلو, جار النبي",,,,unknown,3.33,6,2024,2023,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 11, 2024","Feb 12, 2024","Feb 12, 2024",,Paperback,view,/book/show/207768361
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,زائر النافذة,"فتحي, Mai Fathy l مي*",977869513X,9789778695137,977869513X,0        pp,4.25,8,"Jan 25, 2024","Jan 24, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2024",,Paperback,view,/book/show/205838069
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,حفيف صندل,"الخميسي, أحمد",,9789778202236,,121        pp,3.00,2,Jan 2024,Jan 2024,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 04, 2024","Feb 05, 2024","Feb 05, 2024",,Paperback,view,/book/show/207033561
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,الوصفة الفرنساوية للفوز بماما,"أمجد, مارك",,,,unknown,2.75,8,unknown,"Jan 25, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 02, 2024","Feb 03, 2024","Feb 03, 2024",,Paperback,view,/book/show/206133522
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,الكلب الذي رأى قوس قزح,"الزيات, عصام",9778063826,9789778063820,9778063826,208        pp,4.25,24,unknown,Jan 2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 02, 2024",,Paperback,view,/book/show/205971126
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,احتمالات لا نهائية للغياب,"طنطاوي, آية*",,,,100        pp,3.95,19,unknown,Sep 2023,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,ما هذا الجمال!,Notes are private!,0,6,1,"Jan 29, 2024","Jan 31, 2024","Jan 31, 2024",,,view (with text),/book/show/199113039
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,شجرة ليمون ونعناع أخضر,"موسى, رجائي",,9789778589764,,100        pp,3.00,22,2021,2021,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jan 26, 2024","Jan 26, 2024","Jan 25, 2024",,Paperback,view,/book/show/59052631
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,كتاب المشاهدة,"كمال, حنان",,,,85        pp,3.75,12,unknown,2018,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Jan 22, 2024","Jan 22, 2024","Jan 22, 2024",,Paperback,view,/book/show/45286885
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,الزمن المفقود,"Xiaobo, Wang",9778970645,9789778970647,9778970645,151        pp,3.66,65,"Oct 01, 2008",2024,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jan 21, 2024","Jan 22, 2024","Jan 22, 2024",,Paperback,view,/book/show/205523364
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Les villes de papier,"Fortier, Dominique",2896943900,9782896943906,2896943900,192        pp,3.95,"2,312","Aug 21, 2018","Aug 21, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 16, 2024","Jan 18, 2024","Jan 18, 2024",,Paperback,view,/book/show/40775648-les-villes-de-papier
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,آكلة الأم,"Larraquy, Roque",,,,156        pp,3.69,"1,983","Oct 01, 2010",Nov 2022,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2024",,,view,/book/show/63219489
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,عظومة,"البرعي, عصام",30759,9789773519155,,166        pp,2.67,3,unknown,"Apr 13, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Jan 03, 2024","Jan 04, 2024","Jan 10, 2024",,Hardcover,view,/book/show/60219526
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,‫كم مرة سنبيع القمر؟‬,"علام, أسامة",9770938734,9789770938737,B0CQWJDF6Z,108        pp,3.94,68,unknown,"Dec 24, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 10, 2024","Jan 10, 2024","Jan 10, 2024",,Kindle Edition,view,/book/show/204517817
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,الفسيفسائي,"ناصري, عيسى",,9789938979374,,453        pp,3.83,102,"Jun 06, 2023","Jun 06, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jan 02, 2024","Jan 04, 2024","Jan 04, 2024",,Paperback,view,/book/show/196236961
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,قناع السعادة,"Clemenceau, Georges",,,,unknown,3.79,29,"Mar 09, 2010",unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,,view,/book/show/44133847
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,ذاكرة شكسبير,"Borges, Jorge Luis",,,,103        pp,4.12,"1,089",1983,2001,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 01, 2024",,Paperback,view,/book/show/10312695
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,قبل أن تذهب رانسي,"علاء, بسنت",,,,166        pp,4.12,33,unknown,unknown,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"May 31, 2023","May 31, 2023","Dec 30, 2023",,Paperback,view,/book/show/157541224
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,ساحر الكرملين,"da Empoli, Giuliano",,9789920657471,,285        pp,4.14,"6,657",2022,"Oct 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 30, 2023",,,view,/book/show/62900453
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,أنقذ القطة!: لن تحتاج لكتاب بعده لكتابة السيناريو,"Snyder, Blake",,9789778678345,,288        pp,4.03,"18,936",2005,"Sep 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 30, 2023",,Paperback,view,/book/show/198973566
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,السيد العاشق,"Evaristo, Bernardine",1989667147,9781989667149,1989667147,358        pp,4.21,"12,927","Aug 29, 2013","Nov 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Paperback,view,/book/show/203059541
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,ثلاث أمهات وثلاث بنات,"Gorkin, Michael",,9781961335073,,296        pp,4.07,46,"Aug 05, 1996",2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Hardcover,view,/book/show/202819921
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,محاولة انتحار,"فؤاد, أحمد*",,,B07TK5SSTX,11        pp,3.41,246,unknown,"Jun 29, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 28, 2023",,Kindle Edition,view,/book/show/52831289
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,الفريسة الأخطر,"Connell, Richard",,9789921775891,,48        pp,3.94,"54,419","Jan 19, 1924",Sep 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Paperback,view,/book/show/199032242
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,الغرق,"Läckberg, Camilla*",9773198529,9789773198527,9773198529,528        pp,3.96,"23,290",2008,Nov 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Paperback,view,/book/show/203846328
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,‫300000 عام من الخوف: قصة البشر من بداية الكون الى التوحيد‬,"الحسن, ‏جمال أبو",9777953801,9789777953801,B0BL1BNX8G,384        pp,3.90,159,unknown,"Oct 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 26, 2023",,Kindle Edition,view,/book/show/63273222-300000
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,الصمت,"موراكامي, هاروكي",,,,21        pp,3.73,376,unknown,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 26, 2023",,ebook,view,/book/show/195925845
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,لا خبر من غورب,"Mendoza, Eduardo",9921712810,9789921712810,9921712810,186        pp,3.75,"16,179",1990,Nov 2023,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 20, 2023","Dec 21, 2023","Dec 25, 2023",,Paperback,view,/book/show/204257227
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,الواقعون,"Álvarez, Carlos Manuel",,9789778678314,,176        pp,3.68,628,"Sep 24, 2018","Sep 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 25, 2023",,Paperback,view,/book/show/198973559
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,نحن نعرف ما سيأتي,"Wolf, Christa",,9789776743243,,160        pp,3.65,684,1979,"Oct 20, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 25, 2023",,Paperback,view,/book/show/55745353
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,بمناسبة الحياة,"الحافظ, ياسر عبد",,,,136        pp,3.65,34,2005,2005,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 06, 2024","Jan 07, 2024","Dec 25, 2023",,Paperback,view,/book/show/7896126
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,محادثة ليلية,"Naspini, Sacha",9778678359,9789778678352,9778678359,206        pp,3.77,"1,143","Sep 02, 2020","Oct 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 25, 2023",,Paperback,view,/book/show/203340048
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,مقامرة على شرف الليدي ميتسي,"المرسي, أحمد",,9789778063240,,350        pp,4.26,470,unknown,Jan 2023,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"تخيل نفسك عزيزي القارئ أمام منضدة مقامرة، لا يتواجد عليها سوى 4 أشخاص، لا يعرفون بعضهم، ولكن مصائرهم ارتبطت بفضل لُعبة، تحتمل النجاح والفشل، وبعد ذلك تخيل نفسك عزيزي القارئ أمام منضدة مقامرة، لا يتواجد عليها سوى 4 أشخاص، لا يعرفون بعضهم، ولكن مصائرهم ارتبطت بفضل لُعبة، تحتمل النجاح والفشل، وبعد ذلك تخيل أن منضدة المقامرة هي الحياة نفسها التي تجمع بين أبطال الرواية عن طريق الصدفة، أو يمكن القول من خلال القدر الذي وضع كل واحد منهم في طريق الآخر، ليصبح مصير أحدهم مرتبطًا بالآخر، في سلسلة قوية مربوطة بأربعة أقفال.ويمكنك تجاهل كل ذلك، والاكتفاء بما قاله الكاتب في نهاية عمله المميز عندما قال: ""لقد كانوا الأربعة مثل كرات البلياردو، تلاقوا في لحظة خاطفة من الزمن، تصادموا، تقاطعت حيواتهم، ثم ارتد كل منهم في اتجاه، ولم يتلقوا ثانية، أبدًا"".الظابط سليم حقي، المُراهن مرعي المصري، الطفل فوزان الطحاوي والليدي ميتسي، 4 شخصيات تكفي الألقاب السابقة لأسمائهم للتعبير عن حيواتهم بدلًا من كتابة مئات الكلمات لوصفها، ولكن كيف يلتقي هؤلاء؟ لا، ليس اللقاء فقط، بل كيف تتغير مصائرهم بعد لقائهم سويًا؟لا أريد حرق أي شئ من الرواية، ولكن تواجدها في القائمة الطويلة لجائزة بوكر 2024 تكفي للثناء عليها، وإن كانت تستاهل التأهل إلى القصيرة كذلك!...more",Notes are private!,0,4,1,"Dec 23, 2023","Dec 25, 2023","Dec 25, 2023",,Paperback,view (with text),/book/show/105606188
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,كانت السماء زرقاء,"إسماعيل, إسماعيل فهد",2843050073,,,126        pp,3.30,134,"Jan 01, 1996",1996,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 13, 2023","Dec 13, 2023","Dec 13, 2023",,Paperback,view,/book/show/20950751
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,المنكوح,"النقوزي, نسرين",,9789776811157,,98        pp,3.95,40,unknown,2021,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Dec 13, 2023","Dec 13, 2023","Dec 13, 2023",,Paperback,view,/book/show/58683829
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,جثة في بيت طائر الدودو,"سلامة, منى*",9776902200,9789776902206,9776902200,256        pp,3.52,"1,345","Jun 29, 2021","Jun 29, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 12, 2023",,Paperback,view,/book/show/58479249
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,بائع الأحلام,"قاسم‌زاده, محمد",,,,208        pp,3.05,22,"Sep 04, 2020","Sep 04, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 10, 2023","Dec 11, 2023","Dec 11, 2023",,Paperback,view,/book/show/60498709
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,في الوقت نفسه,"قاسم‌زاده, محمد",,9789921712162,,170        pp,3.12,26,Jan 2019,"Oct 01, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 11, 2023",,Paperback,view,/book/show/48559703
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,مجتمع الاحتراق النفسي,"Han, Byung-Chul",,9786030365098,,76        pp,3.90,"15,897","Oct 04, 2010",2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 11, 2023",,Paperback,view,/book/show/59113020
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,المتطوعون,"Scliar, Moacyr",,9789996617959,9996617955,216        pp,3.72,54,"Aug 12, 1988",2017,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 08, 2023",,Paperback,view,/book/show/32484053
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,الحبل,"إسماعيل, إسماعيل فهد",284050111,9782843050114,,112        pp,2.91,76,"Jan 01, 2013",2013,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Dec 08, 2023","Dec 08, 2023","Dec 07, 2023",,Paperback,view,/book/show/19374528
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,20:39,"كولك, جوانمرد",,9789921712698,,147        pp,3.50,2,unknown,unknown,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,أحب الروايات الغريبة حتى لو كانت فكرتها بسيطة,Notes are private!,0,0,1,"Dec 07, 2023","Dec 07, 2023","Dec 07, 2023",,Paperback,view (with text),/book/show/201972464-20
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,صوت منفرد,"Tamaro, Susanna",,9789990605792,,194        pp,3.48,813,1991,Feb 2018,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 07, 2023",,Paperback,view,/book/show/39330309
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,قانون سولولاند,"بلاسم, حسن",,9791280738158,B09XZH8JCB,104        pp,3.61,33,Apr 2022,Apr 2022,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 06, 2023","Dec 06, 2023","Dec 06, 2023",,Paperback,view,/book/show/60813100
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,الوقائع العجيبة لصاحب الاسم المنقوص,"عبدالله, زياد",,9788899687304,8899687307,104        pp,3.50,8,unknown,"Sep 15, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 05, 2023","Dec 06, 2023","Dec 05, 2023",,Paperback,view,/book/show/32180472
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,شارون وحماتي,"Amiry, Suad",,,,280        pp,3.86,"1,803","Oct 01, 2003",2007,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 05, 2023",,,view,/book/show/8484132
