,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Girl's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Holly,"King, Stephen*",1668016133,9781668016138,1668016133,449        pp,4.14,"91,061","Sep 05, 2023","Sep 05, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.5 stars, but for the sheer readability I'll round it up to 5.4.5 stars, but for the sheer readability I'll round it up to 5....more",Notes are private!,0,3,1,"Mar 26, 2024","Mar 29, 2024","Apr 01, 2024",,Hardcover,view (with text),/book/show/65916344-holly
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Color of Everything: A Journey to Quiet the Chaos Within,"Richards, Cory",059359679X,9780593596791,059359679X,368        pp,4.00,18,"Jul 09, 2024","Jul 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 27, 2024",not set,"Mar 27, 2024",,Hardcover,view,/book/show/199373502-the-color-of-everything
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Islandia i Polacy. Historie tych, którzy nie bali się zaryzykować","Kozłowska, Aleksandra",,9788324095872,,448        pp,3.74,31,"Jul 10, 2023","Jul 10, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 20, 2024","Mar 27, 2024","Mar 27, 2024",,Paperback,view,/book/show/141801233-islandia-i-polacy-historie-tych-kt-rzy-nie-bali-si-zaryzykowa
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Na północ. Jak pokochałem Arktykę,"Wajrak, Adam",8326837539,9788326837531,8326837539,400        pp,4.14,248,"Nov 09, 2022","Nov 09, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Mar 03, 2024","Mar 22, 2024","Mar 27, 2024",,Paperback,view,/book/show/62966442-na-p-noc-jak-pokocha-em-arktyk
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Moja ukochana i ja,"Lis, Renata",,9788308081082,,316        pp,4.01,373,"May 10, 2023","May 10, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 05, 2024","Mar 05, 2024","Mar 05, 2024",,Paperback,view,/book/show/75789185-moja-ukochana-i-ja
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Nobleman's Guide to Seducing a Scoundrel        (The Doomsday Books, #2)","Charles, K.J.*",1728255902,9781728255903,B0BNW638GQ,336        pp,4.28,"4,434","Sep 19, 2023","Sep 19, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Feb 24, 2024","Feb 27, 2024","Feb 27, 2024",,Kindle Edition,view,/book/show/75505273-a-nobleman-s-guide-to-seducing-a-scoundrel
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Secret Lives of Country Gentlemen        (The Doomsday Books, #1)","Charles, K.J.*",1728255856,9781728255859,1728255856,331        pp,4.16,"8,734","Mar 07, 2023","Mar 07, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Bugs. Beetles. Banging bloody bandits.,Notes are private!,0,3,1,"Feb 23, 2024","Feb 26, 2024","Feb 23, 2024",,Paperback,view (with text),/book/show/57102663-the-secret-lives-of-country-gentlemen
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Eld        (Engelsfors, #2)","Strandberg, Mats*",9129677807,9789129677805,9129677807,634        pp,4.10,"9,987","Jan 01, 2012","Apr 26, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 02, 2024","Feb 20, 2024","Feb 20, 2024",,Hardcover,view,/book/show/13432683-eld
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Unabridged Journals of Sylvia Plath,"Plath, Sylvia",0385720254,9780385720250,0385720254,732        pp,4.25,"22,784","Apr 01, 2000","Oct 17, 2000",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Jul 31, 2023","Mar 20, 2024","Jan 31, 2024",,Paperback,view,/book/show/11623.The_Unabridged_Journals_of_Sylvia_Plath
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bird by Bird,"Lamott, Anne*",,,,238        pp,4.24,"101,452","May 05, 1994","Oct 01, 1995",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 31, 2024",Apr 2024,"Jan 31, 2024",,Paperback,view,/book/show/12543.Bird_by_Bird
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,North Woods,"Mason, Daniel*",0593597036,9780593597033,0593597036,372        pp,4.18,"27,194","Sep 19, 2023","Sep 19, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Omnia mutantur, nihil interit. (Ovid)What a strange, confusing, exhilarating, amazing book.",Notes are private!,0,0,1,"Jan 31, 2024","Feb 03, 2024","Jan 31, 2024",,Hardcover,view (with text),/book/show/71872930-north-woods
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Mam ADHD, autyzm i całe spektrum możliwości","Musiałowska, Dominika",8367604776,9788367604772,8367604776,392        pp,3.51,37,"Nov 08, 2023","Nov 08, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Są ciekawe fragmenty, ale ogólnie: ksiazka probuje robic za duzo naraz i nic nie robi porządnie.Plus, fatfobia.",Notes are private!,0,0,1,"Jan 31, 2024","Feb 05, 2024","Jan 31, 2024",,Paperback,view (with text),/book/show/202694040-mam-adhd-autyzm-i-ca-e-spektrum-mo-liwo-ci
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dlaczego śpimy. Odkrywanie potęgi snu i marzeń sennych,"Walker, Matthew",8365973847,9788365973849,8365973847,389        pp,4.38,"185,838","Sep 28, 2017","Feb 27, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Higiena snu = najlepszość.,Notes are private!,0,0,1,"Jan 24, 2024","Feb 20, 2024","Jan 24, 2024",,Hardcover,view (with text),/book/show/43434332-dlaczego-pimy-odkrywanie-pot-gi-snu-i-marze-sennych
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Liberty's Daughter,"Kritzer, Naomi",,,B0CC46X1YB,264        pp,4.11,221,"Nov 21, 2023","Nov 21, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This was fun. I like how Kritzer writes about the near-future near-apocalyptic societies.,Notes are private!,0,0,1,"Jan 12, 2024","Jan 18, 2024","Jan 17, 2024",,Kindle Edition,view (with text),/book/show/192777167-liberty-s-daughter
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rubinkowo i osiedle Na Skarpie        (Toruńskie przedmieścia sprzed lat #3),"Kmieć, Anna N.",8377295660,9788377295663,8377295660,152        pp,4.00,3,unknown,"Nov 30, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 09, 2024","Jan 09, 2024","Jan 09, 2024",,Hardcover,view,/book/show/60496598-rubinkowo-i-osiedle-na-skarpie
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Śmierć na Wenecji        (Profesorowa Szczupaczyńska, #5)","Szymiczkowa, Maryla",8324074732,9788324074730,,320        pp,4.17,168,"Nov 08, 2023","Nov 08, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Szczupaczyńska w formie.,Notes are private!,0,0,1,"Dec 27, 2023","Jan 03, 2024","Jan 03, 2024",,Paperback,view (with text),/book/show/187653275-mier-na-wenecji
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Me List,"Balko, Julee*",1685133614,9781685133610,1685133614,227        pp,4.33,108,2024,"Jan 24, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Thank you to NetGalley and the publisher for providing me with an e-copy of this book. All opinions are my own.A book that delivers all - emotions aplThank you to NetGalley and the publisher for providing me with an e-copy of this book. All opinions are my own.A book that delivers all - emotions aplenty and food for thought. Olivia, the proagonist, tries to change her life with the help of ""The Me List"" - a list of things that she would like to work on or change in her life. She isn't succesfull in everything (and that's also good and potentially inspiring), but some things in her life definitely improve. Plus, there's a lovely dog....more",Notes are private!,0,1,1,"Dec 12, 2023","Dec 20, 2023","Jan 02, 2024",,Paperback,view (with text),/book/show/199341912-the-me-list
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Four Thousand Weeks: Time Management for Mortals,"Burkeman, Oliver",0374159122,9780374159122,0374159122,273        pp,4.23,"79,433","Aug 10, 2021","Aug 10, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 02, 2023","Dec 28, 2023","Jan 02, 2024",,Hardcover,view,/book/show/54785515-four-thousand-weeks
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sandman: Senni Łowcy,"Gaiman, Neil*",8323737843,9788323737841,8323737843,144        pp,4.45,"11,884",Nov 2008,2010,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 31, 2023","Dec 31, 2023","Dec 31, 2023",,Hardcover,view,/book/show/19241340-sandman
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Ballad of Songbirds and Snakes        (The Hunger Games, #0)","Collins, Suzanne",,,,541        pp,3.95,"752,161","May 19, 2020","May 19, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 21, 2023","Dec 21, 2023","Dec 21, 2023",,Kindle Edition,view,/book/show/51901147-the-ballad-of-songbirds-and-snakes
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,If It Bleeds,"King, Stephen*",,,B07YN9YNP9,447        pp,3.99,"97,174","Apr 21, 2020","Apr 21, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 03, 2023","Dec 03, 2023","Dec 03, 2023",,Kindle Edition,view,/book/show/46015758-if-it-bleeds
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Swordheart,"Kingfisher, T.",1614504636,9781614504634,1614504636,426        pp,4.17,"14,506","Nov 27, 2018","Nov 27, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Hardcover,view,/book/show/42747739-swordheart
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Thornhedge,"Kingfisher, T.",1250244099,9781250244093,1250244099,116        pp,4.03,"22,038","Aug 15, 2023","Aug 15, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Hardcover,view,/book/show/61884932-thornhedge
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"What Moves the Dead        (Sworn Soldier, #1)","Kingfisher, T.",1250830753,9781250830753,1250830753,165        pp,3.90,"64,932","Jul 12, 2022","Jul 12, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2022","Nov 19, 2022","Nov 19, 2023",,Hardcover,view,/book/show/58724626-what-moves-the-dead
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A House with Good Bones,"Kingfisher, T.",1250829798,9781250829795,1250829798,247        pp,3.70,"32,564","Mar 28, 2023","Mar 28, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Hardcover,view,/book/show/60784409-a-house-with-good-bones
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Telegraph Avenue,"Chabon, Michael",0061493341,9780061493348,0061493341,465        pp,3.39,"21,287","Sep 11, 2012","Sep 11, 2012",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Hardcover,view,/book/show/10756240-telegraph-avenue
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Housekeeping,"Robinson, Marilynne",0312424094,9780312424091,0312424094,219        pp,3.81,"53,439","Mar 01, 1980","Nov 01, 2004",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Paperback,view,/book/show/11741.Housekeeping
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ciepło. Najprzytulniejszy poradnik osiędbania,"Czarnecka, Nina",8324063102,9788324063109,8324063102,352        pp,4.11,123,"Sep 13, 2021","Sep 13, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Paperback,view,/book/show/58548065-ciep-o-najprzytulniejszy-poradnik-osi-dbania
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Living a Feminist Life,"Ahmed, Sara",0822363046,9780822363040,0822363046,312        pp,4.33,"2,820","Feb 03, 2017","Mar 10, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Hardcover,view,/book/show/29771377-living-a-feminist-life
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Affinity,"Waters, Sarah",,,,352        pp,3.75,"26,807","May 06, 1999","Jan 08, 2002",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Paperback,view,/book/show/25337939-affinity
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Little Stranger,"Waters, Sarah",,,,512        pp,3.56,"55,371","Apr 30, 2009","May 04, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Paperback,view,/book/show/7234875-the-little-stranger
