,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Oscar's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
583,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La maldición del tranvía 015,"Clark, P. Djèlí*",8412319664,9788412319668,8412319664,165        pp,3.99,"15,588","Feb 19, 2019",Jun 2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 24, 2021",,Paperback,view,/book/show/58111092-la-maldici-n-del-tranv-a-015
584,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,El narrador,"Cisco, Michael",8412167384,9788412167382,8412167384,434        pp,4.02,357,"Aug 21, 2010","Apr 06, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 24, 2021",,Paperback,view,/book/show/57809082-el-narrador
585,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tres fantasías góticas. La isla del doctor Moreau / El Hombre Invisible / El jugador de croquet,"Wells, H.G.",8477029202,9788477029205,8477029202,400        pp,4.05,20,Jun 2021,Jun 2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 24, 2021",,Hardcover,view,/book/show/58352735-tres-fantas-as-g-ticas-la-isla-del-doctor-moreau-el-hombre-invisible
586,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La puerta infinita,"Carrados, Clark",,,,128        pp,3.00,1,1959,1959,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Estupenda novela corta de Clark Carrados (Luis García Lecha), publicada en 1959, y que maneja conceptos muy interesantes para la época, como son los mEstupenda novela corta de Clark Carrados (Luis García Lecha), publicada en 1959, y que maneja conceptos muy interesantes para la época, como son los mundos paralelos, la multiplicidad de distintas Tierras. Todo comienza cuando un hombre adquiere una casa en Humbler City. Todo marcha bien, hasta que descubre una extraña puerta en el desván, la abre y desaparece. Al llegar la policía y demás, vuelven a desaparecer tres personas más. Todo esto sucede al principio del bolsilibro, ya que la casa coge fama de encantada y permanece sin vender durante años. Hasta que llega nuestro protagonista, un joven físico que trabaja en un teleportador. Y por supuesto, también encuentra la puerta, que empezará a investigar junto a su compañera de trabajo....more",Notes are private!,0,7,1,"Jun 23, 2021","Jun 24, 2021","Jun 23, 2021",,Bolsilibro,view (with text),/book/show/58407433-la-puerta-infinita
587,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nueve fantasmas,"Malden, R.H.",8418320389,9788418320385,8418320389,218        pp,3.72,141,1943,Jun 2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 21, 2021",,Hardcover,view,/book/show/58386983-nueve-fantasmas
588,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Los Juramentados,"Carrigan, Lou",,,,394        pp,0.00,0,1989,May 2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 17, 2021",,Paperback,view,/book/show/58359423-los-juramentados
589,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No me gustan los lunes: Inéditos y rarezas,"Mitchell, Charles",,,,408        pp,4.00,1,May 2021,May 2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 17, 2021",,Paperback,view,/book/show/58359412-no-me-gustan-los-lunes
590,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Las siete muertes de Evelyn Hardcastle,"Turton, Stuart*",8416222819,9788416222810,8416222819,496        pp,3.83,"374,887","Feb 08, 2018","Oct 03, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Mezcla de los misterios criminales de Agatha Christie, algo de Downton Abbey, mucho de Atrapado en el tiempo y un tanto de Origen de Nolan, esta novelMezcla de los misterios criminales de Agatha Christie, algo de Downton Abbey, mucho de Atrapado en el tiempo y un tanto de Origen de Nolan, esta novela es de las más originales y fascinantes que he leído últimamente. Que a veces me perdía un poco, no importaba, yo seguía leyendo que me ya me lo explicarían más adelante, como así es. La novela está muy bien escrita (o traducida, en este caso por Lorenzo F. Díaz).Veamos, aparte de que no es nada fácil resumir la trama, tampoco es recomendable, así que sólo contaré lo puramente esencial. El narrador está atrapado en la mansión de Blackheath, en una época que parece ser principios del siglo XX, donde se va a celebrar el retorno de Evelyn Hardcastle con un baile de máscaras. Su misión, para poder salir del bucle en el que se encuentra, será resolver quién asesinará a la joven Evelyn. Para ello tendrá ocho oportunidades y un día, ya que en cuanto muere, resucita en otro cuerpo, pero recordando todo lo acontecido anteriormente. En mi opinión, una lectura fascinante....more",Notes are private!,0,38,1,"Jun 13, 2021","Jun 19, 2021","Jun 13, 2021",,Paperback,view (with text),/book/show/42299255-las-siete-muertes-de-evelyn-hardcastle
591,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Caza Mayor        (El Tigre de Plata, #7; Kumite, #22)","Montesdeoca, Raúl",,,,69        pp,3.50,2,Jun 2021,"Jun 09, 2001",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Séptima entrega del personaje Ricardo Santos, El Tigre de Plata, que se encuentra gravemente herido y sin su máscara. Está en el hospital, bajo la ateSéptima entrega del personaje Ricardo Santos, El Tigre de Plata, que se encuentra gravemente herido y sin su máscara. Está en el hospital, bajo la atenta vigilancia de su amiga Domino, la cazarecompensas, además de contar con la ayuda de Machiko. Sin embargo, viendo que los secuaces de Cain Hunter siguen amenazando la vida de Ricardo, deciden sarcarlo como sea del hospital. Estas primeras escenas son trepidantes, no dan respiro al lector. En realidad todo el relato largo sigue este ritmo, pero esta primera parte está muy conseguida. Ahora a esperar la continuación. ¡Viva el pulp!...more",Notes are private!,0,9,1,"Jun 13, 2021","Jun 14, 2021","Jun 13, 2021",,ebook,view (with text),/book/show/58310894-caza-mayor
592,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La ciudad en el fin del mundo,"Hamilton, Edmond",8492492651,9788492492657,8492492651,183        pp,3.66,"1,367",1950,2012,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Estamos en la pequeña ciudad de Middletown, cuando de repente se produce un gran resplandor, como si una bomba atómica hubiera estallado. Sin embargo,Estamos en la pequeña ciudad de Middletown, cuando de repente se produce un gran resplandor, como si una bomba atómica hubiera estallado. Sin embargo, todo sigue en pie, alguna persona ha sufrido un pequeño shock, pero poco más. Pero la gente más avispada sí nota cambios, como que el Sol está más apagado, casi extinto, y hace más frío. Y las estrellas ya no están en la misma posición que antes. Kenniston, que trabaja de manera encubierta en un laboratorio dedicado a investigaciones atómicas, tiene claro que algo extraño ha sucedido, seguramente resultado de una bomba superatómica. Hubble, compañero de Kenniston, lo tiene casi claro: toda Middletown ha sido desplazada millones de años en el futuro.‘La ciudad en el fin del mundo’ (The City at World’s End, 1950), de Edmond Hamilton, tiene un principio de esos que atrapan, investigando junto a los protagonistas qué puede haber sucedido, y qué puede haber más allá de las fronteras de la ciudad. La primera mitad es francamente buena, después se vuelve más tópica, pero no por ello aburrida....more",Notes are private!,0,12,1,"Jun 11, 2021","Jun 18, 2021","Jun 11, 2021",,Paperback,view (with text),/book/show/51342384-la-ciudad-en-el-fin-del-mundo
593,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,El Sol puede estallar,"Silverton, Roy",,,,128        pp,4.00,1,1960,1960,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Estamos en el siglo XXV. Bruce Mac Donald, Policía del Espacio, tiene jurisdicción en todo el Sistema Solar. Ahora está por Plutón, donde de repente aEstamos en el siglo XXV. Bruce Mac Donald, Policía del Espacio, tiene jurisdicción en todo el Sistema Solar. Ahora está por Plutón, donde de repente aparece un meteoro que se mueve como una nave, siendo lo primero que hace soltar presos para utilizarlos como mano de obra y asesinos. Al poco, viene la amenaza: el meteoro, cargado de uranio, actuará como una inmensa bomba atómica cuando colisione con el Sol, lo que acabará con todo la humanidad, a la que odia el megalomaníaco. A todo esto, la novia de Bruce y el tío de esta, son secuestrados de la Tierra.‘El Sol puede estallar’ (1960), de Roy Silverton (Salvador Dulcet Altés), es una fantástica novela corta de aventuras espaciales, que no da respiro al lector. Muy entretenida....more",Notes are private!,0,6,1,"Jun 10, 2021","Jun 12, 2021","Jun 10, 2021",,Bolsilibro,view (with text),/book/show/58307854-el-sol-puede-estallar
594,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Regreso al futuro,"Space, Law",,,,128        pp,3.00,1,1959,1959,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Olaf y Jim abandonaron la Tierra en el año 2158, pero cuando regresan, se llevan la desagradable sorpresa de que han pasado unos dos mil años. Cosas dOlaf y Jim abandonaron la Tierra en el año 2158, pero cuando regresan, se llevan la desagradable sorpresa de que han pasado unos dos mil años. Cosas del espacio-tiempo. Sin embargo ambos se lo toman como una aventura. ¿Cómo serán los hombres y las ciudades de este futuro tan lejano, qué cambios habrá habido? Al aterrizar parece que nadie responde a las llamadas de los dos astronautas, hasta que se presentan unos humanos comportándose como robots, segregados en grupos: psíquicos, musculares, interpretativos, etc. Las mujeres fueron erradicadas hace siglos, y ahora se “fabrican” personas con una especie de caldo embrionario. Cuando se les comunica que ellos también serán convertidos en humanoides serviles, sólo les queda huir hacia África, donde quedan los últimos humanos verdaderos.‘Regreso al futuro’ (1959), de Law Space (Enrique Sánchez Pascual), es uno de esos bolsilibros con ideas interesantes, que bien podría haber sido publicado en una revista de ciencia ficción estadounidense o inglesa, para que digan que en España no se hacía buena ciencia ficción. Y eso que son bolsilibros o novelas cortas, escritas con plazos infernales. Hay autores que llegaban a escribir cinco en un mes. Por supuesto, hay de todo, pero con ciertos autores, juegas sobre seguro. Este título en concreto está bastante bien, pero el escritor tiene aún mejores historias....more",Notes are private!,0,4,1,"Jun 09, 2021","Jun 11, 2021","Jun 09, 2021",,Bolsilibro,view (with text),/book/show/58300335-regreso-al-futuro
595,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Asteroide,"Milk, Louis G.",,,,152        pp,4.00,2,1967,1967,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"El coronel Kubeck está realizando trabajos de prospección en la superficie de AR-5-002, rica en petrovio, perteneciente a la Federación Psarkis. Sin eEl coronel Kubeck está realizando trabajos de prospección en la superficie de AR-5-002, rica en petrovio, perteneciente a la Federación Psarkis. Sin embargo acaba de recibir un ultimátum por parte del nuevo cónsul: debe abandonar, tanto él como sus hombres, el asteroide, o serán destruidos. Es entonces cuando al capitán César Walter se le encomienda la difícil misión de salvar a Kubeck y sus hombres, que están asediados, así como de convencer al nuevo cónsul. A esto se suma otro problema, y es que hay más competidores por la obtención del tan preciado petrovio del asteroide.‘Asteroide’, de Louis G. Milk (Luis García Lecha), es una novela corta con una buena trama de espionaje y ciencia ficción. Está bien llevada y no aburre....more",Notes are private!,0,7,1,"Jun 09, 2021","Jun 12, 2021","Jun 09, 2021",,Bolsilibro,view (with text),/book/show/58300320-asteroide
596,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Espada y brujería,"Ryan, Lem*",,,,94        pp,2.80,5,1983,1983,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"El guerrero Katham es asaltado por un grupo de ladrones que pretenden venderlo como esclavo. Tras demostrar su pericia en la lucha con uno de los ladrEl guerrero Katham es asaltado por un grupo de ladrones que pretenden venderlo como esclavo. Tras demostrar su pericia en la lucha con uno de los ladrones, el jefe decide convencerle para que se una a ellos, algo que rechazará de primeras, aunque la joven Daria le hará cambiar de idea.‘Espada y brujería’ (1983), de Lem Ryan (Francisco Javier Miguel Gómez), es una historia del género que indica el propio título, al que dedica una pequeña explicación en el prólogo. Siendo un bolsilibro entretenido, creo que le falta algo más de ritmo....more",Notes are private!,0,6,1,"Jun 08, 2021","Jun 10, 2021","Jun 08, 2021",,Bolsilibro,view (with text),/book/show/58293884-espada-y-brujer-a
597,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Regreso del futuro,"Kapra, Peter",,,,128        pp,3.00,1,1971,1971,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"La historia comienza con una introducción del propio Peter Kapra (Pedro Guirao Hernández), donde habla de la novela de H.G. Wells ‘La máquina del tiemLa historia comienza con una introducción del propio Peter Kapra (Pedro Guirao Hernández), donde habla de la novela de H.G. Wells ‘La máquina del tiempo’, así como de las posibilidades de un viaje en el tiempo. Tras este inicio, comienza la novela corta, donde se nos presenta a Conrad Wienner, ya un anciano, el último superviviente de su nave interplanetaria, que lleva cincuenta y seis años de viaje, y que anda perdida y sin rumbo. Por fin, parece que está llegando de nuevo al Sistema Solar y a la Tierra, donde le será comunicado que han pasado casi dos millones de años desde que salió de en su viaje. Pero, ¿cómo serán estos nuevos seres humanos del futuro?Buena historia, como casi todas las de este autor. No hay aventuras per se, pero es una lectura amena e interesante....more",Notes are private!,0,9,1,"Jun 08, 2021","Jun 09, 2021","Jun 08, 2021",,Bolsilibro,view (with text),/book/show/58293871-regreso-del-futuro
598,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Robinsones del cerebro,"Carrados, Clark",,,,128        pp,4.00,1,unknown,1968,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Muy entretenido bolsilibro, o novela corta, donde un millonario, Duttweiler, subvenciona el invento del profesor Robles, una máquina reductora. Todo eMuy entretenido bolsilibro, o novela corta, donde un millonario, Duttweiler, subvenciona el invento del profesor Robles, una máquina reductora. Todo el principio es un poco locura, locura maravillosa, sucediéndose un par de giros inesperados. Cómo no, es inevitable mientras lees la historia pensar en Viaje alucinante, aunque la trama transcurre por otros derroteros. ...more",Notes are private!,0,5,1,"Jun 07, 2021","Jun 09, 2021","Jun 07, 2021",,Bolsilibro,view (with text),/book/show/58283029-robinsones-del-cerebro
599,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,El miedo embotellado,"Luger, Keith",,,,126        pp,3.00,1,1965,1965,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Raymond Duc, agente del Deuxième Bureau, está de misión en Nassau, islas Bahamas. Es un agente excepcional, capaz de hacer frente a cualquier peligro,Raymond Duc, agente del Deuxième Bureau, está de misión en Nassau, islas Bahamas. Es un agente excepcional, capaz de hacer frente a cualquier peligro, y con el don de enamorar a cualquier mujer. Su misión consiste en encontrarse con una mujer, con contraseña incluida, que le dará una información de suma importancia. Tras una serie de tiroteos que intentaban sabotear dicho encuentro, Raymond comprobará que tras esta misión se oculta algo peligroso y extraordinario.‘El miedo embotellado’ (1965), de Keith Luger (Miguel Oliveros Tovar), es una novela corta protagonizada por un personaje guasón y cínico, que intenta hacer humor en cualquier situación. Esto a veces es divertido y otras queda un tanto forzado. Es una buena historia de espías, con megalómano de por medio… y ¡hormigas gigantes!...more",Notes are private!,0,9,1,"Jun 06, 2021","Jun 07, 2021","Jun 06, 2021",,Bolsilibro,view (with text),/book/show/58270438-el-miedo-embotellado
600,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,El Terror de Noroda,"Ryan, Lem*",,,B00FO9CPQY,96        pp,3.67,3,"Oct 07, 2013","Oct 07, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Empieza muy bien, con un planeta, Noroda, similar al Japón feudal, donde la población se comporta como la antigua sociedad samurai. Hay algo de tecnolEmpieza muy bien, con un planeta, Noroda, similar al Japón feudal, donde la población se comporta como la antigua sociedad samurai. Hay algo de tecnología, mezclado con katanas e incluso dragones como montura, todo ello interesante. Pero algo azota a la población de Yuma, el Terror, que aparece repentinamente, incendiando y matando. Al principio no se dan demasiadas descripciones de este Terror, que poco a poco está acabando con la población. Es entonces cuando el señor de la ciudad manda una misión de reconocimiento para comprobar si en las ciudades vecinos hay supervivientes.La historia pinta bien, y está bien escrita, pero ese final me ha dejado un poco descolocado, que seguro que es lo que pretendía el autor. Recomendable....more",Notes are private!,0,11,1,"Jun 05, 2021","Jun 07, 2021","Jun 05, 2021",,Kindle Edition,view (with text),/book/show/18632933-el-terror-de-noroda
