,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Patty's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A History of the World in 12 Maps,"Brotton, Jerry",0670023396,9780670023394,0670023396,521        pp,3.75,"1,638","Sep 06, 2012","Nov 14, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Hardcover,view,/book/show/17674972-a-history-of-the-world-in-12-maps
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lager Queen of Minnesota,"Stradal, J. Ryan*",0399563059,9780399563058,0399563059,349        pp,4.01,"41,211",Jul 2019,"Jul 23, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was so much fun!For me, the conversation Diane has with the customer who wants to know ""what do you have that tastes like Blue Moon?"" still makesThis was so much fun!For me, the conversation Diane has with the customer who wants to know ""what do you have that tastes like Blue Moon?"" still makes me crack up when I think about it. And don't get me started on the grandmothers. What a hoot!Pick this up and enjoy like a cool lager after mowing the lawn. Nothing better....more",Notes are private!,0,1,1,not set,"Mar 23, 2024","Mar 27, 2024",,Hardcover,view (with text),/book/show/42203363-the-lager-queen-of-minnesota
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chasing the Scream: The First and Last Days of the War on Drugs,"Hari, Johann",1620408929,,B00OZM4ANM,408        pp,4.50,"19,046","Jan 15, 2015","Jan 20, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This is a fascinating look at the war on drugs and the war for drugs. It has opened my eyes to see and think differently about the facts I thought I kThis is a fascinating look at the war on drugs and the war for drugs. It has opened my eyes to see and think differently about the facts I thought I knew about drugs and addiction. Some of the topics are: how/why did it all start; why prohibition didn't and doesn't work; why haven't nicotine patches solved cigarette addiction; what about the $$ involved in all aspects; are all drugs the same; and what approach really works.Great read or listen....more,Notes are private!,0,0,1,not set,"Mar 21, 2024","Mar 27, 2024",,Kindle Edition,view (with text),/book/show/24379960-chasing-the-scream
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Caretaker,"Rash, Ron*",0385544278,9780385544276,0385544278,252        pp,4.23,"4,627","Sep 26, 2023","Sep 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2024",,Hardcover,view,/book/show/75500179-the-caretaker
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Clockmaker's Daughter,"Morton, Kate*",1451649398,9781451649390,1451649398,485        pp,3.75,"97,442",Sep 2018,"Oct 09, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2024",,Hardcover,view,/book/show/38530939-the-clockmaker-s-daughter
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House Is on Fire,"Beanland, Rachel*",1982186151,9781982186159,1982186151,384        pp,4.11,"15,501","Apr 04, 2023","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2024",,Paperback,view,/book/show/176443448-the-house-is-on-fire
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Angel of Indian Lake        (The Indian Lake Trilogy, #3)","Jones, Stephen Graham*",1668011662,9781668011669,1668011662,455        pp,4.42,"1,019","Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Hardcover,view,/book/show/178019710-the-angel-of-indian-lake
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,By Any Other Name,"Picoult, Jodi*",059349721X,9780593497210,059349721X,544        pp,4.29,52,"Aug 20, 2024","Aug 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Hardcover,view,/book/show/203164368-by-any-other-name
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Outlaw Noble Salt,"Harmon, Amy*",1662514441,9781662514449,B0CDD8DT54,364        pp,4.64,289,"Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Kindle Edition,view,/book/show/195511946-the-outlaw-noble-salt
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Mercies: A Detective Mystery,"Lehane, Dennis*",006212949X,9780062129499,006212949X,320        pp,4.31,"43,577","Apr 25, 2023","Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 17, 2024",,Paperback,view,/book/show/181110007-small-mercies
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tell Me Everything,"Strout, Elizabeth*",0593446097,9780593446096,0593446097,336        pp,4.60,20,unknown,"Aug 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Hardcover,view,/book/show/204811915-tell-me-everything
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Angel Landing,"Hoffman, Alice*",,,B00N5E57EM,338        pp,3.35,"1,954",1980,"Sep 23, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Not rating since I DNF'ed this book.I typically enjoy books by Alice Hoffman, but this time there did not seem to be any sense of urgency. Also, thereNot rating since I DNF'ed this book.I typically enjoy books by Alice Hoffman, but this time there did not seem to be any sense of urgency. Also, there were no sympathetic characters. Stopped at 53%....more",Notes are private!,0,0,1,not set,"Mar 09, 2024","Mar 13, 2024",,Kindle Edition,view (with text),/book/show/24500725-angel-landing
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Almost Surely Dead,"Akhtar, Amina",1662507593,9781662507595,B0C958T71V,298        pp,3.71,"13,931","Feb 06, 2024","Feb 01, 2024",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I can't believe that after giving Kismet my first one-star rating ever, I found myself reading a second book by Ms. Akhtar. I don't think I'll make thI can't believe that after giving Kismet my first one-star rating ever, I found myself reading a second book by Ms. Akhtar. I don't think I'll make that choice again. ...more",Notes are private!,0,0,1,not set,"Mar 07, 2024","Mar 13, 2024",,Kindle Edition,view (with text),/book/show/180320288-almost-surely-dead
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Left Hand of Darkness,"Le Guin, Ursula K.",,,,320        pp,4.10,"181,959",1969,"Jul 01, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Kindle Edition,view,/book/show/25837084-the-left-hand-of-darkness
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Unknown Beloved,"Harmon, Amy*",1542033829,9781542033824,B09F3BV9YF,413        pp,4.34,"15,957","Apr 19, 2022","Apr 19, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Eliot Ness and Mike Malone together again to solve the Cleveland Torso murders.The Cleveland Torso murders were real. Most of the story is made up, buEliot Ness and Mike Malone together again to solve the Cleveland Torso murders.The Cleveland Torso murders were real. Most of the story is made up, but I didn't care. Ms. Harmon does so much research into historical fiction, I have come to trust her. She also does a nice job in the author's notes of explaining what is history and what is fiction. Also, I was in the mood for a sweet love story. ...more",Notes are private!,0,0,1,not set,"Mar 05, 2024","Mar 11, 2024",,Kindle Edition,view (with text),/book/show/58769587-the-unknown-beloved
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Killing on the Hill,"Dugoni, Robert*",1662500246,9781662500244,B0C9R8JFN3,352        pp,4.29,51,"Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Kindle Edition,view,/book/show/181840722-a-killing-on-the-hill
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Were the Lucky Ones,"Hunter, Georgia*",0399563091,9780399563096,0399563091,416        pp,4.41,"151,487","Feb 14, 2017","Jan 02, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Paperback,view,/book/show/35414514-we-were-the-lucky-ones
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,1491: New Revelations of the Americas Before Columbus,"Mann, Charles C.",1400032059,9781400032051,1400032059,563        pp,4.05,"87,043","Aug 09, 2005","Oct 10, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Paperback,view,/book/show/39020.1491
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In the Heart of the Linden Wood,"Garg, Ekta R.*",,,B0BTS1FPDZ,368        pp,3.67,51,unknown,"Feb 07, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Any time I am fortunate enough to meet an author prior to reading their book, I count it as a plus. I met the author at a holiday market and enjoyed tAny time I am fortunate enough to meet an author prior to reading their book, I count it as a plus. I met the author at a holiday market and enjoyed talking to her. The book was enjoyable and I was engaged in the quest. Probably my only complaint was there was a little too much backstory and a little too little quest adventure. Altogether an interesting read. I'll probably get her other book and give it a try as well....more",Notes are private!,0,0,1,not set,"Mar 03, 2024","Mar 05, 2024",,Kindle Edition,view (with text),/book/show/121543513-in-the-heart-of-the-linden-wood
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Life in Five Senses: How Exploring the Senses Got Me Out of My Head and Into the World,"Rubin, Gretchen*",,,B0B6Z5LGYW,252        pp,3.72,"6,059","Apr 18, 2023","Apr 18, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 rounded upThis book made me think about how often I just glide through my day without noticing much at all. Since reading it, I have become more a3.5 rounded upThis book made me think about how often I just glide through my day without noticing much at all. Since reading it, I have become more aware of sights and smells in particular. Maybe not so much on the other senses. It got a little preachy at times. It also was a little off-putting that there are people who can arrange their schedule to visit the Met everyday. Really? Not very realistic in my world, but I get the point....more",Notes are private!,0,0,1,not set,Mar 2024,"Mar 05, 2024",,Kindle Edition,view (with text),/book/show/74834675-life-in-five-senses
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Demon of Unrest: A Saga of Hubris, Heartbreak, and Heroism at the Dawn of the Civil War","Larson, Erik*",0385348746,9780385348744,0385348746,592        pp,4.31,68,"Apr 30, 2024","Apr 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 04, 2024",,Hardcover,view,/book/show/195608683-the-demon-of-unrest
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Eyes and the Impossible,"Eggers, Dave",1524764205,9781524764203,1524764205,256        pp,4.26,"5,193","May 09, 2023","May 09, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2024",,Hardcover,view,/book/show/62667934-the-eyes-and-the-impossible
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wishing Game,"Shaffer, Meg*",0593598857,9780593598856,0593598857,320        pp,4.13,"103,579","May 30, 2023","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2024",,Paperback,view,/book/show/202907373-the-wishing-game
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Romantic Comedy,"Sittenfeld, Curtis*",039959096X,9780399590962,039959096X,352        pp,3.66,"176,255","Apr 04, 2023","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2024",,Paperback,view,/book/show/203227876-romantic-comedy
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kismet,"Akhtar, Amina",1713663449,9781713663447,1713663449,unknown,3.51,"8,881","Aug 01, 2022","Aug 01, 2022",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"**spoiler alert** Anyone who has read previous s knows I don't give out low ratings easily. If I DNF, I don't rate in case the book redeems itse**spoiler alert** Anyone who has read previous s knows I don't give out low ratings easily. If I DNF, I don't rate in case the book redeems itself at the end...I'll never know.This book I did not have the sense to quit.The talking ravens started out being kind of fun, then they were silly, then they were annoying. The characters were plastic and stereotyped. And the ending stunk...you can't figure out who the killer is because everyone is a killer. Are you kidding me?I did not listen to an audio CD, but the audible recording. I wish I could have those hours back....more",Notes are private!,0,0,1,not set,"Feb 26, 2024","Feb 29, 2024",,Audio CD,view (with text),/book/show/59705961-kismet
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Pact,"Picoult, Jodi*",,,B001KDQ4KQ,397        pp,4.03,"308,172","Apr 22, 1998",unknown,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was a powerful book.I strongly advise NOT to read it if teenage suicide is a trigger. That is not a spoiler. It is at the very beginning and is pThis was a powerful book.I strongly advise NOT to read it if teenage suicide is a trigger. That is not a spoiler. It is at the very beginning and is pervasive throughout the book.I felt this difficult subject was handled well and for me, it was insightful. I'm certain some of the statistics referred to have only increased since it was written. ...more",Notes are private!,0,0,1,not set,"Feb 22, 2024","Feb 29, 2024",,Kindle Edition,view (with text),/book/show/59354408-the-pact
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Boundary Waters        (Cork O'Connor, #2)","Krueger, William Kent*",,,B003BRBCFG,420        pp,4.10,"24,525","May 01, 1999","Mar 11, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I might end up going through all 500 Cork O'Connor stories one by one. This is rare for me. So...the things I like about this one... 1. You don't knowI might end up going through all 500 Cork O'Connor stories one by one. This is rare for me. So...the things I like about this one... 1. You don't know who you can trust2. Cork is a character with strong midwestern values I feel a certain affinity to3. I love the way that Native American culture, stories, wisdom are incorporated into the plot lineAs with many adventure stories, it gets a little unrealistic near the conclusion, but with these I don't seem to mind too much. ...more",Notes are private!,0,0,1,not set,"Feb 20, 2024","Feb 29, 2024",,Kindle Edition,view (with text),/book/show/8555570-boundary-waters
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wide Wide Sea: Imperial Ambition, First Contact and the Fateful Final Voyage of Captain James Cook","Sides, Hampton",0385544766,9780385544764,0385544766,432        pp,4.47,36,"Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Hardcover,view,/book/show/191746386-the-wide-wide-sea
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Rooted: Life at the Crossroads of Science, Nature, and Spirit","Haupt, Lyanda Lynn*",,,B091Z7B56F,unknown,4.05,"2,858","May 04, 2021","May 04, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Not rating because DNF.In theory, this sounds right up my alley. In reality, it was too far out there for my tastes.",Notes are private!,0,0,1,not set,"Feb 14, 2024","Feb 19, 2024",,Audible Audio,view (with text),/book/show/60165871-rooted
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Epiphany: The Season of Glory,"Rutledge, Fleming",1514000385,9781514000380,1514000385,176        pp,4.40,176,unknown,"Nov 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Hardcover,view,/book/show/123604468-epiphany
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Black Widow,"Olsen, Gregg*",1837904545,9781837904549,B0C5JX6JH2,370        pp,3.76,"4,126","Jan 01, 1998","Jul 13, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5Interesting, but a little repetitive. Men...if a woman has been married several times and two of her husbands have had ""accidents""...big red flag. 3.5Interesting, but a little repetitive. Men...if a woman has been married several times and two of her husbands have had ""accidents""...big red flag. Just saying. ...more",Notes are private!,0,0,1,not set,"Feb 07, 2024","Feb 15, 2024",,Kindle Edition,view (with text),/book/show/156956230-american-black-widow
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sentence,"Erdrich, Louise",006267112X,9780062671127,006267112X,387        pp,3.96,"68,602","Nov 09, 2021","Nov 09, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.5Unlike other books I've read set during the pandemic, this one takes it and other hard topics from that timeframe head on...George Floyd, rioting, 4.5Unlike other books I've read set during the pandemic, this one takes it and other hard topics from that timeframe head on...George Floyd, rioting, Native American rights, etc. And it takes them on well.I also loved that it was set in a bookstore with a ghost or two haunting one of the employees. The explanation/resolution for the haunting was also handled well. Lastly, finding out that the audio version had a pdf of the ""Totally Biased List of Tookie's Favorite Books"" clinched the rating for me. I have loved ing the list for ones I've already read (and also loved) and ones I look forward to reading in the future. ...more",Notes are private!,0,1,1,not set,"Feb 04, 2024","Feb 15, 2024",,Hardcover,view (with text),/book/show/56816904-the-sentence
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The County Line,"Weddle, Steve",1662515251,9781662515255,B0BZT83MKD,299        pp,3.44,"2,314","Feb 01, 2024","Feb 01, 2024",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was my first DNF of the year. At 40% in, I could clearly see where it was heading and I just didn't care about any of the characters. Not for me.This was my first DNF of the year. At 40% in, I could clearly see where it was heading and I just didn't care about any of the characters. Not for me....more",Notes are private!,0,0,1,not set,"Jan 20, 2024","Feb 13, 2024",,Kindle Edition,view (with text),/book/show/136968522-the-county-line
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Change,"Miller, Kirsten*",0008494673,,B09QPWSW88,475        pp,4.10,"41,022","May 03, 2022","Aug 18, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book came to my attention from a former co-worker. Basically, there are 3 women who begin to have super powers as they go through ""the change"". LThis book came to my attention from a former co-worker. Basically, there are 3 women who begin to have super powers as they go through ""the change"". Lots of tongue-in-cheek humor and quite a bit of man-bashing. I made the assumption it was all done in fun. This book will not change your life. It will not even make going through ""the change"" easier. But it might make you laugh out loud, which to me is worth it....more",Notes are private!,0,0,1,not set,"Jan 17, 2024","Feb 13, 2024",,Kindle Edition,view (with text),/book/show/61164006-the-change
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Weyward,"Hart, Emilia",1250842727,9781250842725,1250842727,416        pp,4.09,"139,976","Feb 02, 2023","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2024",,Paperback,view,/book/show/127280850-weyward
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Year of Living Constitutionally: One Man's Humble Quest to Follow the Constitution's Original Meaning,"Jacobs, A.J.*",0593136748,9780593136744,0593136748,304        pp,4.23,22,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 09, 2024",,Hardcover,view,/book/show/195888511-the-year-of-living-constitutionally
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Brooklyn        (Eilis Lacey, #1)","Tóibín, Colm",1501106473,9781501106477,1501106473,288        pp,3.70,"113,326","Apr 29, 2009","Sep 08, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 09, 2024",,Paperback,view,/book/show/23492483-brooklyn
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Have Some Questions for You,"Makkai, Rebecca*",0593490169,9780593490167,0593490169,464        pp,3.62,"101,886","Feb 21, 2023","Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 06, 2024",,Paperback,view,/book/show/202514144-i-have-some-questions-for-you
