,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Ioana's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Once Upon a River,"Setterfield, Diane*",0743298071,9780743298070,0743298071,464        pp,3.95,"90,185","Dec 03, 2018","Dec 04, 2018",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,6,1,not set,Jan 2019,"Dec 31, 2019",,Hardcover,view,/book/show/40130093-once-upon-a-river
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dreamers,"Walker, Karen Thompson*",0812994167,9780812994162,0812994167,303        pp,3.63,"40,802","Jan 15, 2019","Jan 15, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,Hardcover,view,/book/show/34409176-the-dreamers
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Miraculum,"Post, Steph*",1947993410,9781947993419,1947993410,320        pp,3.54,688,"Jan 22, 2019","Jan 22, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,Hardcover,view,/book/show/41037463-miraculum
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Kremlin Conspiracy        (Marcus Ryker, #1)","Rosenberg, Joel C.*",1496406176,9781496406170,1496406176,470        pp,4.28,"10,657","Mar 06, 2018","Mar 06, 2018",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,Hardcover,view,/book/show/35605702-the-kremlin-conspiracy
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Golden State,"Winters, Ben H.*",0316505412,9780316505413,0316505412,323        pp,3.48,"7,671","Jan 22, 2019","Jan 22, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,not setnot set,Jan 2019not set,"Dec 31, 2019",,Hardcover,view,/book/show/39599913-golden-state
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Breaking the Habit of Being Yourself: How to Lose Your Mind and Create a New One,"Dispenza, Joe",1401938086,9781401938086,1401938086,329        pp,4.13,"25,838","Feb 15, 2012","Jan 01, 2012",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,Hardcover,view,/book/show/12951631-breaking-the-habit-of-being-yourself
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Witch Elm,"French, Tana*",0735224641,9780735224643,0735224641,509        pp,3.57,"99,146","Oct 09, 2018","Jul 30, 2019",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,Paperback,view,/book/show/46007673-the-witch-elm
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Girl Made of Stars,"Blake, Ashley Herring",1328476693,9781328476692,,304        pp,4.20,"27,368","May 15, 2018","May 15, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,ebook,view,/book/show/31351689-girl-made-of-stars
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Current,"Johnston, Tim*",1616208899,,B079VW5WMB,352        pp,3.63,"7,893","Jan 22, 2019","Jan 22, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,not setnot set,Jan 2019not set,"Dec 31, 2019",,Kindle Edition,view,/book/show/36387759-the-current
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Where the Crawdads Sing,"Owens, Delia*",0735219117,9780735219113,,384        pp,4.39,"2,989,064","Aug 14, 2018","Aug 14, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,not setnot set,Jan 2019not set,"Dec 31, 2019",,ebook,view,/book/show/36809135-where-the-crawdads-sing
