,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Sajda's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wrong Place Wrong Time,"McAllister, Gillian*",0063252341,9780063252349,0063252341,416        pp,4.01,"305,317","May 12, 2022","Aug 02, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 03, 2024","Feb 10, 2024","Feb 03, 2024",,Hardcover,view,/book/show/59947696-wrong-place-wrong-time
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Good Material,"Alderton, Dolly",0241523672,9780241523674,0241523672,345        pp,4.02,"62,249","Nov 07, 2023","Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 31, 2024",,Paperback,view,/book/show/96177629-good-material
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Keep House While Drowning: A Gentle Approach to Cleaning and Organizing,"Davis, K.C.",,,B09JPHQZQZ,156        pp,4.26,"49,652","Apr 26, 2022","Apr 26, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 12, 2024","Jan 19, 2024","Jan 12, 2024",,Kindle Edition,view,/book/show/60139504-how-to-keep-house-while-drowning
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Behind You Is the Sea,"Darraj, Susan Muaddi*",0063324237,9780063324237,0063324237,256        pp,4.18,"1,391","Jan 16, 2024","Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Hardcover,view,/book/show/134221617-behind-you-is-the-sea
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Manacled,SenLinYu,,,,925        pp,4.65,"78,508","Apr 27, 2018","Apr 27, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2024",,Hardcover,view,/book/show/52122096-manacled
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Enter Ghost,"Hammad, Isabella*",080216238X,9780802162380,080216238X,336        pp,4.08,"2,102","Apr 04, 2023","Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2024",,Hardcover,view,/book/show/59725231-enter-ghost
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ruthless Vows        (Letters of Enchantment, #2)","Ross, Rebecca*",1250857457,9781250857453,1250857457,432        pp,4.15,"149,207","Dec 26, 2023","Dec 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 30, 2023",,Hardcover,view,/book/show/127280062-ruthless-vows
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cultish: The Language of Fanaticism,"Montell, Amanda*",0062993151,9780062993151,0062993151,309        pp,3.87,"79,229","Jun 15, 2021","Jun 15, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 30, 2023",,Hardcover,view,/book/show/55338982-cultish
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Very Secret Society of Irregular Witches,"Mandanna, Sangu*",059343935X,9780593439357,059343935X,318        pp,4.12,"158,537","Aug 23, 2022","Aug 23, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 30, 2023",,Paperback,view,/book/show/60018635-the-very-secret-society-of-irregular-witches
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Burnout,"Kinsella, Sophie*",0593730399,9780593730393,0593730399,416        pp,3.71,"33,302","Oct 10, 2023","Oct 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 30, 2023","Dec 30, 2023","Dec 30, 2023",,Hardcover,view,/book/show/131120162-the-burnout
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rich As F*ck: More Money Than You Know What to Do With,"Frances, Amanda",,,B08QY57GFY,278        pp,4.32,"2,020",unknown,"Dec 17, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 06, 2023",,Kindle Edition,view,/book/show/56323497-rich-as-f-ck
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On Becoming a Person: A Therapist's View of Psychotherapy,"Rogers, Carl R.",039575531X,9780395755310,039575531X,420        pp,4.16,"16,758",1961,"Sep 07, 1995",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 06, 2023",,Paperback,view,/book/show/174879.On_Becoming_a_Person
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Temple Folk,"Bilal, Aaliyah",1982191813,9781982191818,1982191813,256        pp,3.77,968,"Jul 04, 2023","Jul 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 15, 2023",,Hardcover,view,/book/show/62919865-temple-folk
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ethnic Cleansing of Palestine,"Pappé, Ilan",1851684670,9781851684670,1851684670,320        pp,4.52,"6,645",2006,"Nov 01, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 01, 2023",,Hardcover,view,/book/show/57540.The_Ethnic_Cleansing_of_Palestine
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Change,"Miller, Kirsten*",0063144042,9780063144040,0063144042,480        pp,4.10,"41,027","May 03, 2022","May 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Nov 2023,not set,"Nov 01, 2023",,Hardcover,view,/book/show/59030015-the-change
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Likely Story,"Abramson, Leigh McMullan",1982199245,9781982199241,1982199245,352        pp,3.65,"3,941","Mar 14, 2023","Mar 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 22, 2023",,Hardcover,view,/book/show/61273862-a-likely-story
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Fragile Threads of Power        (Threads of Power, #1)","Schwab, V.E.*",0765387492,9780765387493,0765387492,648        pp,4.34,"23,687","Sep 26, 2023","Sep 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 17, 2023",,Hardcover,view,/book/show/111673828-the-fragile-threads-of-power
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Legends & Lattes        (Legends & Lattes, #1)","Baldree, Travis*",,,B0B3755RV9,296        pp,4.14,"184,666","Feb 22, 2022","Jun 07, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 17, 2023","Oct 17, 2023","Oct 17, 2023",,Kindle Edition,view,/book/show/61242426-legends-lattes
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Imogen, Obviously","Albertalli, Becky*",0063045877,9780063045873,0063045877,432        pp,4.26,"18,226","May 02, 2023","May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 06, 2023",,Hardcover,view,/book/show/61896624-imogen-obviously
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lone Women,"LaValle, Victor",052551208X,9780525512080,052551208X,285        pp,3.73,"24,692","Mar 28, 2023","Mar 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 06, 2023",,Hardcover,view,/book/show/60460704-lone-women
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Tainted Cup        (Shadow of the Leviathan, #1)","Bennett, Robert Jackson*",1984820702,9781984820709,1984820702,413        pp,4.36,"7,171","Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 29, 2023",,Hardcover,view,/book/show/150247395-the-tainted-cup
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Unsettled,"Mathis, Ayana*",0525519939,9780525519935,0525519939,336        pp,3.54,"2,170","Sep 25, 2023","Sep 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 29, 2023",,Hardcover,view,/book/show/75665763-the-unsettled
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The New One: Painfully True Stories from a Reluctant Dad,"Birbiglia, Mike",1538701510,9781538701515,1538701510,256        pp,4.06,"6,575","Jun 16, 2020","Jul 14, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 25, 2023",,Hardcover,view,/book/show/52894214-the-new-one
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bright Young Women,"Knoll, Jessica*",1501153226,9781501153228,1501153226,384        pp,4.03,"87,114","Sep 19, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Nov 2023,Nov 2023,"Sep 24, 2023",,Hardcover,view,/book/show/101124639-bright-young-women
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wager: A Tale of Shipwreck, Mutiny and Murder","Grann, David*",0385534264,9780385534260,0385534264,354        pp,4.21,"96,517","Apr 18, 2023","Apr 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 24, 2023",,Hardcover,view,/book/show/61714633-the-wager
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Starling House,"Harrow, Alix E.*",1250799058,9781250799050,1250799058,308        pp,3.86,"67,573","Oct 03, 2023","Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 22, 2023",,Hardcover,view,/book/show/65213595-starling-house
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Promise,"Griffiths, Rachel Eliza",0593241924,9780593241929,,336        pp,4.03,537,"Jul 11, 2023","Jul 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 05, 2023",,Hardcover,view,/book/show/62049684-promise
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Iron Flame        (The Empyrean, #2)","Yarros, Rebecca*",1649374178,9781649374172,1649374178,640        pp,4.35,"921,053","Nov 07, 2023","Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 02, 2023",,Hardcover,view,/book/show/90202302-iron-flame
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Things We Leave Unfinished,"Yarros, Rebecca*",1682815668,9781682815663,1682815668,448        pp,4.30,"140,063","Feb 23, 2021","Feb 23, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 29, 2023",,Paperback,view,/book/show/53137938-the-things-we-leave-unfinished
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fourth Wing        (The Empyrean, #1)","Yarros, Rebecca*",1649374046,9781649374042,1649374046,498        pp,4.59,"1,501,406","May 02, 2023","May 02, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Aug 26, 2023",Sep 2023,"Aug 26, 2023",,Hardcover,view,/book/show/61431922-fourth-wing
