,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Britta's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Collected Poems of Emily Dickinson,"Dickinson, Emily",1593080506,9781593080501,1593080506,400        pp,4.23,"14,967",1924,"Oct 12, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Paperback,view,/book/show/67522.The_Collected_Poems_of_Emily_Dickinson
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Collected Autobiographies of Maya Angelou,"Angelou, Maya",0679643257,9780679643258,0679643257,"1,184        pp",4.23,"2,891","Sep 21, 1995","Sep 21, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Hardcover,view,/book/show/13206.The_Collected_Autobiographies_of_Maya_Angelou
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,African Love Stories: An Anthology,"Aidoo, Ama Ata",0954702360,9780954702366,0954702360,249        pp,3.89,233,"Jan 01, 2006","Dec 19, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Paperback,view,/book/show/1191423.African_Love_Stories
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The New Annotated Frankenstein,"Shelley, Mary",087140950X,9780871409508,,416        pp,3.87,"1,597,457",1818,"Aug 08, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,ebook,view,/book/show/32703815-the-new-annotated-frankenstein
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Annotated Mrs. Dalloway        (The Annotated Books),"Woolf, Virginia",163149676X,9781631496769,163149676X,242        pp,3.79,"306,437","May 14, 1925","Aug 31, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Hardcover,view,/book/show/55298321-the-annotated-mrs-dalloway
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lady Joker, Volume Two","Takamura, Kaoru",1641290293,9781641290296,1641290293,600        pp,4.10,416,Dec 1997,"Oct 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Hardcover,view,/book/show/55784978-lady-joker-volume-two
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lady Joker, Volume One","Takamura, Kaoru",1616957018,9781616957018,1616957018,576        pp,3.59,"1,288",Dec 1997,"Apr 13, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Hardcover,view,/book/show/56572078-lady-joker-volume-one
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Collected Stories,"Mansfield, Katherine",014144181X,9780141441818,014144181X,816        pp,4.15,"2,587",1945,"Mar 29, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Paperback,view,/book/show/598720.The_Collected_Stories
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Almanac of the Dead,"Silko, Leslie Marmon",0140173196,9780140173192,0140173196,763        pp,3.96,"3,033","Nov 01, 1991","Nov 01, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Paperback,view,/book/show/52385.Almanac_of_the_Dead
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cat Brushing,"Campbell, Jane",1529421683,9781529421682,1529421683,256        pp,3.64,"1,079","Aug 16, 2022","Jul 21, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.5*,Notes are private!,0,2,1,Apr 2024,"Apr 10, 2024","Mar 18, 2024",,Hardcover,view (with text),/book/show/61259978-cat-brushing
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ocean's Godori,"Cho, Elaine U.",1638930597,9781638930594,1638930597,352        pp,4.01,69,"Apr 23, 2024","Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Hardcover,view,/book/show/196262577-ocean-s-godori
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Free-Spirited Woman: The London Diaries of Gladys Langford, 1936-1940        (London Record Society, 50)","Malcolmson, Patricia",0900952555,9780900952555,0900952555,231        pp,3.00,3,"Oct 16, 2014","Oct 16, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Hardcover,view,/book/show/21481729-a-free-spirited-woman
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sisters: The Saga of the Mitford Family,"Lovell, Mary S.",0393324141,9780393324143,0393324141,611        pp,3.90,"13,235",2001,"May 20, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Paperback,view,/book/show/23856.The_Sisters
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stone Yard Devotional,"Wood, Charlotte*",1761069497,9781761069499,1761069497,unknown,3.70,"1,806","Oct 03, 2023",2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Paperback,view,/book/show/199309237-stone-yard-devotional
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Details,"Genberg, Ia",0063309718,9780063309715,,128        pp,3.90,"10,001","Jan 07, 2022","Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Hardcover,view,/book/show/63313297-the-details
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Strange Eventful History,"Messud, Claire",039363504X,9780393635041,039363504X,448        pp,3.92,37,unknown,"May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Hardcover,view,/book/show/201187765-this-strange-eventful-history
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Burning Girl,"Messud, Claire",0393356051,9780393356052,0393356051,256        pp,3.25,"12,253","Aug 29, 2017","Jun 05, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Paperback,view,/book/show/36236130-the-burning-girl
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The List of Suspicious Things,"Godfrey, Jennie*",1529153298,9781529153293,1529153298,464        pp,4.40,"2,131","Feb 15, 2024","Feb 15, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Hardcover,view,/book/show/157591205-the-list-of-suspicious-things
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,As Music and Splendour,"O'Brien, Kate",1844880648,9781844880645,1844880648,352        pp,3.55,55,"Jan 01, 1958","Jan 01, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Paperback,view,/book/show/1328092.As_Music_and_Splendour
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Are You Somebody?: The Accidental Memoir of a Dublin Woman,"O'Faolain, Nuala",0805056645,9780805056648,0805056645,224        pp,3.63,"4,954",1996,"Jan 15, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Paperback,view,/book/show/240188.Are_You_Somebody_
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Restless Dolly Maunder,"Grenville, Kate",1922791431,9781922791436,B0C2Y2SW9D,256        pp,4.07,"1,121","Jul 18, 2023","Jul 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Kindle Edition,view,/book/show/135953596-restless-dolly-maunder
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,And Then She Fell,"Elliott, Alicia*",0593473086,9780593473085,0593473086,368        pp,3.96,"1,922","Sep 26, 2023","Sep 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/75500819-and-then-she-fell
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Blue, Beautiful World","Lord, Karen",0593598431,9780593598436,0593598431,256        pp,3.11,430,"Aug 29, 2023","Aug 29, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/63946933-the-blue-beautiful-world
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Brotherless Night,"Ganeshananthan, V.V.*",0812997158,9780812997156,0812997158,348        pp,4.44,"2,025","Jan 03, 2023","Jan 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/60324341-brotherless-night
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nightbloom,"Medie, Peace Adzo",1643752847,9781643752846,1643752847,352        pp,3.96,"1,258","Jun 13, 2023","Jun 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/62874316-nightbloom
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,8 Lives of a Century-Old Trickster,"Lee, Mirinae",0063240424,9780063240421,0063240424,304        pp,3.95,"1,033","May 04, 2023","Jun 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/62949047-8-lives-of-a-century-old-trickster
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Maiden,"Foster, Kate*",1529091721,9781529091724,1529091721,384        pp,4.10,"1,936","Apr 27, 2023","Apr 27, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/63106877-the-maiden
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Western Lane,"Maroo, Chetna",0374607494,9780374607494,0374607494,160        pp,3.53,"5,929","Feb 07, 2023","Feb 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/60784812-western-lane
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"River East, River West","Lescure, Aube Rey",0063257858,9780063257856,0063257858,352        pp,4.04,872,"Jan 09, 2024","Jan 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/127823210-river-east-river-west
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hangman,"Binyam, Maya*",037461007X,9780374610074,037461007X,208        pp,3.71,799,"Aug 08, 2023","Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/62039176-hangman
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ordinary Human Failings,"Nolan, Megan",0316567787,9780316567787,0316567787,224        pp,3.83,"3,624","Jun 15, 2023","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/173403932-ordinary-human-failings
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Trace of Sun,"Williams, Pam",1915643368,9781915643360,B0CFDLN6KQ,389        pp,3.86,83,unknown,"Mar 01, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Kindle Edition,view,/book/show/196230296-a-trace-of-sun
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wren, the Wren","Enright, Anne",1324005688,9781324005681,B0BWGJ8WQB,283        pp,3.58,"5,389","Sep 19, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/77265006-the-wren-the-wren
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Soldier Sailor,"Kilroy, Claire",0571375588,9780571375585,,unknown,4.18,"2,286","May 02, 2023","May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,ebook,view,/book/show/61842212-soldier-sailor
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In Defence of the Act,"Black, Effie*",1739188144,9781739188146,1739188144,182        pp,4.23,314,unknown,"Jul 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Paperback,view,/book/show/156681860-in-defence-of-the-act
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Histories,Herodotus,0670024899,9780670024896,0670024899,880        pp,4.00,"51,629",-430,"May 15, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2024",,Hardcover,view,/book/show/18668001-the-histories
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Les Misérables,"Hugo, Victor",0241248744,9780241248744,0241248744,"1,456        pp",4.20,"797,576",1862,"Mar 08, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2024",,Paperback,view,/book/show/26067902-les-mis-rables
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Young Queens: Three Renaissance Women and the Price of Power,"Chang, Leah Redmond",0374294488,9780374294489,0374294488,416        pp,4.21,619,2023,"Aug 15, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2024",,Hardcover,view,/book/show/62039165-young-queens
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dictionary People: The Unsung Heroes Who Created the Oxford English Dictionary,"Ogilvie, Sarah",0593536401,9780593536407,,368        pp,3.91,643,"Oct 17, 2023","Oct 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2024",,Hardcover,view,/book/show/193544124-the-dictionary-people
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Code Dependent,"Murgia, Madhumita",1529097312,9781529097313,1529097312,0        pp,3.96,56,"Mar 21, 2024",unknown,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,8,1,"Mar 28, 2024","Mar 29, 2024","Feb 17, 2024",,Paperback,view,/book/show/209630497-code-dependent
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Flat Place: Moving Through Empty Landscapes, Naming Complex Trauma","Masud, Noreen",1685890245,9781685890247,1685890245,256        pp,4.29,322,unknown,"Jun 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2024",,Paperback,view,/book/show/119028182-a-flat-place
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Matrescence,"Jones, Lucy",0241513480,9780241513484,0241513480,326        pp,4.58,684,unknown,"Jun 22, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2024",,Hardcover,view,/book/show/62217096-matrescence
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shadows At Noon,"Chatterji, Joya",1847925499,9781847925497,1847925499,864        pp,4.37,35,"Jul 13, 2023","Jul 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2024",,Hardcover,view,/book/show/61634087-shadows-at-noon
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Intervals,"Brooker, Marianne*",1804270849,9781804270844,B0CGMFSBSF,192        pp,4.37,60,unknown,"Feb 28, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2024",,Kindle Edition,view,/book/show/197877469-intervals
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Vulture Capitalism: Corporate Crimes, Backdoor Bailouts, and the Death of Freedom","Blakeley, Grace",1982180854,9781982180850,1982180854,384        pp,4.20,65,"Mar 12, 2024","Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2024",,Hardcover,view,/book/show/176443397-vulture-capitalism
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Britannias: An Archipelago's Tale,"Albinia, Alice",0393608557,9780393608557,0393608557,512        pp,3.55,49,unknown,"Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2024",,Hardcover,view,/book/show/150778774-the-britannias
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wifedom: Mrs. Orwell's Invisible Life,"Funder, Anna",0593320689,9780593320686,0593320689,464        pp,4.17,"5,658","Jul 04, 2023","Aug 22, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2024",,Hardcover,view,/book/show/62802741-wifedom
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Some People Need Killing: A Memoir of Murder in My Country,"Evangelista, Patricia",0593133137,9780593133132,0593133137,428        pp,4.21,"2,991","Oct 17, 2023","Oct 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2024",,Hardcover,view,/book/show/124961437-some-people-need-killing
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Birdie,"Lindberg, Tracey",1554682940,9781554682942,1554682940,288        pp,3.68,"5,275","May 26, 2015","May 26, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 14, 2024",,Hardcover,view,/book/show/23590716-birdie
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The World Turned Upside Down: A History of the Chinese Cultural Revolution,"Jisheng, Yang",0374293139,9780374293130,0374293139,768        pp,4.02,265,"Jan 19, 2021","Jan 19, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 14, 2024",,Hardcover,view,/book/show/53317510-the-world-turned-upside-down
60,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Master Slave Husband Wife: An Epic Journey from Slavery to Freedom,"Woo, Ilyon*",1501191055,9781501191053,1501191055,416        pp,4.02,"8,955","Jan 17, 2023","Jan 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2024",,Hardcover,view,/book/show/61272711-master-slave-husband-wife
61,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The End of Drum-Time,"Pylväinen, Hanna",1250822904,9781250822901,1250822904,368        pp,3.95,"2,107","Jan 24, 2023","Jan 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 11, 2024",,Hardcover,view,/book/show/60741781-the-end-of-drum-time
