,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,June's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Creative Act: A Way of Being,"Rubin, Rick",0593652886,9780593652886,0593652886,406        pp,4.08,"32,184","Jan 17, 2023","Jan 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 04, 2024",,Hardcover,view,/book/show/60965426-the-creative-act
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bee Sting,"Murray, Paul",0374600309,9780374600303,0374600309,656        pp,4.01,"32,104","Jun 08, 2023","Aug 15, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 10, 2024",not set,"Jan 31, 2024",,Hardcover,view,/book/show/62039166-the-bee-sting
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Honor,"Umrigar, Thrity",,,B08WK6FPPN,333        pp,4.37,"56,309","Jan 04, 2022","Jan 04, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 13, 2024",Feb 2024,"Jan 13, 2024",,Kindle Edition,view,/book/show/58311385-honor
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sorry Please Thank You,"Yu, Charles*",0307907171,9780307907172,0307907171,222        pp,3.63,"2,762","Jul 24, 2012","Jul 24, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 10, 2023",,Hardcover,view,/book/show/13033941-sorry-please-thank-you
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Pet        (Pet, #1)","Emezi, Akwaeke*",0525647074,9780525647072,0525647074,208        pp,4.16,"29,562","Sep 10, 2019","Sep 10, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 10, 2023",,Hardcover,view,/book/show/43568395-pet
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Great Believers,"Makkai, Rebecca*",073522353X,9780735223530,073522353X,421        pp,4.28,"135,455","Jun 19, 2018","Jun 04, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 10, 2023",,Paperback,view,/book/show/45304101-the-great-believers
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Happy City: Using a New Science to Heal Broken Cities and Save the World,"Montgomery, Charles",1429969539,9781429969536,1429969539,400        pp,4.37,"7,792","Sep 11, 2012","Nov 12, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 10, 2023",,ebook,view,/book/show/16066815-happy-city
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kaikeyi,"Patel, Vaishnavi*",0759557330,9780759557338,0759557330,478        pp,4.19,"28,066","Apr 26, 2022","Apr 26, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 10, 2023",,Hardcover,view,/book/show/57127277-kaikeyi
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Deacon King Kong,"McBride, James*",073521672X,9780735216723,073521672X,370        pp,4.17,"68,062","Mar 03, 2020","Mar 03, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 14, 2023",,Hardcover,view,/book/show/51045613-deacon-king-kong
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heaven & Earth Grocery Store,"McBride, James*",0593422945,9780593422946,0593422945,380        pp,4.08,"129,325","Aug 08, 2023","Aug 08, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 29, 2023","Dec 07, 2023","Nov 14, 2023",,Hardcover,view,/book/show/65678550-the-heaven-earth-grocery-store
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Man of Two Faces: a Memoir, a History, a Memorial","Nguyen, Viet Thanh*",0802160506,9780802160508,0802160506,400        pp,4.37,"1,609","Oct 03, 2023","Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 05, 2023",,Hardcover,view,/book/show/124948662-a-man-of-two-faces
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rabbit Hutch,"Gunty, Tess",,,,352        pp,3.52,"27,411","Jul 21, 2022","Aug 02, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I love Gunty’s writing style, her take on environmentalism, post industrialism, loneliness in a world full of people, the connectedness of society andI love Gunty’s writing style, her take on environmentalism, post industrialism, loneliness in a world full of people, the connectedness of society and it’s generations. Her ambitious, confident writing style. I love her focus on a city, and how the past impacts it’s generational inhabitants. My only problem is that the book isn’t long enough and a bit abrupt at the end. Would have loved to seen more about the other characters after all the work it took to develop the foreground....more",Notes are private!,0,0,1,"Nov 11, 2023","Nov 14, 2023","Sep 19, 2023",,Hardcover,view (with text),/book/show/59576076-the-rabbit-hutch
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Final Empire        (Mistborn, #1)","Sanderson, Brandon*",,9780765311788,076531178X,541        pp,4.48,"689,236","Jul 17, 2006","Jul 17, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 18, 2023",,Hardcover,view,/book/show/68428.The_Final_Empire
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cloud Cuckoo Land,"Doerr, Anthony*",1982168439,9781982168438,1982168439,626        pp,4.26,"214,131","Sep 28, 2021","Sep 28, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 06, 2023",,Hardcover,view,/book/show/56783258-cloud-cuckoo-land
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Everything and Nothing,"Borges, Jorge Luis",0811214001,9780811214001,0811214001,108        pp,4.38,849,"Apr 01, 1999","Apr 01, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 19, 2023",not set,"Aug 19, 2023",,Paperback,view,/book/show/17945.Everything_and_Nothing
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tolstoy Together: 85 Days of War and Peace with Yiyun Li,"Li, Yiyun",1734590777,9781734590777,,256        pp,4.29,126,"Sep 14, 2021","Sep 14, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 19, 2023",,ebook,view,/book/show/57271721-tolstoy-together
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Life: Growing Up Asian in America,"Entertainment), CAPE (Coalition",1982195355,9781982195359,1982195355,256        pp,4.25,381,"May 17, 2022","May 17, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 19, 2023",,Hardcover,view,/book/show/59441873-my-life
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Lovers in the Night,"Kawakami, Mieko",1609456998,9781609456993,1609456998,224        pp,3.74,"26,236","Oct 13, 2011","May 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 19, 2023",,Hardcover,view,/book/show/59336625-all-the-lovers-in-the-night
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Demon Copperhead,"Kingsolver, Barbara",,,,560        pp,4.51,"397,946","Oct 18, 2022","Oct 18, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 24, 2023","Nov 29, 2023","Aug 15, 2023",,Hardcover,view,/book/show/60194162-demon-copperhead
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ripe,"Etter, Sarah Rose*",1668011638,9781668011638,1668011638,288        pp,3.65,"13,183","Jul 11, 2023","Jul 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 15, 2023",,Hardcover,view,/book/show/62919394-ripe
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Good Lord Bird,"McBride, James*",1594486344,9781594486340,1594486344,417        pp,3.93,"33,446",2013,"Aug 20, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 15, 2023",,Hardcover,view,/book/show/16171272-the-good-lord-bird
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,They Can't Kill Us Until They Kill Us,"Abdurraqib, Hanif",,9781937512651,1937512657,291        pp,4.57,"13,699","Nov 14, 2017","Nov 07, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 15, 2023",,Paperback,view,/book/show/33947154-they-can-t-kill-us-until-they-kill-us
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Philosophy of Walking,"Gros, Frédéric",1781682704,9781781682708,1781682704,228        pp,3.74,"5,293","May 15, 2009","Apr 08, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Read for October book club. We all trashed the book since it was so keenly focused on the white elite intellectual man. I enjoyed some nuggets though Read for October book club. We all trashed the book since it was so keenly focused on the white elite intellectual man. I enjoyed some nuggets though since I’m a wallet and the history on the philosophers. ...more,Notes are private!,0,0,1,Oct 2023,"Oct 19, 2023","Aug 15, 2023",,Hardcover,view (with text),/book/show/18339944-a-philosophy-of-walking
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Map for the Missing,"Tang, Belinda Huijuan*",0593300661,9780593300664,0593300661,400        pp,4.00,"3,765","Aug 09, 2022","Aug 09, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I wanted to like this book (for book club), but it was not a compelling read for me. Too long (it could’ve been a novella?), some parts of the plots fI wanted to like this book (for book club), but it was not a compelling read for me. Too long (it could’ve been a novella?), some parts of the plots feel forced and unnatural, and I just had a hard time feeling motivated to continue. The last quarter of the book redeemed itself- picking up on its emotional force....more",Notes are private!,0,0,1,"Aug 15, 2023","Aug 31, 2023","Aug 12, 2023",,Hardcover,view (with text),/book/show/59900654-a-map-for-the-missing
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beyond The Story: 10-Year Record of BTS,"Kang, Myeongseok",1250326753,9781250326751,1250326753,544        pp,4.66,"8,665","Jul 09, 2023","Jul 09, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 27, 2023",,Hardcover,view,/book/show/123274973-beyond-the-story
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stay True,"Hsu, Hua*",0385547773,9780385547772,0385547773,208        pp,4.04,"27,015","Sep 27, 2022","Sep 27, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I haven’t read a memoir like this. Where you sit in the moments of the author’s past but you feel like you’re reminiscing on one of your own. The frieI haven’t read a memoir like this. Where you sit in the moments of the author’s past but you feel like you’re reminiscing on one of your own. The friendship dynamics, how we view ourself and our righteousness- everything is relatable but Hsu’s experience happened couple decades prior. Also the self wrestling of morality is intricately weaved in which made me reflect a lot about random acts of violence. ...more",Notes are private!,0,3,1,"Aug 31, 2023","Sep 06, 2023","Jul 27, 2023",,Hardcover,view (with text),/book/show/59900070-stay-true
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Banyan Moon,"Thai, Thao",0063267101,9780063267107,0063267101,336        pp,3.93,"21,600","Jun 27, 2023","Jun 27, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 21, 2023",,Hardcover,view,/book/show/62800971-banyan-moon
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,세상의 마지막 기차역,"Murase, Takeshi",,9791191043754,B0B2M8LN3N,324        pp,4.43,28,"Jun 25, 2020","May 11, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2023",,Paperback,view,/book/show/62613483
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Argonauts,"Nelson, Maggie",1555977073,9781555977078,1555977073,160        pp,4.02,"48,696","May 05, 2015","May 05, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 10, 2023",,Hardcover,view,/book/show/22929741-the-argonauts
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Klara and the Sun,"Ishiguro, Kazuo*",,,,418        pp,3.75,"336,731","Mar 02, 2021","Mar 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 10, 2023",,Kindle Edition,view,/book/show/54250259-klara-and-the-sun
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pageboy,"Page, Elliot",,,,271        pp,3.76,"53,621","Jun 06, 2023","Jun 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 10, 2023",,,view,/book/show/60473073-pageboy
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Year of Rest and Relaxation,"Moshfegh, Ottessa",0525522131,9780525522133,0525522131,289        pp,3.64,"395,007","Jul 10, 2018","Jun 25, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 08, 2023",,Paperback,view,/book/show/44279110-my-year-of-rest-and-relaxation
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lost Daughter,"Ferrante, Elena",1933372427,9781933372426,1933372427,140        pp,3.73,"47,025","Jan 01, 2006","Apr 01, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Similar themes, characters, motifs as the Neapolitan quartet. I enjoyed the small novella (very quick and easy to read) and reminiscing on what made tSimilar themes, characters, motifs as the Neapolitan quartet. I enjoyed the small novella (very quick and easy to read) and reminiscing on what made the quartet great. I would still prefer her quartet, but I always enjoy diving into the disturbing, raw emotions she captures- usually she has done this for the full cycle of womanhood, but in this book, she focuses on motherhood. ...more",Notes are private!,0,0,1,"Sep 07, 2023","Sep 14, 2023","Jul 08, 2023",,Paperback,view (with text),/book/show/1058564.The_Lost_Daughter
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,"Brown, Brené*",0399592555,9780399592553,0399592555,301        pp,4.32,"75,768","Nov 30, 2021","Nov 30, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A thorough glossary that gives words to feelings and clarifies them.,Notes are private!,0,0,1,"Jul 06, 2023","Jul 14, 2023","Jul 06, 2023",,Hardcover,view (with text),/book/show/58330567-atlas-of-the-heart
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trust,"Diaz, Hernan*",0593420314,9780593420317,0593420314,402        pp,3.84,"97,414","May 03, 2022","May 03, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Trust starts off as a story about the financial/investment capital and the elite class. It quickly becomes a critique on money, mislead intentions of Trust starts off as a story about the financial/investment capital and the elite class. It quickly becomes a critique on money, mislead intentions of the rich, and the crafted narratives of the ""great men"" of our past. Who do we trust to be the most credible narrator of this book? ...more",Notes are private!,0,0,1,"Aug 12, 2023","Aug 12, 2023","Jul 03, 2023",,Hardcover,view (with text),/book/show/58210933-trust
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Flawless: Lessons in Looks and Culture from the K-Beauty Capital,"Hu, Elise*",0593184181,9780593184189,0593184181,310        pp,4.12,"1,619","May 23, 2023","May 23, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Well researched and fun to read about! Also relatable as a Korean woman.,Notes are private!,0,0,1,"Jun 25, 2023","Jun 26, 2023","Jun 25, 2023",,Hardcover,view (with text),/book/show/62121560-flawless
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Wild Sheep Chase        (The Rat, #3)","Murakami, Haruki",037571894X,9780375718946,037571894X,353        pp,3.94,"125,650","Oct 13, 1982","Apr 09, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 19, 2023",,Paperback,view,/book/show/11298.A_Wild_Sheep_Chase
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Brilliant Life,"Kim, Ae-ran",1250750555,9781250750556,1250750555,208        pp,4.00,"2,197","Jun 20, 2011","Jan 26, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 09, 2023",,Hardcover,view,/book/show/53205917-my-brilliant-life
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I'll Be Right There,"Shin, Kyung-Sook",1590516737,9781590516737,1590516737,325        pp,3.97,"4,271",2010,"Jun 03, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 09, 2023",,Paperback,view,/book/show/18209505-i-ll-be-right-there
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When My Name Was Keoko,"Park, Linda Sue",0440419441,9780440419440,0440419441,199        pp,4.15,"6,984","Mar 18, 2002","Jan 13, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 09, 2023",,Paperback,view,/book/show/613218.When_My_Name_Was_Keoko
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Adult Children of Emotionally Immature Parents: How to Heal from Distant, Rejecting, or Self-Involved Parents","Gibson, Lindsay C.",1626251703,9781626251700,1626251703,201        pp,4.40,"51,552","Jun 01, 2015","Jun 01, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 05, 2023",,Paperback,view,/book/show/23129659-adult-children-of-emotionally-immature-parents
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Yellowface,"Kuang, R.F.*",,,,329        pp,3.80,"428,692","May 25, 2023","May 25, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It was a page turner. I was really curious about the publishing industry! And it satisfied my itch (along w fun things to chew on jealousy, identity aIt was a page turner. I was really curious about the publishing industry! And it satisfied my itch (along w fun things to chew on jealousy, identity authors, and cultural appropriation). ...more",Notes are private!,0,0,1,"May 25, 2023","May 31, 2023","May 25, 2023",,Hardcover,view (with text),/book/show/59357120-yellowface
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sorrow and Bliss,"Mason, Meg*",,,146075722X,352        pp,4.10,"99,754","Sep 02, 2020","Feb 09, 2021",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Just a bit painful to read w no literary excitement for me.,Notes are private!,0,0,1,"May 25, 2023","Jun 20, 2023","May 16, 2023",,Paperback,view (with text),/book/show/49110165-sorrow-and-bliss
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tomorrow, and Tomorrow, and Tomorrow","Zevin, Gabrielle*",,,,418        pp,4.18,"845,551","Jul 05, 2022","Jul 05, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,2,"May 10, 2023May 09, 2023","May 25, 2023May 09, 2023","May 09, 2023",,Kindle Edition,view,/book/show/58916147-tomorrow-and-tomorrow-and-tomorrow
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Parable of the Talents        (Earthseed, #2)","Butler, Octavia E.",0446610380,9780446610384,0446610380,448        pp,4.31,"59,278",1998,"Nov 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 04, 2023",,Mass Market Paperback,view,/book/show/60932.Parable_of_the_Talents
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Brothers Karamazov,"Dostoevsky, Fyodor",,,0374528373,796        pp,4.37,"332,289",1880,"Jun 14, 2002",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Sep 18, 2023","Feb 10, 2024","Mar 22, 2023",,Paperback,view,/book/show/4934.The_Brothers_Karamazov
