,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Jason's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Smart but Scattered Teens: The ""Executive Skills"" Program for Helping Teens Reach Their Potential","Guare, Richard",1609182294,9781609182298,1609182294,293        pp,3.97,947,"Dec 17, 2012","Dec 17, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Mar 04, 2021","Apr 04, 2021","Apr 04, 2021",,Paperback,view,/book/show/15804747-smart-but-scattered-teens
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Too Much and Never Enough: How My Family Created the World’s Most Dangerous Man,"Trump, Mary L.",,,B0881YDNDD,236        pp,3.82,"88,386","Jul 14, 2020","Jul 14, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,6,1,"Jul 16, 2020","Jul 25, 2020","Jul 16, 2020",,Kindle Edition,view,/book/show/54114950-too-much-and-never-enough
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Gentleman in Moscow,"Towles, Amor*",,,0143110438,462        pp,4.33,"543,331","Sep 06, 2016","Mar 26, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Don’t listen to Alex; this book is wonderful. Don’t listen to Alex; this book is wonderful. ...more,Notes are private!,0,18,1,"Jan 18, 2020","Apr 12, 2020","Dec 31, 2019",,Paperback,view (with text),/book/show/34066798-a-gentleman-in-moscow
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,An American Marriage,"Jones, Tayari*",1616201347,9781616201340,1616201347,308        pp,3.94,"358,679","Jan 29, 2018","Feb 06, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 10, 2019","Sep 23, 2019","Sep 10, 2019",,Hardcover,view,/book/show/33590210-an-american-marriage
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sex at Dawn: How We Mate, Why We Stray & What It Means for Modern Relationships","Ryan, Christopher*",0061707813,9780061707810,0061707813,416        pp,3.98,"29,952","Jun 29, 2010","Jul 05, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"My friend found this book intriguing. Couldn’t put it down, he says. I could’ve probably put it down, but I promised him I would read it and read it IMy friend found this book intriguing. Couldn’t put it down, he says. I could’ve probably put it down, but I promised him I would read it and read it I did. In Sex at Dawn, Christopher Ryan lays down a slew of what he believes to be persuasive arguments for our prehistoric ancestors being sexually promiscuous. Considering that we are most closely related to the bonobo (a ‘pygmy chimp’) in the evolutionary sense, he draws parallels between the bonobo’s behavior and anatomical particularities to those of humans in order to suggest that our two species are sociosexually similar, as well. (Not to give anything away, but apparently bonobos are insatiable whores!) The point of Ryan’s point, I guess, is to point out that we humans—as a general rule—commit to monogamous relationships because doing so is socially accepted and expected, but that we may in fact be damaging ourselves and our loved ones by acting in discordance with our innate, biologically-programmed sexual needs.There wasn’t anything I inherently disliked about this book—though the casual language likely meant to foster a ‘connection’ with lay readers leaves something to be desired—I wasn’t interested enough in the subject matter to be swayed by Ryan’s arguments. Even if our prehistoric ancestors were polygamous, what does it matter? Somewhere along the line it became more worthwhile for humans to live in committed, monogamous relationships (whether for social, economic, or perhaps other reasons entirely), and as with any choice made by anyone anywhere ever, it will always be at the expense of something. Perhaps this does leave us more sexually frustrated at times than our ancestors were, but I’d like to believe that the return on this investment provides us a reward that is greater than the sum of our frustrations.At least I fucking hope so....more",Notes are private!,0,34,1,not set,"Jun 29, 2018","Jun 24, 2018",,Paperback,view (with text),/book/show/9522254-sex-at-dawn
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rhode Island Dictionary,"Patinkin, Mark",0924771453,9780924771453,0924771453,128        pp,4.38,13,Nov 1993,"Jan 01, 1993",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 24, 2018",,Paperback,view,/book/show/6332377-the-rhode-island-dictionary
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Immortal Life of Henrietta Lacks,"Skloot, Rebecca*",1400052173,9781400052172,1400052173,370        pp,4.12,"735,155","Feb 02, 2010","Feb 02, 2010",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Mar 2012,"Jan 25, 2017",,Hardcover,view,/book/show/6493208-the-immortal-life-of-henrietta-lacks
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Underground Railroad,"Whitehead, Colson*",0385542364,9780385542364,0385542364,320        pp,4.06,"401,186","Aug 02, 2016","Aug 02, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,8,1,not set,"Apr 20, 2017","Aug 10, 2016",,Hardcover,view,/book/show/30555488-the-underground-railroad
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Man Called Ove,"Backman, Fredrik*",1476738017,9781476738017,,337        pp,4.38,"1,031,674","Aug 27, 2012","Jul 15, 2014",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,"May 19, 2017","Aug 10, 2016",,Hardcover,view,/book/show/18774964-a-man-called-ove
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,House of Sand and Fog,"Dubus III, Andre",0393338118,9780393338119,0393338118,384        pp,3.86,"132,994",1999,"Mar 31, 2011",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Nov 06, 2016","Jun 26, 2016",,Paperback,view,/book/show/7944648-house-of-sand-and-fog
