,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Ronald's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Midnight in the Garden of Good and Evil,"Berendt, John",0679751521,9780679751526,0679751521,386        pp,3.92,"270,280","Jan 13, 1994","Jun 28, 1999",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Clever, creative, crazy, unconventional, and absolutely delightful. Those are some of the words that come to mind after reading Midnight in the GardenClever, creative, crazy, unconventional, and absolutely delightful. Those are some of the words that come to mind after reading Midnight in the Garden of Good and Evil by John Berendt. The author, a former New York magazine editor, lived in Savannah on-and-off for eight years, chronicling the comings-and-goings of socialites, politicians, aristocrats, fun-seekers, drag queens, business owners, country lawyers, history buffs, and voodoo devotees. Most prominently, he showcases a murder case that mesmerizes the community and lets many of these actors perform in their natural setting, Savannah, a city that, he concludes, has only one motive: to preserve a way of life that it felt was under siege from all directions. Berendt sums up this way:  The city looked inward, sealed off from the noises and distractions of the world at large. It grew inward too, and in such a way that its people flourished like hothouse plants tended by an indulgent gardener. The ordinary became extraordinary. Eccentrics thrived. Every nuance and quirk of personality achieved greater brilliance in that lush enclosure....""  Berendt put together a remarkable book. It is well worth your time....more",Notes are private!,0,2,1,"May 30, 2022","Jun 04, 2022","Jun 04, 2022",,Paperback,view (with text),/book/show/386187.Midnight_in_the_Garden_of_Good_and_Evil
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Unquiet Dead,"Murphy, Stacie*",,,B0984JBS44,287        pp,4.04,162,"Apr 05, 2022","Apr 05, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is not my normal genre, but I got totally taken in by this book. Murphy builds the story beautifully—a love story, inside a murder mystery, all wThis is not my normal genre, but I got totally taken in by this book. Murphy builds the story beautifully—a love story, inside a murder mystery, all wrapped up in a paranormal tale that shines a disturbing light on the racial and economic inequities of the Gilded Age. Murphy is a storyteller. Looking forward to more from her....more",Notes are private!,0,1,2,"Apr 10, 2022not set","May 05, 2022not set","May 05, 2022",,Kindle Edition,view (with text),/book/show/57979389-the-unquiet-dead
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Cry of the Kalahari,"Owens, Mark",0618711880,9780618711888,0618711880,342        pp,4.32,"7,216","Jan 01, 1984","Jan 01, 1984",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I'm not going to write a full  here, but to underscore one point in Cry of the Kalahari. It was fascinating to watch Mark and Delia Owens transfI'm not going to write a full  here, but to underscore one point in Cry of the Kalahari. It was fascinating to watch Mark and Delia Owens transform from naive American college kids looking for a research project to renowned experts/established authors on animal behavior in the Kalahari to advocates for a range of public policies in Africa to protect wildlife. While the Owens' are studying the behavior of animals, we also are witnesses to the behavior of the Owens' as they gain more experience and insight during their six years in the Kalahari. There is much talk in the media and on the web about their behavior after this book was written, and their growing advocacy, but don't let it spoil your enjoyment of an engaging and lovely story. This is a book well worth your time. ...more",Notes are private!,0,1,2,not setnot set,not setnot set,"Apr 25, 2021",,Paperback,view (with text),/book/show/128474.The_Cry_of_the_Kalahari
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Nations: A History of the Eleven Rival Regional Cultures of North America,"Woodard, Colin",0670022969,9780670022960,0670022969,371        pp,4.20,"12,693","Sep 29, 2011","Sep 29, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Aug 17, 2020",,Hardcover,view,/book/show/11140803-american-nations
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dearly,"Atwood, Margaret*",006303249X,9780063032491,006303249X,124        pp,3.74,"13,661","Nov 10, 2020","Nov 10, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 17, 2020",,Hardcover,view,/book/show/50706476-dearly
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Overstory,"Powers, Richard",039335668X,9780393356687,039335668X,502        pp,4.12,"159,514","Apr 03, 2018","Apr 02, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Who can argue with a Pulitzer Prize? Or near poetic prose? Or fabulous detail about what trees are and how they interact? Or stories that crisscross gWho can argue with a Pulitzer Prize? Or near poetic prose? Or fabulous detail about what trees are and how they interact? Or stories that crisscross generations and finally intersect in an intense eco-terrorism subplot? From this perspective, Richard Powers’ The Overstory is perfect.But there are other things to consider about the book. Its repetition. Its didactic tone. Its one- sidedness. Its length. Its constant florid descriptions of flora. Its simplistic approach to infinitely complex issues.It certainly is worth reading. In many ways, it is a brilliant book. Powers makes the case that we are connected in multiple ways to trees, all the way down to sharing much common DNA. And that we humans must change our ways to let trees continue the life-sustaining role that they have been playing since humans appeared. But the book's shortcomings keep it from becoming the gem I had expected....more",Notes are private!,0,1,2,"Jun 10, 2020not set","Jul 07, 2020not set","Jun 28, 2020",,Paperback,view (with text),/book/show/40180098-the-overstory
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Wild Ride Home: Love, Loss, and a Little White Horse, a Family Memoir","Hemp, Christine*",1950691241,9781950691241,1950691241,336        pp,4.36,104,"Feb 04, 2020","Feb 04, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Life begins to get a tad wobbly as one approaches middle age. Damages have begun to accumulate. Youthful dreams have begun to darken. But in ChristineLife begins to get a tad wobbly as one approaches middle age. Damages have begun to accumulate. Youthful dreams have begun to darken. But in Christine Hemp’s hands, the challenges and defeats -- and the pain they bring -- do not dim dreams. In fact, they may deepen them, even cast them in more lasting hues. In her book, Wild Ride Home: Love, Loss, and a Little White Horse, a Family Memoir she has captured the texture of life’s middle years. She chronicles the aging and then passing of her parents, her personal battle with breast cancer, and the ups-and-downs of building her own family. And she does so with optimism intact, as if pulled along by the wonder of life itself.She reaches her insights helped, in part, by working with a beautiful, spirited little horse named Buddy. Mistreated in his youth, Buddy misbehaves at times and might even be dangerous. But he can be warm and loving as well. Ms. Hemp interweaves her efforts to understand and reach Buddy with stories of her own life, marked by trials and errors, loss, but also by resolve and perseverance. Ultimately, by accepting Buddy for who he is, warts and all, she grows a special language with him:“My relationship with Buddy has opened a window to a deeper perception of the world. Maybe this is actually what we’re called upon to do in this little life: find home in the most elemental place possible, our own skin.”This is a lovely book. Worth every bit of five stars....more",Notes are private!,0,0,1,"Feb 20, 2020","Mar 17, 2020","Feb 20, 2020",,Hardcover,view (with text),/book/show/52077413-wild-ride-home
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pachinko,"Lee, Min Jin",,,,496        pp,4.33,"471,197","Feb 07, 2017","Feb 07, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,not set,"Sep 08, 2019",,Kindle Edition,view,/book/show/34051011-pachinko
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Transcription,"Atkinson, Kate",031617663X,9780316176637,031617663X,343        pp,3.49,"55,722","Sep 06, 2018","Sep 25, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Jul 29, 2019",,Hardcover,view,/book/show/37946414-transcription
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,London Fields,"Amis, Martin",,,0099748614,526        pp,3.68,"12,515",1989,Feb 2003,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I got to page 244. Brilliant writing goes a long, long way. But, in the end, it doesn’t make up for the thin plot, slow execution, cliched characters,I got to page 244. Brilliant writing goes a long, long way. But, in the end, it doesn’t make up for the thin plot, slow execution, cliched characters, and the unpleasantness, in particular, of the main character. That would be Keith, a low-life cheat, a hustler, self-centered and violent with women, who the author describes over and over again. Sometimes it feels that the only true plot is the dazzling word riffs that loop back around to the ugly traits we already know about this fellow. Keith is a mean, cartoon, bad guy. Then there are other players—Nicola Six who Keith wants to bed and Guy Clinch, a rich guy in love with Nicola. She is working a three-way hustle that, she hopes, will end in Keith murdering her. Now, admittedly, right there you’ve got some plot. Really. Problem is, it drips out so slowly. And the wretchedness of the characters is too much to endure....more",Notes are private!,0,0,1,not set,not set,"Jul 13, 2019",,Paperback,view (with text),/book/show/18830.London_Fields
