,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Rachel's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tell Me Everything,"Strout, Elizabeth*",0593446097,9780593446096,0593446097,336        pp,4.60,20,unknown,"Aug 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Hardcover,view,/book/show/204811915-tell-me-everything
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Monster Calls,"Ness, Patrick",1406361801,9781406361803,,237        pp,4.35,"265,610","May 05, 2011","May 07, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I don't know what to say about this book, apart from, it feels like my heart has been ripped out and stamped on.I don't know what to say about this book, apart from, it feels like my heart has been ripped out and stamped on....more",Notes are private!,0,2,1,"Apr 04, 2024","Apr 05, 2024","Apr 04, 2024",,Paperback,view (with text),/book/show/25480342-a-monster-calls
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Women of Troy        (Women of Troy, #2)","Barker, Pat",0385546696,9780385546690,0385546696,307        pp,3.83,"20,632","Aug 24, 2021","Aug 24, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I didn't enjoy this quite as much as The Silence of the Girls, but it was still a good read.I didn't enjoy this quite as much as The Silence of the Girls, but it was still a good read....more",Notes are private!,0,2,1,"Apr 02, 2024","Apr 08, 2024","Apr 02, 2024",,Hardcover,view (with text),/book/show/55440232-the-women-of-troy
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Fourth Monkey        (4MK Thriller, #1)","Barker, J.D.*",0544968840,9780544968844,0544968840,404        pp,4.26,"46,428","Jun 27, 2017","Jun 27, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Hardcover,view,/book/show/31125554-the-fourth-monkey
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Kissed a Sad Goodbye        (Duncan Kincaid & Gemma James, #6)","Crombie, Deborah*",,,,467        pp,4.05,"7,096","Jan 01, 1999",2000,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 28, 2024",not set,"Mar 28, 2024",,Paperback,view,/book/show/12467734-kissed-a-sad-goodbye
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Night Waking,"Moss, Sarah*",1847082157,9781847082152,1847082157,378        pp,3.90,"2,524","Feb 01, 2011","Feb 01, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Paperback,view,/book/show/9959239-night-waking
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No More Lies        (DCI Tom Douglas #11),"Abbott, Rachel*",,,B0BTMTGLG8,426        pp,4.50,"10,116","Feb 16, 2023","Feb 16, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was a very convoluted story about six people who were friends during their school days, fifteen years ago and now someone seems to have a grudge This was a very convoluted story about six people who were friends during their school days, fifteen years ago and now someone seems to have a grudge against them. Compelling reading....more",Notes are private!,0,1,1,"Mar 24, 2024","Mar 27, 2024","Mar 24, 2024",,Kindle Edition,view (with text),/book/show/104251209-no-more-lies
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All The Sinners Bleed,"Cosby, S.A.*",1472299167,9781472299161,B0BDR7W7LW,352        pp,4.26,"50,150","Jun 06, 2023","Jun 06, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A really good thriller set in America's deep south.A really good thriller set in America's deep south....more,Notes are private!,0,1,1,"Mar 24, 2024","Mar 31, 2024","Mar 24, 2024",,Hardcover,view (with text),/book/show/67995346-all-the-sinners-bleed
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"What Angels Fear        (Sebastian St. Cyr, #1)","Harris, C.S.*",,,0451219716,410        pp,3.91,"16,732","Nov 01, 2005","Oct 03, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Mass Market Paperback,view,/book/show/39149.What_Angels_Fear
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Guncle        (The Guncle, #1)","Rowley, Steven*",0525542280,9780525542285,0525542280,326        pp,4.14,"135,263","May 25, 2021","May 25, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A lovely feelgood story, which I wasn't sure I'd like, but I really did.A lovely feelgood story, which I wasn't sure I'd like, but I really did....more",Notes are private!,0,0,1,"Mar 17, 2024","Mar 20, 2024","Mar 17, 2024",,Hardcover,view (with text),/book/show/54508798-the-guncle
