,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Piper's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What You Are Looking For Is in the Library,"Aoyama, Michiko",1335005625,9781335005625,1335005625,304        pp,4.11,"31,705","Nov 09, 2020","Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 03, 2024",not set,"Apr 03, 2024",,Hardcover,view,/book/show/91274427-what-you-are-looking-for-is-in-the-library
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Searcher,"French, Tana*",,,B086D79BXS,400        pp,3.79,"125,682","Oct 06, 2020","Nov 05, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 03, 2024",not set,"Apr 03, 2024",,Kindle Edition,view,/book/show/53302294-the-searcher
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pachinko,"Lee, Min Jin",,,,496        pp,4.33,"471,180","Feb 07, 2017","Feb 07, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,4.5,Notes are private!,0,0,1,not set,Apr 2024,"Apr 03, 2024",,Kindle Edition,view (with text),/book/show/34051011-pachinko
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,So Late in the Day,"Keegan, Claire",0571382010,9780571382019,0571382010,47        pp,4.01,"10,962","Aug 31, 2023","Aug 22, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 20, 2024","Apr 03, 2024",,Hardcover,view,/book/show/73936042-so-late-in-the-day
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Apples Never Fall,"Moriarty, Liane*",,,B08V5G3Q74,516        pp,3.77,"348,045","Sep 14, 2021","Sep 14, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.5,Notes are private!,0,1,1,not set,"Mar 19, 2024","Apr 03, 2024",,Kindle Edition,view (with text),/book/show/56903022-apples-never-fall
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mother-Daughter Murder Night,"Simon, Nina*",0063315041,9780063315044,0063315041,357        pp,3.59,"53,381","Sep 05, 2023","Sep 05, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.25,Notes are private!,0,1,1,not set,"Mar 18, 2024","Apr 03, 2024",,Hardcover,view (with text),/book/show/65646968-mother-daughter-murder-night
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Mystery Guest        (Molly the Maid, #2)","Prose, Nita*",0593356187,9780593356180,0593356187,293        pp,3.87,"63,947","Nov 28, 2023","Nov 28, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.5,Notes are private!,0,0,1,not set,"Mar 05, 2024","Apr 03, 2024",,Hardcover,view (with text),/book/show/157062582-the-mystery-guest
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Shape of Sound,"Murphy, Fiona",1922330515,9781922330512,1922330515,288        pp,4.14,392,unknown,"Mar 30, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Feb 29, 2024","Apr 03, 2024",,Paperback,view,/book/show/56316375-the-shape-of-sound
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ghosts,"Alderton, Dolly",0241988683,9780241988688,0241988683,338        pp,3.89,"105,554","Oct 15, 2020","Jul 22, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Feb 15, 2024","Apr 03, 2024",,Paperback,view,/book/show/57938179-ghosts
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Before We Say Goodbye        (Before the Coffee Gets Cold, #4)","Kawaguchi, Toshikazu",0369747305,9780369747303,,173        pp,3.98,"13,703","Sep 20, 2021","Nov 14, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.5,Notes are private!,0,0,1,not set,"Feb 12, 2024","Apr 03, 2024",,ebook,view (with text),/book/show/66269953-before-we-say-goodbye
