,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,J.M.'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Life Expectancy,"Koontz, Dean*",0553588249,9780553588248,0553588249,476        pp,4.01,"37,895",2005,"Oct 25, 2005",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"On a stormy night, Rudy Tock shifts back and forth between the hospital room where is wife is giving birth to the one where his father is dying after On a stormy night, Rudy Tock shifts back and forth between the hospital room where is wife is giving birth to the one where his father is dying after suffering a stroke. The old man sits up, trance-like, and prophesizes that the newborn son will have five terrible days, indicating the exact date of each event. He also, gives more immediate information that soon proves true and adds credibility to his predictions. Meanwhile, an angry circus clown goes on a murderous rampage, in the same hospital, when his own wife dies in childbirth. Rudy is soon staring down the barrel of this killer’s gun.And that’s my introduction to the very first Dean Koontz book I ever read. The story is a page turner as we go from the resolution of this opening scene to one predicted day after the next in the life of the newborn Jimmy Tock and others who get pulled into the adventure, most notably and often, his wife, Laurie. The storytelling is riveting. Koontz has a knack for dragging out individual events to encompass as much as a dozen chapters without breaking the tension.If you like thrillers, this is the book for you. I’m more a fan of literary novels, though, and I didn’t like the general lack of character study and character growth. Also, the protagonists are always found in situations where they must react to events rather than incite them. The story lacks depth because of that. So I give this novel just three stars. Good mind candy, but don’t expect much more than that....more",Notes are private!,0,1,1,not set,not set,"Feb 20, 2017",,Mass Market Paperback,view (with text),/book/show/16435.Life_Expectancy
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,War and Remembrance,"Wouk, Herman",0316955027,9780316955027,0316955027,unknown,4.42,"37,348",1978,"Jan 01, 1978",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 09, 2017",,Hardcover,view,/book/show/21485.War_and_Remembrance
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Marjorie Morningstar,"Wouk, Herman",0316955132,9780316955133,0316955132,565        pp,3.98,"8,780",1955,"Jun 15, 1992",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 09, 2017",,Paperback,view,/book/show/14504.Marjorie_Morningstar
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"War and Remembrance        (The Henry Family, #2)","Wouk, Herman",0316954993,9780316954990,B0054U57QS,"1,042        pp",4.42,"37,348",1978,"Feb 05, 2002",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 09, 2017",,Paperback,view,/book/show/42986.War_and_Remembrance
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Winds of War        (The Henry Family, #1)","Wouk, Herman",0316952664,9780316952668,0316952664,896        pp,4.38,"57,064","Nov 15, 1971","Feb 05, 2002",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 09, 2017",,Paperback,view,/book/show/21484.The_Winds_of_War
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Snow,"Pamuk, Orhan",,,,463        pp,3.61,"46,546",2002,Aug 2005,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 09, 2017",,Paperback,view,/book/show/11691.Snow
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cold Mountain,"Frazier, Charles",0802142842,9780802142849,0802142842,449        pp,3.88,"242,734","Jan 01, 1997","Aug 31, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 09, 2017",,Paperback,view,/book/show/10920.Cold_Mountain
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Atonement,"McEwan, Ian*",038572179X,9780385721790,B00A2M6OLU,351        pp,3.94,"519,695","Sep 20, 2001",Mar 2003,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 09, 2017",,Paperback,view,/book/show/6867.Atonement
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Humboldt's Gift,"Bellow, Saul",0140189440,9780140189445,0140189440,487        pp,3.85,"9,477",1975,"Jun 01, 1996",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 09, 2017",,Paperback,view,/book/show/11494.Humboldt_s_Gift
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ironweed        (The Albany Cycle, #3)","Kennedy, William",0140070206,9780140070200,0140070206,227        pp,3.87,"16,845",1983,"Feb 07, 1984",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 09, 2017",,Paperback,view,/book/show/589071.Ironweed
