,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Vanessa's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Before We Were Innocent,"Berman, Ella*",0593099540,9780593099544,0593099540,384        pp,3.48,"32,081","Apr 04, 2023","Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Hardcover,view,/book/show/61407616-before-we-were-innocent
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Aliens: Vasquez,V.  Castro*,1803361115,9781803361116,1803361115,432        pp,3.36,390,"Nov 08, 2022","Nov 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Hardcover,view,/book/show/60696779-aliens
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Gathering,"Tudor, C.J.*",0593356594,9780593356593,0593356594,352        pp,4.14,729,"Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Hardcover,view,/book/show/186872450-the-gathering
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Keanu Reeves is Not in Love With You: The Murky World of Online Romance Fraud,"Holmes, Becky",1789651638,9781789651638,1789651638,288        pp,4.08,370,unknown,"Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Paperback,view,/book/show/194028309-keanu-reeves-is-not-in-love-with-you
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Alien Earths: The New Science of Planet Hunting in the Cosmos,"Kaltenegger, Lisa*",1250283639,9781250283634,1250283639,288        pp,4.25,83,"Apr 16, 2024","Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Hardcover,view,/book/show/127280328-alien-earths
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Why We Read: On Bookworms, Libraries, and Just One More Page Before Lights Out","Reed, Shannon*",1335007962,9781335007964,1335007962,336        pp,3.80,967,"Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Hardcover,view,/book/show/127975811-why-we-read
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sociopath,"Gagne, Patric",166800318X,9781668003183,166800318X,368        pp,4.14,881,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Hardcover,view,/book/show/176443093-sociopath
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ghost Dogs: On Killers and Kin,"Dubus III, Andre",1324000449,9781324000440,1324000449,288        pp,4.29,91,"Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Hardcover,view,/book/show/150778764-ghost-dogs
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wild Houses,"Barrett, Colin",0802160948,9780802160942,0802160948,272        pp,3.91,578,"Jan 25, 2024","Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/128714412-wild-houses
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Woman of Pleasure,"Murata, Kiyoko",1640095799,9781640095793,1640095799,320        pp,3.99,386,"Jan 01, 2013","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Paperback,view,/book/show/185767238-a-woman-of-pleasure
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"You Are a Badass Every Day: How to Keep Your Motivation Strong, Your Vibe High, and Your Quest for Transformation Unstoppable","Sincero, Jen*",0525561641,9780525561644,0525561641,224        pp,3.82,"11,779","Dec 04, 2018","Dec 04, 2018",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"So, a few weeks ago I went to a Women's Leadership Conference and it was pretty rad. At one point, they took audience questions and someone wanted to So, a few weeks ago I went to a Women's Leadership Conference and it was pretty rad. At one point, they took audience questions and someone wanted to know what books the panel read. I got excited for a minute, then I realized they meant like business or personal development books.But one of the women recommended this book and I decided to reserve it at the library because the lady who suggested it was awesome. Granted, she meant the original book probably and what I picked out and reserved on my library's tiny and not particularly mobile-friendly website was this. This is by the same author and is a cash grab supplement to the original book full of exercises and brief readings to help you stay on course. Look, I am not here to knock you down or dissuade you. But if you want this book, maybe check it out first. The advice is pretty basic: practice deep breathing, spend some time distancing your emotions from bad events, and don't forget to stretch. [image]Reader, you ARE a bad ass. And you probably already know this stuff....more",Notes are private!,0,1,1,not set,"Mar 22, 2024","Mar 22, 2024",,Hardcover,view (with text),/book/show/39881144-you-are-a-badass-every-day
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wives: A Memoir,"Gorrindo, Simone*",1982178493,9781982178499,1982178493,416        pp,4.25,247,"Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2024",,Hardcover,view,/book/show/176443920-the-wives
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A History of the World in Twelve Shipwrecks,"Gibbins, David*",1250325374,9781250325372,,304        pp,3.71,112,unknown,"Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2024",,Hardcover,view,/book/show/127305908-a-history-of-the-world-in-twelve-shipwrecks
