,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Jill's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",006332752X,9780063327528,006332752X,309        pp,4.04,"241,989","Aug 01, 2023","Aug 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 12, 2024",not set,"Apr 12, 2024",,Hardcover,view,/book/show/63241104-tom-lake
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Clear,"Davies, Carys*",1668030667,9781668030660,1668030667,208        pp,4.10,795,"Apr 02, 2024","Apr 02, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Right from the start, it’s clear that this novel intends to portray a remote world and the moral clarity that eventually comes to a Free Church ministRight from the start, it’s clear that this novel intends to portray a remote world and the moral clarity that eventually comes to a Free Church minister.It reminded me, in some ways, of Audrey Magee’s The Colony, with wisps of Michael Crummey’s work. John Ferguson is a solemn, mostly rigid, and financially struggling minister who travels by sea, hundreds of miles, to evict a tenant farmer from his home so that wealthy landowners can make room for sheep.This is during a time – acknowledged by Carys Davies in her aftermath – of the great social upheaval known as the Clearances, which began in the mid-eighteenth century in the Scottish Lowlands. Communities of the rural poor were forcibly removed from their homes in a relentless program of systematic dispassion. Thousands upon thousands, between 1750 and 1860, were evicted or driven by famine to leave their homes and start from scratch.John is married to Mary, and he misses her sorely. On the very first day, he slips and falls fro a cliff. He is discovered and tended to by the man he is supposed to evict – Ivar, a giant of a man who is reticent and nearly mythic in his solitude. The bulk of the slim book focuses on the bond that John and Ivar form, even as John hides the true purpose of his visit. He assuages his conscience through his belief that earthly events unfold according to plan, and suffering is a punishment for our sins.Slowly, he learns a new glossary of words from Ivar. He compares this project with his own calling: “In some ways, it felt like a similar sort of project—working hard to turn words from one language into another with all the accuracy and precision you could muster.”It is hard to overstate the beauty and exactitude of the author’s prose. Every scene is infused with beauty, commanding readers to use their sense of sight, hearing, and smell to place themselves alongside John.When the ending comes, it is unexpected and, to my mind, a little too quick. Whether it works or not will be up to each reader, but I do think that a close read of the characters justifies the risk that Carys Davies takes. A few extra pages would have been helpful, but that does not distract from an evocative and memorable read. 4.5 stars rounded up....more",Notes are private!,0,5,1,"Apr 09, 2024","Apr 12, 2024","Apr 09, 2024",,Hardcover,view (with text),/book/show/176443690-clear
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In Memoriam,"Winn, Alice",0593534565,9780593534564,0593534565,382        pp,4.55,"21,420","Mar 07, 2023","Mar 07, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Alice Winn blasts a huge hole in the old maxim, “Write what you know.” At age 30, she was certainly not alive on July 28, 1914, when World War I was lAlice Winn blasts a huge hole in the old maxim, “Write what you know.” At age 30, she was certainly not alive on July 28, 1914, when World War I was launched in Europe. Like her two main characters, she's not male or gay or an officer in a war. But she understands the grandeur of passion and the elements of tragedy. As a result, she has written an immersive war novel destined to become a new classic.Most male-written war literature—which I typically avoid like the plague—focuses on the pain and glory of war as if it were a large adventure. By wisely choosing to be more insular, following classmates at a high-brow British boarding school, Preshute, Alice Winn brings the war up close and personal. A fictional school newspaper, The Preshutian, traces the lives of those who went to war, and through it, we learn, along with the characters, which of their fellow alumni were killed or wounded. At times, we experience the sickening feeling of losing someone whose time shouldn’t have been up.The author is pitch-perfect in showcasing the extreme disconnect between teenage boys losing their friends, their innocence, their sanity, and sometimes their very lives at the front, while people back home in Britain romanticize the “great war.” While not calling it PTSD, so many of the characters are shell-shocked, a chasm where their memory used to be. But most of all, Alice Winn brilliantly explores “whether a mechanical man could become human once more” or whether the War irremovably marred the landscape of their character and the gangrenous bits of their souls.In Memoriam – the title borrowed from a famous Tennyson poem, in which the speaker asks that God help foolish people to see His light – exposes how teenagers are used as fodder and the moral price that nations and families must pay. One of the main characters considers: “Morphine made the vast sweep of history more logical to him than the chaotic present…he saw empires rise and fall like the swelling and abating of the tide, perpetual, each society blindly throwing its tragedies and flaws onto foreign shores.”More than anything, this novel is a love story about two young men, Gaunt and Ellwood, who are mad for each other at a time when being gay was considered an abomination. The message—that love is good and pure and that, ultimately, love heals—provides a modicum of hope. It’s impossible not to root for them. Thank you to Vintage Books, a division of Penguin Random House, for the paperback copy in exchange for an honest . ...more",Notes are private!,0,13,1,"Apr 03, 2024","Apr 09, 2024","Apr 03, 2024",,Hardcover,view (with text),/book/show/59948520-in-memoriam
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,James,"Everett, Percival",0385550367,9780385550369,0385550367,303        pp,4.63,"6,410","Mar 19, 2024","Mar 19, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Percival Everett’s reimagining of the American classic Huckleberry Finn couldn’t be more timely or important. At a time when—inconceivably—this countrPercival Everett’s reimagining of the American classic Huckleberry Finn couldn’t be more timely or important. At a time when—inconceivably—this country is banning books like To Kill a Mockingbird and Beloved, and a Florida governor is talking about the “benefits” of slavery, we need a book like James to meet this frightening moment.But first, let’s talk about Mark Twain. Percival Everett says in his acknowledgments that his “humor and humanity affected me long before I became a writer.” Indeed, Mark Twain was ahead of his time, lampooning American society and its hypocrisy when few others dared to do it. Which makes the irony of Huckleberry Finn being banned because of its use of the N-word all the more absurd.Percival Everett doesn’t shy from using that reviled word. He’s writing about his time, but he’s also correcting the perception that Huckleberry Finn is a white boy’s story. His viewpoint is that of the slave Jim’s, whose story it really was all along.As in his book Erasure (the inspiration for the movie American Fiction), there’s a lot about how Black people speak. Their very lives are hinged upon how well they master the language expectations of the “massa” (sho’ enuf, massa) or “dat be da best conebrad”). A minstrel scene about James pretending to be a white man in Black face demonstrates beautifully how silly the whole concept of judging by skin color is.It's been years since I read Huckleberry Finn, but memories came flooding back to me, particularly the scenes with the King and the Duke. Interestingly, James can tell they are con men way before Huck based on his need to size up white men quickly.James is wise and cynical enough to know the truth of the world. When he acquires a pencil—with horrible consequences—he writes, “With this pencil I write myself into being.” Too many enslaved men and women did not have the luxury to write their own story; it was communicated for them. By writing James, Percival Everett takes a step toward correcting that, by enabling James to narrate his own story. This book is phenomenally good and should be taught along with Huckleberry Finn at all schools. That is, if our democracy survives. Six stars!...more",Notes are private!,5,33,1,"Mar 29, 2024","Apr 03, 2024","Mar 29, 2024",,Hardcover,view (with text),/book/show/173754979-james
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tell Me Everything,"Strout, Elizabeth*",0593446097,9780593446096,0593446097,336        pp,4.52,21,unknown,"Aug 13, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"About halfway through this incandescent book, one character asks the other, “…have you ever envied people?”Well, right now, I envy every reader who haAbout halfway through this incandescent book, one character asks the other, “…have you ever envied people?”Well, right now, I envy every reader who has yet to dive into Tell Me Everything, which, in my opinion, is Elizabeth Strout’s best book. And that’s saying a lot, since I loved every book she has ever written.This is a novel that only a mature author could write, filled with the quintessential questions and deceptively easy answers that years of living end up providing. Fans of Strout’s past books will delight in meeting up again with her two most iconic characters: Olive Kitteridge, who is still feisty and direct at 91 years old, and Lucy Barton, the diminutive, insightful writer, who lives down the road by the sea with her ex-husband, William. Bob Burgess, her friend and love interest, also lives within these pages, immersed in the ramifications of a murder in this small Maine town.We meet them and other characters in this book of “unrecorded lives,” where ordinary people ruminate about the meaning of love, life, and what we’re meant to do during our brief tenure on earth. Ultimately, life is composed of stories (and each of us has stories) of loneliness, love, and the small connections we make in this world if we are lucky. And sometimes, life is about finding our linchpin who holds us afloat in this messy world.There were many scenes where I wanted to reach within the pages and hug these stumbling but well-meaning characters. Elizabeth Strout writes, “People suffer. They live, they have hope, they even have love, and they still suffer.” But oh, what a thing this life force is and what a powerful force hope is. At the end of the day, love comes in many forms, but it is always love. That’s a message so many of us dismiss, but it holds a truth that we can’t afford to forget.  I am so grateful to Random House for enabling me to be an early reader of this healing novel, filled with characters I have long loved, and threaded with gentle insights and wisdom about what it means to be human in these challenging times. I can’t imagine Tell Me Everything not being on my Top 10 book list of the year....more",Notes are private!,6,15,1,"Mar 23, 2024","Mar 29, 2024","Mar 23, 2024",,Hardcover,view (with text),/book/show/204811915-tell-me-everything
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Berry Pickers,"Peters, Amanda*",1646221958,9781646221950,1646221958,307        pp,4.18,"49,343","Apr 04, 2023","Oct 31, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Secrets and lies can take on a life of their own, they can be twisted and manipulated, or they can burst into the world from the mouth of someone justSecrets and lies can take on a life of their own, they can be twisted and manipulated, or they can burst into the world from the mouth of someone just as they are starting to lose their mind.The Berry Pickers isn’t a perfect book. But it’s a page-turning, possibly cinematic, and well-written one that portends good things for this debut author.  At the heart of the book is a secret. Four-year-old Ruthie, the youngest child of a Mi’kmaq family of berry pickers, wanders away and goes missing during the annual blueberry harvest in Maine. Her family frantically searches for her – with no help from the local police – but not a clue remains of her whereabouts.This is not a whodunit, nor is it a mystery. We find out almost immediately what happened to Ruthie. She was snatched by a woman who could not bear a child of her own. Now named Norma, she has haunting dreams that her parents dismiss. While she senses something isn’t being told to her, she does not receive confirmation. She is smothered by her new parents’ fears that she will be found and taken from them.Half of Berry Pickers is told from Ruthie/Norma’s perspective and addresses the legacy of displacement and the importance of knowing and embracing one’s identity. The other half is narrated in the present by her next-oldest brother, Joe, who feels personally responsible for her disappearance and for some of the ensuing tragedies that occur to the hard-working Mi’kmaq family. When we meet him, he is dying of cancer and rueful about the mess he has made of his life through his impulsive acts and his alcoholism.A perceptive reader can see the end coming from a mile away. Berry Pickers does not hold pretensions of an award-winning literary read; rather, it is a satisfying read, written by an author whose key strength is her strong story-telling ability. With that caveat, I recommend it. 3.75 stars....more",Notes are private!,3,16,1,"Mar 18, 2024","Mar 23, 2024","Mar 18, 2024",,Hardcover,view (with text),/book/show/123036004-the-berry-pickers
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beautiful Days: Stories,"Williams, Zach",0385550146,9780385550147,0385550146,240        pp,4.71,7,unknown,"Jun 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Beautiful Day is an unsettling collection of stories about ordinary people who experience bizarre and threatening happenings in their lives. It is notBeautiful Day is an unsettling collection of stories about ordinary people who experience bizarre and threatening happenings in their lives. It is not a stretch to call it metaphysical fiction, and it is intended for readers who are drawn to those kinds of stories. Think of the TV show Severance, the Academy Award-winning movie Everything Everywhere All at Once., or possibly David Mitchell’s Cloud Atlas or George Saunders’ stories. If you are a fan of any of these, you are likely the perfect reader for this collection.In Trial Run, the opening story, a man living alone after a contentious divorce finds himself in his nearly empty office on a snowy day. There are only two other men there: an unraveling co-worker and a tightly coiled security guard. Lately, some disturbing viral messages have been coming in, and suspicions are running high. As he cautiously listens to the ramblings, his sense of safety becomes increasingly violated. What is really going on here?In another, Wood Sorrel House, one of the longer pieces, an ordinary couple is transfixed in some sort of pastoral reality. The couple has a little boy; even though the parents grow older, the toddler shows no signs of getting older. In Neighbors, another ordinary couple who are struggling with the aftermath of infidelity moves to San Francisco in the hopes of “redrawing the map” of their marriage. Yet what awaits them is a strange occurrence in a neighbor's home. In another, a man connects with a woman who wants him to have sex with her while her husband watches from the closet. He imagines the husband as virulent. After he finishes the deed, he is shocked to discover the truth.A number of authors whom I greatly respect hail this collection as brilliant, and if I were a critic, I would agree. It takes a great appreciation of the absurd and the perverse, and as I read on, I became increasingly certain that I was not the right reader for this particular collection. As a result, I don’t feel comfortable providing a rating. I am tremendously grateful to Doubleday for the opportunity to be an early reader and recommend the book to those who are more comfortable with the genre....more",Notes are private!,0,5,1,"Mar 17, 2024","Mar 18, 2024","Mar 17, 2024",,Hardcover,view (with text),/book/show/199463705-beautiful-days
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Middletide,"Crouch, Sarah*",166803509X,9781668035092,166803509X,288        pp,4.18,122,"Jun 11, 2024","Jun 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The greatest dream any author can hope for is to forge a powerful bond with a reader who devours that author's words. Judging from early Goodreads revThe greatest dream any author can hope for is to forge a powerful bond with a reader who devours that author's words. Judging from early Goodreads s, Sarah Crouch has achieved that goal with many voracious readers. Unfortunately, I cannot count myself among them. I was not a big fan of the best-seller Let the Crawdads Sing, which this novel is justly compared to. And, having recently read Tommy Orange's Wandering Star, I needed a bit more heft in the description of one of the main characters, a Native American. I thank Atria Books for sending me an advance copy and wish both the writer and the publisher all the best in this launch. Because I am not the right reader, I am going to decline a rating....more",Notes are private!,2,4,1,"Mar 14, 2024","Mar 17, 2024","Mar 14, 2024",,Hardcover,view (with text),/book/show/199798457-middletide
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heart in Winter,"Barry, Kevin",038555060X,9780385550604,B0CKSNJGPK,256        pp,4.45,29,"Jun 06, 2024","Jul 09, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Kevin Barry’s prose is so enchanting that it takes my breath away. Like a master magician, he summons words from thin air and presents them to his reaKevin Barry’s prose is so enchanting that it takes my breath away. Like a master magician, he summons words from thin air and presents them to his readers with a flourish. He could write a city phone book, and it would sing! I went into this, his latest novel, prepared to be bowled over. He did not disappoint.For the first time, this much-awarded Irish writer sets his novel in America, specifically, the city of Butte, Montana, in 1891. Butte is filled with hard-living Irish immigrant workers, one of whom is Tom Rourke, a ballad writer and sometime-photographer. He has the heart of a poet, and yet there’s a darkness that lives within him, which manifests in drinking, doping, and even suicide ideation.Then he meets Polly Gillespie, who is a seasoned mail-order bride of sorts to the old owner of the copper mine, Long Anthony Harrington, who ties up his own wrists and whips himself into a frenzy over his love of Jesus. Not exactly a match made in heaven. When Tom and Polly exchange a look, the earth moves. They steal a horse and escape to the badland.Barry writes, “It was to a world between worlds they were drawn. They were headed into this unthinkable place without a map to it nor the sense to be afraid even, and they were in this regard heroically. Death hovered close to the lovers always. It was around the like a charge o the air. It was like a blue gunpower waft. It was like electricity. They had an aspect of cool affront to life and so it was deathwards they were drawn.”Heart in Winter weaves together – seamlessly, like magic – a lyrical tale of a bad-ass doper and his far-from-innocent lover, a Western adventure tale of gun-for-hire “Jacks” seeking frontier justice on behalf of Harrington, and a treatise about the choices we make and how these choices get rearranged as Tom and Polly lean into their inevitable fate. The patois of the badlands is channeled seamlessly through Barry’s writing as his characters leap from the page.I owe a world of thanks to Doubleday Publishers, who provided me with early access to one of my favorite contemporary writers in exchange for an honest . I’d give this six stars if I could!...more",Notes are private!,0,8,1,"Mar 11, 2024","Mar 14, 2024","Mar 11, 2024",,Kindle Edition,view (with text),/book/show/199656534-the-heart-in-winter
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Godwin,"O'Neill, Joseph",0593701321,9780593701324,0593701321,288        pp,4.10,10,unknown,"Jun 04, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Any Joseph O’Neill fan who has read his award-winning Netherland will know two things about this author. First, he is a knowledgeable and insightful sAny Joseph O’Neill fan who has read his award-winning Netherland will know two things about this author. First, he is a knowledgeable and insightful sportswriter (cricket in his former book, soccer in this book). Second, his books aren’t really about sports. They’re about characters who display a particular brand of naiveté and brio as they pursue the capitalist dream while holding on to the dream of a fulfilling life.In Godwin, the story hinges on Mark Wolfe, a slowly unraveling Pittsburgh grant writer, and his half-brother Geoff, who is particularly fond of using terms like “bruv” or “fam” when addressing him. Geoff, a shady soccer talent scout, seems to have come across a young African soccer prodigy named Godwin with superstar potential. But Geoff can’t personally pursue him because of a bad leg injury. He summons Mark to help out.As Mark says a little later, “The main difference between a calamity and an adventure is that in the latter case, the protagonist makes it home in one piece and lives to tell the tale.” So here we have an international adventure story that includes an unscrupulous French soccer scout, two edgy brothers, and the poisonous power of unbridled capitalism.The reader will learn a lot about the newly-created competition for African soccer players who possess the strength and explosiveness to stand out in soccer and the unprincipled scouts who pursue them at any cost and the corruption that ensues. O’Neill raises questions about the value of football (soccer is called the American football). From a diversion and pastime it has now become a calculation, a lie, a manipulation.Their story is interspersed with narrations by Mark’s work colleague, Lakesha Williams, who launched The Group, a technical-writing co-operative, attractive to employees like Mark who want to stay independent without taking a financial risk. These two stories will eventually connect. It’s a story of the corruption of colonialism and international money-making and the counterbalance of human connection and stability, held together by an arousing tale of the search for Godwin. I owe a big thanks to Pantheon, who enabled me to be an early reader in exchange for an honest ....more",Notes are private!,1,9,1,"Mar 06, 2024","Mar 10, 2024","Mar 06, 2024",,Hardcover,view (with text),/book/show/198563648-godwin
