,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Roy's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One Perfect Couple,"Ware, Ruth*",1668025590,9781668025598,1668025590,400        pp,3.96,578,"May 21, 2024","May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Hardcover,view,/book/show/199798953-one-perfect-couple
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When Women Ran Fifth Avenue: Glamour and Power at the Dawn of American Fashion,"Satow, Julie*",0385548753,9780385548755,0385548753,320        pp,4.62,24,2024,"Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Hardcover,view,/book/show/198563695-when-women-ran-fifth-avenue
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Long Island Compromise,"Brodesser-Akner, Taffy",0593133498,9780593133491,0593133498,464        pp,4.38,29,"Jul 09, 2024","Jul 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Hardcover,view,/book/show/55777544-long-island-compromise
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Great Expectations,"Cunningham, Vinson",0593448235,9780593448236,0593448235,272        pp,3.49,356,"Mar 12, 2024","Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Hardcover,view,/book/show/139400711-great-expectations
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let Us Descend,"Ward, Jesmyn*",198210449X,9781982104498,B0BT642ZDK,320        pp,3.73,"20,588","Oct 24, 2023","Oct 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Hardcover,view,/book/show/87556695-let-us-descend
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Knights of the Black and White        (Templar Trilogy, #1)","Whyte, Jack",0515143332,9780515143331,0515143332,749        pp,3.78,"4,545",2006,"Jun 26, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Mass Market Paperback,view,/book/show/713178.Knights_of_the_Black_and_White
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Brethren        (Brethren Trilogy, #1)","Young, Robyn*",0525949755,9780525949756,0525949755,496        pp,3.83,"4,201","Jan 01, 2006","Jul 20, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Hardcover,view,/book/show/60813.Brethren
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Moorland Hanging        (Knights Templar, #3)","Jecks, Michael*",0060763477,9780060763473,0060763477,384        pp,4.02,"1,099",1996,"Dec 28, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Mass Market Paperback,view,/book/show/116765.A_Moorland_Hanging
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Kingdom at the End of the Road        (The Crusades Trilogy, #3)","Guillou, Jan",,,,unknown,4.09,"5,409",2000,2000,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,,view,/book/show/664773.The_Kingdom_at_the_End_of_the_Road
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Knight Templar        (The Crusades Trilogy, #2)","Guillou, Jan",0752846485,9780752846484,0752846485,467        pp,4.15,"6,161","Jun 21, 1999",2010,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Hardcover,view,/book/show/1130964.The_Knight_Templar
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Road to Jerusalem        (The Knight Templar, #1)","Guillou, Jan",0752848372,9780752848372,0752848372,320        pp,4.01,"8,507",1998,"Dec 05, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Paperback,view,/book/show/25884.The_Road_to_Jerusalem
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Never Let Me Go,"Ishiguro, Kazuo*",,,1400078776,288        pp,3.85,"694,153","Apr 05, 2005","Aug 31, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Along with writing s here at goodreads, for the past few years I've had a channel on YouTube featuring videos of myself discussing the books I'vAlong with writing s here at goodreads, for the past few years I've had a channel on YouTube featuring videos of myself discussing the books I've read. I rely on what what's been written here for much of the content I deliver there. If you want to know what I thought about a book, come to goodreads to read it. If you'd prefer to listen, go to Roy's Book Reviews on YT. Since I now compose s keeping in mind that I'll later be referring to them for my video recordings, I write in greater detail and higher word count these days than used to be the case. My gr s serve as scripts for the videos to follow. Writing about Kazuo Ishiguro's heart breaking novel Never Let Me Go substantially enough to make a video later is a challenge I may not be up to. This isn't because I cannot think of plenty to say about it. But the thing is, I don't want either my written or video  to serve as spoiler. This is not a novel with a surprise, twist ending. Rather, it's a story that reveals secrecy in incremental degrees. Little by little we find out what the protagonist knows and does not yet know about her circumstances and destiny. Incidents that do not seem particularly monumental to us are revealed as she reflects on her memories, with their importance not to be understood by the reader until later on. By the time we've figured out what's going on, we are invested in the lives of the central characters. Once invested, it's human nature to root for some version of a happy ending. Our best wishes are the result of our humanity. I suppose that the nature of humanity is what the beautiful novel Never Let Me Go is ultimately about. Above all else, what we tend to never let go of until it's pulled from our grasp is hope. Without hope, what are we and why are we here?...more",Notes are private!,1,4,1,"Dec 23, 2023","Jan 07, 2024","Dec 20, 2023",,Paperback,view (with text),/book/show/6334.Never_Let_Me_Go
