,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Donald's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trust,"Diaz, Hernan*",,,B09BV2JNWV,415        pp,3.84,"97,324","May 03, 2022","May 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 20, 2024",not set,"Mar 20, 2024",,Kindle Edition,view,/book/show/59039413-trust
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lady Chatterley's Lover,"Lawrence, D.H.",014303961X,9780143039617,014303961X,400        pp,3.50,"125,610",1928,Dec 2019,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A very exhausting analysis of human interaction. He explores ego, pride, duty, society's contradictions and inanities, economics (greed especially) anA very exhausting analysis of human interaction. He explores ego, pride, duty, society's contradictions and inanities, economics (greed especially) and class distinctions. His emphasis is saved for love, lust and how our vilification of these truly keeps us shamefully unconnected. This book has guts for dealing with these important issues directly. Merged :A very exhausting analysis of human interaction. He explores ego, pride, duty, society's contradictions and inanities, economics (greed especially) and class distinctions. His emphasis is saved for love, lust and how our vilification of these truly keeps us shamefully unconnected. This book has guts for dealing with these important issues directly....more",Notes are private!,0,2,2,"Feb 21, 2017not set","Feb 24, 2017not set","Oct 18, 2023",,Paperback,view (with text),/book/show/49583709-lady-chatterley-s-lover
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Flowers for Algernon,"Keyes, Daniel",015603008X,9780156030083,015603008X,311        pp,4.21,"671,393",Apr 1966,"Jun 14, 2004",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Wow. I am not much of a science fiction reader. For some reason this title was in my head and on a list and I am better for it. It was very moving andWow. I am not much of a science fiction reader. For some reason this title was in my head and on a list and I am better for it. It was very moving and in some odd way timely and relevant. The commands to love, tolerate and respect everyone are more complex and nuanced than I care to admit. The ego is a terrible monster, cattle bossing with accustomed authority. Themes forcing an objective view of that culture are painful but helpful. Each ego colliding with all others is the misery most often cutting at our souls. It sounds mushy but I will try to love more and more deeply....more",Notes are private!,0,3,2,"Sep 25, 2015not set","Jan 26, 2017not set","Aug 18, 2023",,Mass Market Paperback,view (with text),/book/show/54872718-flowers-for-algernon
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Secret City: The Hidden History of Gay Washington,"Kirchick, James",,,B08R2KH57Y,826        pp,4.17,"1,164","Feb 15, 2022","May 31, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 04, 2023",not set,"Aug 04, 2023",,Kindle Edition,view,/book/show/59456359-secret-city
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Extraordinary Life of an Ordinary Man: A Memoir,"Newman, Paul",0593534506,9780593534502,0593534506,297        pp,3.89,"8,287","Oct 18, 2022","Oct 18, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A very honest biography. The book reveals the true humanity, doubt and confusion of a real person who happened to be a mega movie star. It was a colleA very honest biography. The book reveals the true humanity, doubt and confusion of a real person who happened to be a mega movie star. It was a collection of Newman’s thoughts and those of his friends and loved ones. The unique style and honesty made it a page turner.Paul Newman was different than I thought. I am grateful to know him better. The book is a study in basic humanity but also the costs and transformation of wealth and fame....more",Notes are private!,0,10,1,"Mar 10, 2023","Mar 11, 2023","Mar 10, 2023",,Hardcover,view (with text),/book/show/60190681-the-extraordinary-life-of-an-ordinary-man
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Barbizon: The Hotel That Set Women Free,"Bren, Paulina",1982123893,9781982123895,1982123893,336        pp,3.68,"5,566","Mar 02, 2021","Mar 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2023",,Hardcover,view,/book/show/54304210-the-barbizon
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,It's OK to Be Angry About Capitalism,"Sanders, Bernie",0593238710,9780593238714,0593238710,320        pp,4.09,"4,431","Feb 21, 2023","Feb 21, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Bernie Sanders speaks the obvious truth. Most of what is in the book leaves one saying: ""Of course!"" The book reveals The Emperor Wears No Clothes.I hBernie Sanders speaks the obvious truth. Most of what is in the book leaves one saying: ""Of course!"" The book reveals The Emperor Wears No Clothes.I hope all politicians read this book and either: Cower in shame they have been revealed, orDecide there is a need to take the actions suggested. While Bernie speaks about his campaigns and his treatment in the media, it is born from a desire to tell the full story, not any ego or pride. He is truly a humble person who has the best of intentions for everyone and for the country most of us love (or want to love).None of his ideas and analysis are unshared by others, and other authors. His suggested ideas may not be the only ones which would solve the obvious problems; however, he is learned, experienced and extremely intelligent. I hope this book's bestselling status will spread his message. It is a masterpiece of political science for today's world....more",Notes are private!,0,14,1,"Mar 06, 2023","Mar 09, 2023","Mar 06, 2023",,Hardcover,view (with text),/book/show/63249703-it-s-ok-to-be-angry-about-capitalism
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Imperfect Union: How Jessie and John Frémont Mapped the West, Invented Celebrity, and Helped Cause the Civil War","Inskeep, Steve",0735224358,9780735224353,0735224358,480        pp,3.86,"1,443","Jan 14, 2020","Jan 14, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A very entertaining and comprehensive look at John Charles Fremont and his wife Jessie Benton Fremont. The husband has ""honorable mention"" in many booA very entertaining and comprehensive look at John Charles Fremont and his wife Jessie Benton Fremont. The husband has ""honorable mention"" in many books I have read. This is the first full discussion of him, and I enjoyed every word. Even more interesting is his wife, the daughter of Senator Benton of Missouri. I have read some about her father but really knew nothing about her and this book is a gem of a discussion about this important American. The book discusses general history of the times of their lives but dives deep into their lives. For an American history buff I am sure glad I was able to read this one....more",Notes are private!,0,4,1,Sep 2022,"Mar 06, 2023","Mar 03, 2023",,Hardcover,view (with text),/book/show/46033572-imperfect-union
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,White Rage: The Unspoken Truth of Our Racial Divide,"Anderson, Carol",,,B01D1RUOJU,248        pp,4.47,"13,989","May 31, 2016","May 31, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Mar 03, 2023","Aug 05, 2023","Mar 03, 2023",,Kindle Edition,view,/book/show/30190049-white-rage
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Light We Carry: Overcoming in Uncertain Times,"Obama, Michelle*",0593237463,9780593237465,0593237463,319        pp,4.27,"79,067","Nov 15, 2022","Nov 15, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2023",,Hardcover,view,/book/show/61355265-the-light-we-carry
