,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Laurie's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Planet of Slums,"Davis, Mike",1844670228,9781844670222,1844670228,228        pp,3.98,"2,989","Oct 01, 2006","Mar 01, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 26, 2022",,Hardcover,view,/book/show/7855.Planet_of_Slums
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,City of Quartz: Excavating the Future in Los Angeles,"Davis, Mike",0679738061,9780679738060,0679738061,462        pp,4.20,"4,163","Oct 17, 1990","Mar 10, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 26, 2022",,Paperback,view,/book/show/484028.City_of_Quartz
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Prisoners of the American Dream: Politics and Economy in the History of the US Working Class,"Davis, Mike",1859842488,9781859842485,1859842488,332        pp,4.39,359,"Jan 01, 1986","May 17, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 26, 2022",,Paperback,view,/book/show/7856.Prisoners_of_the_American_Dream
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Origin: A Genetic History of the Americas,"Raff, Jennifer",1538749718,9781538749715,1538749718,368        pp,3.79,"2,755","Feb 08, 2022","Feb 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 22, 2022",,Hardcover,view,/book/show/53916158-origin
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Beginning and End of Rape: Confronting Sexual Violence in Native America,"Deer, Sarah",0816696330,9780816696338,0816696330,232        pp,4.49,305,"Nov 01, 2015","Nov 01, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 22, 2022",not set,"Oct 22, 2022",,Paperback,view,/book/show/25362708-the-beginning-and-end-of-rape
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Living in Indigenous Sovereignty,"Carlson-Manathara, Elizabeth",1773632388,9781773632384,1773632388,264        pp,4.43,28,"May 10, 2021","May 10, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 22, 2022",,Paperback,view,/book/show/57655039-living-in-indigenous-sovereignty
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Land Is Not Empty: Following Jesus in Dismantling the Doctrine of Discovery,"Augustine, Sarah",151380829X,9781513808291,151380829X,224        pp,4.30,196,unknown,"Jun 22, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 22, 2022",,Paperback,view,/book/show/55404509-the-land-is-not-empty
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pressing Onward: The Imperative Resilience of Latina Migrant Mothers,"Cerdeña, Jessica P.",0520394011,9780520394018,0520394011,244        pp,0.00,0,unknown,"Apr 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 21, 2022",,Paperback,view,/book/show/62987527-pressing-onward
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Hebrew Bible and Environmental Ethics: Humans, NonHumans, and the Living Landscape","Joerstad, Mari",1108476449,9781108476447,1108476449,254        pp,4.71,14,unknown,"Jul 11, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 16, 2022",,Hardcover,view,/book/show/42586659-the-hebrew-bible-and-environmental-ethics
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Anishinaabe Ways of Knowing and Being,"Gross, Lawrence W.",1322012342,9781322012346,,316        pp,4.45,11,"Jan 01, 2014","Jan 01, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 16, 2022",,ebook,view,/book/show/22863478-anishinaabe-ways-of-knowing-and-being
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,They Were Her Property: White Women as Slave Owners in the American South,"Jones-Rogers, Stephanie E.",0300218664,9780300218664,0300218664,320        pp,4.28,"3,737","Feb 19, 2019","Feb 19, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 16, 2022",,Hardcover,view,/book/show/40887375-they-were-her-property
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Christian Imagination: Theology and the Origins of Race,"Jennings, Willie James",0300152116,9780300152111,0300152116,384        pp,4.51,655,"May 25, 2010","May 25, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 15, 2022",,Hardcover,view,/book/show/7748747-the-christian-imagination
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Praying to the West: How Muslims Shaped the Americas,"Mouallem, Omar*",1501199145,9781501199141,1501199145,384        pp,3.85,92,unknown,"Sep 21, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 15, 2022",,Hardcover,view,/book/show/56897488-praying-to-the-west
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Settler Complex: Recuperating Binarism in Colonial Studies,"Wolfe, Patrick",0935626697,9780935626698,0935626697,256        pp,4.50,4,unknown,"Jan 04, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 15, 2022",,Paperback,view,/book/show/28562470-the-settler-complex
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blood and Soil: A World History of Genocide and Extermination from Sparta to Darfur,"Kiernan, Ben",0300100981,9780300100983,0300100981,768        pp,4.02,235,"Jan 01, 2007","Sep 25, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 14, 2022",,Hardcover,view,/book/show/1464326.Blood_and_Soil
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Indigenous Paleolithic of the Western Hemisphere,"Steeves, Paulette F. C.",1496202171,9781496202178,1496202171,326        pp,4.06,135,Jul 2021,"Jul 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 14, 2022",,Hardcover,view,/book/show/55761703-the-indigenous-paleolithic-of-the-western-hemisphere
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Knowing Otherwise: Race, Gender, and Implicit Understanding","Shotwell, Alexis",0271037636,9780271037639,0271037636,208        pp,4.43,14,"Jan 01, 2011","Jan 18, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 14, 2022",,Hardcover,view,/book/show/10414376-knowing-otherwise
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Becoming Kin: An Indigenous Call to Unforgetting the Past and Reimagining Our Future,"Krawec, Patty",,,B09RQ1SX64,225        pp,4.58,"1,137","Sep 27, 2022","Sep 27, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 13, 2022","Oct 22, 2022","Oct 13, 2022",,Kindle Edition,view,/book/show/60815091-becoming-kin
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The World and All That It Holds,"Hemon, Aleksandar",0374287708,9780374287702,0374287708,352        pp,3.84,"1,501","Jan 24, 2023","Jan 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 11, 2022",,Hardcover,view,/book/show/60784834-the-world-and-all-that-it-holds
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Regeneration        (Regeneration, #1)","Barker, Pat",,,B0023SDQB2,260        pp,4.02,"31,073","May 30, 1991","Jul 01, 1993",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 04, 2022",not set,"Oct 04, 2022",,Kindle Edition,view,/book/show/57217101-regeneration
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lost & Found: A Memoir,"Schulz, Kathryn*",0525512462,9780525512462,0525512462,256        pp,4.09,"7,358","Jan 11, 2022","Jan 11, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 23, 2022",,Hardcover,view,/book/show/57800384-lost-found
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ancestor Trouble: A Reckoning and a Reconciliation,"Newton, Maud*",0812997921,9780812997927,0812997921,378        pp,3.35,"2,040","Mar 29, 2022","Mar 29, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 23, 2022",,Hardcover,view,/book/show/58558175-ancestor-trouble
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Unknown Travels and Dubious Pursuits of William Clark        (Volume 1),"Trogdon, Jo Ann",0826220495,9780826220493,0826220495,496        pp,3.33,12,"May 01, 2015","Aug 11, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 23, 2022",,Hardcover,view,/book/show/24000150-the-unknown-travels-and-dubious-pursuits-of-william-clark
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Five Little Indians,"Good, Michelle*",1443459194,9781443459198,,304        pp,4.48,"37,130","Apr 14, 2020","Apr 14, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 23, 2022",,ebook,view,/book/show/52214103-five-little-indians
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tecumseh and the Prophet: The Shawnee Brothers Who Defied a Nation,"Cozzens, Peter*",1524733253,9781524733254,1524733253,560        pp,4.15,481,"Oct 27, 2020","Oct 27, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 23, 2022",,Hardcover,view,/book/show/49829876-tecumseh-and-the-prophet
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kohkumthena's Grandchildren: The Shawnee,"Thom, Dark Rain",1878208535,9781878208538,1878208535,293        pp,3.46,13,Dec 1994,"Jan 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 23, 2022",,Hardcover,view,/book/show/509361.Kohkumthena_s_Grandchildren
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blue Jacket: War Chief of the Shawnee,"Eckert, Allan W.",1931672202,9781931672207,1931672202,177        pp,4.17,440,"Dec 27, 1975","Jan 01, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 23, 2022",,Paperback,view,/book/show/1223763.Blue_Jacket
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Trees,"Everett, Percival",1914391179,9781914391170,1914391179,335        pp,4.07,"26,949","Sep 21, 2021","Mar 17, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 18, 2022",,Paperback,view,/book/show/60069456-the-trees
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Letters of Shirley Jackson,"Jackson, Shirley",0593134648,9780593134641,0593134648,623        pp,4.55,331,"Jul 13, 2021","Jul 13, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 18, 2022",,Hardcover,view,/book/show/55873256-the-letters-of-shirley-jackson
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hangsaman,"Jackson, Shirley",0445031174,9780445031173,0445031174,191        pp,3.78,"8,478",1951,1976,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 18, 2022",,Mass Market Paperback,view,/book/show/131177.Hangsaman
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Shell and the Kernel: Renewals of Psychoanalysis, Volume 1        (Volume 1)","Abraham, Nicolas",0226000885,9780226000886,0226000885,280        pp,4.25,52,"Sep 01, 1994","Sep 01, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 18, 2022",,Paperback,view,/book/show/1077353.The_Shell_and_the_Kernel
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Poetics of Transgenerational Trauma,"Atkinson, Meera",150133087X,9781501330872,150133087X,240        pp,4.11,9,unknown,"Jul 27, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 18, 2022",,Hardcover,view,/book/show/32980859-the-poetics-of-transgenerational-trauma
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,An Autobiography of the Autobiography of Reading,"Brand, Dionne",1772125083,9781772125085,1772125083,72        pp,4.27,79,"Jan 28, 2020","Jan 08, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 17, 2022",,Paperback,view,/book/show/50408571-an-autobiography-of-the-autobiography-of-reading
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bill Peet: An Autobiography,"Peet, Bill",0395689821,9780395689820,0395689821,192        pp,4.26,"1,701","Mar 27, 1989","Mar 28, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 17, 2022",,Paperback,view,/book/show/134097.Bill_Peet
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Reading My Mother Back: A Memoir in Childhood Animal Stories,"Baker, Timothy C.",1913380475,9781913380472,1913380475,168        pp,4.84,19,"Sep 13, 2022","Sep 13, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Absolutely brilliant. I don't think I've been this enthralled with a book since Mark Doty's Still Life with Oysters and Lemon. And yes my name is in tAbsolutely brilliant. I don't think I've been this enthralled with a book since Mark Doty's Still Life with Oysters and Lemon. And yes my name is in the acknowledgements, but I can honestly say that if it weren't, and if Tim were a stranger, I'd still feel the same way. This is a smart, gorgeous, cathartic thing....more",Notes are private!,0,2,1,"Sep 17, 2022","Sep 18, 2022","Sep 17, 2022",,Hardcover,view (with text),/book/show/59894060-reading-my-mother-back
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Race, Labor, and Civil Rights: Griggs versus Duke Power and the Struggle for Equal Employment Opportunity","Smith, Robert Samuel",0807133639,9780807133637,0807133639,248        pp,4.00,3,Dec 2008,"Dec 01, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 09, 2022",,Hardcover,view,/book/show/4154149-race-labor-and-civil-rights
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Liberation from Reconstruction to Black Lives Matter,"Smith, Robert Samuel",0197583954,9780197583951,0197583954,192        pp,4.25,4,unknown,"Jul 16, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 09, 2022",,Paperback,view,/book/show/57850437-black-liberation-from-reconstruction-to-black-lives-matter
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Scaling Up Compensation: 5 Design Principles for Turning Your Largest Expense into a Strategic Advantage,"Harnish, Verne",,,B098VXJ1HK,161        pp,4.43,157,unknown,"Jul 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 05, 2022","Sep 17, 2022","Sep 05, 2022",,Kindle Edition,view,/book/show/58565854-scaling-up-compensation
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Boards That Make a Difference: A New Design for Leadership in Nonprofit and Public Organizations,"Carver, John",0787908118,9780787908119,0787908118,272        pp,3.66,243,"Nov 30, 1989","May 28, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 05, 2022",,Hardcover,view,/book/show/129330.Boards_That_Make_a_Difference
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Shape of the River,"Bowen, William G.",0691050198,9780691050195,0691050198,536        pp,3.83,100,1998,"Jan 04, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 05, 2022",,Paperback,view,/book/show/149527.The_Shape_of_the_River
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Birth of the Clinic: An Archaeology of Medical Perception,"Foucault, Michel",0679753346,9780679753346,0679753346,240        pp,3.96,"2,308",1963,"Mar 29, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 06, 2022",,Paperback,view,/book/show/107971.The_Birth_of_the_Clinic
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Breasts and Eggs,"Kawakami, Mieko",1609455878,9781609455873,1609455878,430        pp,3.86,"54,432","Jul 11, 2019","Apr 07, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 31, 2022",,Hardcover,view,/book/show/50736031-breasts-and-eggs
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Abigail,"Szabó, Magda",,,B07MP5D5X8,353        pp,4.34,"6,430",1970,"Jan 21, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 05, 2022","Oct 04, 2022","Jul 31, 2022",,Kindle Edition,view,/book/show/43697426-abigail
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Carnality,"Wolff, Lina",1635420741,9781635420746,1635420741,384        pp,3.70,"3,332","Aug 20, 2019","Jul 19, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 31, 2022",,Paperback,view,/book/show/59723969-carnality
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,War of the Foxes,"Siken, Richard",1556594771,9781556594779,1556594771,49        pp,4.15,"7,595","Apr 28, 2015","Apr 28, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 31, 2022",,Paperback,view,/book/show/21532793-war-of-the-foxes
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Magician,"Tóibín, Colm",1476785082,9781476785080,1476785082,498        pp,4.03,"15,419","Sep 07, 2021","Sep 07, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 31, 2022",,Hardcover,view,/book/show/56897459-the-magician
