,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Uzma's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Notes on an Execution,"Kukafka, Danya*",0063052733,9780063052734,0063052733,306        pp,4.08,"88,960","Jan 25, 2022","Jan 25, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 09, 2024",not set,"Apr 09, 2024",,Hardcover,view,/book/show/57773248-notes-on-an-execution
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kill for Love,"Picklesimer, Laura*",1951213866,9781951213862,B0CC9RV71Z,279        pp,3.69,585,"Sep 05, 2023","Sep 12, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 rounded up because I really liked this one you know. This 5th year Delta Gamma sorority girl becomes bewitched with the power of killing men. Unti3.5 rounded up because I really liked this one you know. This 5th year Delta Gamma sorority girl becomes bewitched with the power of killing men. Until she meets this one guy she actually kinda likes and has to balance her evil with some romance. I really don’t have much to say about this one. It’s just crazy bingeable… an all around good time. Our main character often feels like a caricature whose one quirk is her murderous tendencies, but I didn’t really mind that. Actually, most of the characters leaned into caricatures of themselves… I think that was solely because of the short length of the book. There was probably depth to them, but that depth was something our narrator didn’t really care to disclose… if that makes sense? What I’m trying to say is that this book is story driven. Lol…that took me a while to get there. There was one Easter egg that could have been explored more deeply… I won’t let on if any of you want to read. It was dropped in the first 100 pages and the reveal was pretty unsatisfying. Once again, I didn’t really care. This book was a comfort read for a psychopath. I guess I could see the societal message that was teased out throughout the novel but it was nowhere near the highlight of the book. The true highlight was the romp of it all. I just had a great time. ...more",Notes are private!,0,9,1,"Apr 03, 2024",not set,"Apr 03, 2024",,Kindle Edition,view (with text),/book/show/193438779-kill-for-love
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lapvona,"Moshfegh, Ottessa",,,B09GW3P1KJ,313        pp,3.54,"60,948","Jun 21, 2022","Jun 21, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ottessa Moshfegh fan becomes bigger Ottessa Moshfegh fan through this book.So unlike her usual stuff but her style still pervades through. Her short cOttessa Moshfegh fan becomes bigger Ottessa Moshfegh fan through this book.So unlike her usual stuff but her style still pervades through. Her short choppy sentences serve a bit of a different purpose—while her past works have centered around a central protagonist, this one feels a bit more like an ensemble cast. Set in medieval times, our (kinda) main character Marek is a shepherd’s son who kills his best friend either out of accident or out of jealousy. Just his luck, his best friend is the son of the town lord, and this lord chooses to take Marek in as a replacement son. This book tackles themes of purity, Christianity, suffering, class, and so much more in a spanning yet succinct length. I’m honestly shocked at how Moshfegh was able to kill so many birds with one stone. Someone online called this book a parable, and that’s the only best way to describe it.It can get gross and dirty. It seems like Moshfegh tried to fit every disgusting and depraved thing a human could possibly do, so be forewarned!!! If you’re the type of person to like reading about evil people, go ahead and pick this up. Otherwise, just stray away. All in all though, I think this book must be her most Moshfeghian yet....more",Notes are private!,0,26,1,"Mar 26, 2024",Apr 2024,"Mar 26, 2024",,Kindle Edition,view (with text),/book/show/59693959-lapvona
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cleopatra and Frankenstein,"Mellors, Coco*",1635576814,9781635576818,1635576814,384        pp,3.76,"106,440","Feb 15, 2022","Feb 08, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Reviewing this book on this app finally!!!!! I talked about it on tik tok but blah. One commenter, a proclaimed fan of Cleo & Frank, went on a paragraReviewing this book on this app finally!!!!! I talked about it on tik tok but blah. One commenter, a proclaimed fan of Cleo & Frank, went on a paragraphs-long rampage in my comment section about how I was just so so wrong. So these here are my so so wrong ideas…We start off promising! Cleo & Frank meet. She’s much younger than him, also British, also in need of a visa. Their relationship accelerates into a marriage after a few months despite them not quite knowing each other well enough to be making that decision anyway. Their love tries to tape over every broken part of their relationship, but every crack reaches its critical point of inevitable breakage!!!!I liked this premise. Nothing wrong with the premise or themes here at all okay? The author’s (Coco Mellors) technique is just so elementary it’s palpable. With chapters switching third-person-limited perspectives from one character to another, Mellors pinpoints their every emotion with sharp clarity. Too clear, I’d say. Instead of telling me… maybe… that Cleo is hyperventilating or something, she just says that she’s anxious. No problem with that at all! Except when it’s every single time Mellors conveys emotion. Sooo much telling. Not enough showing!!!! Next up on the chopping block are these meandering side character chapters. So random and rare that I wonder why I’m even in these people’s heads. Why am I getting their perspective. It does not fit in the story. But an exception, I must admit, is character Eleanor’s chapters. Honestly beautiful… Mellors showcased her talent there and then forgot it existed in the rest of the book apparently. Because snooze fest in the latter half of the book. You could not keep me to this. Okay that’s all. I’m just proud I finished. And proud I wrote this ....more",Notes are private!,0,21,1,"Feb 11, 2024","Mar 19, 2024","Feb 11, 2024",,Hardcover,view (with text),/book/show/57693262-cleopatra-and-frankenstein
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Big Swiss,"Beagin, Jen",1982153083,9781982153083,1982153083,336        pp,3.69,"62,736","Feb 07, 2023","Feb 07, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Sexy chef d'oeuvre. Had to sit with my thoughts for a few days before I could even think about touching another book. Seemingly I wasn't ready to leavSexy chef d'oeuvre. Had to sit with my thoughts for a few days before I could even think about touching another book. Seemingly I wasn't ready to leave Hudson, NY, a town Beagin translates as a superficial hodge-podge of people whose only common skill is Instagram (a bit of a stretch, but you had to be there. that was the vibe). Gossiping guilty pleasure and cohabiting bees. Sex therapy and sex performance. Self-transformation and mirrors. Mirror mirror mirror......Perfectly constructed arc. A proper upside-down U shape. At the front end, Greta Work becomes enamored with a certain Swiss client seeing the sex therapist for whom she transcribes. At the tail end, her obsession bites her. Back where we started, and yet completely new. The vultures join their place with black cats as premonitory conspirators, and the depth of every detail realizes this world. I am writing this  in a fragile state of mind, and I don't know if that's showing. I wish I bought this book instead of borrowing from the library. Just need to read again. And buy a pair of donkeys to keep me company....more",Notes are private!,0,23,1,"Jan 28, 2024","Feb 02, 2024","Jan 28, 2024",,Hardcover,view (with text),/book/show/60701439-big-swiss
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Patricia Wants to Cuddle,"Allen, Samantha*",163893004X,9781638930044,163893004X,256        pp,3.57,"11,959","Jun 28, 2022","Jun 28, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Just lovely and the exact thing I needed. Final four on a Bachelor-style reality show face off against a famously gay island’s monstrous beast? Yes plJust lovely and the exact thing I needed. Final four on a Bachelor-style reality show face off against a famously gay island’s monstrous beast? Yes please! I needed something brain dead to read so that my mind could reset, but I ended up being wildly entertained by this wonder of a horror comedy. I defo recommend....more",Notes are private!,0,12,1,"Jan 24, 2024","Jan 27, 2024","Jan 24, 2024",,Hardcover,view (with text),/book/show/59093587-patricia-wants-to-cuddle
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Murder on the Orient Express: The Graphic Novel,"Al-Greene, Bob",0063160358,9780063160354,0063160358,288        pp,4.32,339,unknown,"Sep 12, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I never read the actual Murder on the Orient Express. Matter fact I never once read an Agatha Christie, so I don’t have much to offer in terms of compI never read the actual Murder on the Orient Express. Matter fact I never once read an Agatha Christie, so I don’t have much to offer in terms of comparison to the graphic novel adaptation. But I must say this was SO FUN!!!! There’s a reason she’s hailed as the master of mystery… I was not expecting that ending at all. Bob Al-Greene’s comic book style illustration was just perfect. He perfectly captured the essence of both sides—literary and graphic novel. Wonderful to look at and easy to devour. I loved!!...more",Notes are private!,0,14,1,"Jan 06, 2024","Jan 09, 2024","Jan 06, 2024",,Paperback,view (with text),/book/show/75498147-murder-on-the-orient-express
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Doloriad,"Williams, Missouri*",0374605084,9780374605087,0374605084,240        pp,3.16,"2,481","Mar 01, 2022","Mar 01, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Wtf????? Reaching in the depths of my forgiving heart to understand why. Like just why? The book descended further and further into chaos as I turned Wtf????? Reaching in the depths of my forgiving heart to understand why. Like just why? The book descended further and further into chaos as I turned through the pages of discursive, dense, suffocating paragraphs… maybe that was the point. That’s why I’m giving 3 stars instead of 2. Cause I see where the author was headed in her post-apocalyptic, Old-Testament-inspired, depraved family that had to f*ck each other to prolong the human race. I got the references. I just kinda hated them. Made me uncomfortable and idek if I gained anything from it, except the fact that morality is fickle…. Indeterminable….?? Love the premise, not fond of the execution....more",Notes are private!,0,10,1,"Dec 30, 2023","Jan 04, 2024","Dec 30, 2023",,Paperback,view (with text),/book/show/57845084-the-doloriad
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,White Nights,"Dostoevsky, Fyodor",,,,82        pp,4.05,"149,528",1848,1848,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"My Dostoevsky-adoring sister is gonna hate the 3 star rating but that’s like a 6/10. It’s on par I’d say. White Nights was filled with prose identifyiMy Dostoevsky-adoring sister is gonna hate the 3 star rating but that’s like a 6/10. It’s on par I’d say. White Nights was filled with prose identifying those universally devastating emotions of loneliness and love, and I was left feeling more of the former than the latter. I think it’s that I’m not particularly drawn to classic literature that my itch was not quite scratched. Nonetheless it was pretty solid!...more",Notes are private!,0,8,1,not set,not set,"Dec 29, 2023",,Paperback,view (with text),/book/show/1772910.White_Nights
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eileen,"Moshfegh, Ottessa",1594206627,9781594206627,1594206627,260        pp,3.58,"96,226","Aug 18, 2015","Aug 18, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Also read this one yes it’s true. I’m really annoyed because the state of Nevada is not showing Eileen the film in any theater whatsoever, so I feel lAlso read this one yes it’s true. I’m really annoyed because the state of Nevada is not showing Eileen the film in any theater whatsoever, so I feel like I rushed to finish this for no reason.Definitely feels like a Moshfegh debut. The woman knows what themes she’s interested in exploring, but they’re so blatantly outlined in this story that it sets it apart from the rest of her work (which is more show not tell). I prefer more reading between the lines, but I enjoyed anyway. If you’re ever wondering where to start with her, I think this is a great beginner introduction. ...more",Notes are private!,0,11,1,not set,not set,"Dec 29, 2023",,Hardcover,view (with text),/book/show/23453099-eileen
