,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Steve's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Demon Copperhead,"Kingsolver, Barbara",,,,560        pp,4.51,"397,534","Oct 18, 2022","Oct 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 12, 2023",,Hardcover,view,/book/show/60194162-demon-copperhead
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beyond Weird: Why Everything You Thought You Knew about Quantum Physics Is Different,"Ball, Philip",,,B07H9HNDYL,370        pp,4.10,"1,029","Mar 22, 2018","Oct 18, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jul 10, 2023","Jul 29, 2023","Jul 10, 2023",,Kindle Edition,view,/book/show/41832814-beyond-weird
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Interestings,"Wolitzer, Meg",,,B008U4HH54,480        pp,3.59,"118,444","Apr 09, 2013","Apr 09, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Jun 12, 2023","Jul 10, 2023","Jun 12, 2023",,Kindle Edition,view,/book/show/17226463-the-interestings
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Life: A User's Manual,"Perec, Georges",,,B085GMM4BK,710        pp,4.19,"8,993","May 15, 1978","Jul 01, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,2,0,1,"Jun 11, 2023",not set,"Jun 11, 2023",,Kindle Edition,view,/book/show/53533403-life
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Way the World Ends        (Warmer, #1)","Walter, Jess",1542042321,9781542042321,B07H7CRFYR,42        pp,3.57,"3,408","Oct 30, 2018","Oct 30, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Jun 08, 2023","Jun 11, 2023","Jun 08, 2023",,Kindle Edition,view,/book/show/41945326-the-way-the-world-ends
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Destiny Thief: Essays on Writing, Writers and Life","Russo, Richard*",,,B074S6D61M,216        pp,3.81,"1,008","May 08, 2018","May 08, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,not set,"Jun 08, 2023","Jun 08, 2023",,Kindle Edition,view,/book/show/39129979-the-destiny-thief
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Cold Cold Ground        (Detective Sean Duffy #1),"McKinty, Adrian",,,B07SLDNBT2,322        pp,3.91,"13,768",2012,"May 28, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 15, 2023",not set,"May 15, 2023",,Kindle Edition,view,/book/show/46218517-the-cold-cold-ground
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bartender's Tale,"Doig, Ivan",,,B0085DOTDS,434        pp,4.06,"9,396","Aug 08, 2012","Aug 21, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Apr 25, 2023","May 15, 2023","Apr 25, 2023",,Kindle Edition,view,/book/show/18867430-the-bartender-s-tale
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Slow Horses        (Slough House, #1)","Herron, Mick",,,B004HW7DZ2,336        pp,3.99,"44,570","Jun 01, 2010",Oct 2021,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,7,1,"Apr 04, 2023","Apr 25, 2023","Apr 04, 2023",,Kindle Edition,view,/book/show/59336841-slow-horses
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Oh William!        (Amgash, #3)","Strout, Elizabeth*",0812989430,9780812989434,0812989430,240        pp,3.86,"80,108","Oct 19, 2021","Oct 19, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 22, 2021",,Hardcover,view,/book/show/56294820-oh-william
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Old Filth        (Old Filth Trilogy #1),"Gardam, Jane",,,B079MG1YJQ,287        pp,3.95,"18,279",2004,"Jun 01, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,12,1,"Jun 08, 2021","Jul 28, 2021","Jun 08, 2021",,Kindle Edition,view,/book/show/38473488-old-filth
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shuggie Bain,"Stuart, Douglas*",0802148506,9780802148506,0802148506,430        pp,4.31,"151,845","Feb 11, 2020","Oct 13, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 01, 2020",,Paperback,view,/book/show/55504502-shuggie-bain
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hockey Abstract Presents... Stat Shot: The Ultimate Guide to Hockey Analytics,"Vollman, Rob*",1770909257,9781770909250,B01EXBFMTA,349        pp,4.03,288,unknown,"Sep 13, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 23, 2020",not set,"Aug 23, 2020",,Kindle Edition,view,/book/show/30839022-hockey-abstract-presents-stat-shot
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Fearsome Doubt        (Inspector Ian Rutledge, #6)","Todd, Charles*",,,,384        pp,4.04,"6,149","Oct 01, 2002","Oct 01, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Aug 23, 2020",not set,"Aug 23, 2020",,Kindle Edition,view,/book/show/8266796-a-fearsome-doubt
