,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Maggie's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Verge,"Yuknavitch, Lidia*",0525534873,9780525534877,0525534873,208        pp,3.65,"1,958","Feb 04, 2020","Feb 04, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Aug 12, 2023","Aug 14, 2023","Aug 12, 2023",,Hardcover,view,/book/show/45280901-verge
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nectar in a Sieve,"Markandaya, Kamala",0451528239,9780451528230,0451528239,186        pp,3.68,"10,280",unknown,2002,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Aug 06, 2023","Aug 06, 2023","Aug 06, 2023",,Mass Market Paperback,view,/book/show/101509.Nectar_in_a_Sieve
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Raise High the Roof Beam, Carpenters & Seymour: An Introduction","Salinger, J.D.",0316766941,9780316766944,0316766941,256        pp,4.11,"51,143",1955,"Jan 30, 2001",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jul 14, 2023","Jul 17, 2023","Jul 14, 2023",,Paperback,view,/book/show/5114.Raise_High_the_Roof_Beam_Carpenters_Seymour
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Burnt-Out Case,"Greene, Graham",0099478439,9780099478430,0099478439,192        pp,3.93,"4,991",1960,2004,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 13, 2023","Jul 13, 2023","Jul 13, 2023",,Paperback,view,/book/show/347629.A_Burnt_Out_Case
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Oh What a Paradise It Seems,"Cheever, John",0679737855,9780679737858,0679737855,112        pp,3.47,"1,608",1977,"Jan 15, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 09, 2023","Jul 09, 2023","Jul 09, 2023",,Paperback,view,/book/show/11885.Oh_What_a_Paradise_It_Seems
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Labyrinths: Selected Stories & Other Writings,"Borges, Jorge Luis",0811200124,9780811200127,0811200124,260        pp,4.45,"31,697",1962,1964,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jul 09, 2023","Aug 06, 2023","May 28, 2023",,Paperback,view,/book/show/17717.Labyrinths
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Independent People,"Laxness, Halldór",0679767924,9780679767923,0679767924,482        pp,4.14,"12,429",1934,"Jan 14, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 28, 2023",,Paperback,view,/book/show/77287.Independent_People
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Silent Cry,"Ōe, Kenzaburō",1852426020,9781852426026,1852426020,274        pp,3.85,"3,967",1967,1998,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 28, 2023","Jul 09, 2023","May 28, 2023",,Paperback,view,/book/show/25193.The_Silent_Cry
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Gangster We Are All Looking For,Lê Thi Diem Thúy,0375700021,9780375700026,0375700021,160        pp,3.67,"2,875",2003,"May 11, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"May 28, 2023","Jul 14, 2023","May 28, 2023",,Paperback,view,/book/show/206223.The_Gangster_We_Are_All_Looking_For
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Collective,"Lee, Don*",0393083217,9780393083217,0393083217,310        pp,3.60,"1,040","Jul 09, 2012","Jul 16, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 04, 2023","May 04, 2023","May 04, 2023",,Hardcover,view,/book/show/13162822-the-collective
