,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Mark's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Yellow Dog        (Maigret #6),"Simenon, Georges",0141393475,9780141393476,0141393475,134        pp,3.69,"4,804",1931,"Aug 26, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 03, 2024","Apr 08, 2024","Apr 08, 2024",,Paperback,view,/book/show/18774736-the-yellow-dog
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Table for Two,"Towles, Amor*",0593296370,9780593296370,0593296370,464        pp,4.38,789,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Hardcover,view,/book/show/195474144-table-for-two
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Refiner’s Fire        (The Commissario Guido Brunetti Mysteries, #33)","Leon, Donna",0802162541,9780802162540,0802162541,288        pp,4.40,5,unknown,"Jul 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Hardcover,view,/book/show/175749504-a-refiner-s-fire
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Carter of 'La Providence'        (Maigret, #2)","Simenon, Georges",0141393467,9780141393469,0141393467,154        pp,3.65,"3,115",Mar 1931,"Apr 01, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 26, 2024","Apr 02, 2024","Mar 26, 2024",,Paperback,view,/book/show/18114332-the-carter-of-la-providence
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Hanged Man of Saint-Pholien        (Maigret, #4)","Simenon, Georges",0141393459,9780141393452,0141393459,137        pp,3.83,"3,353",1931,"Feb 11, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 18, 2024","Mar 25, 2024","Mar 20, 2024",,Paperback,view,/book/show/18114333-the-hanged-man-of-saint-pholien
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Late Monsieur Gallet        (Maigret, #3)","Simenon, Georges",0141393378,9780141393377,0141393378,176        pp,3.72,"3,360",Feb 1931,"Jan 28, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 12, 2024","Mar 18, 2024","Mar 20, 2024",,Paperback,view,/book/show/18114334-the-late-monsieur-gallet
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,North Woods,"Mason, Daniel*",0593597036,9780593597033,0593597036,372        pp,4.18,"27,248","Sep 19, 2023","Sep 19, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a very inventive novel. It is also quite intense in that you get very involved with the characters and situations, all of which are transitoryThis is a very inventive novel. It is also quite intense in that you get very involved with the characters and situations, all of which are transitory. It sometimes reminded me of Lauren Groff and The Vaster Wilds and also of Maggie O’Farrell in style and tone. It is intense and compelling. ...more",Notes are private!,0,0,2,"Mar 18, 2024not set","Apr 11, 2024not set","Mar 15, 2024",,Hardcover,view (with text),/book/show/71872930-north-woods
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Once Upon a River,"Setterfield, Diane*",0743298071,9780743298070,0743298071,464        pp,3.95,"90,193","Dec 03, 2018","Dec 04, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Hardcover,view,/book/show/40130093-once-upon-a-river
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Mona of the Manor        (Tales of the City, #10)","Maupin, Armistead",0062973592,9780062973597,0062973592,256        pp,4.23,814,"Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Hardcover,view,/book/show/173955333-mona-of-the-manor
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,About Ed,"Glück, Robert",1681377772,9781681377773,B0BVTBKNLB,254        pp,3.79,117,unknown,"Nov 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Kindle Edition,view,/book/show/122897406-about-ed
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pietr the Latvian        (Maigret #1),"Simenon, Georges",0141392738,9780141392738,0141392738,162        pp,3.47,"8,367",1930,"Jan 28, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 03, 2024","Mar 09, 2024","Mar 09, 2024",,Paperback,view,/book/show/18114335-pietr-the-latvian
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maigret's Failure: Inspector Maigret #49,"Simenon, Georges",024130380X,9780241303801,024130380X,0        pp,3.80,5,unknown,"Nov 02, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 26, 2024","Mar 02, 2024","Mar 02, 2024",,ebook,view,/book/show/60441156-maigret-s-failure
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Frederick Douglass: Prophet of Freedom,"Blight, David W.",1416590315,9781416590316,1416590315,888        pp,4.15,"11,253","Oct 16, 2018","Oct 16, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 26, 2024",not set,"Feb 26, 2024",,Hardcover,view,/book/show/38530663-frederick-douglass
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maigret in New York        (Inspector Maigret #27),"Simenon, Georges",0241206367,9780241206362,0241206367,192        pp,3.55,"1,212",1946,"Jul 26, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 22, 2024","Feb 25, 2024","Feb 26, 2024",,Paperback,view,/book/show/27405659-maigret-in-new-york
