,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Gillian's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Body Kintsugi,"Marić, Senka",1908670738,9781908670731,1908670738,168        pp,4.17,422,2018,"Oct 04, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Paperback,view,/book/show/59737419-body-kintsugi
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sociopath,"Gagne, Patric",166800318X,9781668003183,166800318X,368        pp,4.15,846,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Hardcover,view,/book/show/176443093-sociopath
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to End a Love Story,"Kuang, Yulin*",0063310686,9780063310681,0063310686,384        pp,4.16,"1,233","Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Paperback,view,/book/show/63247365-how-to-end-a-love-story
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Margo's Got Money Troubles,"Thorpe, Rufi*",0063356589,9780063356580,0063356589,304        pp,4.34,372,"Jun 11, 2024","Jun 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Hardcover,view,/book/show/199534613-margo-s-got-money-troubles
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Things You Can See Only When You Slow Down: How to Be Calm in a Busy World,"Sunim, Haemin",0143130773,9780143130772,0143130773,288        pp,4.05,"35,768","Jan 13, 2012","Feb 07, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/30780006-the-things-you-can-see-only-when-you-slow-down
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Blinds,"Sternbergh, Adam*",0062661345,9780062661340,0062661345,382        pp,3.72,"9,189","Aug 01, 2017","Aug 01, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2024",,Hardcover,view,/book/show/32600769-the-blinds
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Motherthing,"Hogarth, Ainslie*",0593467027,9780593467022,0593467027,288        pp,3.69,"17,801","Sep 27, 2022","Sep 27, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Paperback,view,/book/show/60097451-motherthing
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Happy Hour,"Granados, Marlowe",1989919006,9781989919002,1989919006,280        pp,3.51,"20,282","Sep 08, 2020","Sep 08, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Paperback,view,/book/show/54173267-happy-hour
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Month in the Country,"Carr, J.L.",0940322471,9780940322479,0940322471,160        pp,4.12,"15,905",1980,"Oct 31, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Paperback,view,/book/show/60707.A_Month_in_the_Country
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Blood of Dragons        (The Rain Wild Chronicles, #4)","Hobb, Robin*",0007444133,9780007444137,0007444133,535        pp,4.17,"31,579","Mar 01, 2013","Mar 01, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Hardcover,view,/book/show/17393102-blood-of-dragons
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hope Ablaze,"Rana, Sarah Mughal*",1250899311,9781250899316,1250899311,384        pp,4.02,313,unknown,"Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Hardcover,view,/book/show/127305997-hope-ablaze
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Blue, Beautiful World","Lord, Karen",0593598431,9780593598436,0593598431,256        pp,3.11,430,"Aug 29, 2023","Aug 29, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/63946933-the-blue-beautiful-world
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nightbloom,"Medie, Peace Adzo",1643752847,9781643752846,1643752847,352        pp,3.96,"1,258","Jun 13, 2023","Jun 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/62874316-nightbloom
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"River East, River West","Lescure, Aube Rey",0063257858,9780063257856,0063257858,352        pp,4.04,872,"Jan 09, 2024","Jan 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/127823210-river-east-river-west
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,And Then She Fell,"Elliott, Alicia*",0593473086,9780593473085,0593473086,368        pp,3.96,"1,921","Sep 26, 2023","Sep 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/75500819-and-then-she-fell
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Trace of Sun,"Williams, Pam",1915643368,9781915643360,B0CFDLN6KQ,389        pp,3.86,83,unknown,"Mar 01, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Kindle Edition,view,/book/show/196230296-a-trace-of-sun
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,8 Lives of a Century-Old Trickster,"Lee, Mirinae",0063240424,9780063240421,0063240424,304        pp,3.95,"1,033","May 04, 2023","Jun 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/62949047-8-lives-of-a-century-old-trickster
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Enter Ghost,"Hammad, Isabella*",080216238X,9780802162380,080216238X,336        pp,4.08,"2,088","Apr 04, 2023","Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/59725231-enter-ghost
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Brotherless Night,"Ganeshananthan, V.V.*",0812997158,9780812997156,0812997158,348        pp,4.44,"2,024","Jan 03, 2023","Jan 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/60324341-brotherless-night
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Maiden,"Foster, Kate*",1529091721,9781529091724,1529091721,384        pp,4.10,"1,935","Apr 27, 2023","Apr 27, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/63106877-the-maiden
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Love & Olives        (Love & Gelato, #3)","Welch, Jenna Evans*",1534448837,9781534448834,1534448837,506        pp,4.01,"26,065","Nov 10, 2020","Nov 10, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2024",,Hardcover,view,/book/show/52765415-love-olives
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Love & Luck        (Love & Gelato, #2)","Welch, Jenna Evans*",,,,303        pp,3.64,"38,029","May 08, 2018","May 08, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2024",,Hardcover,view,/book/show/32333026-love-luck
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Love & Gelato        (Love & Gelato, #1)","Welch, Jenna Evans*",1481432540,9781481432542,1481432540,386        pp,4.05,"144,700","May 03, 2016","May 03, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2024",,Hardcover,view,/book/show/25756328-love-gelato
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Yolk,"Choi, Mary H.K.",,,,400        pp,3.98,"27,010","Mar 02, 2021","Mar 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,,view,/book/show/43562313-yolk
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Days at the Morisaki Bookshop        (Days at the Morisaki Bookshop, #1)","Yagisawa, Satoshi",0063278677,9780063278677,0063278677,150        pp,3.66,"57,283","Sep 07, 2010","Jul 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/62047992-days-at-the-morisaki-bookshop
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tender is the Flesh,"Bazterrica, Agustina",1982150920,9781982150921,1982150920,209        pp,3.80,"205,035","Nov 29, 2017","Aug 04, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Paperback,view,/book/show/49090884-tender-is-the-flesh
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cleopatra and Frankenstein,"Mellors, Coco*",1635576814,9781635576818,1635576814,384        pp,3.76,"106,397","Feb 15, 2022","Feb 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Hardcover,view,/book/show/57693262-cleopatra-and-frankenstein
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Year of Rest and Relaxation,"Moshfegh, Ottessa",0525522131,9780525522133,0525522131,289        pp,3.64,"394,816","Jul 10, 2018","Jun 25, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Paperback,view,/book/show/44279110-my-year-of-rest-and-relaxation
