,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Emily's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What am I Missing?,"Turrell, Emma Reed",0241624983,9780241624982,0241624983,328        pp,4.20,5,unknown,"Apr 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Hardcover,view,/book/show/179946103-what-am-i-missing
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Buddhism & the Twelve Steps Daily Reflections: Thoughts on Dharma and Recovery,"Griffin, Kevin",,,B08RCVR4T4,403        pp,4.76,38,unknown,"Dec 26, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2024",,Kindle Edition,view,/book/show/56438017-buddhism-the-twelve-steps-daily-reflections
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hotel Avocado,"Mortimer, Bob",139852963X,9781398529632,B0CW1C7297,0        pp,0.00,0,unknown,"Aug 29, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Kindle Edition,view,/book/show/210352077-the-hotel-avocado
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Who's Afraid of Gender?,"Butler, Judith",0374608229,9780374608224,0374608229,320        pp,4.02,176,unknown,"Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/127282429-who-s-afraid-of-gender
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Annie Bot,"Greer, Sierra*",0008584583,9780008584580,B0CFQ4NVJF,300        pp,3.85,"8,002","Mar 19, 2024","Mar 14, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,As well as loving the cover I really enjoyed the content and found myself unable to stop reading.  The relationship between Annie and Doug was fascinaAs well as loving the cover I really enjoyed the content and found myself unable to stop reading.  The relationship between Annie and Doug was fascinating. At times Doug's displeasure was palpable but wasn't uncomfortable....more,Notes are private!,0,23,1,"Mar 30, 2024",Apr 2024,"Mar 24, 2024",,Kindle Edition,view (with text),/book/show/196857927-annie-bot
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bright Young Women,"Knoll, Jessica*",1509840001,9781509840007,1509840001,400        pp,4.03,"87,255","Sep 19, 2023","Sep 26, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,4.5,Notes are private!,0,14,1,"Mar 23, 2024","Mar 27, 2024","Mar 23, 2024",,Paperback,view (with text),/book/show/124954862-bright-young-women
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Worry,"Tanner, Alexandra*",1668018616,9781668018613,1668018616,304        pp,3.66,681,"Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2024",,Hardcover,view,/book/show/176443441-worry
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Angels in America,"Kushner, Tony",1559362316,9781559362313,1559362316,304        pp,4.29,"21,493","May 01, 1993","Nov 01, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Paperback,view,/book/show/72003.Angels_in_America
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On the Move: A Life,"Sacks, Oliver",1447264045,9781447264040,1447264045,397        pp,4.02,"20,577",Apr 2015,"May 01, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/26827162-on-the-move
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House of Hidden Meanings,RuPaul,0008614962,9780008614966,B0CJTBS4RW,256        pp,3.94,"5,229","Mar 06, 2024","Mar 05, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Mar 20, 2024","Mar 23, 2024","Mar 19, 2024",,Kindle Edition,view,/book/show/199921068-the-house-of-hidden-meanings
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Pachinko Parlour,"Dusapin, Elisa Shua",1922585173,9781922585172,1922585173,176        pp,3.62,"6,346",Aug 2018,"Aug 30, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Apr 09, 2024","Apr 10, 2024","Mar 19, 2024",,Paperback,view,/book/show/60491018-the-pachinko-parlour
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Private Rites,"Armfield, Julia",0008608032,9780008608033,0008608032,208        pp,4.31,52,"Dec 03, 2024","Jun 06, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"2.5Thank you to netgalley and the publishers for a copy of this book.This is the first book by Julia Armfield that I've read. I requested an ARC becau2.5Thank you to netgalley and the publishers for a copy of this book.This is the first book by Julia Armfield that I've read. I requested an ARC because of all the glowing pre s on goodreads and everyone's excitement about this future release. However, it was not what I was expecting. Although this is a well written novel, it didn't entertain me....more",Notes are private!,0,4,1,"Mar 23, 2024","Mar 30, 2024","Mar 19, 2024",,Hardcover,view (with text),/book/show/199645404-private-rites
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Coexistence: Stories,"Belcourt, Billy-Ray*",1324075945,9781324075943,1324075945,176        pp,4.67,30,"May 21, 2024","May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Paperback,view,/book/show/200058329-coexistence
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,You Have Too Much Shit,"Thomas, Chris",,,,20        pp,3.56,264,"Jan 01, 2014",2014,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 18, 2024","Mar 18, 2024","Mar 17, 2024",,ebook,view,/book/show/24322942-you-have-too-much-shit
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wellness,"Hill, Nathan",0593536118,9780593536117,0593536118,607        pp,4.01,"33,194","Sep 26, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Hardcover,view,/book/show/65650229-wellness
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Siddhartha,"Hesse, Hermann",0141189576,9780141189574,0141189576,121        pp,4.07,"771,361",1922,"Sep 23, 2008",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,6,1,"Mar 13, 2024","Mar 20, 2024","Mar 13, 2024",,Paperback,view,/book/show/4986731-siddhartha
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Erasure,"Everett, Percival",0786888156,9780786888153,0786888156,280        pp,4.20,"11,374",2001,"Oct 02, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 13, 2024",,Paperback,view,/book/show/355862.Erasure
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The City and Its Uncertain Walls,"Murakami, Haruki",1787304477,9781787304475,1787304477,448        pp,3.83,722,"Apr 13, 2023","Nov 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/205358060-the-city-and-its-uncertain-walls
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Kind Of Alaska: A Play,"Pinter, Harold",057312129X,9780573121296,057312129X,40        pp,3.71,105,1985,"Nov 01, 1985",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2024",,Paperback,view,/book/show/74089.A_Kind_Of_Alaska
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When the Body Says No: The Cost of Hidden Stress,"Maté, Gabor",0676973124,9780676973129,0676973124,320        pp,4.23,"21,923",2003,"Feb 01, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Mar 13, 2024","Mar 23, 2024","Mar 06, 2024",,Paperback,view,/book/show/450534.When_the_Body_Says_No
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Toxic Positivity: Keeping It Real in a World Obsessed with Being Happy,"LMFT, Whitney Goodman",0593418271,9780593418277,0593418271,304        pp,3.87,"3,717","Jan 25, 2022","Feb 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 28, 2024",,Hardcover,view,/book/show/58082233-toxic-positivity
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Oxford,"Rice, Matthew",071124720X,9780711247208,B07Z9DXS1C,208        pp,4.16,25,"Oct 15, 2019","Oct 15, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 28, 2024",,Kindle Edition,view,/book/show/204260652-oxford
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Relationality: How Moving from Transactional to Transformational Relationships Can Reshape Our Lonely World,"Jay, David",,9798889840541,B0CP3DSQ6M,280        pp,0.00,0,unknown,"Aug 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Paperback,view,/book/show/202777342-relationality
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What My Bones Know: A Memoir of Healing from Complex Trauma,"Foo, Stephanie*",0593238109,9780593238103,0593238109,352        pp,4.52,"43,043","Feb 22, 2022","Feb 22, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Hardcover,view,/book/show/58214328-what-my-bones-know
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Bright Ray of Darkness,"Hawke, Ethan",0385352387,9780385352383,0385352387,237        pp,3.73,"6,108",unknown,"Feb 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Hardcover,view,/book/show/54875689-a-bright-ray-of-darkness
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Meadowlark: A Coming-of-Age Crime Story,"Hawke, Ethan",1538714574,9781538714577,1538714574,256        pp,3.45,525,"Aug 10, 2021","Aug 10, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Hardcover,view,/book/show/55648817-meadowlark
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Gift of Therapy: An Open Letter to a New Generation of Therapists and Their Patients,"Yalom, Irvin D.",0060938110,9780060938116,0060938110,288        pp,4.32,"23,546","Dec 24, 2001","Jan 01, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Paperback,view,/book/show/21025.The_Gift_of_Therapy
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fight Club 3,"Palahniuk, Chuck*",1506711782,9781506711782,1506711782,328        pp,2.84,809,"Apr 14, 2020","Apr 28, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Hardcover,view,/book/show/51807884-fight-club-3
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beautiful You,"Palahniuk, Chuck*",0385538030,9780385538039,0385538030,240        pp,3.04,"18,443","Oct 21, 2014","Oct 21, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Hardcover,view,/book/show/19523454-beautiful-you
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Women Widowed to Themselves,"Mathis, Lora*",,,,unknown,4.07,164,"Jul 15, 2015","Jul 15, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,,view,/book/show/25838579-the-women-widowed-to-themselves
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Plain Janey,"McDonald, Nicola",,9781838597535,,248        pp,3.14,7,unknown,"Nov 28, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,ebook,view,/book/show/49702141-plain-janey
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Sad Ghost Club, Vol. 2","Meddings, Lize",1444957546,9781444957549,1444957546,247        pp,4.09,"4,906","Jan 06, 2022","Jan 06, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2024",,Paperback,view,/book/show/59121876-the-sad-ghost-club-vol-2
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Code Dependent: Living in the Shadow of AI,"Murgia, Madhumita",1250867398,9781250867391,1250867398,320        pp,3.95,59,"Mar 21, 2024","Jun 18, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 16, 2024",,Hardcover,view,/book/show/127282778-code-dependent
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Know a Person: The Art of Seeing Others Deeply and Being Deeply Seen,"Brooks, David",059323006X,9780593230084,B0BV65SS5X,304        pp,4.19,"8,948","Oct 24, 2023","Oct 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,Hardcover,view,/book/show/112974860-how-to-know-a-person
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dear Oliver: An Unexpected Friendship with Oliver Sacks,"Barry, Susan R.",1891011308,9781891011306,1891011308,256        pp,4.55,20,unknown,"Jan 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 14, 2024",,Hardcover,view,/book/show/181203005-dear-oliver
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,James Acaster's Classic Scrapes,"Acaster, James",,9781472267382,,302        pp,4.19,"13,981","Feb 19, 2019",2018,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Feb 15, 2024","Feb 17, 2024","Feb 14, 2024",,Paperback,view,/book/show/50911978-james-acaster-s-classic-scrapes
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"His Last Bow        (Sherlock Holmes, #8)","Doyle, Arthur Conan",0755334434,9780755334438,0755334434,242        pp,4.24,"45,162",1917,"Dec 18, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Feb 12, 2024",,Paperback,view,/book/show/754713.His_Last_Bow
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Valley of Fear        (Sherlock Holmes, #7)","Doyle, Arthur Conan",0141395567,9780141395562,0141395567,240        pp,3.96,"47,841","Feb 27, 1915","Sep 04, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 22, 2024","Feb 26, 2024","Feb 12, 2024",,Paperback,view,/book/show/23157071-the-valley-of-fear
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"If You Leave Me, Can I Come with You?: Daily Meditations for Codependents and Al-Anons . . . with a Sense of Humor","B., Misti*",,,B014T7IK3I,400        pp,4.02,47,"Aug 11, 2015","Aug 11, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2024",,Kindle Edition,view,/book/show/26215573-if-you-leave-me-can-i-come-with-you
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Imogen, Obviously","Albertalli, Becky*",0063045877,9780063045873,0063045877,432        pp,4.26,"18,227","May 02, 2023","May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 11, 2024",,Hardcover,view,/book/show/61896624-imogen-obviously
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Taylor Swift Lines To Live By,"Press, Pop",1529149398,9781529149395,1529149398,128        pp,4.14,113,unknown,"Jun 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 10, 2024","Feb 10, 2024","Feb 10, 2024",,Hardcover,view,/book/show/59564306-taylor-swift-lines-to-live-by
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Windsor Knot        (Her Majesty the Queen Investigates #1),"Bennett, S.J.*",1838774319,9781838774318,1838774319,330        pp,3.52,"23,647",unknown,2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 09, 2024",,Paperback,view,/book/show/58341875-the-windsor-knot
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Prophet Song,"Lynch, Paul*",,,B0C5Y3JG4S,259        pp,4.15,"26,578","Aug 24, 2023","Aug 24, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Feb 06, 2024","Feb 08, 2024","Feb 06, 2024",,Kindle Edition,view,/book/show/158875813-prophet-song
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Return of Sherlock Holmes        (Sherlock Holmes, #6)","Doyle, Arthur Conan",014103436X,9780141034362,014103436X,394        pp,4.28,"64,716",1905,"Mar 04, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 12, 2024","Feb 16, 2024","Feb 06, 2024",,Mass Market Paperback,view,/book/show/3078281-the-return-of-sherlock-holmes
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Mysterious Affair at Styles        (Hercule Poirot, #1)","Christie, Agatha",1734452595,9781734452594,1734452595,174        pp,4.00,"423,443","Jan 01, 1920","Jan 02, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 03, 2024",,Paperback,view,/book/show/52843028-the-mysterious-affair-at-styles
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Satsuma Complex,"Mortimer, Bob",139852123X,9781398521230,139852123X,297        pp,3.69,"30,955","Oct 27, 2022","May 25, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,6,1,"Feb 03, 2024","Feb 04, 2024","Feb 03, 2024",,Paperback,view,/book/show/102187971-the-satsuma-complex
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Everyone I Know is Dying,"Slapper, Emily",0008629129,9780008629120,B0CQKWJ5XG,352        pp,3.91,23,unknown,"Jul 18, 2024",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Thanks to the author, netgalley and the publishers for allowing me an ARC in exchange for my .2.5 This might be a case of 'it's me, not you'. MaThanks to the author, netgalley and the publishers for allowing me an ARC in exchange for my .2.5 This might be a case of 'it's me, not you'. Maybe I have just grown out of this genre. I found the main character unlikeable, which isn't always a bad thing and something I had enjoyed in other reads. However, she was incredibly frustrating and self sabotaging that it sort of grated on me. I felt like some parts were unnecessary or made me think it was going one way but in fact it had little relevance to the story regally. Therefore, I felt it might have been better as a short story....more",Notes are private!,0,29,1,"Feb 10, 2024","Feb 14, 2024","Feb 02, 2024",,Kindle Edition,view (with text),/book/show/204041701-everyone-i-know-is-dying
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Keanu Reeves is Not in Love With You: The Murky World of Online Romance Fraud,"Holmes, Becky",1789651638,9781789651638,1789651638,288        pp,4.09,372,unknown,"Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Paperback,view,/book/show/194028309-keanu-reeves-is-not-in-love-with-you
