,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Amy's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Happy Medium,"Adler, Sarah*",0593547810,9780593547816,0593547810,416        pp,4.23,273,"Apr 30, 2024","Apr 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Paperback,view,/book/show/195430708-happy-medium
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"This Could Be Us        (Skyland, #2)","Ryan, Kennedy*",1538706822,9781538706824,1538706822,416        pp,4.49,"9,677","Mar 05, 2024","Mar 05, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I am thrilled that Kennedy Ryan will join the Book Gang Podcast in March. ***This novel will undoubtedly be one of the best romances you will read thiI am thrilled that Kennedy Ryan will join the Book Gang Podcast in March. ***This novel will undoubtedly be one of the best romances you will read this year. Ryan always builds something emotionally unexpected into her gorgeous plot- a signature I appreciate in her books. For this novel, it is a well-documented journey of parenting an autistic child. This beautiful journey mirrored many of our family moments that I'm so grateful to see here.Kennedy Ryan opens this story with an author's note about her decision to include this in her storyline. As the mother of an autistic child, she wanted to make sure that when she shared this journey, she could give this storyline the care and beauty it deserved. It shows on every page. Mixed into this slow-burn friends-to-lovers romance is a single dad navigating an amicable divorce and raising autistic twins. We also have a woman who discovers herself FIRST, creating a gorgeous story of the beauty that can be found after divorce. While this is the second in the Skyland series, you could read this as a standalone, BUT WHY WOULD YOU? I know you'll love this as much as me- this series is exceptional.***Thank you to Forever Publishing for the advanced reader copy for our show. This novel hits store shelves on March 5th....more",Notes are private!,0,6,1,not set,"Feb 10, 2024","Feb 10, 2024",,Paperback,view (with text),/book/show/182762109-this-could-be-us
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bluff,"Kardos, Michael*",0802128041,9780802128041,0802128041,280        pp,3.97,"1,684","Apr 03, 2018","Apr 03, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Thank you to Michael Kardos for participating in the Book Gang Author Series to discuss this thriller on Patreon with the MomAdvice Book Club Click h Thank you to Michael Kardos for participating in the Book Gang Author Series to discuss this thriller on Patreon with the MomAdvice Book Club Click here to tune in! I have read a lot of con artist novels over the years, but this 2018 backlist selection is my new favorite. Published in 2018, Book Gang Podcast guest Julia Whelan was the audiobook narrator for this novel and praised it as a fantastic under-the-radar selection that she wishes more people would read. The concept is such a clever one. Magician Natalie Webb, once a rising star in the world of card tricks, is now a washed-up has-been at twenty-seven. After a gig goes horribly wrong, she finds herself in financial debt due to an impending lawsuit. She takes on a freelance writing assignment to give an insider look at the art of cheating at cards to make ends meet. But when she becomes enveloped in the world of a mesmerizing cardshark, her journalistic endeavor becomes a personal test. She makes a dangerous proposition with the player to execute a $1.5 million magic trick that could change her fate forever.I selected this book not only to discuss Kardos's research on card tricks but also because it delivered some of the best plot twists I've read this year. Each time I thought I had gotten to the bottom of the story, Kardos threw in one more wrench. The characters aren't the only ones with a well-thought sleight of hand; the author delivers, too. Equal parts thriller and mystery, I recommend that you listen to this on audiobook! While the paper copy offers some fun handwritten notes, Whelan's performance is captivating and enhances this selection greatly. I will be surprised if it doesn't become one of your favorites of the year. I'm so grateful to Julia Whelan for this recommendation, which has been an enormous hit with our readers. Michael Kardos is so genuine and enthusiastic about his storytelling that I can't recommend his appearance enough if you choose his thriller for your book club. ...more",Notes are private!,0,5,1,not set,not set,"Jan 19, 2024",,Hardcover,view (with text),/book/show/36452743-bluff
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dissonance,"Hamill, Shaun*",1835410200,9781835410202,B0CNHY8FHN,0        pp,4.09,11,"Jul 23, 2024","Jul 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 27, 2023",,Kindle Edition,view,/book/show/202296030-the-dissonance
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mother-Daughter Murder Night,"Simon, Nina*",0063315068,9780063315068,B0BP2G8JVD,352        pp,3.59,"53,380","Sep 05, 2023","Sep 05, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Listen to Nina Simon on the Book Gang Podcast NOW! We discuss The Remarkable Murder Mystery That Changed Everything Click here to tune in! If you loveListen to Nina Simon on the Book Gang Podcast NOW! We discuss The Remarkable Murder Mystery That Changed Everything Click here to tune in! If you love the show, please consider joining my Patreon. A former NASA engineer, Nina Simon, wrote this debut mystery with her mom while undergoing cancer treatment to pass their time together. When Nina's mother battled stage 4 cancer in late 2020, it prompted her to leave her CEO position and care for her. Amidst the challenges, Nina and her mother found solace in their shared love for murder mysteries, leading them to write a mystery book of their own to keep them busy during their long days in the hospital room. I loved hearing about the therapeutic power of creativity, courage, and resilience that emerged through the act of storytelling that bonded Nina and her mother during this challenging period.  This heartwarming family drama within a mystery introduces readers to an unlikely trio of amateur sleuths—a spirited grandmother, a determined single mother, and a curious teenage girl—bonding together to unravel a perplexing murder. Lana Rubicon, a powerful real estate magnate accustomed to the bustling life of Los Angeles, finds her world shattered by a cancer diagnosis. She must move to a sleepy coastal town with her estranged daughter Beth and granddaughter Jack as she finds her life at a standstill.However, their life takes a sharp turn when Jack stumbles upon a lifeless body during a kayaking excursion. Suddenly entangled in a murder investigation, the three generations of Rubicon women embark on a little amateur sleuthing as they discover Jack is the main suspect in the investigation. This novel will satisfy slow-burn mystery readers who appreciate the setting as much as they do their characters. She writes the characters distinctly and depicts a beautiful ending for these three women. I can admit, though, that what really enhanced this book was hearing about Nina's publishing journey and how this project gave her and her mother something to do in their darkest moments. Nina's joy is infectious, and I can't wait to see what she writes next. Patrons can enjoy a spoiler-filled episode with Nina to discuss the revealed killer and what Nina wanted to achieve with her ending. Thank you to William Morrow for the advanced copy and the opportunity to participate in this beautiful book launch. Mother-Daughter Murder Night hits store shelves on September 5th....more",Notes are private!,0,10,1,"Jul 31, 2023","Sep 04, 2023","Jul 31, 2023",,Kindle Edition,view (with text),/book/show/62624592-mother-daughter-murder-night
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Girls We Sent Away,"Church, Meagan*",1728257182,9781728257181,1728257182,352        pp,4.07,"1,250","Mar 05, 2024","Mar 05, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Listen to Meagan Church on the Book Gang Podcast NOW! We discuss The Best Book Club Books to Discuss Now Click here to tune in! If you love the show, Listen to Meagan Church on the Book Gang Podcast NOW! We discuss The Best Book Club Books to Discuss Now Click here to tune in! If you love the show, please consider joining my Patreon.*****Church's eerie opening sent shivers down my spine. A teen girl in a stretched-out swimsuit is working her shift as a lifeguard at her community pool. As the strap to her swimsuit falls, it catches the eye of a father who has forgotten to keep an eye on his child. At this moment, his daughter begins to drown in the middle of the pool, and the fearless lifeguard, Lorraine, dives in to save her. It is as though Church is setting the scene for her reader that girls must protect themselves. If you haven't heard of The Baby Scoop Era, this period, roughly from the late 1940s to the early 1970s, is when many unmarried pregnant women were often coerced, pressured, or forced to relinquish their babies for adoption. As widespread social stigma was attached to unwed mothers, many saw adoption as a more socially acceptable outcome than single motherhood. This page-turner story, set in the 1960s, examines this era with fresh eyes as Lorraine, a gifted teen girl, navigates an unexpected pregnancy during her senior year of high school. Curious and bright, she has aspirations to be an astronaut one day. We are reminded in evocative detail of these dreams for her future as she looks to the sky and imagines a different life for herself as a very different story unfolds on the page. When Lorraine discovers the pregnancy, she receives little information about what is happening in her body or the process. Instead, sent to a maternity home for teen girls, the parents pray that no one will ever know of her shameful secret. Lorraine's shame is palatable, but for the boy involved, this is barely a blip in his promising future. As societal expectations and familial pressures ground Lorraine, Church examines the underbelly of perfect picket fences and suburban dreams. We then realize everyone has a shameful secret that could have grounded them at some point. While these women's experiences varied widely during this time, many throughout this era faced isolation, shame, and psychological distress as they navigated the process of pregnancy, childbirth, and relinquishment. Church deeply humanizes this experience like few books have, with a raw and unfiltered lens through the eyes of a teen girl with few choices. Well-crafted plot twists and shifting narration add to well-timed tension on every page. This historical fiction novel is another tour de force that showcases the author's magnificent lens at, once again, showcasing the harrowing and untold stories of girls that we need to read. Thank you to Sourcebooks for an advanced reader. This novel will be published on March 5, 2023...more",Notes are private!,0,20,1,"Jul 31, 2023","Aug 28, 2023","Jul 31, 2023",,Paperback,view (with text),/book/show/157020056-the-girls-we-sent-away
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Colton Gentry's Third Act,"Zentner, Jeff*",,,,unknown,4.49,180,"Apr 30, 2024",unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 28, 2023",,,view,/book/show/63000445-colton-gentry-s-third-act
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sunshine Girls,"Fader, Molly*",,,B09P1MTCVH,352        pp,4.23,"8,643","Dec 06, 2022","Dec 06, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Listen to Molly Fader on the Book Gang Podcast NOW! We discuss The Magic of Old Hollywood Books on our show this week. Click here to tune in! If you lListen to Molly Fader on the Book Gang Podcast NOW! We discuss The Magic of Old Hollywood Books on our show this week. Click here to tune in! If you love the show, please consider joining my Patreon.****This historical fiction novel has undoubtedly earned a spot on my list of best books of the year. I'm so thankful for the podcast preparation that brought me to this incredible book discovery. While Molly Fader may be a new writer to me, she is well-known as the award-winning author of more than 40 romance novels under the pennames Molly O'Keefe and M. O'Keefe.Inspired by Fader's mother's career in nursing, this novel delves into the layers of tender and enduring bonds of friendship set against the backdrop of the Vietnam War, with rich dual timelines that offer glimpses into magnificent Hollywood settings.The story begins in Greensboro, Iowa, with the funeral of BettyKay Beecher, a beloved nurse, and mother. Her daughters, Clara and Abby, are reunited for the somber occasion, but tensions arise as the two sisters could not be more different in their lives and approach to wrapping up their mother's estate. However, things take an unexpected turn when Kitty Deveraux, a famous Hollywood actress, appears at the funeral and places an unusual pink button in the coffin. Intrigued, Clara and Abby, invite Kitty to their mother's home, where she reveals that she knew BettyKay and their ""Aunt Jenny"" from their time as nursing students. The two odd-couple roommates had formed a fast comradery with Jenny, one of the few Black women in their nursing school program, a friendship that endured for many years. The thing is, her daughters have never known of their friendship with Kitty or of her secret past life, and Jenny does not seem pleased by Kitty's sudden appearance. So as Kitty regales them with stories from the three friends' past, Clara and Abby learn surprising things about their mother that they never knew. The flashback sequences are told partially through their mother's journal entries and partially through Kitty's rich memories. Fader's writing shines as she vividly portrays the bond between BettyKay, Jenny, and Kitty during their nursing school years, depicting the challenges they faced and the unwavering support they provided to each other.I have learned some of my best history lessons through books like these, and exploring what it would be like to be a frontline nurse and how women were treated in the early days of these nursing programs was eye-opening.Fader's own inspiration from her mother's stories about nursing school in Iowa in the 1960s is palpable, adding depth and authenticity to the characters and their relationships. In addition, the pink button laid within the coffin has a hilariously rich history that brings charm and warmth to the story, shared in her author's note.The Sunshine Girls is a fast page-turner recommended for fans of The Seven Lives of Evelyn Hugo or Did You Hear About Kitty Karr?. It is the kind of book you can read in a day and immediately begin recommending it to your friends and family if you are anything like me. Get this book in your stack IMMEDIATELY and report back- I can’t wait to discuss this one....more",Notes are private!,0,2,1,not set,"Jul 21, 2023","Jul 21, 2023",,Kindle Edition,view (with text),/book/show/58482480-the-sunshine-girls
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,You Can Trust Me,"Heard, Wendy*",0593599314,9780593599310,0593599314,304        pp,3.76,"8,141","Jun 13, 2023","Jun 13, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Listen to Wendy Heard on the Book Gang Podcast NOW! We discuss The Best Con Artist Queens in Literature on our show this week. Click here to tune in! Listen to Wendy Heard on the Book Gang Podcast NOW! We discuss The Best Con Artist Queens in Literature on our show this week. Click here to tune in! If you love the show, please consider joining my Patreon.****Step into the thrilling world of grifting and deception with Wendy Heard's latest novel, perfect for fans who craved more of Lucia and Mia's perspectives in season 2 of White Lotus! This book is my first novel from Wendy Heard, but it won't be my last. In this popcorn thriller, best friends Summer and Leo have each other's backs through thick and thin but face one of their greatest challenges together. Summer, an expert pickpocketer, takes Leo, a young woman living on the streets, under her wing, and together they plan a con that quickly spirals out of control. These two skilled grifters set their skilled sights on a billionaire named Michael but find themselves in danger when they discover their mark isn't who he seems to be. When Leo disappears, Summer takes matters into her own hands and infiltrates Michael's private island to find her friend. But with no sign of Leo and no way off the island, Summer begins to suspect that she may have met her match in this page-turning story.The story, told from alternating perspectives, also builds smart backstories and motives for both Summer and Leo as the two try to find one another again. Heard weaves in these flashback sequences seamlessly, helping to build tension, suspense, and connection through these timelines.Her writing shines in her grifting sequences, and many passages seem borrowed from Epstein's island, and the horrifying ways women were lured and held there. The problem in this story is that this millionaire may have met his match by trying to con these seasoned grifters, challenging any narrative of victimhood and making it feel feminist-forward....more",Notes are private!,0,6,1,not set,"Jul 21, 2023","Jul 03, 2023",,Hardcover,view (with text),/book/show/62802782-you-can-trust-me
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fourth Wing        (The Empyrean, #1)","Yarros, Rebecca*",1649374046,9781649374042,1649374046,498        pp,4.59,"1,500,691","May 02, 2023","May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Listen to the Book Gang podcast celebrating debuts, backlist books, and under-the-radar gems. ***I'm saving my full  for our Patreon show, but IListen to the Book Gang podcast celebrating debuts, backlist books, and under-the-radar gems. ***I'm saving my full  for our Patreon show, but I want to publicly state what a beautiful experience it was to see Ehlers-Danlos Syndrome represented for the first time in my fiction stack. If you ever wondered what it might feel like to be in a body like this, you only have to look at the detailed account in this fantasy novel to realize just how challenging life would be. To any reader that has left negative feedback on how these situations would never happen, I encourage you to learn more about the condition. Violet's condition affects her bones and ligaments, causing chronic pain, subluxation, and dislocation throughout her training and battles. Yarros is, essentially, giving us a peek at what she and four of her children deal with daily with Ehlers-Danlos Syndrome. I immediately recognized it as she used scenarios from my daily life and my children's daily life in her story. It was a bewildering and fantastic experience to read about myself on a page and then imagine a world where I'm strong enough to fight in battle. The modifications made for Violet's life in battle, from her coat of armor that holds her together to the unusual saddle that helps support her body when she can't stay upright on the dragon, were perfectly crafted. Those helpers are examples of things that people with EDS have to search for every day, from binding your body to keep ribs in place to having bones reset back in place weekly (sometimes daily) to simply the challenge of sitting upright- essentially preparing for war every day of our lives in our bodies. Representation matters, and anyone who has ever seen themselves described in a book can only say that it is surreal, validating, and fully immersive. I hope this begins many conversations and awareness around Ehlers-Danlos Syndrome. I also hope readers will be compassionately curious to learn more and empathetic to the challenges people with EDS face daily....more",Notes are private!,0,11,1,not set,not set,"Jun 18, 2023",,Hardcover,view (with text),/book/show/61431922-fourth-wing
