,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Olivia's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Old Enough,"Jakobson, Haley",0593473000,9780593473009,,336        pp,4.06,"6,048","Jun 20, 2023","Jun 20, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"**spoiler alert** Oh my god I looooved this book. I was so worried that the ending was going to break my heart (but luckily, it didn't). I've followed**spoiler alert** Oh my god I looooved this book. I was so worried that the ending was going to break my heart (but luckily, it didn't). I've followed Haley Jakobson on instagram for a while and I was so so excited to read this. I wish there had been more depth - the book felt very broad but could have been more in depth for certain characters and themes. However, this book felt so true to me. 100% recommend. ...more",Notes are private!,0,1,1,"Jan 03, 2024","Jan 05, 2024","Jan 03, 2024",,Hardcover,view (with text),/book/show/62562896-old-enough
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bright Young Women,"Knoll, Jessica*",1501153226,9781501153228,1501153226,384        pp,4.03,"87,057","Sep 19, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Hardcover,view,/book/show/101124639-bright-young-women
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Yellowface,"Kuang, R.F.*",,,,336        pp,3.80,"428,365","May 25, 2023","May 16, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A one-sitting read!Rebecca Kuang,Notes are private!,0,4,1,"Feb 07, 2024","Feb 07, 2024","Jan 03, 2024",,Hardcover,view (with text),/book/show/62047984-yellowface
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Legends & Lattes        (Legends & Lattes, #1)","Baldree, Travis*",,,B0B3755RV9,296        pp,4.14,"184,634","Feb 22, 2022","Jun 07, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5This book reminded me of a game that I like to play on Switch, Coffee Talk. At points, if I like the dialogue could literally have been taken out o3.5This book reminded me of a game that I like to play on Switch, Coffee Talk. At points, if I like the dialogue could literally have been taken out of the game, which I really loved, because it already felt familiar to me. I think I liked the first half of this book with a vibes would just the ultimate, cozy, versus a little bit of stuff, started to happen more towards the end. However, I had such an enjoyable, relaxing time, reading this book, and I’ll definitely be reading the rest of them!...more",Notes are private!,0,2,1,"Jan 18, 2024","Jan 23, 2024","Jan 02, 2024",,Kindle Edition,view (with text),/book/show/61242426-legends-lattes
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Madly, Deeply: The Diaries of Alan Rickman","Rickman, Alan",1250847958,9781250847959,1250847958,469        pp,3.59,"12,265","Oct 04, 2022","Oct 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 18, 2024",not set,"Jan 02, 2024",,Hardcover,view,/book/show/59808451-madly-deeply
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Guest,"Cline, Emma",0812998626,9780812998627,,304        pp,3.32,"64,895","May 16, 2023","May 16, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 30, 2023",,Hardcover,view,/book/show/61986136-the-guest
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"All of Us Villains        (All of Us Villains, #1)","Foody, Amanda*",1250789257,9781250789259,1250789257,400        pp,3.88,"35,057","Nov 09, 2021","Nov 09, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 30, 2023",,Hardcover,view,/book/show/56179338-all-of-us-villains
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Court of Sun        (Promethean Fae #1),"Mixon, K.M.*",,,B0C1BBW44R,357        pp,3.68,225,unknown,"Jun 09, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 30, 2023",,Kindle Edition,view,/book/show/175966084-court-of-sun
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Faebound        (Faebound, #1)","El-Arifi, Saara*",0593723007,9780593723005,0593723007,386        pp,3.69,"7,590","Jan 23, 2024","Jan 23, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ok, SO.This was a 3.5 rounded UP! Loved and was very intrigued by this world, loved the diversity of the characters, loved the obeah, loved the writinOk, SO.This was a 3.5 rounded UP! Loved and was very intrigued by this world, loved the diversity of the characters, loved the obeah, loved the writing style.My one gripe was that I feel like we didn't get enough time for both stories. I wanted to know about both sisters equally, but as soon as one's section was over, I was like ""dammit, I don't care about the other, keep going with this."" Almost as though you're getting taken out of the story repeatedly, which is why it took me so long to finish. I'm super excited to see what else happens in this world - and kind of hope they make a tv show out of it, as I'd watch the CRAP out of it, I already have my dream cast in my head!...more",Notes are private!,0,0,1,"Jan 25, 2024","Feb 07, 2024","Dec 30, 2023",,Hardcover,view (with text),/book/show/157981739-faebound
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Gild        (The Plated Prisoner, #1)","Kennedy, Raven*",,,B08HJDG47W,402        pp,3.60,"146,931","Oct 16, 2020",Dec 2020,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Kindle Edition,view,/book/show/56483061-gild
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Will of the Many        (Hierarchy, #1)","Islington, James*",,,B0BHTMBW5B,639        pp,4.64,"27,770","May 23, 2023","May 23, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Kindle Edition,view,/book/show/58416952-the-will-of-the-many
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"House of Flame and Shadow        (Crescent City, #3)","Maas, Sarah J.*",1681193094,9781681193090,1681193094,835        pp,4.23,"279,100","Jan 30, 2024","Jan 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,ebook,view,/book/show/52857700-house-of-flame-and-shadow
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Fragile Threads of Power        (Threads of Power, #1)","Schwab, V.E.*",0765387492,9780765387493,0765387492,648        pp,4.34,"23,679","Sep 26, 2023","Sep 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 26, 2023",,Hardcover,view,/book/show/111673828-the-fragile-threads-of-power
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Game of Fate        (Hades Saga, #1)","St. Clair, Scarlett*",,,,379        pp,4.03,"59,653","Sep 18, 2020","Sep 18, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 26, 2023",,Kindle Edition,view,/book/show/54626426-a-game-of-fate
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Love,"Link, Kelly",0812996585,9780812996586,0812996585,628        pp,3.54,"1,889","Feb 08, 2024","Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 26, 2023",,Hardcover,view,/book/show/157981682-the-book-of-love
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Iron Flame        (The Empyrean, #2)","Yarros, Rebecca*",1649374178,9781649374172,1649374178,640        pp,4.35,"920,625","Nov 07, 2023","Nov 07, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,OH MY GODDDDDD these last few chapters had me gripped,Notes are private!,1,2,1,"Dec 29, 2023","Jan 03, 2024","Dec 26, 2023",,Hardcover,view (with text),/book/show/90202302-iron-flame
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fourth Wing        (The Empyrean, #1)","Yarros, Rebecca*",1649374046,9781649374042,1649374046,498        pp,4.59,"1,500,807","May 02, 2023","May 02, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"LOOOOVED this book, and totally understand the hype! Loved the world that was so easy to fall into, and I cannot wait for the next in the series!The bLOOOOVED this book, and totally understand the hype! Loved the world that was so easy to fall into, and I cannot wait for the next in the series!The book opens super quickly and you're thrown right into the action, which I personally liked. There's a lot of quick world-building so we're right in there from the start. Characters were quite tropey (is that a word) - but that's not a bad thing - no one's reading this book for its literary merit and it's super entertaining and quite intense during the battle scenes. One thing is that I wish it had been a bit more slow on the slow burn. I've read we're getting 5 books?! Slow it down, Rebecca!...more",Notes are private!,0,3,1,"Dec 26, 2023","Dec 29, 2023","Dec 26, 2023",,Hardcover,view (with text),/book/show/61431922-fourth-wing
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Christmas Exchange,"Melle, Cali*",,,B0CDTFQYDH,168        pp,3.37,"3,090",unknown,"Nov 27, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Dec 25, 2023","Dec 26, 2023","Dec 25, 2023",,Kindle Edition,view,/book/show/195770832-the-christmas-exchange
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In a Holidaze,"Lauren, Christina*",198212394X,9781982123949,198212394X,307        pp,3.70,"179,038","Oct 06, 2020","Oct 06, 2020",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,2.5A well enough read but I just couldn’t get into the storyline or characters.,Notes are private!,0,1,1,"Dec 19, 2023","Dec 26, 2023","Dec 19, 2023",,Paperback,view (with text),/book/show/50892287-in-a-holidaze
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One Day in December,"Silver, Josie*",,,,393        pp,3.85,"309,198","Oct 18, 2018","Oct 16, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Quite enjoyed this despite the very clunky beginning. It took me a really long time to warm up to Laurie and Jack, I felt really bad for Sarah for mosQuite enjoyed this despite the very clunky beginning. It took me a really long time to warm up to Laurie and Jack, I felt really bad for Sarah for most of the book, but absolutely loved her as a character!...more",Notes are private!,0,0,1,"Dec 19, 2023","Dec 19, 2023","Dec 19, 2023",,Paperback,view (with text),/book/show/38255337-one-day-in-december
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eligible: A Modern Retelling of Pride & Prejudice,"Sittenfeld, Curtis*",1400068320,9781400068326,1400068320,492        pp,3.60,"92,669","Apr 19, 2016","Apr 19, 2016",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Dec 12, 2023","Dec 19, 2023","Dec 12, 2023",,Hardcover,view,/book/show/25852870-eligible
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Happy Place,"Henry, Emily*",0593441273,9780593441275,0593441273,400        pp,4.02,"784,228","Apr 25, 2023","Apr 25, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"God i almost dnf’d this book at chapter 31. Absolutely ridiculous, selfish characters. Wyn and Harriet are clearly not supposed to be together, and I God i almost dnf’d this book at chapter 31. Absolutely ridiculous, selfish characters. Wyn and Harriet are clearly not supposed to be together, and I swear to God, if my friend group or anything like the friend group in this book, I would much rather have no friends. ...more",Notes are private!,0,4,1,"Dec 09, 2023","Dec 12, 2023","Dec 09, 2023",,Hardcover,view (with text),/book/show/61718053-happy-place
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Bridget Jones’s Diary        (Bridget Jones, #1)","Fielding, Helen*",014028009X,9780140280098,,288        pp,3.80,"983,053",1996,1999,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Dec 09, 2023","Dec 11, 2023","Dec 09, 2023",,Hardcover,view,/book/show/227443.Bridget_Jones_s_Diary
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Icebreaker        (Maple Hills, #1)","Grace, Hannah*",,,B0B69VVD6C,435        pp,3.90,"719,044","Aug 23, 2022","Nov 22, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Hated both of the main characters,Notes are private!,0,0,1,"Dec 07, 2023","Dec 09, 2023","Dec 07, 2023",,Kindle Edition,view (with text),/book/show/61767292-icebreaker
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Weyward,"Hart, Emilia",125028080X,9781250280800,125028080X,329        pp,4.09,"140,008","Feb 02, 2023","Mar 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 07, 2023",,Hardcover,view,/book/show/60654349-weyward
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ballad of Songbirds and Snakes,"Collins, Suzanne",1339016575,9781339016573,1339016575,528        pp,3.95,"752,159","May 19, 2020","Aug 01, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Nov 27, 2023","Dec 03, 2023","Nov 27, 2023",,Paperback,view,/book/show/68706332-the-ballad-of-songbirds-and-snakes
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Boys and Oil: Growing Up Gay in a Fractured Land,"Brorby, Taylor",1324090863,9781324090861,1324090863,352        pp,4.05,670,"Jun 07, 2022","Jun 07, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 14, 2023","Nov 27, 2023","Nov 14, 2023",,Hardcover,view,/book/show/58999259-boys-and-oil
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,It Happened One Christmas,"Guertin, Chantel*",0385697996,9780385697996,B0BZKLB86F,336        pp,3.51,"3,654",unknown,"Oct 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 12, 2023","Nov 24, 2023","Nov 12, 2023",,Kindle Edition,view,/book/show/123927064-it-happened-one-christmas
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dark Witch        (The Cousins O'Dwyer Trilogy, #1)","Roberts, Nora*",0425259854,9780425259856,0425259854,342        pp,3.96,"65,944","Oct 29, 2013","Oct 29, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 08, 2023","Nov 13, 2023","Nov 08, 2023",,Paperback,view,/book/show/16158558-dark-witch
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pretty Baby,"Belcher, Chris*",1982175826,9781982175825,1982175826,272        pp,4.02,975,"Jul 12, 2022","Jul 12, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 08, 2023","Nov 08, 2023","Nov 08, 2023",,Hardcover,view,/book/show/59366215-pretty-baby
