,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Amy's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Good Material,"Alderton, Dolly",0241523672,9780241523674,0241523672,345        pp,4.02,"62,229","Nov 07, 2023","Nov 07, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A book club book, I forgot to record. Had its moments, but they were few and far between slogging through Andy, who for a comedian, didn't bring many A book club book, I forgot to record. Had its moments, but they were few and far between slogging through Andy, who for a comedian, didn't bring many laughs. Most of the other characters were more endearing. (I really liked his mom's view on the world.) ...more",Notes are private!,0,0,1,not set,"Mar 13, 2024","Mar 13, 2024",,Paperback,view (with text),/book/show/96177629-good-material
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Phoenix Crown,"Quinn, Kate*",0063304732,9780063304734,0063304732,384        pp,3.88,"8,517","Feb 13, 2024","Feb 13, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Great detail of a fascinating period. Liked the dual authors' note at the end as well.Great detail of a fascinating period. Liked the dual authors' note at the end as well....more,Notes are private!,0,1,1,not set,"Mar 07, 2024","Mar 09, 2024",,Paperback,view (with text),/book/show/64417401-the-phoenix-crown
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Wretched Valley,"Kiefer, Jenny*",168369368X,9781683693680,168369368X,304        pp,3.42,"3,040","Jan 16, 2024","Jan 16, 2024",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"For all the hype re this book, it didn't grab me (though the valley apparently grabbed the characters. I heard an interview somewhere that raised my iFor all the hype re this book, it didn't grab me (though the valley apparently grabbed the characters. I heard an interview somewhere that raised my interest. Oh well. ...more",Notes are private!,0,0,1,not set,"Mar 05, 2024","Mar 09, 2024",,Paperback,view (with text),/book/show/133206521-this-wretched-valley
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Two Dead Wives        (DCI Clements, #2)","Parks, Adele*",0778333574,9780778333579,0778333574,400        pp,3.85,"6,069","Aug 17, 2023","Dec 26, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Thought this was a stand alone-- and it works as such, but apparently there is a book before this one. Picked up from a book exchange shelf.",Notes are private!,0,2,1,not set,"Feb 29, 2024","Mar 09, 2024",,Paperback,view (with text),/book/show/63885848-two-dead-wives
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tales from the Café        (Before the Coffee Gets Cold, #2)","Kawaguchi, Toshikazu",1529050863,9781529050868,1529050863,192        pp,4.00,"74,348","Mar 14, 2017","Sep 17, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Love this series and this style of writing.,Notes are private!,0,0,1,not set,"Mar 05, 2024","Mar 09, 2024",,Paperback,view (with text),/book/show/54373691-tales-from-the-caf
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The House at Sea's End        (Ruth Galloway, #3)","Griffiths, Elly*",,,B005LVR6EG,384        pp,3.97,"31,207","Jul 01, 2011","Jan 10, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Ruth Galloway mystery #3. I like this series.,Notes are private!,0,1,1,not set,"Feb 26, 2024","Mar 09, 2024",,Kindle Edition,view (with text),/book/show/12952908-the-house-at-sea-s-end
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lost Bookshop,"Woods, Evie*",,,B0BMF2M8Z6,444        pp,4.16,"66,997","Jan 24, 2024","Jun 22, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Cozy read with a touch of mysticism. I'd like to explore a shop like this. Recommended by a friend.Cozy read with a touch of mysticism. I'd like to explore a shop like this. Recommended by a friend....more,Notes are private!,0,1,1,not set,"Feb 23, 2024","Mar 09, 2024",,Kindle Edition,view (with text),/book/show/65137920-the-lost-bookshop
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One Summer in Savannah,"Harris, Terah Shelton*",1728265746,9781728265742,1728265746,464        pp,4.15,"19,230","Jul 04, 2023","Jul 04, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Book Club read. Rounded up in stars.,Notes are private!,0,1,1,not set,"Mar 04, 2024","Mar 09, 2024",,Paperback,view (with text),/book/show/63327797-one-summer-in-savannah
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Almost Surely Dead,"Akhtar, Amina",1662507593,9781662507595,B0C958T71V,298        pp,3.71,"13,938","Feb 06, 2024","Feb 01, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Recommended by a couple of friends. Cover reminds me of a mural here in Philly, though the story has nothing to do with it. Some good cultural info inRecommended by a couple of friends. Cover reminds me of a mural here in Philly, though the story has nothing to do with it. Some good cultural info in the story, as well. A little let down by the ending-- like the author needed a quick out (or a second book.)...more",Notes are private!,0,1,1,not set,"Feb 21, 2024","Feb 24, 2024",,Kindle Edition,view (with text),/book/show/180320288-almost-surely-dead
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Yellowface,"Kuang, R.F.*",,,,336        pp,3.80,"428,489","May 25, 2023","May 16, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Heard a lot about this book and received a copy for the holidays. Learned a bit about another view on the joys of being a published author, as well asHeard a lot about this book and received a copy for the holidays. Learned a bit about another view on the joys of being a published author, as well as a tangled tale of author ownership. Also was a great use of my Asian Studies major back in the day. Will keep my eye out for more by this author....more",Notes are private!,0,2,1,not set,"Feb 22, 2024","Feb 24, 2024",,Hardcover,view (with text),/book/show/62047984-yellowface
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Night House,"Nesbø, Jo*",0593537165,9780593537169,0593537165,245        pp,3.30,"8,362","May 30, 2023","Oct 03, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A different style of Jo Nesbo book-- sort of retro horror, with a touch of YA, but I enjoyed it.",Notes are private!,0,0,1,not set,"Feb 20, 2024","Feb 24, 2024",,Hardcover,view (with text),/book/show/106291410-the-night-house
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Icebreaker        (Maple Hills, #1)","Grace, Hannah*",,,B0B69VVD6C,435        pp,3.90,"719,177","Aug 23, 2022","Nov 22, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Recommended by a friend who truly enjoyed it. Don't want to rate because I found myself unable to finish. I think I've outgrown a certain type of bookRecommended by a friend who truly enjoyed it. Don't want to rate because I found myself unable to finish. I think I've outgrown a certain type of book, which I take as evidence my depression is lifting....more",Notes are private!,0,1,1,not set,"Feb 16, 2024","Feb 24, 2024",,Kindle Edition,view (with text),/book/show/61767292-icebreaker
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wake-Up Call,"O'Leary, Beth*",0593640128,9780593640128,0593640128,356        pp,3.59,"24,072","Sep 26, 2023","Sep 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Don't want to rate because I found myself unable to finish. I think I've outgrown a certain type of book, which I take as evidence my depression is liDon't want to rate because I found myself unable to finish. I think I've outgrown a certain type of book, which I take as evidence my depression is lifting....more",Notes are private!,0,1,1,not set,"Feb 18, 2024","Feb 24, 2024",,Paperback,view (with text),/book/show/63946938-the-wake-up-call
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Midnight on Beacon Street,"Verona, Emily Ruth*",0063330512,9780063330511,0063330512,208        pp,2.96,"1,653","Jan 30, 2024","Jan 30, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"There has been a lot of buzz about this debut novel lately, and this copy fell into y hands. Sort of a version of the teenage babysitter who receives There has been a lot of buzz about this debut novel lately, and this copy fell into y hands. Sort of a version of the teenage babysitter who receives telephone calls that turn out to be coming from inside the house....more",Notes are private!,0,0,1,not set,"Feb 11, 2024","Feb 24, 2024",,Paperback,view (with text),/book/show/145654483-midnight-on-beacon-street
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Beginning of Everything,"Fraser, Jackie*",0593723929,9780593723937,B0BTBMHZSJ,342        pp,3.57,"1,476","Sep 26, 2023","Sep 26, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Recommended by a reading friend, who thought this book had a little of everything, and at a gentle pace. She rated it a 4.5.",Notes are private!,0,1,1,not set,not set,"Feb 24, 2024",,Paperback,view (with text),/book/show/90588453-the-beginning-of-everything
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Weyward,"Hart, Emilia",125028080X,9781250280800,125028080X,329        pp,4.09,"140,059","Feb 02, 2023","Mar 07, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Read this last year (2023) but forgot to log it. Dang it all!,Notes are private!,0,0,1,not set,"Apr 19, 2023","Feb 23, 2024",,Hardcover,view (with text),/book/show/60654349-weyward
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Murder,"Williams, Katie*",0593543769,9780593543764,0593543769,304        pp,3.67,"20,279","Jun 06, 2023","Jun 06, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Mystery with a twist that 5 victims are cloned and brought back to life, and sort out more complexities of their murders and their new lives.",Notes are private!,0,0,1,not set,"Feb 07, 2024","Feb 08, 2024",,Hardcover,view (with text),/book/show/62952152-my-murder
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Recipe for Second Chances,"Rosen, Ali*",1662513690,9781662513695,B0BS76QGZM,267        pp,3.76,"8,879","Nov 01, 2023","Nov 01, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Mildly interested in location and recipes. A couple of places I have been to brought back memories.,Notes are private!,0,0,1,not set,Feb 2024,"Feb 08, 2024",,Kindle Edition,view (with text),/book/show/131068116-recipe-for-second-chances
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Postscript Murders        (Harbinder Kaur, #2)","Griffiths, Elly*",0358418615,9780358418610,0358418615,315        pp,3.93,"20,782","Sep 26, 2020","Mar 02, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Author recommended to my by my younger sister and really enjoyed this and one in a different series, too. Think I have some new mysteries to read.RounAuthor recommended to my by my younger sister and really enjoyed this and one in a different series, too. Think I have some new mysteries to read.Rounded up because......more",Notes are private!,0,0,1,not set,"Feb 03, 2024","Feb 08, 2024",,Hardcover,view (with text),/book/show/53968497-the-postscript-murders
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Crossing Places        (Ruth Galloway, #1)","Griffiths, Elly*",,,B003UV90G6,306        pp,3.93,"55,579","Feb 05, 2009","Jan 05, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Series recommended to my by my younger sister. Really enjoyed the archaeological info as well as the plot line and characters. Had read another book bSeries recommended to my by my younger sister. Really enjoyed the archaeological info as well as the plot line and characters. Had read another book by this author-- a different series, and enjoyed that one too. Think I have some new mysteries to read....more",Notes are private!,0,1,1,not set,"Feb 05, 2024","Feb 08, 2024",,Kindle Edition,view (with text),/book/show/9787054-the-crossing-places
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Blonde Identity,"Carter, Ally*",006327664X,9780063276642,,304        pp,3.79,"16,438","Aug 08, 2023","Aug 08, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"When is a spy not a spy? When she's a spy-in-peril's twin sister, with amnesia.When is a spy not a spy? When she's a spy-in-peril's twin sister, with amnesia....more",Notes are private!,0,0,1,not set,"Jan 30, 2024","Feb 08, 2024",,Hardcover,view (with text),/book/show/63310912-the-blonde-identity
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Our Hidden Conversations: What Americans Really Think About Race and Identity,"Norris, Michele",198215439X,9781982154394,198215439X,528        pp,4.65,349,"Jan 16, 2024","Jan 16, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Fascinating telling of Michele Norris' project ""The Race Card"". Have loved inviting Ms Norris in my home via NPR. Nice to have her on my bookshelf, toFascinating telling of Michele Norris' project ""The Race Card"". Have loved inviting Ms Norris in my home via NPR. Nice to have her on my bookshelf, too. Will look for her earlier memoir based on her family....more",Notes are private!,0,2,1,not set,"Jan 28, 2024","Jan 30, 2024",,Hardcover,view (with text),/book/show/191004852-our-hidden-conversations
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Remarkably Bright Creatures,"Van Pelt, Shelby",0063204150,9780063204157,0063204150,360        pp,4.40,"541,049","May 03, 2022","May 03, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Sometimes your closest friends are not what you would expect. Sometimes they're even an octopus. I loved so much about this book. Sometimes your closest friends are not what you would expect. Sometimes they're even an octopus. I loved so much about this book. ...more,Notes are private!,0,0,1,not set,"Jan 26, 2024","Jan 30, 2024",,Hardcover,view (with text),/book/show/58733693-remarkably-bright-creatures
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,North Woods,"Mason, Daniel*",0593597036,9780593597033,0593597036,372        pp,4.18,"27,212","Sep 19, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Interconnected stories tracing all the occupants (human, feral, spectral etc) of a bit of land in Massachusetts from before the revolutionary war and Interconnected stories tracing all the occupants (human, feral, spectral etc) of a bit of land in Massachusetts from before the revolutionary war and into the future. Told through a variety of means. Fascinating collection....more",Notes are private!,0,0,1,not set,"Jan 21, 2024","Jan 30, 2024",,Hardcover,view (with text),/book/show/71872930-north-woods
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Kingdom of Sweets,"Johansen, Erika*",1524742759,9781524742751,1524742759,368        pp,3.25,"9,762","Nov 28, 2023","Nov 28, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,If the Nutcracker went to the dark side...,Notes are private!,0,0,1,not set,"Jan 19, 2024","Jan 30, 2024",,Hardcover,view (with text),/book/show/123176586-the-kingdom-of-sweets
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Echo of Old Books,"Davis, Barbara*",1542038154,9781542038157,B0B9RNFT4S,431        pp,4.31,"72,359","Mar 28, 2023","Mar 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What if you find two books, the only copies of each, that tell the same tale from two perspectives, written by two separate people, both tales end in What if you find two books, the only copies of each, that tell the same tale from two perspectives, written by two separate people, both tales end in misunderstanding. And what if you have the rare ability to pick up vibrations, sensations, emotions of previous readers, plus a clue as to who one of the authors. Would you try to solve the mystery of what went wrong?...more",Notes are private!,0,1,1,not set,"Jan 16, 2024","Jan 30, 2024",,Kindle Edition,view (with text),/book/show/62060274-the-echo-of-old-books
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Never Meant to Stay,"Das, Trisha*",1662510195,9781662510199,B0BS78HY6V,280        pp,4.15,"3,368",unknown,"Dec 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Quick read brought to me courtesy of a reading friend, who feeds me paperbacks to release through BookCrossing. I liked the trip back to Delhi. Haven'Quick read brought to me courtesy of a reading friend, who feeds me paperbacks to release through BookCrossing. I liked the trip back to Delhi. Haven't been there in over 40 years. It's a whole new (old) world....more",Notes are private!,0,0,1,not set,"Jan 13, 2024","Jan 30, 2024",,Kindle Edition,view (with text),/book/show/151907567-never-meant-to-stay
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,First Lie Wins,"Elston, Ashley*",0593492919,9780593492918,,340        pp,4.12,"187,950","Jan 02, 2024","Jan 02, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Highly recommended by a friend, and apparently most of the people who have read it. Twisty, turns, with some obvious guesses and some more convoluted.Highly recommended by a friend, and apparently most of the people who have read it. Twisty, turns, with some obvious guesses and some more convoluted. Would read more by this author....more",Notes are private!,0,0,1,not set,not set,"Jan 30, 2024",,Hardcover,view (with text),/book/show/164444179-first-lie-wins
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beware the Woman,"Abbott, Megan*",0593084934,9780593084939,0593084934,320        pp,3.30,"11,715","May 30, 2023","May 30, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Recommended by a friend.,Notes are private!,0,0,1,not set,"Jan 10, 2024","Jan 30, 2024",,Hardcover,view (with text),/book/show/62366771-beware-the-woman
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Bookshops & Bonedust        (Legends & Lattes, #0)","Baldree, Travis*",1250886104,9781250886101,1250886104,352        pp,4.24,"43,102","Nov 07, 2023","Nov 07, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Christmas gift- prequel to a book I read this year. Interesting to get the backstory, but the best part was the author's note and recounting of how thChristmas gift- prequel to a book I read this year. Interesting to get the backstory, but the best part was the author's note and recounting of how the book came about. I like that kind of stuff....more",Notes are private!,0,0,1,not set,"Jan 06, 2024","Jan 30, 2024",,Paperback,view (with text),/book/show/65213543-bookshops-bonedust
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Burnout,"Kinsella, Sophie*",0593730399,9780593730393,0593730399,416        pp,3.71,"33,297","Oct 10, 2023","Oct 10, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,2024 Read. It was surrounded by books that so captured my attention that I can barely recall the plot. Sorry.,Notes are private!,0,1,1,not set,"Jan 06, 2024","Jan 09, 2024",,Hardcover,view (with text),/book/show/131120162-the-burnout
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heaven & Earth Grocery Store,"McBride, James*",0593422945,9780593422946,0593422945,380        pp,4.08,"129,245","Aug 08, 2023","Aug 08, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"First 2024 Read. Haven't met a James Mc Bride book that hasn't fascinated me, yet. This one had the added delight of having both Philly and SC in it aFirst 2024 Read. Haven't met a James Mc Bride book that hasn't fascinated me, yet. This one had the added delight of having both Philly and SC in it and other elements of my life....more",Notes are private!,0,2,1,not set,"Jan 04, 2024","Jan 09, 2024",,Hardcover,view (with text),/book/show/65678550-the-heaven-earth-grocery-store
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Frozen River,"Lawhon, Ariel*",0385546874,9780385546874,0385546874,432        pp,4.48,"58,162","Dec 05, 2023","Dec 05, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Marvelous book; and marvelous intel from the author afterwards as to her thoughts and interpretations of a historic figure. More later. a good way to Marvelous book; and marvelous intel from the author afterwards as to her thoughts and interpretations of a historic figure. More later. a good way to start a new year....more,Notes are private!,0,1,2,not setnot set,Jan 2024not set,"Jan 01, 2024",,Hardcover,view (with text),/book/show/112975658-the-frozen-river
