,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Nicole's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Good Material,"Alderton, Dolly",0241523672,9780241523674,0241523672,345        pp,4.02,"62,153","Nov 07, 2023","Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 09, 2024",,Paperback,view,/book/show/96177629-good-material
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What You Are Looking For Is in the Library,"Aoyama, Michiko",1335005625,9781335005625,1335005625,304        pp,4.11,"31,705","Nov 09, 2020","Sep 05, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This collection of interconnected short stories all dealt with people coming to some sort of enlightenment about their lives. With it all stemming froThis collection of interconnected short stories all dealt with people coming to some sort of enlightenment about their lives. With it all stemming from a somewhat magical giant libertarian who does needle felting! I love librarians and I love needle felting, so that part was perfect. Culturally, it’s always fascinating reading Japanese stories. I felt like I learned a lot.Moral of the story, if you need help. With anything. Go to the library. ...more",Notes are private!,0,3,1,"Feb 09, 2024","Feb 13, 2024","Feb 09, 2024",,Hardcover,view (with text),/book/show/91274427-what-you-are-looking-for-is-in-the-library
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wishing Game,"Shaffer, Meg*",0593598830,9780593598832,0593598830,304        pp,4.13,"103,590","May 30, 2023","May 30, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Though I did mostly enjoy this, I think I wasn’t in the right headspace for it. A little too sweet. All the sugary goodness got on my nerves.",Notes are private!,0,4,1,"Feb 04, 2024","Feb 08, 2024","Feb 04, 2024",,Hardcover,view (with text),/book/show/62926992-the-wishing-game
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Half a Soul        (Regency Faerie Tales, #1)","Atwater, Olivia*",,9780316462808,,304        pp,4.11,"34,970","Mar 29, 2020","Apr 05, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book was tailor made for me. Fairies, magic, romance, AND regency England. Who could ask for anything more?",Notes are private!,0,1,1,"Jan 31, 2024","Feb 04, 2024","Jan 31, 2024",,ebook,view (with text),/book/show/60717747-half-a-soul
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Valley of the Birdtail: An Indian Reserve, a White Town, and the Road to Reconciliation","Sniderman, Andrew Stobo",144346631X,9781443466318,,384        pp,4.54,852,unknown,"Aug 30, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 29, 2024",not set,"Jan 29, 2024",,ebook,view,/book/show/59793675-valley-of-the-birdtail
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Coldest Girl in Coldtown,"Black, Holly*",0316213101,9780316213103,0316213101,419        pp,3.84,"71,991","Sep 03, 2013","Sep 03, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ultimately, I wanted more from this book. I mean, I love vampires. And the concept of the Coldtowns was pretty cool. But it felt rushed and I didn’t bUltimately, I wanted more from this book. I mean, I love vampires. And the concept of the Coldtowns was pretty cool. But it felt rushed and I didn’t buy the interest between the Gavriel and Tana. Ah well. 2.5 rounded up because of the world building. ...more",Notes are private!,0,2,1,"Jan 25, 2024","Jan 31, 2024","Jan 25, 2024",,Hardcover,view (with text),/book/show/12813630-the-coldest-girl-in-coldtown
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lost Bookshop,"Woods, Evie*",,,B0BMF2M8Z6,444        pp,4.16,"66,977","Jan 24, 2024","Jun 22, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"You definitely need an appreciation for whimsy to read this book! Which I have in spades, so it was all good. Quite of few times I had to pause while You definitely need an appreciation for whimsy to read this book! Which I have in spades, so it was all good. Quite of few times I had to pause while reading this and just sit and think for a little bit. Big ideas! It all wrapped up a little quick in the end though. Would’ve liked a bit more time spent there. ...more",Notes are private!,0,2,1,"Jan 18, 2024","Jan 22, 2024","Jan 18, 2024",,Kindle Edition,view (with text),/book/show/65137920-the-lost-bookshop
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dance of Thieves        (Dance of Thieves, #1)","Pearson, Mary E.*",1250159016,9781250159014,1250159016,512        pp,4.15,"140,410","Aug 07, 2018","Aug 07, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.5 stars. I read this so I could chat about it with some of my students. I enjoyed it! A few things - the beginning was too rushed. I felt like it ju3.5 stars. I read this so I could chat about it with some of my students. I enjoyed it! A few things - the beginning was too rushed. I felt like it jumped too fast into the “tied together” thing and then I would’ve liked more banter after that point. Ah well. I am invested though. Think I’ll check out the second book. ...more,Notes are private!,0,1,1,"Jan 15, 2024","Jan 18, 2024","Jan 15, 2024",,Hardcover,view (with text),/book/show/35796008-dance-of-thieves
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Burnout,"Kinsella, Sophie*",0593730399,9780593730393,0593730399,416        pp,3.71,"33,279","Oct 10, 2023","Oct 10, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Weirdly, this is my first Sophie Kinsella book. One of my favourite authors, who usually writes sci-fi, always rec’s her and says her books, though deWeirdly, this is my first Sophie Kinsella book. One of my favourite authors, who usually writes sci-fi, always rec’s her and says her books, though described as “chick-lit” or “romance,” are really about women finding themselves and gaining strength and courage. I’d agree on this one. I related to the MC and even ended up dreaming about the book, so it obviously resonated. Really liked this and I laughed out loud quite a bit! Very funny! ...more",Notes are private!,0,3,1,"Jan 12, 2024","Jan 15, 2024","Jan 12, 2024",,Hardcover,view (with text),/book/show/131120162-the-burnout
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Woman in Me,"Spears, Britney",1668009048,9781668009048,1668009048,288        pp,3.91,"383,522","Oct 24, 2023","Oct 24, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I listened to the audiobook, read by Michelle Williams and it was pretty good. WOW. Brittany’s life was really messed up. Just unbelievable at times. I listened to the audiobook, read by Michelle Williams and it was pretty good. WOW. Brittany’s life was really messed up. Just unbelievable at times. And Justin Timberlake? Yikes. I recognized my own bias against rich people when listening to this. At one point she referenced getting bad news while vacationing in Tahiti. It didn’t hit quite right. Anyway…...more",Notes are private!,0,4,1,"Jan 11, 2024","Jan 19, 2024","Jan 11, 2024",,Hardcover,view (with text),/book/show/63133205-the-woman-in-me
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Daughter of the Moon Goddess        (The Celestial Kingdom Duology, #1)","Tan, Sue Lynn*",0063031302,9780063031302,0063031302,503        pp,4.12,"83,677","Jan 11, 2022","Jan 11, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The bits with the dragons were my favourite parts. This was just ok for me. The world building seemed lacking. Perhaps because I don’t know much ChineThe bits with the dragons were my favourite parts. This was just ok for me. The world building seemed lacking. Perhaps because I don’t know much Chinese folklore, I didn’t have a good frame of reference and couldn’t situate myself well. I also found myself really rooting for the villain. Anyway, this was just ok for me....more",Notes are private!,0,2,1,"Jan 07, 2024","Jan 12, 2024","Jan 07, 2024",,Hardcover,view (with text),/book/show/57789637-daughter-of-the-moon-goddess
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Flame and the Flower        (Birmingham, #1)","Woodiwiss, Kathleen E.",0380005255,9780380005253,0380005255,430        pp,4.04,"19,274",1972,Apr 1972,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 04, 2024",not set,"Jan 04, 2024",,Mass Market Paperback,view,/book/show/896623.The_Flame_and_the_Flower
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Could Be So Good,"Sebastian, Cat*",0063272768,9780063272767,0063272768,384        pp,4.30,"8,352","Jun 06, 2023","Jun 06, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Great book! This author writes queer historical romances and they are just so well researched and good! I really liked learning about the newspaper buGreat book! This author writes queer historical romances and they are just so well researched and good! I really liked learning about the newspaper business in the late 50s. The romance was sweet and really made me think about what people went through just trying to be with who they loved. Anyway, I’d recommend this and now I want to watch “fellow travellers” which I believe has a similar storyline. ...more",Notes are private!,0,5,1,"Jan 03, 2024","Jan 04, 2024","Jan 03, 2024",,Paperback,view (with text),/book/show/62365905-we-could-be-so-good
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fourth Wing        (The Empyrean, #1)","Yarros, Rebecca*",1649374046,9781649374042,1649374046,498        pp,4.59,"1,500,807","May 02, 2023","May 02, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was really more like 4 stars (I rolled my eyes a few times), but honestly, it got 5 stars because of all the dragons. I just really love dragons.",Notes are private!,0,3,1,Jan 2024,"Jan 03, 2024","Jan 01, 2024",,Hardcover,view (with text),/book/show/61431922-fourth-wing
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Virtues of Our Vices: A Modest Defense of Gossip, Rudeness, and Other Bad Habits","Westacott, Emrys",0691141991,9780691141992,0691141991,304        pp,3.45,44,"Jan 01, 2011","Oct 23, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Jan 2024,not set,"Jan 01, 2024",,Hardcover,view,/book/show/12693877-the-virtues-of-our-vices
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Rogue by Night        (The Devils of Dover, #3)","Bowen, Kelly*",1478918624,9781478918622,1478918624,368        pp,3.95,"1,187","May 28, 2019","May 28, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Really liked this one! The smuggling story was quite interesting and felt well-researched.,Notes are private!,0,1,1,"Dec 30, 2023",Jan 2024,"Dec 30, 2023",,Mass Market Paperback,view (with text),/book/show/41717439-a-rogue-by-night
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Forget Me Not,"Soto, Julie*",1538740885,9781538740880,1538740885,341        pp,4.03,"37,075","Jul 11, 2023","Jul 11, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Second chance romance is not really my favourite trope, but I did enjoy this. All the flower talk was interesting.",Notes are private!,0,3,1,"Dec 28, 2023","Dec 30, 2023","Dec 28, 2023",,Paperback,view (with text),/book/show/61618737-forget-me-not
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pineapple Street,"Jackson, Jenny*",059349069X,9780593490693,059349069X,304        pp,3.58,"153,194","Mar 07, 2023","Mar 07, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 rounded up. I enjoyed this. I mean, it was fairly basic, not too many surprises, but it kept me interested. Nice character driven fiction! I also 3.5 rounded up. I enjoyed this. I mean, it was fairly basic, not too many surprises, but it kept me interested. Nice character driven fiction! I also really enjoy multiple POVs so that was a win. ...more",Notes are private!,0,3,1,"Dec 21, 2023","Dec 26, 2023","Dec 21, 2023",,Hardcover,view (with text),/book/show/61246258-pineapple-street
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Shakespeare Requirement,"Schumacher, Julie",0385542356,9780385542357,B077LQXBGR,312        pp,3.71,"3,455","Aug 14, 2018","Aug 14, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Very much enjoyed this sequel to “Dear Committee Members” - although I missed the letter format! Once again, you see that there is depth underneath FiVery much enjoyed this sequel to “Dear Committee Members” - although I missed the letter format! Once again, you see that there is depth underneath Fitger’s facade of shallowness. More than once, things in this book struck me as things I wanted to reflect more on. Anyway, I think there is a 3rd book. Can’t wait to read it! ...more",Notes are private!,0,2,1,"Dec 17, 2023","Dec 21, 2023","Dec 17, 2023",,Kindle Edition,view (with text),/book/show/38885815-the-shakespeare-requirement
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bookshop of Second Chances,"Fraser, Jackie*",0593355652,9780593355657,0593355652,431        pp,3.58,"14,344","Nov 28, 2020","May 04, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.5 for this one! I loved so much of this. Grumpy, intolerant, scowly used book shop owner? Yes please! The development of the relationship was really4.5 for this one! I loved so much of this. Grumpy, intolerant, scowly used book shop owner? Yes please! The development of the relationship was really quite lovely. And I actually shed some tears during one scene. There was something about the ending that I didn’t love, but the rest was chef’s kiss! I can see why some of the traits of the characters maybe didn’t sit well with people, hence the 3.5 average rating, but I loved them! Also refreshing to have the MC be a woman in her 40s....more",Notes are private!,0,3,1,"Dec 17, 2023","Dec 17, 2023","Dec 17, 2023",,Paperback,view (with text),/book/show/54814861-the-bookshop-of-second-chances
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Last Night with the Earl        (The Devils of Dover, #2)","Bowen, Kelly*",1478918586,9781478918585,,368        pp,3.87,"1,646","Sep 25, 2018","Sep 25, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was good, though I liked the first one better. Kind of wanted more of the brother. He wasn’t really in this one. Better read the third one!",Notes are private!,0,2,1,"Dec 09, 2023","Dec 15, 2023","Dec 09, 2023",,ebook,view (with text),/book/show/31933395-last-night-with-the-earl
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Husband,"Ventura, Maud",0063274825,9780063274822,0063274825,272        pp,3.69,"18,549","Aug 19, 2021","Jul 11, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This book is completely unhinged and I am there for it! Absolutely loved this. Really want to read it again. Please read this as I am desperate to talThis book is completely unhinged and I am there for it! Absolutely loved this. Really want to read it again. Please read this as I am desperate to talk about it with people! ...more,Notes are private!,0,3,1,"Dec 06, 2023","Dec 09, 2023","Dec 06, 2023",,Hardcover,view (with text),/book/show/63017297-my-husband
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Duke in the Night        (The Devils of Dover #1),"Bowen, Kelly*",1478918551,9781478918554,,368        pp,3.88,"2,360","Feb 20, 2018","Feb 20, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I always meant to read the Paris Apartment, but never got around to it. Then I discovered that the same Winnipeg author wrote regency romances. Hello!I always meant to read the Paris Apartment, but never got around to it. Then I discovered that the same Winnipeg author wrote regency romances. Hello! This was great! Very will written with unique characters. Really liked the summer school concept. Will read more in this series. ...more",Notes are private!,0,2,1,"Dec 04, 2023","Dec 06, 2023","Dec 04, 2023",,ebook,view (with text),/book/show/31933394-a-duke-in-the-night
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mr. Malcolm's List,"Allain, Suzanne*",059354756X,9780593547564,059354756X,256        pp,3.29,"13,753","Mar 02, 2009","Jun 21, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This was just ok. Had some promising moments but fell flat for me.,Notes are private!,0,1,1,"Nov 27, 2023","Nov 29, 2023","Nov 27, 2023",,Paperback,view (with text),/book/show/60621170-mr-malcolm-s-list
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dear Committee Members,"Schumacher, Julie",0385538138,9780385538138,0385538138,181        pp,3.77,"19,462","Aug 19, 2014","Aug 19, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This epistolary novel told through recommendation letters was sooooo up my alley! I laughed out loud quite often. Oh the drama of the academic world! This epistolary novel told through recommendation letters was sooooo up my alley! I laughed out loud quite often. Oh the drama of the academic world! The ending was surprisingly heartfelt and really touched me. Anyway, loved this. And I plan on signing off my emails as ""from the prow of the Titanic"" from now on. Lol! ...more",Notes are private!,0,3,1,"Nov 24, 2023","Nov 27, 2023","Nov 24, 2023",,Hardcover,view (with text),/book/show/19288259-dear-committee-members
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wall of Winnipeg and Me,"Zapata, Mariana*",,,B01CDDTGRY,475        pp,4.21,"254,574","Feb 28, 2016","Feb 28, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Read this because I see it referenced a lot and it has Winnipeg in the title. A really long slow burn, which I like! Perhaps too much football for my Read this because I see it referenced a lot and it has Winnipeg in the title. A really long slow burn, which I like! Perhaps too much football for my liking. And of course, every American author uses “eh” incorrectly. It just grates on me. But an enjoyable read, ehs aside....more",Notes are private!,0,2,1,"Nov 21, 2023","Nov 25, 2023","Nov 21, 2023",,Kindle Edition,view (with text),/book/show/29367958-the-wall-of-winnipeg-and-me
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Season in Chezgh’un: A Novel,"McLeod, Darrel J.",1771623624,9781771623629,1771623624,320        pp,3.70,37,unknown,"Oct 07, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Lots to think about it in this one.,Notes are private!,0,2,1,"Nov 17, 2023","Nov 21, 2023","Nov 17, 2023",,Paperback,view (with text),/book/show/152249852-a-season-in-chezgh-un
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Ballad of Songbirds and Snakes        (The Hunger Games, #0)","Collins, Suzanne",,,,541        pp,3.95,"752,159","May 19, 2020","May 19, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Very much liked this! Initially I was not sure if I wanted to read it, but once I started, I was immediately sucked back into the world of Panem! I feVery much liked this! Initially I was not sure if I wanted to read it, but once I started, I was immediately sucked back into the world of Panem! I felt like there was a bit of instalove, which felt really weird, but I think it was the author being very clever. Really want to chat about it with others who have read it! I'm looking at you, Rochelle and Heather! :-)...more",Notes are private!,1,3,1,"Nov 11, 2023","Nov 17, 2023","Nov 11, 2023",,Kindle Edition,view (with text),/book/show/51901147-the-ballad-of-songbirds-and-snakes
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stone Blind,"Haynes, Natalie*",0063258390,9780063258396,0063258390,373        pp,3.85,"42,473","Sep 15, 2022","Feb 07, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I really enjoyed this. Would’ve liked some more time spent on Medusa, but I get that maybe wasn’t the point. Also, whenever I read anything mythology-I really enjoyed this. Would’ve liked some more time spent on Medusa, but I get that maybe wasn’t the point. Also, whenever I read anything mythology-related, I always find the casual reference to rape so jarring. And the gods are all so shitty in general. Fascinating. ...more",Notes are private!,0,2,1,"Nov 29, 2023","Dec 04, 2023","Nov 08, 2023",,Hardcover,view (with text),/book/show/61102615-stone-blind
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bel Canto,"Patchett, Ann",,,0060838728,318        pp,3.93,"283,427","May 22, 2001","Feb 07, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This was so good. Glad I finally took the time to read it.,Notes are private!,1,3,1,"Nov 02, 2023","Nov 11, 2023","Nov 02, 2023",,Paperback,view (with text),/book/show/5826.Bel_Canto
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Happiness for Beginners,"Center, Katherine*",1250047307,9781250047304,1250047307,320        pp,4.07,"46,745","Mar 24, 2015","Mar 24, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was fun! A few times I felt like I had to accept some things that seemed pretty implausible, but the warmth of the characters and their interactiThis was fun! A few times I felt like I had to accept some things that seemed pretty implausible, but the warmth of the characters and their interactions made up for it. Now on to the movie! It’s on Netflix right now....more",Notes are private!,0,3,1,"Oct 29, 2023",Nov 2023,"Oct 29, 2023",,Paperback,view (with text),/book/show/21853666-happiness-for-beginners
