,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Pablo's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Serotonina,"Houellebecq, Michel",843398022X,9788433980229,843398022X,288        pp,3.58,"27,217","Jan 04, 2019",Jan 2019,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 28, 2024",not set,"Mar 28, 2024",,Paperback,view,/book/show/44173772-serotonina
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beyond This Point Are Monsters,"Millar, Margaret",0930330315,9780930330316,0930330315,213        pp,3.71,210,1970,1985,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Este libro es un gran rompecabezas de misterio. Una extraña desaparición, un grupo de personajes que a simple vista no saben mucho pero que esconden mEste libro es un gran rompecabezas de misterio. Una extraña desaparición, un grupo de personajes que a simple vista no saben mucho pero que esconden muchos enigmas relacionados al desaparecido y sus allegados... Aquí, Margaret Millar elabora una historia que se engrana pieza por pieza, mientras se conoce a cada uno de sus personajes en su día a día y también en el juicio relacionado al hecho principal (muy al estilo de lo que haría luego John Grisham). Es un noir efectivo y sin pretenciones, en el que no existe la figura del héroe que aparece a salvar la historia, sino que gracias a una pluma simple y efectiva, serán los hechos los que se encargarán de brindar justicia a todos los involucrados. El final es espectacular y más que nada porque es la parte en la que el lector se puede imaginar con gran nitidez todo lo que se sucede en ese tobogán de locura en el que se sumerge uno de los personajes destacados de la historia cuando conoce la verdad. Es un libro que gracias a su simpleza se lee muy rápido, y que presenta también personajes gratamente elaborados (sobre todo los femeninos). Recomendado para todos aquellos que deseen disfrutar de un noir alejado de las recetas convencionales del circuito comercial. ...more",Notes are private!,0,0,1,"Mar 15, 2024","Mar 28, 2024","Mar 28, 2024",,Mass Market Paperback,view (with text),/book/show/994939.Beyond_This_Point_Are_Monsters
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sombras de Reikiavik,"Adeane, Anthony",8491872051,9788491872054,8491872051,320        pp,3.39,832,"Apr 03, 2018","Feb 21, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"En 1974, dos hombres en Islandia, con diez meses de diferencia, desaparecieron sin dejar rastro. Ellos vivían a varios kilómetros de distancia, teníanEn 1974, dos hombres en Islandia, con diez meses de diferencia, desaparecieron sin dejar rastro. Ellos vivían a varios kilómetros de distancia, tenían distintas edades (32 y 18) y distintas profesiones. Toda Islandia se sacudió por este suceso, ya que nunca pasó algo de similares características en aquel país. En ""Sombras de Reikiavik"", Anthony Adeane reconstruirá todos los pormenores del caso, así como también las historias de las personas acusadas, incluyéndose a la sociedad islandesa en su papel de juez y verdugo.Este es también un ensayo sobre las capacidades de almacenar, borrar o crear nuevos recuerdos, mediante presiones jurídicas, policiales o de la propia sociedad. El libro está muy bien estructurado y se agradece en este tipo de reconstrucciones de hechos reales, porque muchas veces se tiende a no dejar ningún tipo de misterio al lector, cosa que acá si sucede.El retrato de Adeane de Islandia es muy cinematográfico; aporta al lector la sensación de estar leyendo un documental (el lector se podrá imaginar esa cabina de teléfono en el bar durante una gran nevada, en la que uno de los desaparecidos realiza una extraña llamada). Las entrevistas a todos los implicados aportan un gran contenido que ayuda a la reconstrucción de los hechos con gran detalle. Algo que sí que no parece destacar es el relleno que el autor presenta acerca de muchos aspectos de Islandia que no aportan nada a la trama (como dedicar capítulos a su economía). Ahí, el lector puede llegar a perderse. A casi cincuenta años después, el misterio de la desaparición de Guðmundur Einarsson y Geirfinnur Einarsson aún perdura en la memoria de todo Islandia, uno de los rincones más bellos del mundo, en los que ciertos recuerdos no se pierden y desvanecen con las tormentas y las hermosas auroras boreales. ...more",Notes are private!,0,0,1,"Feb 24, 2024","Mar 13, 2024","Feb 24, 2024",,Hardcover,view (with text),/book/show/44171911-sombras-de-reikiavik
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wapshot Scandal,"Cheever, John",0060528885,9780060528881,0060528885,320        pp,3.75,887,1964,"Aug 23, 2011",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"El escándalo de los Wapshot (libro 2):En esta continuación de Crónica de los Wapshot, los personajes se acercarán a sus propios abismos personales ya El escándalo de los Wapshot (libro 2):En esta continuación de Crónica de los Wapshot, los personajes se acercarán a sus propios abismos personales ya que, todos los miembros de este clan se enfrentarán a su ruina personal, económica y social, de la que será último testigo el (ruinoso) pueblo de Saint Botolphs.El pueblo también sufrió la decadencia total de sus personajes y ahora se compone de muchas casas desvencijadas y muchos borrachos, incluido el párroco que da la misa en un estado de embriaguez total mientras realiza unos movimientos propios de un estilo teatral ridículo, casi como los del cine mudo.La caída de los Wapshot es esperada por mucha gente del pueblo, que incluso llegan a decir que “siempre se creyeron mejores que los demás”. Esto evidencia que dentro del respeto que emanaba hacia el exterior de los habitantes del pueblo por sobre esta familia, existió siempre un fondo de envidia que les corroía en la sangre.También, la muerte de una persona muy importante dentro de los Wapshot supondrá el fin total de la familia en Saint Botolphs, ya que tendrán que deshacerse de todos sus bienes a la fuerza.Por esto, se puede decir que esta segunda parte es la antítesis de lo anterior, ya que acá no existe lo bello del ideal norteamericano del american dream, sino que todo está corroído y corrompido por la más oscura decadencia a la que pueden llegar los seres humanos y su camino hacia lo inevitable.Cheever nunca se sintió muy cómodo con escribir esta continuación, destinada más a darle un cierre a los Wapshot que a retomar ese sendero del éxito y prestigio que obtuvo con Crónica de los Wapshot, novela a la que no le tenía el mejor de los aprecios. Quizá por esto mismo es que hizo una versión mucho más oscura del clan para la continuación, algo que, pese a aprobar, a su editor no le gustó para nada. “el manuscrito está muy bien, pero Cheever, te estás volviendo muy oscuro”, le dijo.Lo que quizá no sabía su editor que esta segunda parte de la saga, reflejó de manera casi documental la historia del declive de la familia del propio autor.En conclusión, la saga de los Wapshot, es muy recomendable aunque, se recomienda (por supuesto), leer la primera parte de la historia....more",Notes are private!,0,0,1,"Dec 02, 2023","Dec 12, 2023","Dec 16, 2023",,Paperback,view (with text),/book/show/153459.The_Wapshot_Scandal
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,El paciente inglés,"Ondaatje, Michael",,,,292        pp,3.87,"132,009",Sep 1992,1995,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A pesar de que la película homónima de los 90 (basada por supuesto en este libro) es muy disfrutable, me quedó la sensación de que este libro va dentrA pesar de que la película homónima de los 90 (basada por supuesto en este libro) es muy disfrutable, me quedó la sensación de que este libro va dentro de la categoría de aquellos que son superados por su adaptación cinematográfica. ¿Lo romántico de la historia? brilla bastante por su ausencia y se siente muy forzado, además del hecho de que los personajes no se sienten muy elaborados, pues a uno no llega a quedarle la memoria de ninguno una vez terminada la historia (¡Ni siquiera del paciente inglés!). Un punto positivo es la detallada ambientación europea de la época y esos increíbles desiertos africanos: se puede sentir el calor apabullante y el tacto de la arena sobre el rostro. En este caso se nota muchísimo el estudio por parte del autor y me encantó ser transportado hacia esos lugares por el relato. Todo lo relacionado a las bombas es un relleno de la trama que se siente muy alargado. ¡Si hasta el final del libro casi se seguirá hablando de bombas! Me perdí entre explosiones accidentales y desactivaciones. Sí que me quedó la idea de la importancia de los soldados que sacrificaron sus vidas para desactivar ese montón de artefactos al final y luego de la 2ªGM, por supuesto. Aunque dedicar capítulos enteros a la temática me pareció absurdo. Por todo lo dicho, prefiero quedarme con la película. No logro entender como este libro ganó el Booker. Quizá debería leerlo en su idioma original para capturar la esencia del relato. ...more",Notes are private!,0,0,1,"Dec 12, 2023","Dec 31, 2023","Dec 12, 2023",,Paperback,view (with text),/book/show/1327375.El_paciente_ingl_s
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Los Wapshot,"Cheever, John",8466342060,9788466342063,8466342060,688        pp,3.76,"7,304",1957,Jan 2018,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Crónica de los Wapshot (libro 1):Reseña: El primer libro de la saga familiar de los Wapshot me sorprendió muchísimo. Cheever recogió con gran precisióCrónica de los Wapshot (libro 1):Reseña: El primer libro de la saga familiar de los Wapshot me sorprendió muchísimo. Cheever recogió con gran precisión todos los elementos característicos del estilo american dream de mediados del siglo pasado y le aportó ese toque de deje nostálgico que poseen todos los personajes a lo largo de la historia. Y es que los Wapshot viven de sus historias. Otrora familia muy acaudalada de la ciudad de Saint Botolphs, viven el fin de la década del cincuenta tratando de ocultar que son la sombra de lo que fueron, ya que su poder recae únicamente en la última sobreviviente de sus años de esplendor: Honora Wapshot, la matriarca de la familia. Ella se encargará de que el poco legado familiar que queda, sobreviva al menos una generación más, entre mansiones desvencijadas y embarcaciones deterioradas. Moses y Coverly Wapshot serán los que deberán asegurar el futuro del clan. Ambos son muy diferentes entre sí, pero se entienden muchísimo (por ejemplo, “spoiler”: cuando Coverly le confiesa su bisexualidad a Moses este no parece tomarle demasiada importancia, explicándole que en el pueblo no es el primer hombre que tuvo experiencias con otros). Moses, en cambio, buscará recuperar el legado familiar y devolverle todo su esplendor. Así, se casará con una chica con apellido y con una familia con estatus en la alta sociedad aunque, lo que él sabrá más pronto que tarde es que esa familia está en bancarrota y apenas pueden mantener su viejo y oxidado Rolls Royce. ----El escándalo de los Wapshot (libro 2): En esta continuación de Crónica de los Wapshot, los personajes se acercarán a sus propios abismos personales ya que, todos los miembros de este clan se enfrentarán a su ruina personal, económica y social, de la que será último testigo el (ruinoso) pueblo de Saint Botolphs. El pueblo también sufrió la decadencia total de sus personajes y ahora se compone de muchas casas desvencijadas y muchos borrachos, incluido el párroco que da la misa en un estado de embriaguez total mientras realiza unos movimientos propios de un estilo teatral ridículo, casi como los del cine mudo. La caída de los Wapshot es esperada por mucha gente del pueblo, que incluso llegan a decir que “siempre se creyeron mejores que los demás”. Esto evidencia que dentro del respeto que emanaba hacia el exterior de los habitantes del pueblo por sobre esta familia, existió siempre un fondo de envidia que les corroía en la sangre. También, la muerte de una persona muy importante dentro de los Wapshot supondrá el fin total de la familia en Saint Botolphs, ya que tendrán que deshacerse de todos sus bienes a la fuerza. Por esto, se puede decir que esta segunda parte es la antítesis de lo anterior, ya que acá no existe lo bello del ideal norteamericano del american dream, sino que todo está corroído y corrompido por la más oscura decadencia a la que pueden llegar los seres humanos y su camino hacia lo inevitable.Cheever nunca se sintió muy cómodo con escribir esta continuación, destinada más a darle un cierre a los Wapshot que a retomar ese sendero del éxito y prestigio que obtuvo con Crónica de los Wapshot, novela a la que no le tenía el mejor de los aprecios. Quizá por esto mismo es que hizo una versión mucho más oscura del clan para la continuación, algo que, pese a aprobar, a su editor no le gustó para nada. “el manuscrito está muy bien, pero Cheever, te estás volviendo muy oscuro”, le dijo.Lo que quizá no sabía su editor que esta segunda parte de la saga, reflejó de manera casi documental la historia del declive de la familia del propio autor. En conclusión, la saga de los Wapshot, es muy recomendable aunque, se recomienda (por supuesto), leer la primera parte de la historia. ...more",Notes are private!,0,0,1,"Nov 23, 2023","Dec 12, 2023","Nov 23, 2023",,Paperback,view (with text),/book/show/36463630-los-wapshot
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Affluent Society,"Galbraith, John Kenneth",0140285199,9780140285192,0140285199,276        pp,3.99,"2,894",1958,"Jan 01, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 24, 2023",,Paperback,view,/book/show/41589.The_Affluent_Society
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Reporter's Life,"Cronkite, Walter",0394578791,9780394578798,0394578791,384        pp,3.78,"2,998","Dec 12, 1991","Nov 27, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 24, 2023",not set,"Oct 24, 2023",,Hardcover,view,/book/show/1039348.A_Reporter_s_Life
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Damon,"Cline Jr., C. Terry",8428604819,,,358        pp,3.53,299,"Jan 01, 1975",1975,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 20, 2023",,Paperback,view,/book/show/22455506-damon
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Audrey Rose. El cristal ardiente,"De Felitta, Frank",8422609274,9788422609278,B00AU6YAHS,389        pp,3.89,"21,677","Jan 01, 1975",1978,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Tenía muchas expectativas con respecto a este libro, pero no hizo más que decepcionarme. Sin dudas, la premisa es novedosa ya que involucra elementos Tenía muchas expectativas con respecto a este libro, pero no hizo más que decepcionarme. Sin dudas, la premisa es novedosa ya que involucra elementos dignos de El exorcista en conjunción con aquellos que tienen que ver con la reencarnación que resultan interesantes al principio. La primera mitad del relato parece otro libro, mientras que la segunda parte ahonda con demasía en la parte legal y hace demasiado énfasis en el punto de vista religioso (sobre todo el católico), tan metido con calzador que se hace extenuante. Disfruté de la primera mitad de la trama porque me pareció que el suspenso y el ritmo estaban muy bien manejados, pero desde lo que corresponde al juicio hacia uno de los personajes, todo va cuesta abajo. Me confundió tanto que tuve que escribir esta reseña en primera persona, debido a que la decepción prevaleció sobre mi distancia crítica. ¿Este libro pretendió ser una historia de terror desde un primer momento? Si este es el caso, no cumplió el objetivo. Si bien hay elementos de terror, prevalecen más los vinculados a las batallas legales entre los personajes que lo mencionado anteriormente, por lo que no me aventuro al decir que El cristal ardiente bien podría ser un libro de John Grisham (con el permiso de este último). ¿En resumen? Una porquería con todas las letras. (¡Aunque tiene una buena portada!). Aléjense de este libro. ...more",Notes are private!,0,0,1,"Oct 20, 2023","Oct 24, 2023","Oct 20, 2023",,Hardcover,view (with text),/book/show/18040750-audrey-rose-el-cristal-ardiente
