,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Joan's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Swim Back to Me,"Packer, Ann*",0307877922,9780307877925,0307877922,8        pp,3.29,"2,292","Jan 01, 2011","Apr 05, 2011",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I am almost through this collection of beautiful short stories.,Notes are private!,0,0,1,"Jun 16, 2013","Jun 24, 2013","May 24, 2013",,Audio CD,view (with text),/book/show/8961937-swim-back-to-me
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Woman Upstairs,"Messud, Claire",0307596907,9780307596901,0307596907,253        pp,3.31,"32,895","Apr 30, 2013","Apr 28, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 19, 2013",,Hardcover,view,/book/show/15701217-the-woman-upstairs
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Women Who Run With the Wolves,"Pinkola Estés, Clarissa",0345409876,9780345409874,0345409876,537        pp,4.13,"75,294",1992,Sep 1995,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 19, 2013",,Paperback,view,/book/show/241823.Women_Who_Run_With_the_Wolves
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The First Man,"Camus, Albert",0783816014,9780783816012,0783816014,359        pp,3.97,"9,899",1994,"Jan 01, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 15, 2013",,Hardcover,view,/book/show/15694.The_First_Man
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Love and Other Impossible Pursuits,"Waldman, Ayelet*",0385515308,9780385515306,0385515308,352        pp,3.65,"3,844","Jan 01, 2006","Jan 24, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book struck an ancient guilty nerve in me, because I was and am the stepmother of a boy who was similarly annoying and unlike William sucked his This book struck an ancient guilty nerve in me, because I was and am the stepmother of a boy who was similarly annoying and unlike William sucked his thumb as well. Now that boy is a fine man in his forties, unconventional, loving, and a very tender new father. I like him and love him very much--but I didn't always....more",Notes are private!,0,0,1,not set,"May 27, 2013","May 14, 2013",,Hardcover,view (with text),/book/show/706467.Love_and_Other_Impossible_Pursuits
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Songs Without Words,"Packer, Ann*",0375412816,9780375412813,0375412816,352        pp,3.04,"5,082","Jan 01, 2007","Sep 04, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I enjoyed this book even more than her first. Living in the locale where it is set, I could appreciate the accuracy. I found the characters engaging, I enjoyed this book even more than her first. Living in the locale where it is set, I could appreciate the accuracy. I found the characters engaging, the conflicts believable, the portrayal of people in crisis sympathetic, and the conclusion satisfying....more",Notes are private!,0,1,1,"May 09, 2013","May 23, 2013","May 09, 2013",,Hardcover,view (with text),/book/show/394225.Songs_Without_Words
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shadow Country,"Matthiessen, Peter",,,,892        pp,4.07,"5,237",2008,"Apr 08, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 05, 2013",,Hardcover,view,/book/show/2253484.Shadow_Country
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bender: New and Selected Poems,"Young, Dean",1556594038,9781556594038,1556594038,300        pp,4.33,202,"Sep 11, 2012","Oct 30, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 01, 2013",,Hardcover,view,/book/show/13592220-bender
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Art of Recklessness: Poetry as Assertive Force and Contradiction,"Young, Dean",1555975623,9781555975623,1555975623,167        pp,4.13,628,2010,"Jul 20, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 01, 2013",,Paperback,view,/book/show/7517330-the-art-of-recklessness
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Possible Life: A Novel in Five Love Stories,"Faulks, Sebastian",0805097309,9780805097306,0805097309,304        pp,3.49,"5,233","Sep 11, 2012","Dec 11, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 24, 2013",,Hardcover,view,/book/show/13722330-a-possible-life
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maya's Notebook,"Allende, Isabel*",0062105620,9780062105622,0062105620,387        pp,3.87,"29,868",2011,"Apr 23, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 24, 2013",,Hardcover,view,/book/show/16248114-maya-s-notebook
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Old Wives' Tale,"Bennett, Arnold",0375754903,9780375754906,0375754903,565        pp,3.84,"4,540",1908,"Nov 01, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 24, 2013",,Paperback,view,/book/show/188454.The_Old_Wives_Tale
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In Zanesville,"Beard, Jo Ann",0316084476,9780316084475,0316084476,287        pp,3.62,"4,421","Apr 25, 2011","Apr 25, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I enjoyed this is much as I did The Boys of My Youth, another apparently autobiographical slice of life that portrays being a particular age in a partI enjoyed this is much as I did The Boys of My Youth, another apparently autobiographical slice of life that portrays being a particular age in a particular time and place....more",Notes are private!,0,1,1,May 2013,"May 09, 2013","Apr 23, 2013",,Hardcover,view (with text),/book/show/9429864-in-zanesville
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cloudstreet,"Winton, Tim",0743234413,9780743234412,0743234413,426        pp,4.01,"25,371",1991,"Jun 06, 2002",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I read most of this book in time for my book club's discussion of it and finished the last few pages today. Excellent literature with compelling charaI read most of this book in time for my book club's discussion of it and finished the last few pages today. Excellent literature with compelling characters....more,Notes are private!,0,0,1,"May 31, 2013","Jun 09, 2013","Apr 18, 2013",,Paperback,view (with text),/book/show/343881.Cloudstreet
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sweet Tooth,"McEwan, Ian*",,,,320        pp,3.43,"50,545",2012,"Aug 23, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I won't finish in time for my book club's meeting tomorrow, so I won't know the surprise ending. Plenty of twists and turns so far. Serena is an unrelI won't finish in time for my book club's meeting tomorrow, so I won't know the surprise ending. Plenty of twists and turns so far. Serena is an unreliable narrator, but there's a more mature Serena waiting to reveal herself. History (the 1970s), class, national identities, and literary values/taste are interwoven....more",Notes are private!,0,4,1,"Apr 12, 2013","Apr 19, 2013","Apr 17, 2013",,Hardcover,view (with text),/book/show/13562049-sweet-tooth
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Boys of My Youth,"Beard, Jo Ann",,,B002WAUVIM,232        pp,4.12,"5,540","Jan 01, 1998",unknown,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Quite a memorable book. Reads like fiction.Very well-done memoir.,Notes are private!,0,1,1,"Apr 21, 2013","Apr 29, 2013","Apr 17, 2013",,Kindle Edition,view (with text),/book/show/11456467-the-boys-of-my-youth
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Life After Life        (Todd Family, #1)","Atkinson, Kate",0316176486,9780316176484,0316176486,529        pp,3.78,"227,431","Mar 14, 2013","Apr 02, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 13, 2013",,Hardcover,view,/book/show/15790842-life-after-life
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Absolutist,"Boyne, John*",,,,311        pp,4.10,"19,840","May 01, 2011","Jul 10, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I just finished the book, and I find new meaning for its title. Will is not a coward but he is an absolutist, in a different sense than the term had fI just finished the book, and I find new meaning for its title. Will is not a coward but he is an absolutist, in a different sense than the term had for the British in WWI. His moral judgments are absolute and unwavering, immature. He is only 19, so this is realistic. His principles and emotions are disconnected. His moral certainty comes at the price of dishonesty to himself and others. In contrast, Tristan is in touch with his own ambiguities and suffers because of this. Wounded by Will and by society's intolerance, he also suffers from the vehemence of his own emotions. While the ending surprised me, it also seems in keeping with Tristan's character....more",Notes are private!,0,2,1,"Apr 10, 2013","May 29, 2013","Apr 13, 2013",,Paperback,view (with text),/book/show/13414716-the-absolutist
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nemesis,"Roth, Philip",0547318359,9780547318356,B0052HKL4G,280        pp,3.85,"16,363","Oct 05, 2010","Oct 05, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2013",,Hardcover,view,/book/show/7703038-nemesis
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,At Play in the Fields of the Lord,"Matthiessen, Peter",0679737413,9780679737414,0679737413,373        pp,4.03,"3,116",1965,"Dec 03, 1991",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2013",,Paperback,view,/book/show/769729.At_Play_in_the_Fields_of_the_Lord
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dying in Public: Living with Metastatic Breast Cancer,"Hendler, Sue",,,,unknown,4.54,13,"Aug 17, 2012",unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"7 April 2013 27%.I identify with Sue Hendler more than with any other person who has written about cancer, dying, etc. Perhaps because she was writing7 April 2013 27%.I identify with Sue Hendler more than with any other person who has written about cancer, dying, etc. Perhaps because she was writing a series of columns for her local newspaper, her observations are sharp, immediate, and show the vicissitudes we experience. Like me, she is a planner and someone used to being in control. The frustration of being unable to predict, plan, control anything for sure. Change happens daily, even hourly, Strong hunger for more life--I am older so may find it easier to let go, but not by much. We both hate and fear pain and incapacity. We are troubled by needing other people and deeply grateful for all they do for us....more",Notes are private!,0,2,1,"Apr 06, 2013","Apr 10, 2013","Apr 07, 2013",,Kindle Edition,view (with text),/book/show/17738465-dying-in-public
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Camomile Lawn,"Wesley, Mary",0099499142,9780099499145,0099499142,336        pp,3.87,"4,689",1984,"Jul 04, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I read this years ago, can remember only that I liked it.",Notes are private!,0,0,1,not set,not set,"Mar 25, 2013",,Paperback,view (with text),/book/show/276967.The_Camomile_Lawn
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Yellow Birds,"Powers, Kevin",0316219363,9780316219365,0316219363,226        pp,3.74,"25,830","Sep 06, 2012","Sep 06, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2013",,Hardcover,view,/book/show/13366259-the-yellow-birds
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Good Husband,"Godwin, Gail",1860499139,9781860499135,1860499139,468        pp,3.78,877,"Aug 09, 1994","Sep 05, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 23, 2013",,Paperback,view,/book/show/202551.The_Good_Husband
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Father Melancholy's Daughter,"Godwin, Gail",0380729865,9780380729869,0380729865,404        pp,3.98,"2,025","Mar 01, 1991","May 01, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 23, 2013",,Paperback,view,/book/show/410389.Father_Melancholy_s_Daughter
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Flora,"Godwin, Gail",1620401207,9781620401200,1620401207,278        pp,3.63,"4,253","May 07, 2013","May 07, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2013",,Hardcover,view,/book/show/16034245-flora
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sleeping Tigers,"Robinson, Holly*",1466404833,9781466404830,1466404833,258        pp,3.58,664,"Dec 23, 2011","Dec 28, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"While I enjoyed this book, it left too much hanging.",Notes are private!,0,0,1,"Mar 22, 2013",Apr 2013,"Mar 22, 2013",,Paperback,view (with text),/book/show/13126584-sleeping-tigers
