,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Riley's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Birnam Wood,"Catton, Eleanor",1250321719,9781250321718,1250321719,423        pp,3.83,"30,755","Mar 02, 2023","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2024",,Paperback,view,/book/show/127282570-birnam-wood
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Summer Book,"Jansson, Tove",0954221710,9780954221713,0954221710,192        pp,4.03,"39,198",1972,"May 29, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Paperback,view,/book/show/79550.The_Summer_Book
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Annual Banquet of the Gravediggers' Guild,"Énard, Mathias",1804270598,9781804270592,1804270598,496        pp,3.55,761,"Oct 07, 2020","Oct 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/65923975-the-annual-banquet-of-the-gravediggers-guild
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Behind You Is the Sea,"Darraj, Susan Muaddi*",0063324237,9780063324237,0063324237,256        pp,4.18,"1,393","Jan 16, 2024","Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Hardcover,view,/book/show/134221617-behind-you-is-the-sea
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On Freedom: Four Songs of Care and Constraint,"Nelson, Maggie",1644450623,9781644450628,1644450623,288        pp,4.01,"2,308","Sep 07, 2021","Sep 07, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 23, 2024",,Hardcover,view,/book/show/56269292-on-freedom
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bliss Montage,"Ma, Ling*",0374293511,9780374293512,0374293511,228        pp,3.92,"17,097","Sep 13, 2022","Sep 13, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Interesting collection of stories! Felt very black mirror-y: clearly dystopian but also heavily reminiscent of our current world. It also felt like alInteresting collection of stories! Felt very black mirror-y: clearly dystopian but also heavily reminiscent of our current world. It also felt like all of the stories sort of belonged to this same near-distant reality (maybe because of audiobook and third-person narration?) but I enjoyed that too...more,Notes are private!,0,0,1,"Mar 28, 2024","Apr 05, 2024","Feb 23, 2024",,Hardcover,view (with text),/book/show/60243188-bliss-montage
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Greta & Valdin,"Reilly, Rebecca K.*",1668028042,9781668028049,1668028042,352        pp,4.20,"5,207","May 13, 2021","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Hardcover,view,/book/show/176443453-greta-valdin
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shuggie Bain,"Stuart, Douglas*",0802148042,9780802148049,0802148042,430        pp,4.31,"151,879","Feb 11, 2020","Feb 11, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Hardcover,view,/book/show/52741293-shuggie-bain
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In the Café of Lost Youth,"Modiano, Patrick",0857055267,9780857055262,0857055267,153        pp,3.54,"12,235","Oct 04, 2007","Mar 08, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 21, 2024",,Hardcover,view,/book/show/31839659-in-the-caf-of-lost-youth
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kitchen,"Yoshimoto, Banana",0802142443,9780802142443,0802142443,160        pp,3.90,"99,162","Jan 30, 1988","Apr 17, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 21, 2024",,Paperback,view,/book/show/50144.Kitchen
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Master and Margarita,"Bulgakov, Mikhail",,,0802130119,402        pp,4.29,"353,369",1967,"Jan 23, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 20, 2024",,Paperback,view,/book/show/339472.The_Master_and_Margarita
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tokyo Ueno Station,Yū Miri,1911284169,9781911284161,1911284169,168        pp,3.48,"22,912","Mar 19, 2014","Mar 04, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 20, 2024",,Paperback,view,/book/show/43398196-tokyo-ueno-station
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Island of Missing Trees,"Shafak, Elif*",0241434998,9780241434994,0241434998,354        pp,4.16,"102,012","Nov 02, 2021","Aug 05, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 20, 2024",,Hardcover,view,/book/show/56587382-the-island-of-missing-trees
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rules of Civility,"Towles, Amor*",0143121162,9780143121169,0143121162,335        pp,4.08,"232,167","Jul 26, 2011","Jun 26, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Paperback,view,/book/show/13339004-rules-of-civility
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vaster Wilds,"Groff, Lauren*",0593418395,9780593418390,0593418395,272        pp,3.79,"24,372","Sep 12, 2023","Sep 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Hardcover,view,/book/show/62952130-the-vaster-wilds
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Poor Deer,"Oshetsky, Claire*",006332766X,9780063327665,006332766X,240        pp,4.02,"1,751","Jan 09, 2024","Jan 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 09, 2024",,Hardcover,view,/book/show/127823311-poor-deer
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bee Sting,"Murray, Paul",0374600309,9780374600303,0374600309,656        pp,4.01,"32,107","Jun 08, 2023","Aug 15, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,Hardcover,view,/book/show/62039166-the-bee-sting
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Map for the Missing,"Tang, Belinda Huijuan*",0593300661,9780593300664,0593300661,400        pp,4.00,"3,765","Aug 09, 2022","Aug 09, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,Hardcover,view,/book/show/59900654-a-map-for-the-missing
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Husband,"Ventura, Maud",0063274825,9780063274822,0063274825,272        pp,3.69,"18,567","Aug 19, 2021","Jul 11, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Had me gripped start to finish,Notes are private!,0,1,1,"Mar 10, 2024","Mar 23, 2024","Feb 08, 2024",,Hardcover,view (with text),/book/show/63017297-my-husband
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,North Woods,"Mason, Daniel*",0593597036,9780593597033,0593597036,372        pp,4.18,"27,248","Sep 19, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 06, 2024",,Hardcover,view,/book/show/71872930-north-woods
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Have Some Questions for You,"Makkai, Rebecca*",0593490169,9780593490167,0593490169,464        pp,3.62,"101,918","Feb 21, 2023","Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 06, 2024",,Paperback,view,/book/show/202514144-i-have-some-questions-for-you
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,France is a Feast: The Photographic Journey of Paul and Julia Child,"Prud'Homme, Alex",0500519072,9780500519073,0500519072,208        pp,4.31,332,unknown,"Oct 24, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Hardcover,view,/book/show/29082641-france-is-a-feast
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Good Material,"Alderton, Dolly",059380130X,9780593801307,059380130X,336        pp,4.02,"62,293","Nov 07, 2023","Jan 30, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Dolly just GETS IT!!!! What a wonderful story with wonderful complex characters! Equal parts funny and achy with loveable, real characters. I enjoyed Dolly just GETS IT!!!! What a wonderful story with wonderful complex characters! Equal parts funny and achy with loveable, real characters. I enjoyed from start to finish but felt like the last bit bumped it over the edge to five stars pour moi ...more",Notes are private!,0,1,1,"Mar 31, 2024","Apr 11, 2024","Feb 01, 2024",,Hardcover,view (with text),/book/show/198688460-good-material
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Romantic Comedy,"Sittenfeld, Curtis*",0399590943,9780399590948,0399590943,309        pp,3.66,"176,356","Apr 04, 2023","Apr 04, 2023",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"**spoiler alert** Hahahah this book sucks. The author’s final claim that it was a win for feminism because the ugly (I imagined her extremely normal l**spoiler alert** Hahahah this book sucks. The author’s final claim that it was a win for feminism because the ugly (I imagined her extremely normal looking), insecure, and insufferable MC marries a hot (questionable, he wears a wig) celebrity was the icing on the cake. Whole thing was textbook white feminist, cringe, and honestly tone deaf. Also, I think I can speak for the masses when I say that we do NOT want a book set in Covid!!! Absolutely not!!! Give us a break!!!!! At least for the next century or two...more",Notes are private!,1,2,1,"Jan 29, 2024","Feb 07, 2024","Jan 29, 2024",,Hardcover,view (with text),/book/show/62628727-romantic-comedy
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Boulder,"Baltasar, Eva",8439736967,9788439736967,8439736967,128        pp,3.86,"6,523","Mar 12, 2020","Mar 12, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 13, 2024",,Paperback,view,/book/show/49236083-boulder
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ghachar Ghochar,"Shanbhag, Vivek*",014311168X,9780143111689,014311168X,118        pp,3.90,"15,533",2013,"Feb 07, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 13, 2024",,Paperback,view,/book/show/30267604-ghachar-ghochar
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Violet Bent Backwards Over the Grass,"Del Rey, Lana",,,B08BJ9MW84,1        pp,3.98,"45,774","Sep 29, 2020","Jul 28, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Love my queen Lana always! Audiobook was def the way to go to hear her reading her own work (and bonus musical accompaniments). Sweet, melancholic, reLove my queen Lana always! Audiobook was def the way to go to hear her reading her own work (and bonus musical accompaniments). Sweet, melancholic, reflective and beautiful capture of life and love ...more",Notes are private!,0,0,1,"Jan 05, 2024","Jan 06, 2024","Jan 06, 2024",,Audible Audio,view (with text),/book/show/43554866-violet-bent-backwards-over-the-grass
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Homeland Elegies,"Akhtar, Ayad*",0316496421,9780316496421,0316496421,368        pp,4.14,"23,272","Sep 15, 2020","Sep 15, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Hardcover,view,/book/show/50358133-homeland-elegies
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Saw Ramallah,"Barghouti, Mourid",1400032660,9781400032662,1400032660,184        pp,4.19,"17,266",1997,"May 13, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 09, 2023",,Paperback,view,/book/show/846564.I_Saw_Ramallah
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lies and Sorcery,"Morante, Elsa",1681376849,9781681376844,1681376849,800        pp,4.18,"1,264",1948,"Jul 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 09, 2023",,Paperback,view,/book/show/62001844-lies-and-sorcery
