,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Sandi's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Inspector Specter        (A Haunted Guesthouse Mystery, #6)","Copperman, E.J.*",,,B00Q56Q7O6,unknown,4.04,"1,555","Dec 01, 2014","Dec 02, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Aug 06, 2021","Aug 07, 2021",,Audible Audio,view,/book/show/24034767-inspector-specter
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Diaspora,"Egan, Greg",,,,unknown,4.11,"9,612",Sep 1997,"Nov 25, 2013",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Aug 03, 2021","Aug 03, 2021",,Audible Audio,view,/book/show/26793326-diaspora
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"American Demon        (The Hollows, #14)","Harrison, Kim*",,,B085R8ZRK8,19        pp,4.46,"10,052","Jun 16, 2020","Jun 16, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jul 26, 2021","Jul 26, 2021",,Audible Audio,view,/book/show/54097640-american-demon
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Project Hail Mary,"Weir, Andy*",,,B08GB58KD5,17        pp,4.51,"565,388","May 04, 2021","May 04, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jul 05, 2021","Jul 08, 2021","Jul 08, 2021",,Audible Audio,view,/book/show/56049167-project-hail-mary
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dark Witch        (The Cousins O'Dwyer Trilogy, #1)","Roberts, Nora*",,,B00EKOCFGY,11        pp,3.96,"65,935","Oct 29, 2013","Oct 29, 2013",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I only stuck with this drivel because of Katherine Kellgren's outstanding narration.I only stuck with this drivel because of Katherine Kellgren's outstanding narration....more,Notes are private!,0,0,1,not set,"Jun 28, 2021","Jun 28, 2021",,Audible Audio,view (with text),/book/show/18776444-dark-witch
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Wild Sign        (Alpha & Omega, #6)","Briggs, Patricia",,,B08BTP1WCN,unknown,4.51,"21,112","Mar 16, 2021","Mar 16, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,not setnot set,"Jun 19, 2021not set","Jun 19, 2021",,Audible Audio,view,/book/show/57101335-wild-sign
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Those Who Wish Me Dead,"Koryta, Michael*",,,B00FPQA76Q,401        pp,3.99,"14,094",2014,"Jun 03, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This would make a really good movie. Too bad they didn't stick to this story when they made a movie with this title and some characters that had the sThis would make a really good movie. Too bad they didn't stick to this story when they made a movie with this title and some characters that had the same names....more,Notes are private!,0,0,1,not set,"Jun 14, 2021","Jun 14, 2021",,Kindle Edition,view (with text),/book/show/40037431-those-who-wish-me-dead
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Awakened Kingdom        (The Inheritance Trilogy, #3.5)","Jemisin, N.K.*",1549131001,9781549131004,1549131001,unknown,4.01,"6,253","Dec 09, 2014","Feb 04, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Jun 11, 2021","Jun 11, 2021",,Audio CD,view,/book/show/48850598-the-awakened-kingdom
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fugitive Telemetry        (The Murderbot Diaries, #6)","Wells, Martha*",,,1980080631,5        pp,4.32,"66,519","Apr 27, 2021","Apr 27, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Jun 05, 2021","Jun 05, 2021",,Audible Audio,view,/book/show/58176203-fugitive-telemetry
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rivals 2! More Frenemies Who Changed the World        (Rivals! #2),"McCormick, Scott*",,,B07S1R782Y,0        pp,3.94,"1,271","Aug 08, 2019","Aug 08, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jun 04, 2021","Jun 04, 2021",,Audible Audio,view,/book/show/51053144-rivals-2-more-frenemies-who-changed-the-world
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Shorefall        (Founders, #2)","Bennett, Robert Jackson*",,,B07RLSCD6X,20        pp,4.06,"18,239","Apr 21, 2020","Apr 21, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"May 21, 2021","May 21, 2021",,Audible Audio,view,/book/show/51473767-shorefall
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Foundryside        (The Founders Trilogy #1),"Bennett, Robert Jackson*",,,B07DK6MS7Z,20        pp,4.19,"41,353","Aug 21, 2018","Aug 21, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,7,1,not set,"May 06, 2021","May 06, 2021",,Audible Audio,view,/book/show/41441690-foundryside
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Partials,"Wells, Dan*",0062209760,9780062209764,,14        pp,3.93,"58,584","Feb 28, 2012","Feb 28, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,not setnot set,"Apr 23, 2021not set","Apr 24, 2021",,Audible Audio,view,/book/show/15819732-partials
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Light from Other Stars,"Swyler, Erika*",,,B07SGG48GJ,unknown,3.82,"3,546","May 07, 2019","Jun 04, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 10, 2021","Apr 11, 2021",,Audible Audio,view,/book/show/51851597-light-from-other-stars
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Song for a New Day,"Pinsker, Sarah*",,,B07X2LBLBB,unknown,3.97,"4,332","Sep 10, 2019","Sep 10, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Apr 2021,"Apr 01, 2021",,Audible Audio,view,/book/show/52878669-a-song-for-a-new-day
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nice Werewolves Don't Bite Vampires        (Half-Moon Hollow #8),"Harper, Molly*",,,B089MBZSN5,unknown,4.14,"1,658","Sep 28, 2020","Sep 28, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 24, 2021","Mar 24, 2021",,Audible Audio,view,/book/show/54681727-nice-werewolves-don-t-bite-vampires
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bitter Falls        (Stillhouse Lake #4),"Caine, Rachel",,,B0839PCC38,12        pp,4.29,"23,569","Jan 21, 2020","Jan 21, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 18, 2021","Mar 18, 2021",,Audible Audio,view,/book/show/50626964-bitter-falls
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Network Effect        (The Murderbot Diaries, #5)","Wells, Martha*",1250229863,9781250229861,1250229863,350        pp,4.48,"83,305","May 05, 2020","May 05, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Mar 07, 2021","Mar 07, 2021",,Hardcover,view,/book/show/52381770-network-effect
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Wolfhunter River        (Stillhouse Lake, #3)","Caine, Rachel",,,B07NWZZ7YG,unknown,4.13,"31,671","Apr 23, 2019","Apr 23, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,not setnot set,"Feb 22, 2021not set","Feb 23, 2021",,Audible Audio,view,/book/show/44424516-wolfhunter-river
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Get Well Soon: History's Worst Plagues and the Heroes Who Fought Them,"Wright, Jennifer*",,,B01NCYU6F9,8        pp,4.24,"12,515","Feb 07, 2017","Feb 07, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Feb 16, 2021","Feb 17, 2021",,Audible Audio,view,/book/show/34443962-get-well-soon
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dragon's Egg,"Forward, Robert L.",,,B077D2KP72,12        pp,4.12,"8,901",May 1980,"Nov 01, 2017",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Feb 08, 2021","Feb 08, 2021",,Audible Audio,view,/book/show/40073113-dragon-s-egg
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Library at Mount Char,"Hawkins, Scott*",,,,unknown,4.09,"56,238","Jun 16, 2015","Jun 16, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Jan 28, 2021","Jan 28, 2021",,Audible Audio,view,/book/show/43427001-the-library-at-mount-char
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ninth House        (Alex Stern, #1)","Bardugo, Leigh*",,,B07LH8GF23,16        pp,4.03,"305,518","Oct 08, 2019","Oct 08, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jan 09, 2021","Jan 10, 2021",,Audible Audio,view,/book/show/44551419-ninth-house
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Thrill of the Haunt        (A Haunted Guesthouse Mystery, #5)","Copperman, E.J.*",0425252396,9780425252390,0425252396,304        pp,4.10,"1,763","Nov 05, 2013","Nov 05, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Dec 29, 2020","Dec 29, 2020",,Mass Market Paperback,view,/book/show/17290601-the-thrill-of-the-haunt
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One Charmed Christmas,"Roberts, Sheila*",1799919692,9781799919698,1799919692,1        pp,3.88,"1,733","Sep 29, 2020","Sep 29, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Dec 20, 2020","Dec 20, 2020",,Audio CD,view,/book/show/53280380-one-charmed-christmas
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Severance,"Ma, Ling*",,,B07G79Y5ZV,10        pp,3.92,"98,978","Aug 14, 2018","Aug 14, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Dec 15, 2020","Dec 16, 2020",,Audible Audio,view,/book/show/41141955-severance
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Alternate Routes,"Powers, Tim",,,B07FPP7824,unknown,3.65,832,"Aug 07, 2018","Aug 07, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Nov 16, 2020","Nov 17, 2020",,Audible Audio,view,/book/show/41882238-alternate-routes
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Haunting of Brynn Wilder,"Webb, Wendy*",1542020115,9781542020114,B0844QT2FT,287        pp,3.86,"25,379","Nov 01, 2020","Nov 01, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Nov 09, 2020","Nov 09, 2020",,Kindle Edition,view,/book/show/51118201-the-haunting-of-brynn-wilder
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Battle Ground        (The Dresden Files, #17)","Butcher, Jim*",,,B086PWKP9J,17        pp,4.42,"41,678","Sep 29, 2020","Sep 29, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Nov 05, 2020","Nov 08, 2020",,Audible Audio,view,/book/show/53257805-battle-ground
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Fairies of Sadieville        (Tufa, #6)","Bledsoe, Alex*",,,B07BRBSWQ1,unknown,4.08,561,"Apr 10, 2018","Apr 10, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Oct 14, 2020","Oct 15, 2020",,Audible Audio,view,/book/show/39851340-the-fairies-of-sadieville
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ink & Sigil        (Ink & Sigil, #1)","Hearne, Kevin*",,,B0851RJ88Q,unknown,4.15,"8,478","Aug 25, 2020","Aug 25, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Oct 03, 2020","Oct 04, 2020",,Audible Audio,view,/book/show/54892652-ink-sigil
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Parable of the Talents        (Earthseed, #2)","Butler, Octavia E.",,,,464        pp,4.31,"59,265",1998,"Mar 06, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Sep 14, 2020","Sep 14, 2020",,Audible Audio,view,/book/show/38193290-parable-of-the-talents
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Currents of Space        (Galactic Empire Book 2),"Asimov, Isaac",059316007X,,B08GK12F2P,242        pp,3.85,"19,643",1952,"Sep 01, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Sep 02, 2020","Sep 09, 2020","Sep 09, 2020",,Kindle Edition,view,/book/show/55209793-the-currents-of-space
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Peace Talks        (The Dresden Files, #16)","Butcher, Jim*",,,B082YH6QL4,13        pp,4.22,"47,311","Jul 14, 2020","Jul 14, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,"Aug 08, 2020","Aug 09, 2020",,Audible Audio,view,/book/show/53867681-peace-talks
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Relentless Moon        (Lady Astronaut Universe #3),"Kowal, Mary Robinette*",,,B08B7G68YV,18        pp,4.36,"8,389","Jul 14, 2020","Jul 14, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,2,not setnot set,"Jul 24, 2020not set","Jul 25, 2020",,Audible Audio,view,/book/show/54352380-the-relentless-moon
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The City We Became        (Great Cities #1),"Jemisin, N.K.*",,,B083Z2HWBB,16        pp,3.87,"69,312","Mar 24, 2020","Mar 24, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jul 15, 2020","Jul 15, 2020",,Audible Audio,view,/book/show/52056107-the-city-we-became
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Age of Empyre        (Legends of the First Empire, #6)","Sullivan, Michael J.*",,,B07TYFY3ZF,17        pp,4.39,"9,837","May 05, 2020","May 05, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Jun 24, 2020","Jun 26, 2020",,Audible Audio,view,/book/show/48931967-age-of-empyre
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fifth Doll,"Holmberg, Charlie N.*",147783043X,9781477830437,B01NAFXFKI,253        pp,3.89,"7,746","Jul 25, 2017","Jul 25, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jun 07, 2020","Jun 07, 2020",,Kindle Edition,view,/book/show/33385418-the-fifth-doll
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lovecraft Country,"Ruff, Matt*",,,B01B215QMW,12        pp,4.02,"44,471","Feb 16, 2016","Feb 16, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,2,not setnot set,"Dec 03, 2020Jun 03, 2020","Jun 03, 2020",,Audible Audio,view,/book/show/30795536-lovecraft-country
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Smoke Bitten        (Mercy Thompson, #12)","Briggs, Patricia",,,,10        pp,4.43,"31,743","Mar 17, 2020","Mar 17, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 25, 2020","Apr 26, 2020",,Audiobook,view,/book/show/51913105-smoke-bitten
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Time Machine,"Wells, H.G.",,,,unknown,3.90,"519,022",1895,unknown,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,3,not setnot setnot set,not setnot setnot set,"Apr 02, 2020",,Audiobook,view,/book/show/36589664-the-time-machine
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Blight of Blackwings        (Seven Kennings, #2)","Hearne, Kevin*",0356509613,9780356509617,0356509613,512        pp,4.45,"2,204","Feb 04, 2020","Feb 06, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 23, 2020","Mar 23, 2020",,Paperback,view,/book/show/37919362-a-blight-of-blackwings
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Anansi Boys,"Gaiman, Neil*",,,B002V8LI0U,11        pp,4.04,"222,495","Sep 20, 2005","Sep 20, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,2,not setnot set,"Feb 24, 2020not set","Feb 29, 2020",,Audible Audio,view,/book/show/12970580-anansi-boys
