,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Lynda's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,River Sing Me Home,"Shearer, Eleanor*",0593548043,9780593548042,0593548043,322        pp,4.02,"22,514","Jan 19, 2023","Jan 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2024",not set,"Apr 11, 2024",,Hardcover,view,/book/show/61111298-river-sing-me-home
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Foundling,"Leary, Ann*",198212038X,9781982120382,198212038X,336        pp,3.89,"11,862","May 31, 2022","May 31, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Set in the 1920s around the campus of the Nettleton State Village for Feebleminded Women of Childbearing Age in Pennsylvania, 18-year-old Mary Engle lSet in the 1920s around the campus of the Nettleton State Village for Feebleminded Women of Childbearing Age in Pennsylvania, 18-year-old Mary Engle lands the job of a lifetime working for the home's director, psychiatrist Agnus Vogel. Dr. Vogel, from the outside, appears the consummate professional who wants nothing but to help those poor ""morons"" and ""idiots"" (actual medical terms from the day) who were troubled enough to be entrusted into her care. Troubled meaning they were convicted of adultery, had a child out of wedlock, were thought promiscuous, or their husbands/families simply thought having them put away was the best option for everyone. These places were real even if the story is fictional. [It should be mentioned that these women were held, regardless of age or infraction, alleged or otherwise, until they were finished with menopause. The idea was that menstruating women were not mentally stable to begin with and it apparently took nothing to push them over the edge and into a place that required permanent institutionalization.]When Mary realizes one of the feebleminded women incarcerated was a brilliant girl whom she had known since childhood, she feels compelled to help her escape. There are numerous twists and turns with a zinger at the end I didn't see coming.Ann Leary does a fabulous job writing a compelling story set a hundred years ago keeping the tone of the day without losing the reader. But more than that, Leary brings to light how far women's history has come while showing us how tenuous it still is today. THIS IS A MUST READ, if for nothing else to get your ire up so you don't forget where women came from and how it would look if we backslide any more than we already have. ...more",Notes are private!,0,0,1,"Apr 05, 2024","Apr 11, 2024","Apr 11, 2024",,Hardcover,view (with text),/book/show/59366094-the-foundling
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lincoln Highway,"Towles, Amor*",0735222355,9780735222359,0735222355,576        pp,4.23,"259,068","Oct 05, 2021","Oct 05, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The Lincoln Highway is my second attempt at reading an Amor Towles literary work — and I am so glad I did. A coming of an age story which takes place The Lincoln Highway is my second attempt at reading an Amor Towles literary work — and I am so glad I did. A coming of an age story which takes place during the simpler times of the 1950’s. Following the return home from a boys’ work camp, Emmett Watson finds himself in charge of his 8-year-old brother, Billy. Emmett, who has a strong moral compass, soon learns that two of his work camp mates, Woolly and Duchess, broke out of the camp and stowed away in the vehicle that brought Emmett home. The next ten days follows the adventures of Emmett, Billy, Woolly, and Duchess as they each make their way home, be it literally or figuratively. Masterfully written, The Lincoln Highway winds and meanders as it tells the story of right from wrong, good, and bad, and how in the end, each man lives by a code enforced only by himself. Towles has an incredible way of weaving in the past with the present so that he meets the reader where they are while getting his point across. I can’t say I’m big on literary fiction, but The Lincoln Highway is one that I will proudly display on my shelf.The page count feels daunting, but the story is riveting because of its affable characters. You will not regret the time spent on The Lincoln Highway....more",Notes are private!,0,2,1,"Mar 31, 2024","Mar 31, 2024","Mar 31, 2024",,Hardcover,view (with text),/book/show/57109107-the-lincoln-highway
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Piece of Heaven,"O'Neal, Barbara*",1662521316,9781662521317,B0CQRKTHG1,375        pp,4.00,2,unknown,"Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Kindle Edition,view,/book/show/204222380-a-piece-of-heaven
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Twelve Miles,"Robuck, Erika*",1728299837,9781728299839,1728299837,368        pp,4.11,56,"Jun 04, 2024","Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 19, 2024",not set,"Mar 19, 2024",,Paperback,view,/book/show/197036048-the-last-twelve-miles
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Boy in the Suitcase        (Nina Borg, #1)","Kaaberbøl, Lene",156947981X,9781569479810,156947981X,313        pp,3.62,"34,783",2008,"Nov 08, 2011",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The title drew me in, the story kept me. This Danish translated book is riveting, it starts with a punch and holds the reader throughout. When Nina BoThe title drew me in, the story kept me. This Danish translated book is riveting, it starts with a punch and holds the reader throughout. When Nina Borg receives a frantic call for help from her estranged friend, Karin, she can’t help but respond. When she follows her friends instructions and picks up a cumbersome suitcase at a train station, all is well until her curiosity gets the best of her. Inside the bag is a naked three-year-old boy who doesn’t speak Nina’s language. Who is this child? Why is he naked? And why is he in a suitcase?The story progresses with Sagita desperately looking for her little boy who has gone missing, but no one is listening to her; she has a past. When Sagita and Nina find themselves in the same place at the same time, all hell breaks loose and the truths of past and present collide with an unexpected twist.This was a great read and superbly translated. It does take a bit of concentration to keep the names and places straight (because they are foreign), but other than that, it reads at a lightening pace. ...more",Notes are private!,0,0,1,"Mar 18, 2024","Mar 26, 2024","Mar 18, 2024",,Hardcover,view (with text),/book/show/10776592-the-boy-in-the-suitcase
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beach Trip,"Holton, Cathy*",0345505999,9780345505996,0345505999,406        pp,3.76,"6,470","Jan 01, 2009","May 12, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I’m a sucker for a good friendship book, I especially like groups of 4 or more friends. Beach Trip not only hit that mark, but it is written from multI’m a sucker for a good friendship book, I especially like groups of 4 or more friends. Beach Trip not only hit that mark, but it is written from multiple perspectives (each character) and from a present timeframe, when the group is mid-40s as well as back when they were in college and had just met. Beach Trip follows Mel, Sarah, Lola, and Annie, four unlikely friends brought together as college roommates, through the next few decades of their lives. Each of the women has their own secrets kept and needing to confess. The women meet for a long-time coming reunion on a secluded island where Lola has a house, a yacht, and what seems to be all the things a person could ever want. Mel, snarky as ever, has written ten mediocre novels by now, but couldn’t keep a relationship if she were paid. Sarah has family troubles that she has hidden from her friends, and Annie has a secret kept since college. During this week of over-indulgence, confessions come, fences are mended, and hearts are broken. Beach Trip takes a sudden, unexpected turn at the very end (which I sort of saw coming, but not in the way it played out), and leaves the reader with a lot to think about. But don’t worry, it has a HEA. This book was published in the early 2000s and when I researched other books by this author, I was saddened to learn she passed away of a terminal illness in 2013. Her family, however, has completed her other unpublished manuscripts. Bravo!If you like a solid, clean, yet complicated friendship novel, this one is lengthy, but worth the time it takes. Thanks for writing, Beach Trip. Rest in peace, Cathy Holton, I will be reading your other work....more",Notes are private!,0,0,1,"Mar 13, 2024","Mar 25, 2024","Mar 13, 2024",,Hardcover,view (with text),/book/show/6325827-beach-trip
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Gentleman in Moscow,"Towles, Amor*",,,0143110438,462        pp,4.33,"543,330","Sep 06, 2016","Mar 26, 2019",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I'm sorry, I just can't. I've tried, twice. I got exactly 50% through (231 pages) but I just keep hearing that little voice inside myself asking me, ""I'm sorry, I just can't. I've tried, twice. I got exactly 50% through (231 pages) but I just keep hearing that little voice inside myself asking me, ""Why?"" And so, I've stopped. So, what is this book about? I am not sure. Back in Russia in the 1920s, a Count winds up on the wrong side of politics and instead of being put to death, is exiled to the place where he lives; a posh hotel, the Metropol. While at the hotel, the Count has several encounters with some colorful individuals, including a young girl who also lives at the hotel, a chef, a waiter, and a seamstress, all whom work at the hotel. Oh, and the Count has the utmost sophisticated manners and way of speaking. Hence the name of the book, I take it. But, again, what is this book really about? Ugh. I am sure I am in the minority, but this is one of the most boring books. Is it well written? Undeniably. Is it incredibly researched? Without question. But so what - I'm watching grass grow here. This literary (there's the keyword) fiction reads high-brow, something I am not. I'll go back to my women's fiction, mystery-murder, or even rom-com before I try the likes of this again. ...more",Notes are private!,0,0,2,"Mar 13, 2024Feb 15, 2024","Mar 14, 2024Feb 26, 2024","Mar 13, 2024",,Paperback,view (with text),/book/show/34066798-a-gentleman-in-moscow
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Scent of Hours: A Novel,"O'Neal, Barbara*",1713614448,9781713614449,1713614448,0        pp,3.86,66,unknown,"Jan 11, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"When you are in your mid-40s and your husband suddenly walks out, life takes a hard turn. And when you accidentally then blow up your house, things caWhen you are in your mid-40s and your husband suddenly walks out, life takes a hard turn. And when you accidentally then blow up your house, things can get dicey. Nikki finds herself 43, out of a home, out of a husband, without ever working, and with a big dream of being a perfumier. Consenting to allow her 15-year old daughter move to California with her ex, Nikki is on her own for the first time. The Scent of Hours is a good novel, as is all of author Barbara O'Neal's books, that goes much deeper into the reasons behind things than what is initially on the surface. The Scent of Hours will have you feeling the feels of letting go of what you thought made you, you, of new-found love, and of dreaming big. The Scent of Hours won't change your life, but it will make you smile and sometimes, that's all you need. Fall in love with author Barbara O'Neal with her re-purposed, The Scent of Hours....more",Notes are private!,0,1,1,"Mar 13, 2024","Mar 15, 2024","Mar 13, 2024",,Audio CD,view (with text),/book/show/58655921-the-scent-of-hours
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Never Lie,"McFadden, Freida*",,,B0BBL2ZW73,286        pp,4.11,"510,391","Sep 19, 2022","Sep 19, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"While out house-hunting, newlyweds Tricia and Ethan wind up in an abandoned house in the middle of nowhere during a blizzard. They are stuck for the wWhile out house-hunting, newlyweds Tricia and Ethan wind up in an abandoned house in the middle of nowhere during a blizzard. They are stuck for the weekend. As it turns out, the house, once owned by a years-missing, presumed dead psychiatrist, has an eerie feeling to Tricia; as if someone is watching them. Tricia decides to read a book from the doctor's enormous collection, pulls The Shining off a shelf, hears a 'click', and watches the shelf move. Behind the shelf is a hidden room where Tricia learns the good doctor has kept a secret: she records every patient's visit. Curious by nature, Tricia decides she will listen to just one tape, maybe two or three, but won't tell Ethan. As with the doctor, this is only one of many secrets Tricia keeps to herself. She will come to find out Ethan too, happens to be hiding a few things. As the layers of deceit peel back, the bodies crop up in Never Lie.This is a fun, easy, super quick read. I will be on the lookout for more books by Freida McFadden....more",Notes are private!,0,0,1,"Mar 10, 2024","Mar 12, 2024","Mar 12, 2024",,Kindle Edition,view (with text),/book/show/62080187-never-lie
