,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,❀ Susan's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Leaving Earth,"Humphreys, Helen",0312255004,9780312255008,0312255004,256        pp,3.73,253,1997,"Mar 01, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Paperback,view,/book/show/1061379.Leaving_Earth
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"And a Dog Called Fig: Solitude, Connection, the Writing Life","Humphreys, Helen",037460388X,9780374603885,037460388X,272        pp,3.87,529,unknown,"Mar 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/57693612-and-a-dog-called-fig
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Frozen Thames,"Humphreys, Helen",0771041446,9780771041440,0771041446,192        pp,3.95,"1,036","Oct 16, 2007","Oct 16, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/2025598.The_Frozen_Thames
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Followed by the Lark,"Humphreys, Helen",0374611491,9780374611491,0374611491,240        pp,4.16,123,unknown,"Feb 13, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Helen Humphreys does not disappoint in her melodic snippets, sharing the life of Henry David Thoreau and his appreciation of the natural world. She shHelen Humphreys does not disappoint in her melodic snippets, sharing the life of Henry David Thoreau and his appreciation of the natural world. She shares bits of his life in a seasonal rhythm noting the changes in the trees, the ponds and as the birds migrate and return for spring.It is reflective and notes all of the loss his family suffered - his sister, brother (a dreadful death from lockjaw after cutting himself sharpening his shaving blade), father (TB) and his own death at 44 years of age from consumption (TB). He appreciated his walks, camping trips and floats down the river while life slowly left him until he could travel no more and died listening to his remaining sister tell the story of his float down the river with his beloved brother, John, who had died at the age of 22.Followed by the Lark makes me want to learn more about Henry Thoreau, his sojourn beside Walden Pond and his connections with Ralph Waldo Emerson, Bronson (the father of Louisa May Alcott) and Walt Whitman. It makes me reflect on the challenges of a time before curative medicine and before life got so busy that many don't take time to appreciate the nature around us....more",Notes are private!,0,1,1,"Mar 27, 2024","Mar 28, 2024","Mar 26, 2024",,Hardcover,view (with text),/book/show/127282671-followed-by-the-lark
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Librarianist,"deWitt, Patrick",0063085127,9780063085121,,352        pp,3.43,"14,047","Jul 04, 2023","Jul 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/62645180-the-librarianist
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma","Kolk, Bessel van der",0670785938,9780670785933,0670785938,464        pp,4.40,"182,913","Jun 12, 2014","Sep 25, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/18693771-the-body-keeps-the-score
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rez Sisters: A Play in Two Acts,"Highway, Tomson",092007944X,9780920079447,092007944X,118        pp,3.56,"1,706","Dec 15, 1988","Dec 15, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Paperback,view,/book/show/45039.The_Rez_Sisters
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Digital Minimalism: Choosing a Focused Life in a Noisy World,"Newport, Cal",052553654X,,B07DBRBP7G,302        pp,4.06,"78,832",2019,"Feb 05, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Kindle Edition,view,/book/show/40672036-digital-minimalism
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Things You Can See Only When You Slow Down: How to Be Calm in a Busy World,"Sunim, Haemin",0143130773,9780143130772,0143130773,288        pp,4.05,"35,780","Jan 13, 2012","Feb 07, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/30780006-the-things-you-can-see-only-when-you-slow-down
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Emotional Intelligence Habits,"Bradberry, Travis*",0974719374,9780974719375,0974719374,432        pp,4.35,312,unknown,"Aug 29, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/151339300-emotional-intelligence-habits
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chrysalis,"Varghese, Anuja*",1487011660,9781487011666,1487011660,192        pp,3.97,337,"Mar 14, 2023","Mar 14, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Short stories are not usually my genre of choice but after meeting Anuja Varghese at the Grimsby Author Series, I really enjoyed the unique mix of stoShort stories are not usually my genre of choice but after meeting Anuja Varghese at the Grimsby Author Series, I really enjoyed the unique mix of stories about change and transformation. the author shared that she wrote the stories over a couple of years and at times, used settings in the Niagara area (for example the farm house in the Bone Fields was inspired by a location in Port Colborne). My favourite was the Language of the Fists which gave a visceral response to the micro aggressions that the main character was receiving at her work place and from her lifelong friend.this book won a Governor General Award and I look forward to what this author will write next! ...more",Notes are private!,0,3,1,"Mar 24, 2024","Mar 25, 2024","Mar 24, 2024",,Paperback,view (with text),/book/show/62090243-chrysalis
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Mystery Guest        (Molly the Maid, #2)","Prose, Nita*",0593356187,9780593356180,0593356187,293        pp,3.87,"63,948","Nov 28, 2023","Nov 28, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The Mystery Guest was another fun palate cleanser with quirky characters and a satisfying ending. Although it is a a light read, it also has an importThe Mystery Guest was another fun palate cleanser with quirky characters and a satisfying ending. Although it is a a light read, it also has an important message of seeing the individual strengths in others and not judging a book by its' cover. I loved learning, from the author (at the Grimsby Author series), that she had been inspired by working with a special education class where she was impacted by the unique strengths of the students, the grace they showed when being treated poorly and then incorporated their strengths and described them through Molly....more",Notes are private!,0,2,1,"Mar 23, 2024","Mar 24, 2024","Mar 23, 2024",,Hardcover,view (with text),/book/show/157062582-the-mystery-guest
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Perfect Story: How to Tell Stories that Inform, Influence, and Inspire","Eber, Karen*",1400333830,9781400333837,1400333830,288        pp,4.11,80,unknown,"Oct 03, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Someday... I would love to give a TED talk. I love the energy, the stories and how these tales stay alive online. Karen Ever shares her tips on how toSomeday... I would love to give a TED talk. I love the energy, the stories and how these tales stay alive online. Karen Ever shares her tips on how to tell these stories. She provides checklists and links the tips to her own stories.As an avid reader, her book makes me think about what creates connection and resonates as I read or listen and I am left with the idea of telling the story that the audience wants to here which may be different than the story a person wishes to tell. The other thing that resonates is how much time and effort goes into preparation while the viewer/listener just sees the end result (which, surprise, is edited!).A great book of tips and examples... my only constructive criticism (for the publishers) is that the book has terrible paper... thin pages that are more like newsprint and seem to stick together....more",Notes are private!,0,1,1,"Mar 19, 2024","Mar 21, 2024","Mar 19, 2024",,Hardcover,view (with text),/book/show/123266593-the-perfect-story
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,You Don't Have to Do It Alone: The Power of Friendship,"Nepo, Mark",1250342376,9781250342379,1250342376,288        pp,3.80,5,unknown,"Jul 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Paperback,view,/book/show/195790760-you-don-t-have-to-do-it-alone
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The 12 Week Year,"Moran, Brian P.",,2940012026620,,208        pp,3.88,"12,674","Jan 01, 2009","Feb 17, 2009",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I like the idea of breaking down goals by quarter and think that this book might have been more helpful earlier in my career. The ideas of time blockiI like the idea of breaking down goals by quarter and think that this book might have been more helpful earlier in my career. The ideas of time blocking and scheduling time to plan, strategize and  are great reminders along with these other tips:- recognize the good work of one person each day- ""if you are not in a role that plays to or magnifies your strengths, you are probably in the wrong spot""-""the average person has about 40 hours of unfinished work in their queue""...more",Notes are private!,0,1,1,"Mar 17, 2024","Mar 19, 2024","Mar 17, 2024",,Nook,view (with text),/book/show/10009377-the-12-week-year
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Medicine Wheel for the Planet: A Journey Toward Personal and Ecological Healing,"Grenz, Jennifer",,9781039006010,,280        pp,4.43,14,unknown,"Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Hardcover,view,/book/show/208545123-medicine-wheel-for-the-planet
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secret History of Audrey James,"Marshall, Heather*",1982170255,9781982170257,1982170255,432        pp,4.64,11,"Jun 04, 2024","Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Paperback,view,/book/show/199798746-the-secret-history-of-audrey-james
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Great Country,"Gowda, Shilpi Somaya*",0385688962,9780385688963,0385688962,336        pp,4.06,536,"Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Paperback,view,/book/show/200541252-a-great-country
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Inheritance,"Goodman, Joanna*",006331939X,9780063319394,006331939X,336        pp,3.67,370,"Mar 12, 2024","Mar 12, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 15, 2024","Mar 18, 2024","Mar 15, 2024",,Paperback,view,/book/show/181110013-the-inheritance
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Reboot: Leadership and the Art of Growing Up,"Colonna, Jerry*",,,B0796SNDSK,293        pp,3.91,"1,848",2019,"Jun 18, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A thoughtful book on rebooting and reconsidering life and leadership at critical points in life. it was open, honest and did not sugar coat the authorA thoughtful book on rebooting and reconsidering life and leadership at critical points in life. it was open, honest and did not sugar coat the author's challenges. If I could have, I would have given it a 3.5...more",Notes are private!,0,1,1,"Mar 11, 2024","Mar 13, 2024","Mar 11, 2024",,Kindle Edition,view (with text),/book/show/42754169-reboot
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Think Like a Startup: Get Agile and Unleash Your Inner Entrepreneur,"Sammartino, Steve",073038196X,9780730381969,073038196X,240        pp,3.60,5,unknown,"Nov 25, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It is time for a refresh!! Think Like a Start Up should receive a 3.5 stars and inspires taking stock, learning, being adaptable, flexible, building aIt is time for a refresh!! Think Like a Start Up should receive a 3.5 stars and inspires taking stock, learning, being adaptable, flexible, building a brand, finding strengths and building connections. while this was a thought-provoking book, I was looking for a bit more of an action plan. That being said, it reinforces a growth mind-set and my plan of professional development. ""the good thing about reinventing ourself is that all the gatekeepers have left the building""""change is where great stories come from, the trials and tribulations...""...more",Notes are private!,0,3,1,"Mar 03, 2024","Mar 08, 2024","Mar 03, 2024",,Paperback,view (with text),/book/show/52703934-think-like-a-startup
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Phoenix Crown,"Quinn, Kate*",0063304732,9780063304734,0063304732,384        pp,3.88,"8,504","Feb 13, 2024","Feb 13, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The Phoenix Crown was the perfect historical fiction - engaging characters blended with true history, making a reader want to research more about the The Phoenix Crown was the perfect historical fiction - engaging characters blended with true history, making a reader want to research more about the San Francisco earth quake, the fires that followed and, of course. what exactly was a phoenix crown.This collaboration between the fabulous Kate Quinn and Janie Chang led to a plot twisting book that was hard to put down despite the late hour. The reader appreciated the strength and resilience of the strong female characters who had to support each other in their quest for justice.I was lucky to have attended a tea at the Arlington in Paris, Ontario to meet both authors. Had I finished the book in advance, I wish that I could have told them that they are 15 minutes from an Octagonal House in Mount Pleasant and was interested to learn how few of them (80) remain in the US today.I loved the author's notes at the end, expounding on the characters, both imaginary and historical as well as notes about the setting and history. It was so interesting to learn that Kate Quinn had financed her university as a soprano singing opera!...more",Notes are private!,0,2,1,"Mar 03, 2024","Mar 11, 2024","Feb 28, 2024",,Paperback,view (with text),/book/show/64417401-the-phoenix-crown
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Multipliers: How the Best Leaders Make Everyone Smarter,"Wiseman, Liz",0061964395,9780061964398,0061964395,288        pp,3.99,"13,284","Jun 01, 2010","Jun 15, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"inspiring! thought provoking! reflective!Multipliers helps a reflective practitioner think about where they are ""accidental diminishers"" and gives greinspiring! thought provoking! reflective!Multipliers helps a reflective practitioner think about where they are ""accidental diminishers"" and gives great ideas to support a team, grow leadership and multiply the impacts.This was a great read for anyone regardless of where they sit in the hierarchy and highlights the challenges of so many organizations that are over-managed and underled....more",Notes are private!,0,2,1,"Feb 25, 2024","Mar 19, 2024","Feb 25, 2024",,Hardcover,view (with text),/book/show/8310410-multipliers
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Retirement Income for Life: Getting More Without S,"Vettese, Frederick",1988344050,9781988344058,1988344050,240        pp,4.03,348,unknown,"Mar 02, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I probably read this book too early but it gives lots of helpful tips for retirement and optimizing income until the end of life with a Canadian perspI probably read this book too early but it gives lots of helpful tips for retirement and optimizing income until the end of life with a Canadian perspective. ...more,Notes are private!,0,1,1,"Feb 24, 2024","Feb 25, 2024","Feb 25, 2024",,Paperback,view (with text),/book/show/38747671-retirement-income-for-life
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Find Your Why: A Practical Guide to Discovering Purpose for You and Your Team,"Sinek, Simon*",0143111728,9780143111726,0143111728,256        pp,3.66,"10,700","Sep 05, 2017","Sep 05, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Simon Sinek always inspires and this book is not different, sharing a blueprint on how to discover your why, or the why of a team or larger organizatiSimon Sinek always inspires and this book is not different, sharing a blueprint on how to discover your why, or the why of a team or larger organization. This book is inspiring and reflective!...more",Notes are private!,0,0,1,"Feb 17, 2024","Feb 19, 2024","Feb 17, 2024",,Paperback,view (with text),/book/show/29496432-find-your-why
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Tattooist of Auschwitz        (The Tattooist of Auschwitz, #1)","Morris, Heather*",006287067X,9780062870674,006287067X,272        pp,4.30,"932,298","Jan 11, 2018","Sep 04, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was an emotionally difficult but important book to read, or listen to in my case. Lally kept me company as I commuted and since I was listening, This was an emotionally difficult but important book to read, or listen to in my case. Lally kept me company as I commuted and since I was listening, I had not realized that this was non-fiction. Though difficult to think about the depravity and horror, It always amazes me to read stories of strength, resilience and risk taking to help others dueling the Holocaust. ...more",Notes are private!,0,0,1,"Jan 31, 2024","Feb 15, 2024","Feb 16, 2024",,Hardcover,view (with text),/book/show/38359036-the-tattooist-of-auschwitz
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tales from the Café        (Before the Coffee Gets Cold, #2)","Kawaguchi, Toshikazu",1529050863,9781529050868,1529050863,192        pp,4.00,"74,337","Mar 14, 2017","Sep 17, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 10, 2024","Feb 24, 2024","Feb 10, 2024",,Paperback,view,/book/show/54373691-tales-from-the-caf
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Circle,"Vermette, Katherena",0735239657,9780735239654,0735239657,272        pp,4.06,"1,953",unknown,"Jan 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 04, 2024",,Hardcover,view,/book/show/144423669-the-circle
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gently to Nagasaki,"Kogawa, Joy",1987915151,9781987915150,1987915151,214        pp,3.74,102,"Sep 01, 2016","Sep 01, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 04, 2024",,Paperback,view,/book/show/29605899-gently-to-nagasaki
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I'm Glad My Mom Died,"McCurdy, Jennette",,,,320        pp,4.47,"965,471","Aug 09, 2022","Aug 09, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Watching iCarly with the kids, I had no idea of the trauma and abuse that Jennette McCurdy (Sam) was living. On the show, she was tough and loveable bWatching iCarly with the kids, I had no idea of the trauma and abuse that Jennette McCurdy (Sam) was living. On the show, she was tough and loveable but in life, she was mentally and physically abused by her mother who showered her until she was in her late teens, who taught her to be anorexic and pushed her into a life of show business to meet her own needs. The title has been shared as a “joke” but truly, it was not until her mother died that healing began. Such a sad expose on a child star and reinforces that we never know what others are going through. ...more",Notes are private!,0,1,1,"Jan 15, 2024","Feb 03, 2024","Feb 03, 2024",,ebook,view (with text),/book/show/59364173-i-m-glad-my-mom-died
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Shall Not Hate: A Gaza Doctor's Journey on the Road to Peace and Human Dignity,"Abuelaish, Izzeldin",0802779174,9780802779175,0802779174,237        pp,4.30,"6,697","Apr 27, 2010","Jan 11, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I almost have no words to write about this story of loss, resilience and a man doing his best to do his part to bring peace in a decades old conflict I almost have no words to write about this story of loss, resilience and a man doing his best to do his part to bring peace in a decades old conflict before and after the loss of his 3 beautiful daughters and a niece. I am so glad that he has been able to move to Canada and live beside neighbours with no fences, teaching at u of T and (as per Wikipedia) becoming a Canadian citizen in 2015. This is a story of a family that we all need to read and think about the beautiful lives when we hear of tragedies far away. ...more",Notes are private!,0,0,1,"Feb 10, 2024","Feb 17, 2024","Feb 02, 2024",,Hardcover,view (with text),/book/show/8550813-i-shall-not-hate
