,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Maggi's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mad Honey,"Picoult, Jodi*",1984818384,9781984818386,1984818384,464        pp,4.10,"388,042","Oct 04, 2022","Oct 04, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 27, 2023",,Hardcover,view,/book/show/59912428-mad-honey
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Class: A Memoir of Motherhood, Hunger, and Higher Education","Land, Stephanie*",1982151390,9781982151393,B0BTZBJ26H,285        pp,3.64,"7,773","Nov 07, 2023","Nov 07, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Quite interesting in terms of the social and economic barriers a single parents faces. As a former single mom and a mother to another, I related to anQuite interesting in terms of the social and economic barriers a single parents faces. As a former single mom and a mother to another, I related to and understood her frustrations and challenges. Her choice to live as a college ""kid"" at times when she was no longer of the age to do so was hard to relate to, but I could understand that the overwhelming responsibility of her child and huge worrisome troubles with her ex had been factors in that. I questioned the need for the graphic sex as it opened a window onto a place I felt would better remain private. So happy for Stephanie that she landed on her feet. I liked her and her kid a great deal. Her choice to go ahead with her pregnancy in this book was a head scratcher. I know she hates judgement, but it appears she assumes the judgment would be about whether she was ""allowed"" or ""deserved' to have another kid in the eyes of society. That was not my issue with it but instead the severe money issues she already had and her adding to her enormous burden. Happy it all turned out well and will listen to the next if she writes one. She's a good writer....more",Notes are private!,0,0,1,not set,not set,"Dec 27, 2023",,Hardcover,view (with text),/book/show/101160309-class
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Saint of the Shadows,"Elise, Jonesy*",,9798989626601,B0CPNF2KC8,430        pp,3.94,16,unknown,"Dec 05, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Expecting to read a romance novel, I was unprepared for the smart plotting, intense action, and sexy intrigue in this no-holds barred debut novel. EquExpecting to read a romance novel, I was unprepared for the smart plotting, intense action, and sexy intrigue in this no-holds barred debut novel. Equal parts fantasy and romance with a heavy dose of mystery, Saint of the Shadows develops a fabulous character in Marisol, for whom readers are rooting from the beginning as she navigates love, lust, grief, and some extremely dark and dangerous characters. Throw away your expectations on this one and be pleasantly blown away....more",Notes are private!,0,0,1,not set,not set,"Dec 27, 2023",,Kindle Edition,view (with text),/book/show/203361819-saint-of-the-shadows
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Parrot in the Oven: Mi Vida,"Martinez, Victor",0064471861,9780064471862,0064471861,224        pp,3.35,"2,083",1996,"Dec 28, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 10, 2023","Jan 13, 2024","Dec 10, 2023",,Paperback,view,/book/show/236754.Parrot_in_the_Oven
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Is Happiness,"Williams, Niall*",163557420X,9781635574203,163557420X,400        pp,4.22,"14,105","Sep 05, 2019","Dec 03, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 01, 2023",,Hardcover,view,/book/show/42972008-this-is-happiness
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fight Night,"Toews, Miriam",1635578175,9781635578171,1635578175,255        pp,4.04,"17,503","Oct 05, 2021","Oct 05, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 28, 2023",,Hardcover,view,/book/show/56978048-fight-night
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Only Story,"Barnes, Julian",1473554799,9781473554795,,272        pp,3.61,"23,640","Feb 01, 2018","Feb 01, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 19, 2023",,ebook,view,/book/show/35570812-the-only-story
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The In-Between: Unforgettable Encounters During Life's Final Moments,"Vlahos, Hadley *",059349993X,9780593499931,059349993X,288        pp,4.53,"26,041","Jun 13, 2023","Jun 13, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 18, 2023",,Hardcover,view,/book/show/63033521-the-in-between
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Girl, Woman, Other","Evaristo, Bernardine",0241364906,9780241364901,0241364906,453        pp,4.29,"231,199","May 02, 2019","May 02, 2019",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 18, 2023","Dec 10, 2023","Nov 03, 2023",,Kindle Edition,view,/book/show/41081373-girl-woman-other
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Breaking Trail: A Climbing Life,"Blum, Arlene",0156031167,9780156031165,0156031167,400        pp,4.35,"1,273",2005,"Mar 05, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 31, 2023",,Paperback,view,/book/show/274342.Breaking_Trail
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"One Good Turn        (Jackson Brodie, #2)","Atkinson, Kate",0316012823,9780316012829,0316012823,418        pp,3.81,"43,921",Aug 2006,"Sep 10, 2007",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 22, 2023","Nov 04, 2023","Oct 22, 2023",,Paperback,view,/book/show/501124.One_Good_Turn
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Premonition,"Yoshimoto, Banana",1640093710,9781640093713,1640093710,144        pp,3.49,"5,282","Dec 15, 1988","Oct 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 08, 2023",,Hardcover,view,/book/show/90564433-the-premonition
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What You Are Looking For Is in the Library,"Aoyama, Michiko",1335005625,9781335005625,1335005625,304        pp,4.10,"31,747","Nov 09, 2020","Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 11, 2023",,Hardcover,view,/book/show/91274427-what-you-are-looking-for-is-in-the-library
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,May the Road Rise Up to Meet You,"Troy, Peter",0385534485,9780385534482,0385534485,400        pp,3.96,"2,705","Jan 01, 2012","Feb 28, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 10, 2023",,Hardcover,view,/book/show/12497339-may-the-road-rise-up-to-meet-you
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Man of Two Faces: a Memoir, a History, a Memorial","Nguyen, Viet Thanh*",0802160506,9780802160508,0802160506,400        pp,4.37,"1,609","Oct 03, 2023","Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 03, 2023",,Hardcover,view,/book/show/124948662-a-man-of-two-faces
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dopesick: Dealers, Doctors, and the Drug Company that Addicted America","Macy, Beth*",0316523178,9780316523172,0316523178,384        pp,4.08,"40,141","Aug 07, 2018","Aug 07, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Oct 21, 2023Aug 26, 2023","Oct 21, 2023Oct 21, 2023","Aug 26, 2023",,Hardcover,view,/book/show/37486540-dopesick
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Freewater,"Luqman-Dawson, Amina",0316056618,9780316056618,0316056618,416        pp,4.18,"3,968","Feb 01, 2022","Feb 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 24, 2023",,Hardcover,view,/book/show/58275990-freewater
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heaven & Earth Grocery Store,"McBride, James*",0593422945,9780593422946,0593422945,380        pp,4.08,"129,368","Aug 08, 2023","Aug 08, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Not the type of book I usually enjoy but I loved this sprawling storytelling adventure, made deeply interesting by the narration in Audible. Tugs at tNot the type of book I usually enjoy but I loved this sprawling storytelling adventure, made deeply interesting by the narration in Audible. Tugs at the heartstrings in a million ways. I had to learn to go with the flow and let the author take me where he wanted. If you don't, you will become impatient. Great characters; funny, sad, and triumphant. ...more",Notes are private!,0,3,1,"Oct 21, 2023","Nov 04, 2023","Aug 20, 2023",,Hardcover,view (with text),/book/show/65678550-the-heaven-earth-grocery-store
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Beauty in Breaking,"Harper, Michele",0525537384,9780525537380,0525537384,304        pp,3.82,"29,758","Jul 07, 2020","Jul 07, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Aug 12, 2023",,Hardcover,view,/book/show/50043108-the-beauty-in-breaking
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Love Your Daughter,"Blum, Hila",0593539648,9780593539644,0593539648,272        pp,3.59,"3,008","Feb 01, 2021","Jul 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 30, 2023",,Hardcover,view,/book/show/63185084-how-to-love-your-daughter
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Last Friends        (Old Filth Trilogy #3),"Gardam, Jane",,,B079MJ4FQN,225        pp,3.86,"4,698","Apr 01, 2013","Apr 02, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 25, 2023","Jul 31, 2023","Jul 25, 2023",,Kindle Edition,view,/book/show/38636374-last-friends
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Fry,"Brennan-Jobs, Lisa*",,,B07FM9NFHQ,unknown,3.80,"26,548",Sep 2018,"Sep 04, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I listened to this as an Audible book, and I have to say it was a hard book to listen to--not because it isn't interesting, but because it is quite paI listened to this as an Audible book, and I have to say it was a hard book to listen to--not because it isn't interesting, but because it is quite painful. Nellie Bowles from the New York Times said this in a : ""It’s a strange thing to write a devastating memoir with damning details but demand that these things are not, in fact, damning at all. Yet that’s exactly what Ms. Brennan-Jobs has done in a new memoir, “Small Fry”... and I completely agree. In one anecdote after another she displays Jobs' vindictiveness, his controlling personality, his lack of empathy toward his own daughter and others, (indeed publicly denying paternity for a long time) his manipulative nature, and his incredible arrogance. Yes, by the time he dies, she has forgiven him. He has cried and apologized for not being there for Lisa. But for the reader, (or in this case, the listener) there is no closure there. It is interesting to me that Lisa says she wanted to write a nuanced portrayal that showed both sides of Jobs, yet in her book she gets her licks in over and over -- how he was unsupportive of her activities and talents, how he kept her from her mother when he finally decided to invite her to come live with him, how he was downright cheap with financial support, and how he could cut her and others to the bone with his comments at any time depending on his whims. Lisa's mother comes across well, despite their fierce mother/adolescent daughter struggles, with one glaring exception: her complete lack of financial acumen. She is simply not responsible with money AT ALL, and that ends up making Lisa's life quite tough in many ways. But her even-handed responses to, her accepting off and on friendship with, and her tolerance of Jobs' lack of assistance with their daughter are admirable. (Naturally it was her her best interests to stay in Job's good graces, but still...) As a reader I was happy to hear that she and Lisa have remained close. Jobs simply and clearly did not have the emotional maturity and wherewithal to be a compassionate dad. I was aware of these shortcomings, but never so much as when I read this book purporting to be a loving and forgiving portrait of a complex man. Was this Lisa's unconscious intention? As a final aside, I wish the editor had directed Lisa to cut her uses of similes and sensory details (colors, light, leaves, scents, sounds, and comparisons) by at least half. Too much!!!...more",Notes are private!,0,1,1,Jan 2023,Jan 2023,"Jul 22, 2023",,Audiobook,view (with text),/book/show/41822692-small-fry
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Man in the Wooden Hat        (Old Filth Trilogy #2),"Gardam, Jane",,,B079MGRJTL,289        pp,4.06,"7,378",2009,"Oct 27, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 22, 2023","Jul 25, 2023","Jul 22, 2023",,Kindle Edition,view,/book/show/38486935-the-man-in-the-wooden-hat
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Old Filth        (Old Filth, #1)","Gardam, Jane",1933372133,9781933372136,1933372133,290        pp,3.95,"18,281",2004,"Jun 01, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 22, 2023",,Paperback,view,/book/show/37060.Old_Filth
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Directions to Myself: A Memoir of Four Years,"Julavits, Heidi*",0451498518,9780451498519,0451498518,304        pp,3.71,297,"Jun 27, 2023","Jun 27, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 09, 2023",,Hardcover,view,/book/show/62873257-directions-to-myself
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Covenant of Water,"Verghese, Abraham*",0802162185,,B0BJSGV831,775        pp,4.47,"150,628","May 02, 2023","May 02, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A beautiful work of fiction with vividly painted characters that a reader can fall in love with, against scenes of colonial India and beyond that are A beautiful work of fiction with vividly painted characters that a reader can fall in love with, against scenes of colonial India and beyond that are artfully created in the reader's mind. This is a book you hate to say goodbye to. ...more",Notes are private!,0,1,1,"Jun 20, 2023","Jul 07, 2023","Jun 20, 2023",,Kindle Edition,view (with text),/book/show/63429926-the-covenant-of-water
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fellowship Point,"Dark, Alice Elliott*",1982131829,9781982131821,1982131829,608        pp,4.07,"11,018","Jul 05, 2022","May 09, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 04, 2023",,Paperback,view,/book/show/62919741-fellowship-point
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Postcard,"Berest, Anne",1609459962,9781609459963,,14        pp,4.38,"20,164","Aug 18, 2021","May 16, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It's hard to describe what a moving, well constructed, and intricately plotted book this is, despite its true identity as a memoir describing a tragicIt's hard to describe what a moving, well constructed, and intricately plotted book this is, despite its true identity as a memoir describing a tragic but sadly not unusual tale of family lost in the Holocaust. Mystery, imagination, research, and emotion propel the story forward, and the reader feels the damage and destruction wrought on the personality of the author's grandmother (who has lost two siblings and both parents) with her survivor's guilt, her desire to lie low and to keep her secrets safe-- all with tragic and far-reaching repercussions.In the other books I have read that grapple with the Holocaust, none have had the emotional impact of this one. The utter disbelief of French Jewish citizens that such atrocity could be happening, as well as the inability of many Jews to see the writing on the wall and get out of the country in time make complete sense in this context. How unimaginable to suddenly be subject to ""arrest"" for simply existing...to be taken to ""work camps"" but given no food, no water, no accommodations, and no medical care along the way... only to realize the captors' real aim is to destroy an entire people. Particularly moving is the scene where the author and her mother discover their family heirlooms in the home of a town official's son and can do nothing to reclaim them. France's efforts to repatriate its Jewish citizenry after the war look hypocritical after its utter failure to protect them and the Vichy government's cooperation with the Nazis. Indeed, to get her mother's death recorded as having occurred at at Auschwitz, where she was sent by the French government, proves impossible for the author's mother long after the war. The courage of the French resistance, the quiet acts of micro-aggression Jews face to this day, the struggle over what it means to even be a Jew when the tradition and inclination in your family is to hide and self-protect are all delicately delineated.Particularly disturbing is the backdrop of the fact that anti-semitic acts are undeniably on the rise in this country. That this tragedy played out under the noses of the rest of the world only 80 years ago in the modern and sophisticated world of the mid 20th century is a cautionary tale....more",Notes are private!,0,2,1,"Aug 02, 2023","Aug 12, 2023","Jun 04, 2023",,Audiobook,view (with text),/book/show/170475197-the-postcard
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Soulmate,"Hepworth, Sally*",1250229707,9781250229700,1250229707,327        pp,3.81,"119,985","Oct 25, 2022","Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 04, 2023",,Hardcover,view,/book/show/60784540-the-soulmate
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",006332752X,9780063327528,006332752X,309        pp,4.04,"241,859","Aug 01, 2023","Aug 01, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 29, 2023",,Hardcover,view,/book/show/63241104-tom-lake
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Intimacies,"Kitamura, Katie*",0399576169,9780399576164,0399576169,225        pp,3.65,"33,283","Jul 20, 2021","Jul 20, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 28, 2023",,Hardcover,view,/book/show/55918474-intimacies
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Celebrants,"Rowley, Steven*",0593540425,9780593540428,0593540425,320        pp,3.65,"37,510","May 30, 2023","May 30, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 28, 2023",,Hardcover,view,/book/show/62049729-the-celebrants
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Welcome to the Goddamn Ice Cube: Chasing Fear and Finding Home in the Great White North,"Braverman, Blair*",,,,274        pp,3.81,"7,093","Jul 05, 2016","Jul 05, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 21, 2023",,Hardcover,view,/book/show/25773791-welcome-to-the-goddamn-ice-cube
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blood River: A Journey to Africa’s Broken Heart,"Butcher, Tim*",0099494280,9780099494287,0099494280,363        pp,3.98,"11,386","Jul 03, 2007","May 27, 2008",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Interesting tale of a doomed journey in an utterly dysfunctional country. Those who espouse hatred for the government would not want to live in a counInteresting tale of a doomed journey in an utterly dysfunctional country. Those who espouse hatred for the government would not want to live in a country without one that works, even if flawed. ...more",Notes are private!,0,0,1,"May 28, 2023","Jun 26, 2023","May 21, 2023",,Paperback,view (with text),/book/show/2184798.Blood_River
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dust Child,Nguyễn Phan Quế Mai *,1643752758,9781643752754,1643752758,352        pp,4.25,"9,181","Mar 14, 2023","Mar 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 18, 2023",,Hardcover,view,/book/show/60831918-dust-child
