,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Freesiab's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Just the Nicest Couple,"Kubica, Mary*",0778333116,9780778333111,0778333116,320        pp,3.56,"116,806","Jan 10, 2023","Jan 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 26, 2024",not set,"Mar 26, 2024",,Hardcover,view,/book/show/60666845-just-the-nicest-couple
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The New Couple in 5B,"Unger, Lisa*",0778333345,9780778333340,0778333345,382        pp,3.68,"9,889","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2024",,Hardcover,view,/book/show/128007059-the-new-couple-in-5b
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Frozen River,"Lawhon, Ariel*",0385546874,9780385546874,0385546874,432        pp,4.48,"58,112","Dec 05, 2023","Dec 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Hardcover,view,/book/show/112975658-the-frozen-river
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Athena's Child        (The Grecian Women Trilogy, #1)","Lynn, Hannah*",1728284260,9781728284262,1728284260,192        pp,3.76,"11,270",2020,"Sep 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Paperback,view,/book/show/123412540-athena-s-child
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Active Dreaming: Journeying Beyond Self-Limitation to a Life of Wild Freedom,"Moss, Robert",1577319648,9781577319641,1577319648,272        pp,4.03,230,"Mar 11, 2011","Apr 01, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 09, 2024",not set,"Mar 09, 2024",,Paperback,view,/book/show/9779909-active-dreaming
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Guards! Guards!        (Discworld, #8; City Watch, #1)","Pratchett, Terry",0061020648,9780061020643,0061020648,376        pp,4.34,"207,932",Aug 1989,Aug 2001,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2024",,Mass Market Paperback,view,/book/show/64216.Guards_Guards_
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"One Dark Window        (The Shepherd King, #1)","Gillig, Rachel*",0316312487,9780316312486,0316312487,399        pp,4.32,"138,652","Sep 27, 2022","Sep 27, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2024",,Paperback,view,/book/show/58340706-one-dark-window
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Somatic Therapy Handbook: Self-Soothing Techniques for Healing Trauma, Enhancing the Mind-Body Connection, and Stress Relief        (Holistic Healing Books Book 1)","Hampton, Cher",,,B0CHQZMS33,164        pp,3.88,66,unknown,"Sep 09, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Mar 07, 2024","Mar 19, 2024","Mar 07, 2024",,Kindle Edition,view,/book/show/198911314-the-somatic-therapy-handbook
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Murder Road,"St. James, Simone*",0593200381,9780593200384,,341        pp,3.82,"12,085","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2024",,Hardcover,view,/book/show/196614815-murder-road
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"How to Solve Your Own Murder        (Castle Knoll Files, #1)","Perrin, Kristen*",0593474015,9780593474013,0593474015,368        pp,3.91,"4,706","Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2024",,Hardcover,view,/book/show/181350367-how-to-solve-your-own-murder
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dark Queens: The Bloody Rivalry That Forged the Medieval World,"Puhak, Shelley*",1635574919,9781635574913,1635574919,384        pp,4.10,"3,647","Feb 22, 2022","Feb 22, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2024",,Hardcover,view,/book/show/53138220-the-dark-queens
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Red Comet: The Short Life and Blazing Art of Sylvia Plath,"Clark, Heather",1473579236,9781473579231,,"1,154        pp",4.58,"3,570",2020,"Oct 15, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2024",,ebook,view,/book/show/48721389-red-comet
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Five: The Untold Lives of the Women Killed by Jack the Ripper,"Rubenhold, Hallie*",,,,352        pp,4.12,"53,955","Feb 26, 2019","Apr 09, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2024",,Hardcover,view,/book/show/37570548-the-five
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hitchcock's Blondes: The Unforgettable Women Behind the Legendary Director's Dark Obsession,"Leamer, Laurence*",0593542975,9780593542972,0593542975,336        pp,3.49,553,"Oct 10, 2023","Oct 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2024",,Hardcover,view,/book/show/78299256-hitchcock-s-blondes
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Normal Women: Nine Hundred Years of Making History,"Gregory, Philippa*",0063304325,9780063304321,0063304325,688        pp,4.12,740,"Oct 26, 2023","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2024",,Hardcover,view,/book/show/70240521-normal-women
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nestlings,"Cassidy, Nat*",1250265258,9781250265258,1250265258,293        pp,3.95,"6,614","Oct 31, 2023","Oct 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 06, 2024",,Paperback,view,/book/show/65212029-nestlings
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shield Maiden,"Emmerichs, Sharon*",0316566918,9780316566919,0316566918,416        pp,3.67,"1,032","Feb 02, 2023","Oct 03, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I was drawn in initially. I love Beowulf and other tales about quests and monsters but all of those great components were lost when the book got overlI was drawn in initially. I love Beowulf and other tales about quests and monsters but all of those great components were lost when the book got overly romamcy. The dragon was cool but unnecessary. I’m wondering if the book was edited down to make it a certain length? ...more,Notes are private!,0,2,1,"Mar 06, 2024","Mar 09, 2024","Mar 06, 2024",,Paperback,view (with text),/book/show/103455589-shield-maiden
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Everything Is Temporary,"Cohn, Jon*",,9798988061939,B0CLXW3WYJ,252        pp,4.14,561,"Nov 02, 2023","Nov 02, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,There’s never enough good magical realism books. I loved it and read it straight through.,Notes are private!,0,0,1,"Mar 05, 2024","Mar 06, 2024","Mar 05, 2024",,Paperback,view (with text),/book/show/198270623-everything-is-temporary
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Throne of Glass        (Throne of Glass, #1)","Maas, Sarah J.*",163973094X,9781639730940,,406        pp,4.19,"1,479,697","Aug 07, 2012","Feb 14, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This was entertaining enough that I’m going to read the second book.,Notes are private!,0,3,1,"Feb 26, 2024","Mar 03, 2024","Feb 27, 2024",,Hardcover,view (with text),/book/show/76703559-throne-of-glass
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Good Wife of Bath,"Brooks, Karen*",006314283X,9780063142831,006314283X,560        pp,4.20,"4,989","Jul 07, 2021","Jan 25, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I was really enjoying this book. It had so many interesting medieval details. But it really became repetitive by 3/4 is which became frustrating.,Notes are private!,0,2,1,"Feb 22, 2024","Feb 28, 2024","Feb 22, 2024",,Paperback,view (with text),/book/show/57924371-the-good-wife-of-bath
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Sorceress Comes to Call,"Kingfisher, T.",1250244072,9781250244079,1250244072,336        pp,4.54,98,"Aug 06, 2024","Aug 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Hardcover,view,/book/show/195790847-a-sorceress-comes-to-call
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nettle & Bone,"Kingfisher, T.",1250244048,9781250244048,1250244048,243        pp,4.15,"74,829","Apr 26, 2022","Apr 26, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A perfect fairy tale from beginning to end. A new favorite book for me. Well done!,Notes are private!,0,3,1,"Feb 17, 2024","Feb 23, 2024","Feb 17, 2024",,Hardcover,view (with text),/book/show/56179377-nettle-bone
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Midnight Feast,"Foley, Lucy",0063003104,9780063003101,0063003104,368        pp,3.76,565,"Jun 06, 2024","Jun 18, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 11, 2024",,Hardcover,view,/book/show/199743738-the-midnight-feast
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Advanced Tarot Secrets: Secrets from the best tarot readers in the world,"White, Dusty*",,,B06XTWVJ8J,248        pp,4.35,159,"Aug 06, 2013","Mar 23, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 09, 2024",,Kindle Edition,view,/book/show/34737887-advanced-tarot-secrets
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fortune Seller,"Kapelke-Dale, Rachel*",,9781250286130,,320        pp,3.58,"1,138","Feb 13, 2024","Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,Hardcover,view,/book/show/193537012-the-fortune-seller
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Doors,"Brown, Gareth*",1787637247,9781787637245,B0C5CGYC4Z,416        pp,4.05,"8,145","Feb 13, 2024","Feb 15, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Hardcover,view,/book/show/156480764-the-book-of-doors
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Name is Victoria,"Worsley, Lucy",1408882019,9781408882016,1408882019,372        pp,3.79,"1,215","Mar 09, 2017","Mar 09, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Paperback,view,/book/show/33210394-my-name-is-victoria
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Then She Was Gone,"Jewell, Lisa*",1501154648,9781501154645,,359        pp,4.06,"676,957","Jul 27, 2017","Apr 17, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Pretty bananas plot but a good read,Notes are private!,0,2,1,"Feb 07, 2024","Feb 15, 2024","Feb 07, 2024",,Paperback,view (with text),/book/show/35297426-then-she-was-gone
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dreaming the Eagle        (Boudica, #1)","Scott, Manda*",0385336705,9780385336703,0385336705,465        pp,4.07,"4,935",Feb 2003,"May 27, 2003",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The book is split into a male and female character, but it felt like the male character and the Roman Empire got a bit too much time. I understand forThe book is split into a male and female character, but it felt like the male character and the Roman Empire got a bit too much time. I understand for a series it helps to pace books differently but this was a little too slow. I was hoping for a strong female character but I don’t think I got that. ...more",Notes are private!,0,1,1,"Feb 07, 2024","Feb 13, 2024","Feb 07, 2024",,Hardcover,view (with text),/book/show/1309025.Dreaming_the_Eagle
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Taming the Tiger Within: Meditations on Transforming Difficult Emotions,Thich Nhat Hanh,,9781594481345,1594481342,293        pp,4.08,"4,909",2004,"Sep 06, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 03, 2024",not set,"Feb 03, 2024",,Paperback,view,/book/show/263291.Taming_the_Tiger_Within
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Family Upstairs        (The Family Upstairs, #1)","Jewell, Lisa*",1501190105,9781501190100,1501190105,340        pp,3.97,"414,657","Aug 06, 2019","Nov 05, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I love going through an author’s backlist. I was confused much of the time but I kept turning the pages knowing it would come together. Very twisty.,Notes are private!,0,1,1,"Jan 30, 2024","Feb 05, 2024","Jan 30, 2024",,Hardcover,view (with text),/book/show/43822820-the-family-upstairs
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Easiest Way to Learn the Tarot—EVER!!: Kindle Version,"White, Dusty*",,,B07FNZ8HV2,585        pp,4.22,463,"Mar 20, 2009","Jul 17, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 29, 2024","Mar 20, 2024","Jan 29, 2024",,Kindle Edition,view,/book/show/40869464-the-easiest-way-to-learn-the-tarot-ever
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Shinju        (Sano Ichiro, #1)","Rowland, Laura Joh",0061009504,9780061009501,0061009504,437        pp,3.87,"3,923","Nov 17, 1994","May 29, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 24, 2024",,Paperback,view,/book/show/195979.Shinju
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Horror Movie,"Tremblay, Paul*",0063070014,9780063070011,0063070014,288        pp,3.99,306,"Jun 11, 2024","Jun 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 23, 2024",,Hardcover,view,/book/show/200101541-horror-movie
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mrs. March,"Feito, Virginia",1631498614,9781631498619,1631498614,304        pp,3.25,"21,089","Aug 05, 2021","Aug 10, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,It was ok. I can see an actor getting into the protagonist. I thought it kept laying crumbs to the story it didn’t go back to. I think I’ve already foIt was ok. I can see an actor getting into the protagonist. I thought it kept laying crumbs to the story it didn’t go back to. I think I’ve already forgotten the ending. ...more,Notes are private!,0,1,1,"Jan 20, 2024","Jan 28, 2024","Jan 20, 2024",,Hardcover,view (with text),/book/show/55298324-mrs-march
