,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Simona's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il magico studio fotografico di Hirasaka,"Hiiragi, Sanaka",8858858476,9788858858479,B0C74W5J2F,160        pp,4.04,"4,409","Feb 06, 2019","Aug 29, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Apr 03, 2024","Apr 09, 2024","Apr 03, 2024",,Kindle Edition,view,/book/show/173818832-il-magico-studio-fotografico-di-hirasaka
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ethan Frome,"Wharton, Edith",,,,145        pp,3.44,"127,274",1911,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Paperback,view,/book/show/9711396-ethan-frome
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Figli e figlie,"Bodrožić, Ivana",8838945799,9788838945793,B0C8BGX9CD,236        pp,4.42,546,Oct 2020,"Aug 29, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2024",,Kindle Edition,view,/book/show/178750870-figli-e-figlie
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In,"Kirino, Natsuo",1846554241,9781846554247,1846554241,384        pp,3.28,294,May 2009,"May 07, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 10, 2024",not set,"Mar 31, 2024",,Hardcover,view,/book/show/17186273-in
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nella casa del pianista,"Brokken, Jan",,,,432        pp,4.28,467,Sep 2008,"Jun 01, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Paperback,view,/book/show/12617966-nella-casa-del-pianista
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Frontiera: Perché sarà un nuovo secolo americano,"Costa, Francesco",8835732387,9788835732389,B0CW2ST9Y6,300        pp,3.88,458,unknown,"Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,ebook,view,/book/show/208926793-frontiera
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Le cose da salvare,"Rossetti, Ilaria",8854520446,9788854520448,8854520446,208        pp,3.72,79,2020,2020,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Mar 18, 2024","Mar 21, 2024","Mar 17, 2024",,Paperback,view,/book/show/52079192-le-cose-da-salvare
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'orizzonte della notte,"Carofiglio, Gianrico",8858444620,9788858444627,B0CT28ZWRB,288        pp,3.68,415,unknown,"Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 17, 2024",,ebook,view,/book/show/205821138-l-orizzonte-della-notte
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ci vediamo in agosto,"García Márquez, Gabriel",8835731674,9788835731672,B0CSFF536C,78        pp,3.78,"7,227","Mar 06, 2024","Mar 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Kindle Edition,view,/book/show/205432159-ci-vediamo-in-agosto
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cose che non si raccontano,"Lattanzi, Antonella",,,B0BVTBBWP4,205        pp,4.27,"1,496",unknown,"Mar 14, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Mar 09, 2024","Mar 12, 2024","Mar 09, 2024",,Kindle Edition,view,/book/show/122882530-cose-che-non-si-raccontano
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mansfield Park,"Austen, Jane",,,,488        pp,3.86,"349,609",May 1814,2003,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,9,1,"Mar 21, 2024","Apr 07, 2024","Mar 07, 2024",,Paperback,view,/book/show/45032.Mansfield_Park
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'isola della memoria,"Michielsen, Dido",,,B0BY8QK5YJ,285        pp,4.25,"2,555","Sep 09, 2019","Apr 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2024",,Kindle Edition,view,/book/show/123334873-l-isola-della-memoria
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La zona d'interesse,"Amis, Martin",8806223542,9788806223540,8806223542,312        pp,3.71,"6,781","Sep 30, 2014","Sep 29, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 04, 2024",,Hardcover,view,/book/show/26238067-la-zona-d-interesse
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blue Nights,"Didion, Joan",0307267679,9780307267672,0307267679,208        pp,3.92,"39,736","Nov 01, 2011","Nov 01, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Mar 03, 2024","Mar 07, 2024","Mar 03, 2024",,Hardcover,view,/book/show/10252302-blue-nights
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il diario perduto di Édouard Manet,"Gibbon, Maureen",8806251341,9788806251345,8806251341,352        pp,3.78,367,"Sep 07, 2021","May 31, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Hardcover,view,/book/show/61145553-il-diario-perduto-di-douard-manet
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dentro soffia il vento,"Diotallevi, Francesca",8854512362,9788854512368,8854512362,224        pp,3.99,600,May 2016,"May 05, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Paperback,view,/book/show/29934554-dentro-soffia-il-vento
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Psychopompe,"Nothomb, Amélie",2226487255,9782226487254,B0C9GKQS4B,147        pp,3.50,"1,025",unknown,"Aug 23, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Kindle Edition,view,/book/show/181341859-psychopompe
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La cuoca segreta di Frida,"Etcheves, Florencia",8831019325,9788831019323,B0CH1W84TB,563        pp,4.07,555,unknown,"Sep 12, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Feb 21, 2024",Mar 2024,"Feb 21, 2024",,Kindle Edition,view,/book/show/198334141-la-cuoca-segreta-di-frida
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I beati anni del castigo,"Jaeggy, Fleur",8845910083,9788845910081,8845910083,107        pp,3.66,"5,980","Sep 01, 1989","Oct 01, 1993",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 21, 2024",,Paperback,view,/book/show/9651934-i-beati-anni-del-castigo
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Io non mi chiamo Miriam,"Axelsson, Majgull*",,,B01M080EJ6,488        pp,4.26,"4,684","Mar 01, 2014","Sep 28, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,3,6,1,"Feb 07, 2024","Feb 18, 2024","Feb 07, 2024",,Kindle Edition,view,/book/show/32872609-io-non-mi-chiamo-miriam
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La chiave di Berlino,"Latronico, Vincenzo",8858443160,9788858443163,B0CGTD4PVP,145        pp,3.69,172,unknown,"Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 06, 2024",,Kindle Edition,view,/book/show/198132877-la-chiave-di-berlino
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il peso,"Moore, Liz",,,B0B5VGNR3C,350        pp,4.22,81,unknown,"Jul 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 04, 2024",,Kindle Edition,view,/book/show/62361000-il-peso
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il vento conosce il mio nome,"Allende, Isabel*",8858858956,9788858858950,B0CCPCXG98,320        pp,4.03,"33,274","Jun 06, 2023","Sep 12, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,3,6,1,"Feb 02, 2024","Feb 06, 2024","Feb 02, 2024",,ebook,view,/book/show/194912963-il-vento-conosce-il-mio-nome
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La casa dei Krull,"Simenon, Georges",,,B01N4GD82G,208        pp,3.74,513,1939,"Feb 02, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,1,8,1,"Jan 29, 2024",Feb 2024,"Jan 29, 2024",,Kindle Edition,view,/book/show/34098617-la-casa-dei-krull
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Perturbamento,"Bernhard, Thomas",8845911748,9788845911743,8845911748,239        pp,3.93,"2,519",1967,2018,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 29, 2024",,Paperback,view,/book/show/36008303-perturbamento
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stranieri a noi stessi,"Aviv, Rachel",8870918416,9788870918410,B0CRZ63PQ3,0        pp,4.13,"10,109","Sep 13, 2022","Jan 10, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 27, 2024",,Kindle Edition,view,/book/show/205152327-stranieri-a-noi-stessi
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Una storia crudele,"Kirino, Natsuo",8862511116,9788862511117,8862511116,235        pp,3.75,903,2004,"Nov 01, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 26, 2024",,Hardcover,view,/book/show/14743885-una-storia-crudele
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La libreria dei gatti neri,"Pulixi, Piergiorgio",,,B0BQCBC68Y,286        pp,3.94,"1,111",unknown,"Jan 10, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Feb 13, 2024","Feb 20, 2024","Jan 25, 2024",,Kindle Edition,view,/book/show/75596638-la-libreria-dei-gatti-neri
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Figlio di nessuno: Un'autobiografia senza frontiere,"Pahor, Boris",8858624440,9788858624449,,247        pp,4.00,23,"Mar 01, 2012",Mar 2012,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Jan 23, 2024","Jan 28, 2024","Jan 23, 2024",,ebook,view,/book/show/14290257-figlio-di-nessuno
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il rap spiegato ai bianchi,"Wallace, David Foster",8833890562,9788833890562,8833890562,232        pp,3.31,"1,389",1990,"May 30, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2024",,Paperback,view,/book/show/53243576-il-rap-spiegato-ai-bianchi
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Un anno con Virginia Woolf,"Fusini, Nadia",8854522678,9788854522671,8854522678,414        pp,4.17,63,unknown,"Oct 28, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2024",,Paperback,view,/book/show/59710199-un-anno-con-virginia-woolf
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Passione semplice,"Ernaux, Annie*",8817064114,9788817064118,8817064114,74        pp,3.93,"30,124",1991,"May 03, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Paperback,view,/book/show/35824686-passione-semplice
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'età fragile,"Di Pietrantonio, Donatella",8858444035,9788858444030,B0CLKZMNF9,192        pp,3.77,"1,425",unknown,"Nov 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Kindle Edition,view,/book/show/201745091-l-et-fragile
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dove vola la polvere,Nguyễn Phan Quế Mai *,8842935832,9788842935834,B0C93V7MQS,416        pp,4.25,"9,177","Mar 14, 2023","Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 01, 2024",,Paperback,view,/book/show/180181334-dove-vola-la-polvere
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La cronologia dell'acqua,"Yuknavitch, Lidia*",8874529589,9788874529582,8874529589,334        pp,4.21,"13,710","Apr 01, 2011","May 19, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Dec 31, 2023","Jan 05, 2024","Dec 31, 2023",,Paperback,view,/book/show/61160520-la-cronologia-dell-acqua
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il Giappone a colori,"Imai Messina, Laura",8858443705,9788858443705,B0CKC7J1PQ,360        pp,3.84,88,"Oct 31, 2023","Oct 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 31, 2023",,ebook,view,/book/show/199505502-il-giappone-a-colori
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La figlia unica,"Nettel, Guadalupe",8883733835,9788883733833,8883733835,213        pp,4.13,"15,122",Sep 2020,"Sep 03, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 31, 2023",,Paperback,view,/book/show/55229156-la-figlia-unica
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sono contenta che mia mamma è morta,"McCurdy, Jennette",8835722144,9788835722144,B0BJFM2SBF,384        pp,4.47,"965,495","Aug 09, 2022","Mar 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 31, 2023",,Kindle Edition,view,/book/show/71610045-sono-contenta-che-mia-mamma-morta
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La paura ferisce come un coltello arrugginito (Narrativa),"Scomazzon, Giulia",,9791254800164,B0BSHTYJTT,162        pp,4.19,86,unknown,"Jan 27, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 30, 2023",,Kindle Edition,view,/book/show/91674452-la-paura-ferisce-come-un-coltello-arrugginito-narrativa
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La bottega dei giocattoli,"Carter, Angela",,9791259674494,B0C3DCYD1M,240        pp,3.80,"12,278",1967,"May 23, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Paperback,view,/book/show/139721567-la-bottega-dei-giocattoli
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'occhio più azzurro,"Morrison, Toni",8876842837,9788876842832,8876842837,236        pp,4.11,"252,654","Jun 01, 1970",1994,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Paperback,view,/book/show/16096150-l-occhio-pi-azzurro
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Torta al caramello in Paradiso,"Flagg, Fannie",8817030945,9788817030946,8817030945,372        pp,3.94,"20,036",2006,2009,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Paperback,view,/book/show/9692879-torta-al-caramello-in-paradiso
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tutta la stanchezza del mondo,"Tesio, Enrica",8830118540,9788830118546,8830118540,192        pp,3.43,692,"Feb 09, 2022","Feb 09, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Dec 27, 2023","Dec 30, 2023","Dec 27, 2023",,Paperback,view,/book/show/60379920-tutta-la-stanchezza-del-mondo
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Io codardo guardavo il cielo,"Kubo, Misumi",8817162930,9788831809320,B0BF96HXV5,256        pp,3.89,295,"Jul 20, 2010","Oct 04, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 26, 2023",,Kindle Edition,view,/book/show/62793909-io-codardo-guardavo-il-cielo
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tre ciotole. Rituali per un anno di crisi,"Murgia, Michela",8804774894,9788804774891,B0C4CWJWZL,137        pp,3.59,"3,862","May 16, 2023","May 16, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Dec 21, 2023","Dec 24, 2023","Dec 21, 2023",,Paperback,view,/book/show/149099467-tre-ciotole-rituali-per-un-anno-di-crisi
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lo Schiaccianoci,"Hoffmann, E.T.A.",8817104493,9788817104494,8817104493,123        pp,3.90,"22,699",1816,"Oct 16, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,6,1,"Dec 25, 2023","Dec 26, 2023","Dec 18, 2023",,Paperback,view,/book/show/42392781-lo-schiaccianoci
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Libri che mi hanno rovinato la vita e altri amori malinconici,"Bignardi, Daria*",8806252585,9788806252588,8806252585,162        pp,3.27,"2,519","Feb 08, 2022","Feb 08, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Jan 20, 2024","Jan 22, 2024","Dec 18, 2023",,Paperback,view,/book/show/60306873-libri-che-mi-hanno-rovinato-la-vita-e-altri-amori-malinconici
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La bambina che non doveva piangere,"Culicchia, Giuseppe",8835723175,9788835723172,B0BSVCBJF4,237        pp,3.81,31,unknown,"Feb 07, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Dec 14, 2023","Dec 17, 2023","Dec 14, 2023",,Kindle Edition,view,/book/show/96150527-la-bambina-che-non-doveva-piangere
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A babbo morto. Una storia di Natale,Zerocalcare,8832735512,9788832735512,8832735512,64        pp,3.66,"5,110","Nov 12, 2020","Nov 12, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 12, 2023",,Hardcover,view,/book/show/55677388-a-babbo-morto-una-storia-di-natale
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rosso americano,"Moody, Rick",8845247775,9788845247774,8845247775,288        pp,3.49,"1,040",Apr 1997,2001,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 11, 2023",,Paperback,view,/book/show/9942255-rosso-americano
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il cielo diviso,"Wolf, Christa",8866321206,9788866321200,,216        pp,3.40,"1,716",1963,Dec 2011,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 11, 2023",,ebook,view,/book/show/13405921-il-cielo-diviso
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Natale a Parigi,"Némirovsky, Irène",8811000653,9788811000655,8811000653,93        pp,3.09,149,unknown,Nov 2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 09, 2023",,Paperback,view,/book/show/59720412-natale-a-parigi
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Una voce dal Profondo,"Rumiz, Paolo",8858859014,9788858859018,,281        pp,4.04,25,unknown,"Nov 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 09, 2023",,ebook,view,/book/show/201044343-una-voce-dal-profondo
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Perdersi,"Ernaux, Annie*",,9791254760703,B0CK2RD7DM,221        pp,3.45,"4,717","Oct 17, 2001","Oct 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 07, 2023",,Kindle Edition,view,/book/show/199501866-perdersi
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L’ultima cosa bella sulla faccia della terra,"Bible, Michael*",,,B0CH3T3WYX,135        pp,3.67,"2,185","Dec 15, 2020","Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 07, 2023",,Kindle Edition,view,/book/show/198373239-l-ultima-cosa-bella-sulla-faccia-della-terra
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'età forte,"Beauvoir, Simone de",8806136321,9788806136321,8806136321,533        pp,4.17,"1,821","Jan 01, 1960",1995,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 06, 2023",,Paperback,view,/book/show/15722391-l-et-forte
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Letters to a Young Poet,"Rilke, Rainer Maria",0486422453,9780486422459,0486422453,80        pp,4.30,"92,280",1929,"May 08, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 06, 2023",,Paperback,view,/book/show/46199.Letters_to_a_Young_Poet
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L’ora di greco,Han Kang,8845987035,9788845987038,B0CMJ6KFL2,156        pp,3.49,"7,482","Nov 10, 2011","Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 05, 2023",,Kindle Edition,view,/book/show/201467943-l-ora-di-greco
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fiore di neve e il ventaglio segreto,"See, Lisa*",8850216483,9788850216482,8850216483,336        pp,4.09,"372,449","Feb 21, 2005","Jun 19, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Jan 11, 2024","Jan 17, 2024","Dec 02, 2023",,Paperback,view,/book/show/9692872-fiore-di-neve-e-il-ventaglio-segreto
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La vita di chi resta,"Bianchi, Matteo B.",883572340X,,B0BSHCBGRB,251        pp,4.05,"1,436",unknown,"Jan 31, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Nov 30, 2023","Dec 05, 2023","Nov 30, 2023",,Kindle Edition,view,/book/show/98192052-la-vita-di-chi-resta
60,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sharon e mia suocera: se questa è vita,"Amiry, Suad",8807819570,9788807819575,8807819570,283        pp,3.86,"1,803","Oct 01, 2003",2007,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 30, 2023",,Paperback,view,/book/show/9651836-sharon-e-mia-suocera
