,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Esil's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Appeal        (The Appeal, #1)","Hallett, Janice",1788165292,9781788165297,1788165292,432        pp,3.86,"57,034","Jan 14, 2021","Jan 14, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 13, 2021",,Paperback,view,/book/show/54621096-the-appeal
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Patron Saint of Second Chances,"Simon, Christine*",1982188774,9781982188771,1982188774,304        pp,3.59,"3,724","Apr 12, 2022","Apr 12, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 13, 2021",,Hardcover,view,/book/show/58438655-the-patron-saint-of-second-chances
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sign for Home,"Fell, Blair*",1982175958,9781982175955,1982175958,404        pp,4.25,"5,966","Apr 05, 2022","Apr 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 13, 2021",,Hardcover,view,/book/show/58438605-the-sign-for-home
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beneath the Stairs,"Fawcett, Jennifer*",1982177152,9781982177157,1982177152,352        pp,3.55,"4,301","Feb 22, 2022","Feb 22, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 13, 2021",,Hardcover,view,/book/show/58438608-beneath-the-stairs
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Ballad of Love and Glory,"Grande, Reyna*",198216526X,9781982165260,198216526X,384        pp,3.82,"1,880","Mar 15, 2022","Mar 15, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Nov 13, 2021",,Hardcover,view,/book/show/58438579-a-ballad-of-love-and-glory
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No Land to Light On,"Zgheib, Yara",1982187425,9781982187422,1982187425,304        pp,4.00,"3,777","Jan 04, 2022","Jan 04, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 13, 2021",,Hardcover,view,/book/show/58438648-no-land-to-light-on
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,True Crime Story,"Knox, Joseph*",0857527703,9780857527707,,448        pp,3.89,"8,964","Jun 17, 2021",Aug 2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 13, 2021",,Hardcover,view,/book/show/58699449-true-crime-story
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Boy Underground,"Hyde, Catherine Ryan*",1542021561,9781542021562,B08LYKTSVT,353        pp,4.47,"7,822","Dec 07, 2021","Dec 07, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 13, 2021",,Kindle Edition,view,/book/show/56225718-boy-underground
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A History of Wild Places,"Ernshaw, Shea*",1982164808,9781982164805,1982164808,354        pp,3.93,"58,714","Dec 07, 2021","Dec 07, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 13, 2021",,Hardcover,view,/book/show/56898223-a-history-of-wild-places
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Marriage Test,"Redfearn, Suzanne*",1542035139,9781542035132,B097MR7T57,68        pp,3.46,"1,820","Nov 23, 2021","Nov 23, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 13, 2021",,Kindle Edition,view,/book/show/58840136-the-marriage-test
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Coming Clean: A true story of love, addiction and recovery","Fraser, Liz",1472986377,9781472986375,1472986377,320        pp,3.68,144,unknown,"Nov 30, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Hardcover,view,/book/show/54336586-coming-clean
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Little Bird,"James, Wendy*",1542026490,9781542026499,B08MF5CCXR,320        pp,4.12,"2,519","Nov 30, 2021","Nov 30, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Kindle Edition,view,/book/show/57612881-a-little-bird
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Essays Two: On Proust, Translation, Foreign Languages, and the City of Arles","Davis, Lydia",0374148864,9780374148867,0374148864,592        pp,4.21,160,"Nov 02, 2021","Nov 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Hardcover,view,/book/show/50403450-essays-two
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sisters Sweet,"Weiss, Elizabeth",1984801546,9781984801548,1984801546,416        pp,3.56,"1,405","Nov 30, 2021","Nov 30, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Hardcover,view,/book/show/57727358-the-sisters-sweet
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,White Hot Hate: A True Story of Domestic Terrorism in America’s Heartland,"Lehr, Dick",0358359902,9780358359906,0358359902,416        pp,4.12,892,"Nov 09, 2021","Nov 30, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Hardcover,view,/book/show/55959438-white-hot-hate
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Things Like These,"Keegan, Claire",0802158749,9780802158741,0802158749,128        pp,4.19,"153,433","Nov 05, 2021","Nov 30, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Hardcover,view,/book/show/58662236-small-things-like-these
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Seven Down,"Whitton, David*",1459748573,9781459748576,1459748573,200        pp,3.47,175,"Nov 02, 2021","Nov 30, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Paperback,view,/book/show/56327556-seven-down
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,People From My Neighbourhood,"Kawakami, Hiromi",1846276985,9781846276989,1846276985,121        pp,3.55,"9,122","Aug 06, 2020","Aug 06, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Paperback,view,/book/show/53345896-people-from-my-neighbourhood
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Hello, Transcriber        (Black Harbor, #1)","Morrissey, Hannah*",1250795958,9781250795953,1250795958,304        pp,3.40,"5,871","Nov 30, 2021","Nov 30, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Hardcover,view,/book/show/56268935-hello-transcriber
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Kleptocracy: How the U.S. Created the World's Greatest Money Laundering Scheme in History,"Michel, Casey*",1250274524,9781250274526,1250274524,368        pp,4.18,450,unknown,"Nov 23, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Hardcover,view,/book/show/56268811-american-kleptocracy
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Churchill Sisters: The Extraordinary Lives of Winston and Clementine's Daughters,"Trethewey, Rachel",1250272394,9781250272393,1250272394,320        pp,3.86,"1,609","Dec 07, 2021","Dec 07, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Hardcover,view,/book/show/56269132-the-churchill-sisters
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Harsh Times,"Vargas Llosa, Mario",0374601232,9780374601232,0374601232,291        pp,4.03,"6,681","Oct 08, 2019","Nov 23, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Hardcover,view,/book/show/56269258-harsh-times
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Brooklyn Supreme,"Reuland, Robert*",1419750658,9781419750656,1419750658,368        pp,3.46,78,"Nov 23, 2021","Nov 23, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Hardcover,view,/book/show/56969485-brooklyn-supreme
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,These Silent Woods,"Grant, Kimi Cunningham*",1250793394,9781250793393,1250793394,275        pp,4.08,"71,255","Nov 16, 2021","Nov 16, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Oct 23, 2021",,Hardcover,view,/book/show/56268973-these-silent-woods
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Still Life,"Winman, Sarah",0008283354,9780008283353,0008283354,464        pp,4.17,"66,130","Jun 01, 2021","Jun 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Hardcover,view,/book/show/56381423-still-life
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Love in the Big City,"Park, Sang Young",0802158781,9780802158789,0802158781,240        pp,3.65,"10,230","Jun 28, 2019","Nov 16, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Hardcover,view,/book/show/57500766-love-in-the-big-city
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Joy and Light Bus Company        (No. 1 Ladies' Detective Agency, #22)","McCall Smith, Alexander*",,,B08V536PB9,228        pp,4.21,"8,090","Nov 16, 2021","Nov 16, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Kindle Edition,view,/book/show/56961583-the-joy-and-light-bus-company
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Five Tuesdays in Winter,"King, Lily*",0802158765,9780802158765,0802158765,240        pp,3.73,"19,197","Nov 02, 2021","Nov 09, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Oct 23, 2021",,Hardcover,view,/book/show/57812401-five-tuesdays-in-winter
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Workhorse: My Sublime and Absurd Years in New York City's Restaurant Scene,"Reed, Kim*",0306875101,9780306875106,0306875101,288        pp,3.62,178,unknown,"Nov 09, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Hardcover,view,/book/show/57355840-workhorse
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Please Scream Inside Your Heart: Breaking News and Nervous Breakdowns in the Year that Wouldn't End,"Pell, Dave*",0306847396,9780306847394,0306847396,368        pp,4.11,341,"Nov 02, 2021","Nov 09, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Hardcover,view,/book/show/57355838-please-scream-inside-your-heart
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What Just Happened: Notes on a Long Year,"Finch, Charles*",0593319079,9780593319079,0593319079,288        pp,3.94,551,"Nov 02, 2021","Nov 09, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Hardcover,view,/book/show/57005201-what-just-happened
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Final Spin,"Willink, Jocko*",1250276853,9781250276858,1250276853,224        pp,3.62,"1,855","Nov 09, 2021","Nov 09, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Hardcover,view,/book/show/56269138-final-spin
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fierce Love: A Bold Path to Ferocious Courage and Rule-Breaking Kindness That Can Heal the World,"Lewis, Jacqui*",0593233867,9780593233863,0593233867,219        pp,4.01,410,unknown,"Nov 09, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Hardcover,view,/book/show/56293867-fierce-love
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Single Black Female,"Brown, Tracy*",1250043018,9781250043016,1250043018,368        pp,4.10,"2,235","Nov 02, 2021","Nov 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Paperback,view,/book/show/56268959-single-black-female
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Island of Missing Trees,"Shafak, Elif*",0241434998,9780241434994,0241434998,354        pp,4.16,"102,005","Nov 02, 2021","Aug 05, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Hardcover,view,/book/show/56587382-the-island-of-missing-trees
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Our Country Friends,"Shteyngart, Gary*",1984855123,9781984855121,1984855123,317        pp,3.21,"15,335","Nov 02, 2021","Nov 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Hardcover,view,/book/show/57408095-our-country-friends
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Uninnocent,"Morrow, Bradford*",1605982652,9781605982656,1605982652,272        pp,3.72,144,"Jan 01, 2011","Dec 05, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Hardcover,view,/book/show/11979959-the-uninnocent
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Making of Incarnation,"McCarthy, Tom",1787333299,9781787333291,1787333299,336        pp,3.18,222,"Sep 16, 2021","Sep 16, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Hardcover,view,/book/show/56313478-the-making-of-incarnation
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Everything We Didn't Say,"Baart, Nicole*",1982115084,9781982115081,1982115084,368        pp,3.76,"28,184","Nov 02, 2021","Nov 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Paperback,view,/book/show/56898097-everything-we-didn-t-say
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Grave Reservations        (The Booking Agents, #1)","Priest, Cherie*",1982168897,9781982168896,1982168897,304        pp,3.58,"6,951","Oct 26, 2021","Oct 26, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Hardcover,view,/book/show/56898241-grave-reservations
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Deep Places: A Memoir of Illness and Discovery,"Douthat, Ross",0593237366,9780593237366,0593237366,224        pp,4.01,"1,820","Oct 26, 2021","Oct 26, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Hardcover,view,/book/show/57341765-the-deep-places
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Chancellor: The Remarkable Odyssey of Angela Merkel,"Marton, Kati",1501192620,9781501192623,1501192620,368        pp,4.33,"6,325","Oct 26, 2021","Oct 26, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Hardcover,view,/book/show/56897484-the-chancellor
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Where They Wait,"Carson, Scott*",1982104627,9781982104627,1982104627,390        pp,3.62,"3,923","Oct 26, 2021","Oct 26, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Hardcover,view,/book/show/55540151-where-they-wait
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Nameless Ones        (Charlie Parker, #19)","Connolly, John*",1529398355,9781529398359,1529398355,388        pp,4.19,"5,608","Jul 08, 2021","Jul 08, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Paperback,view,/book/show/55977557-the-nameless-ones
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fan Club,"Mayer, Erin*",0778311597,9780778311591,0778311597,320        pp,2.81,653,"Oct 26, 2021","Oct 26, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Paperback,view,/book/show/56383020-fan-club
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Unofficial Zack Warren Fan Club        (Unofficial #1),"Isabella, J.C.*",,,,204        pp,3.74,"6,742","Nov 13, 2011",2012,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Kindle Edition,view,/book/show/13517978-the-unofficial-zack-warren-fan-club
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Class: Trauma and Transformation in an American Prison,"Hedges, Chris",0735281106,9780735281103,0735281106,272        pp,4.39,461,"Oct 19, 2021","Oct 19, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Hardcover,view,/book/show/57341965-the-class
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Carefree Black Girls,"Blay, Zeba*",1250231566,9781250231567,1250231566,240        pp,4.32,934,"Oct 19, 2021","Oct 19, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Paperback,view,/book/show/51167337-carefree-black-girls
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,And the Bridge Is Love,"Biro, David*",1542027217,9781542027212,B092J4Z3CS,255        pp,4.05,813,"Oct 12, 2021","Oct 12, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Kindle Edition,view,/book/show/58176139-and-the-bridge-is-love
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tales from the Café        (Before the Coffee Gets Cold, #2)","Kawaguchi, Toshikazu",1529050863,9781529050868,1529050863,192        pp,4.00,"74,357","Mar 14, 2017","Sep 17, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Paperback,view,/book/show/54373691-tales-from-the-caf
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Party Crasher,"Kinsella, Sophie*",0593449177,9780593449172,0593449177,349        pp,3.78,"37,306","Oct 19, 2021","Oct 12, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Hardcover,view,/book/show/57996835-the-party-crasher
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Hitler Years: Disaster, 1940-1945","McDonough, Frank",1250275121,9781250275127,1250275121,656        pp,4.57,552,"Sep 03, 2020","Oct 12, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Hardcover,view,/book/show/56268812-the-hitler-years
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Any Kind of Luck at All: A Memoir,"Breen, Mary Fairhurst*",1772602019,9781772602012,1772602019,232        pp,3.76,55,unknown,"Oct 12, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Paperback,view,/book/show/56996811-any-kind-of-luck-at-all
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fragile,"Hilary, Sarah*",1529029449,9781529029444,1529029449,352        pp,3.35,713,"Apr 01, 2021","Apr 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2021",,Hardcover,view,/book/show/55133164-fragile
