,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Wendy's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shrines of Gaiety,"Atkinson, Kate",0385547978,9780385547970,0385547978,416        pp,3.86,"33,677","Sep 27, 2022","Sep 27, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 16, 2022",,Hardcover,view,/book/show/60371805-shrines-of-gaiety
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Matter of Death and Life,"Yalom, Irvin D.",1503613763,9781503613768,1503613763,240        pp,4.42,"6,581","Mar 02, 2021","Mar 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 23, 2021",,Hardcover,view,/book/show/55842121-a-matter-of-death-and-life
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Witches Are Coming,"West, Lindy",0316449881,9780316449885,0316449881,260        pp,4.13,"24,500","Nov 05, 2019","Nov 05, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 29, 2019",,Hardcover,view,/book/show/38362811-the-witches-are-coming
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Collected Stories,"Paley, Grace",0374530289,9780374530280,0374530289,400        pp,4.14,"3,263",1994,"Apr 03, 2007",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 19, 2011",,Paperback,view,/book/show/133618.The_Collected_Stories
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Heat and Dust,"Jhabvala, Ruth Prawer",1582430152,9781582430157,1582430152,190        pp,3.55,"8,162",1975,"Apr 16, 1999",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 19, 2011",,Paperback,view,/book/show/3853.Heat_and_Dust
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Boys of My Youth,"Beard, Jo Ann",0316085251,9780316085250,0316085251,240        pp,4.12,"5,540","Jan 01, 1998","Jan 29, 1999",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 19, 2011",,Paperback,view,/book/show/202372.The_Boys_of_My_Youth
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Breathe Underwater,"Orringer, Julie*",1400034361,9781400034369,1400034361,226        pp,3.96,"6,396","Sep 02, 2003","Apr 12, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 19, 2011",,Paperback,view,/book/show/47975.How_to_Breathe_Underwater
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Self-Help,"Moore, Lorrie",0307277291,9780307277299,0307277291,163        pp,4.14,"13,985",unknown,"Mar 13, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 19, 2011",,Paperback,view,/book/show/90872.Self_Help
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What We Talk About When We Talk About Love,"Carver, Raymond",0679723056,9780679723059,0679723056,159        pp,4.05,"66,753","Apr 20, 1981",Jun 1989,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 19, 2011",,Paperback,view,/book/show/11438.What_We_Talk_About_When_We_Talk_About_Love
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One Flew Over the Cuckoo’s Nest,"Kesey, Ken",,,,325        pp,4.20,"732,423",1962,"Feb 01, 1963",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 19, 2011",,Mass Market Paperback,view,/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest
