,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Christine's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Covenant of Water,"Verghese, Abraham*",0802162177,9780802162175,0802162177,724        pp,4.47,"150,518","May 02, 2023",Jun 2023,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Jul 02, 2023","Jul 16, 2023","Dec 11, 2023",,Hardcover,view,/book/show/180357146-the-covenant-of-water
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What You Do to Me,"Weinstein, Rochelle B.*",1662508263,9781662508264,B0BN6QPCZN,363        pp,4.28,"1,300","Oct 17, 2023","Oct 17, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What do you get when you mix the ultimate love story with family disfunction and classic rock? Storytelling perfection. If you enjoyed Daisy Jones & tWhat do you get when you mix the ultimate love story with family disfunction and classic rock? Storytelling perfection. If you enjoyed Daisy Jones & the Six, you’ll love What You Do To Me....more",Notes are private!,0,4,1,"Oct 21, 2023","Oct 22, 2023","Oct 23, 2023",,Kindle Edition,view (with text),/book/show/63852945-what-you-do-to-me
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Red Clay Suzie,"Lofton, Jeffrey Dale*",,,B0B88TS9M2,369        pp,4.31,240,"Jan 10, 2023","Jan 10, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Intimate and beautifully written, authentic and immersive, Red Clay Suzie portrays the life of Philbet, a physically misshapen gay boy growing up in rIntimate and beautifully written, authentic and immersive, Red Clay Suzie portrays the life of Philbet, a physically misshapen gay boy growing up in rural Georgia. His story is told with such sweetness and truth, the book is destined to become a classic of Southern literature.Merged :Intimate and beautifully written, authentic and immersive, Red Clay Suzie portrays the life of Philbet, a physically misshapen gay boy growing up in rural Georgia. His story is told with such sweetness and truth, the book is destined to become a classic of Southern literature....more",Notes are private!,0,10,3,"May 09, 2023not setnot set","May 14, 2023not setnot set","Oct 20, 2023",,Kindle Edition,view (with text),/book/show/74876702-red-clay-suzie
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",006332752X,9780063327528,006332752X,309        pp,4.04,"241,622","Aug 01, 2023","Aug 01, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A meditation on the truths we tell our children and the secrets we choose to keep. This is Patchett at her best.,Notes are private!,0,7,1,"Sep 08, 2023","Sep 12, 2023","Oct 05, 2023",,Hardcover,view (with text),/book/show/63241104-tom-lake
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Bend of Light,"Jordan-Lake, Joy*",1542037883,9781542037884,B09R9VGBGJ,395        pp,4.05,839,"Sep 06, 2022","Sep 06, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"With moving prose and memorable characters, A Bend of Light sets in motion a compelling mystery set in a 1950s coastal town in Maine that will stay wiWith moving prose and memorable characters, A Bend of Light sets in motion a compelling mystery set in a 1950s coastal town in Maine that will stay with readers long after the last page is turned. A fascinating, engrossing story....more",Notes are private!,0,3,1,"Jul 19, 2023","Jul 24, 2023","Sep 27, 2023",,Kindle Edition,view (with text),/book/show/60306488-a-bend-of-light
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secrets We Hide,"Sands, Patricia*",,,B0B625R8VP,404        pp,4.45,140,unknown,"Aug 25, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The Secrets We Hide carries the reader through evocative scenes in Japan, Hawaii, Corsica, and France as Kaito Tanaka proves a devoted husband, even iThe Secrets We Hide carries the reader through evocative scenes in Japan, Hawaii, Corsica, and France as Kaito Tanaka proves a devoted husband, even in the worst of times. His journey is poignant, bittersweet, and ultimately inspiring as he finds strength in Buddhist theology while coming to terms with the secrets of the past. If you’re looking for an “all the feels” novel, this is it....more",Notes are private!,0,5,1,"Aug 04, 2023","Aug 09, 2023","Sep 26, 2023",,Kindle Edition,view (with text),/book/show/61457572-the-secrets-we-hide
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Storm of Infinite Beauty,"MacLean, Julianne*",1542036739,9781542036733,B0BSVKX48V,292        pp,4.34,"10,776","Sep 12, 2023","Sep 12, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Set against the backdrop of the largest earthquake ever to hit North America, A Storm of Infinite Beauty carries the reader from Nova Scotia to the wiSet against the backdrop of the largest earthquake ever to hit North America, A Storm of Infinite Beauty carries the reader from Nova Scotia to the wilds of Alaska as the curator of a museum dedicated to an iconic Hollywood star discovers what happened during a missing year in the actress’s life—and heals her own emotional wounds in the process....more",Notes are private!,0,10,1,"Sep 18, 2023","Sep 18, 2023","Sep 18, 2023",,Kindle Edition,view (with text),/book/show/86032590-a-storm-of-infinite-beauty
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secret Book of Flora Lea,"Henry, Patti Callahan*",1668011832,9781668011836,1668011832,355        pp,4.08,"45,029","May 02, 2023","May 02, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Written with Henry’s unique magic, The Secret Book of Flora Lea is a love story, a celebration of the bond between sisters, and a tribute to literaturWritten with Henry’s unique magic, The Secret Book of Flora Lea is a love story, a celebration of the bond between sisters, and a tribute to literature’s ability to lift up our hearts and bind us together....more",Notes are private!,0,9,1,"Aug 15, 2023","Aug 22, 2023","Aug 23, 2023",,Hardcover,view (with text),/book/show/61964751-the-secret-book-of-flora-lea
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Clytemnestra,"Casati, Costanza*",1728268230,9781728268231,1728268230,448        pp,4.26,"21,807","May 02, 2023","May 02, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A brilliant debut that takes the origin story of a villainess from Greek mythology and flips it on its head, giving the reader a complex and compassioA brilliant debut that takes the origin story of a villainess from Greek mythology and flips it on its head, giving the reader a complex and compassionate tale of the Spartan princess who was the sister of Helen of Troy. Highly recommended....more",Notes are private!,0,6,1,"Jun 06, 2023","Jun 12, 2023","Aug 19, 2023",,Hardcover,view (with text),/book/show/61361681-clytemnestra
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Distant Hours,"Morton, Kate*",1439152780,9781439152782,1439152780,562        pp,3.89,"79,449","Nov 09, 2010","Nov 09, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I was captivated by this meticulously crafted tale, which begins with the receipt of a letter that should have been delivered fifty years earlier. A mI was captivated by this meticulously crafted tale, which begins with the receipt of a letter that should have been delivered fifty years earlier. A modern Gothic told at a slow-burn pace, with secrets hidden within a crumbling castle and a cast of memorable characters....more",Notes are private!,0,3,1,"Aug 12, 2023","Aug 12, 2023","Aug 12, 2023",,Hardcover,view (with text),/book/show/6746018-the-distant-hours
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Forgotten Garden,"Morton, Kate*",0330449605,9780330449601,0330449605,648        pp,4.15,"222,792",2008,"Jun 01, 2008",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Like all of Morton’s wonderful titles, The Forgotten Garden brims with long-held secrets and mystery. The story spans decades, from pre-World War I EnLike all of Morton’s wonderful titles, The Forgotten Garden brims with long-held secrets and mystery. The story spans decades, from pre-World War I England and colonial Australia to the present day in Cornwall, England as a young woman must piece together the untold life of her late grandmother. I’ve loved all of Morton’s titles; this story may well be my favorite....more",Notes are private!,0,5,1,"Mar 12, 2023","Mar 22, 2023","Aug 05, 2023",,Paperback,view (with text),/book/show/3407877-the-forgotten-garden
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No Ordinary Assignment: A Memoir,"Ferguson, Jane",0063272261,9780063272262,,336        pp,4.43,"1,110",unknown,"Jul 11, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A compelling memoir of the personal and professional life of a current day war correspondent. Both readable and memorable.,Notes are private!,0,8,1,"Aug 04, 2023","Aug 04, 2023","Aug 04, 2023",,ebook,view (with text),/book/show/63017294-no-ordinary-assignment
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Charleston: Race, Water, and the Coming Storm","Crawford, Susan",1639363572,9781639363575,1639363572,336        pp,3.89,99,unknown,"Apr 04, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Aug 04, 2023","Aug 04, 2023","Aug 04, 2023",,Hardcover,view,/book/show/61272982-charleston
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Atalanta: A Novel,"Saint, Jennifer*",1250855578,9781250855572,1250855578,291        pp,3.80,"16,117","Apr 11, 2023","May 09, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Jennifer Saint never disappoints with her enthralling tales woven from classic Greek Mythology. With Atalanta, she shines the spotlight on a haunting,Jennifer Saint never disappoints with her enthralling tales woven from classic Greek Mythology. With Atalanta, she shines the spotlight on a haunting, lesser-known heroine whose quest for relevance among the heroes searching for the golden fleece is the perfect tale for the modern age. Highly recommended....more",Notes are private!,0,11,1,"Jul 16, 2023","Jul 16, 2023","Jul 16, 2023",,Hardcover,view (with text),/book/show/61884838-atalanta
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sugar and Salt        (Bella Vista Chronicles, #4)","Wiggs, Susan*",0062914227,9780062914224,0062914227,368        pp,4.05,"8,954",unknown,"Jul 26, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A companion title to the charming The Lost and Found Bookshop, the more complex Sugar and Salt features an engaging heroine determined to outrun a horA companion title to the charming The Lost and Found Bookshop, the more complex Sugar and Salt features an engaging heroine determined to outrun a horrific past, and the sort of tender love story Wiggs writes so well. Highly recommended. ...more",Notes are private!,0,6,1,"Jan 10, 2023","Jan 16, 2023","Jul 10, 2023",,Hardcover,view (with text),/book/show/57789627-sugar-and-salt
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Last Mrs. Parrish        (Mrs. Parrish, #1)","Constantine, Liv*",0062688162,9780062688163,0062688162,560        pp,3.97,"342,843","Oct 17, 2017","Oct 17, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A deliciously twisty thriller and the perfect beach read.,Notes are private!,0,7,1,"Jun 20, 2023","Jun 23, 2023","Jul 04, 2023",,Paperback,view (with text),/book/show/34043643-the-last-mrs-parrish
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Horse,"Brooks, Geraldine*",0399562966,9780399562969,0399562966,401        pp,4.28,"128,835","Jun 14, 2022","Jun 14, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"With meticulous research and evocative characters, Horse brings to life a powerful story weaving together art, science, and the history of American slWith meticulous research and evocative characters, Horse brings to life a powerful story weaving together art, science, and the history of American slavery in a sweeping tale sure to stay with the reader long after the last page is turned. Easily one of the finest examples of historical fiction written in the last decade. Highly recommended....more",Notes are private!,0,7,1,"Apr 10, 2023","Apr 19, 2023","May 01, 2023",,Hardcover,view (with text),/book/show/59109077-horse
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Homecoming,"Morton, Kate*",0063020890,9780063020894,0063020890,547        pp,4.08,"69,111","Apr 04, 2023","Apr 04, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The story within a story is a bit too long, but overall, Morton’s latest novel succeeds in putting her beautiful writing style and memorable characterThe story within a story is a bit too long, but overall, Morton’s latest novel succeeds in putting her beautiful writing style and memorable characters on full display. Set in Australia, Homecoming depicts a family tragedy from 1959 with far reaching consequences for the modern-day protagonist, investigative reporter Jess. ...more",Notes are private!,0,12,1,"Feb 20, 2023","Feb 27, 2023","Apr 28, 2023",,Hardcover,view (with text),/book/show/61683285-homecoming
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Bring Up the Bodies        (Thomas Cromwell, #2)","Mantel, Hilary",,,,412        pp,4.29,"95,287",2012,"May 08, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Apr 10, 2023","Apr 10, 2023","Apr 10, 2023",,Hardcover,view,/book/show/13507212-bring-up-the-bodies
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Nightingale,"Hannah, Kristin*",0312577222,9780312577223,0312577222,440        pp,4.62,"1,358,064","Oct 08, 2015","Feb 03, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"If, like me, you have somehow missed reading Kristin Hannah’s 2015 release, delay no longer. The Nightingale transports the reader to WWII France as sIf, like me, you have somehow missed reading Kristin Hannah’s 2015 release, delay no longer. The Nightingale transports the reader to WWII France as sisters Vianne and Isabel must fight to survive the Nazi occupation—and manage to rise above the many indignities they encounter with courage, grace, and dignity. Highly, enthusiastically recommended....more",Notes are private!,0,16,1,"Apr 06, 2023","Apr 06, 2023","Apr 06, 2023",,Hardcover,view (with text),/book/show/21853621-the-nightingale
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Mermaid and Mrs. Hancock,"Gowar, Imogen Hermes",,,,487        pp,3.56,"19,619","Jan 25, 2018","Sep 11, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Feb 02, 2023","Feb 09, 2023","Mar 04, 2023",,Hardcover,view,/book/show/37678008-the-mermaid-and-mrs-hancock
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lions of Fifth Avenue,"Davis, Fiona*",1524744611,9781524744618,1524744611,354        pp,3.90,"65,088","Aug 04, 2020","Aug 04, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A fascinating novel about family, a mysterious heist, and the power of books. Sure to appeal to book lovers everywhere.",Notes are private!,0,7,1,"Oct 14, 2022","Oct 19, 2022","Feb 23, 2023",,Hardcover,view (with text),/book/show/48814109-the-lions-of-fifth-avenue
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mad Honey,"Picoult, Jodi*",1984818384,9781984818386,1984818384,464        pp,4.10,"387,895","Oct 04, 2022","Oct 04, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"“How similar does someone have to be to you before you remember to see them, first, as human?” This collaborative work by master novelists Jody Picoul“How similar does someone have to be to you before you remember to see them, first, as human?” This collaborative work by master novelists Jody Picoult and Jennifer Finney Boylan delivers a gripping story about identity, acceptance, and the lengths a mother will go to protect her child and provide a meaningful life. Highly recommended....more",Notes are private!,0,16,1,"Dec 05, 2022","Dec 10, 2022","Jan 21, 2023",,Hardcover,view (with text),/book/show/59912428-mad-honey
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Demon Copperhead,"Kingsolver, Barbara",,,,560        pp,4.51,"397,764","Oct 18, 2022","Oct 18, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,One of the best books of 2022. Highly recommended.,Notes are private!,0,9,1,"Nov 16, 2022","Nov 23, 2022","Jan 07, 2023",,Hardcover,view (with text),/book/show/60194162-demon-copperhead
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Stationery Shop,"Kamali, Marjan*",1982107480,9781982107482,1982107480,312        pp,4.22,"78,295","Jun 18, 2019","Jun 18, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Oct 05, 2022","Oct 08, 2022","Jan 07, 2023",,Hardcover,view,/book/show/42201995-the-stationery-shop
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ageless Body, Timeless Mind: The Quantum Alternative to Growing Old","Chopra, Deepak*",0517882124,9780517882122,0517882124,428        pp,4.05,"11,131",unknown,"Dec 27, 1994",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I try to ring in each new year with several inspiring reads. This classic by Deepak Chopra will challenge you to rethink the aging process, and offersI try to ring in each new year with several inspiring reads. This classic by Deepak Chopra will challenge you to rethink the aging process, and offers simple practices for a longer, healthier life....more",Notes are private!,0,6,1,"Dec 20, 2022","Dec 31, 2022","Jan 05, 2023",,Paperback,view (with text),/book/show/836512.Ageless_Body_Timeless_Mind
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Echo of Old Books,"Davis, Barbara*",1542038154,9781542038157,B0B9RNFT4S,431        pp,4.31,"72,345","Mar 28, 2023","Mar 28, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Woven with intriguing historical elements, The Echo of Old Books celebrates an enduring romance that overcomes all obstacles and the transformative poWoven with intriguing historical elements, The Echo of Old Books celebrates an enduring romance that overcomes all obstacles and the transformative power of love to heal the pain of past secrets. A big-hearted gem of a novel sure to delight true book lovers everywhere....more",Notes are private!,0,14,1,"Dec 25, 2022","Dec 26, 2022","Dec 07, 2022",,Kindle Edition,view (with text),/book/show/62060274-the-echo-of-old-books
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Babel,"Kuang, R.F.*",0063021420,9780063021426,0063021420,544        pp,4.20,"218,433","Aug 23, 2022","Aug 23, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Part alternate history, part fantasy, and wholly focused on the politics of language, Babel is in a class of its own. R.F. Kuang’s impeccable researchPart alternate history, part fantasy, and wholly focused on the politics of language, Babel is in a class of its own. R.F. Kuang’s impeccable research and crisp prose bring to life an enchanting cast of characters while leading the reader through a powerful commentary on the meaning of identity and the dangers of colonialism. Easily one of the best books of 2022....more",Notes are private!,0,8,1,"Nov 15, 2022","Nov 22, 2022","Nov 30, 2022",,Hardcover,view (with text),/book/show/57945316-babel
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Chairlift,"Irving, John*",1501189271,9781501189272,1501189271,889        pp,3.44,"8,130","Oct 18, 2022","Oct 18, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"DNF after 150 pages.If there is a story hidden beneath the meandering prose, I was unable to unearth it.",Notes are private!,0,13,1,"Nov 21, 2022","Nov 24, 2022","Nov 25, 2022",,Hardcover,view (with text),/book/show/60320396-the-last-chairlift
