,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Danielle's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secret History,"Tartt, Donna",1400031702,9781400031702,1400031702,559        pp,4.17,"741,698","Sep 16, 1992","Sep 11, 1992",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Loved the prose. Loved, loved, loved the narrative style (so masterfully and believably done). Just so-so on the plot. I never felt invested in any ofLoved the prose. Loved, loved, loved the narrative style (so masterfully and believably done). Just so-so on the plot. I never felt invested in any of the characters, so didn’t much care how they fared (but they were multi-dimensional and believable for the most part. Just not very sympathetic). Am I the only one who spent 3/4ths of the book trying to guess what decade we were in?...more",Notes are private!,0,1,1,not set,"Jul 26, 2023","Jul 26, 2023",,Paperback,view (with text),/book/show/29044.The_Secret_History
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Why Is This a Question?: Everything About the Origins and Oddities of Language You Never Thought to Ask,"Jones, Paul Anthony*",1783966645,9781783966646,1783966645,320        pp,4.20,132,"Dec 01, 2022","Oct 13, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 11, 2023",,Hardcover,view,/book/show/62059236-why-is-this-a-question
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Emily Wilde's Encyclopaedia of Faeries        (Emily Wilde, #1)","Fawcett, Heather*",059350013X,9780593500132,059350013X,317        pp,4.05,"79,448","Jan 10, 2023","Jan 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 11, 2023",,Hardcover,view,/book/show/60657589-emily-wilde-s-encyclopaedia-of-faeries
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Things We Cannot Say,"Rimmer, Kelly*",1525831518,9781525831515,1525831518,448        pp,4.53,"165,716","Feb 26, 2019","Oct 17, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 28, 2022",,Hardcover,view,/book/show/40899464-the-things-we-cannot-say
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Midnight Library,"Haig, Matt*",,,,288        pp,4.00,"1,766,295","Aug 13, 2020","Sep 29, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Aug 17, 2022",,Hardcover,view,/book/show/52578297-the-midnight-library
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bad Blood: Secrets and Lies in a Silicon Valley Startup,"Carreyrou, John",,,152473165X,339        pp,4.41,"259,803","May 21, 2018","May 21, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Feb 03, 2022",,Hardcover,view,/book/show/37976541-bad-blood
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Courtiers: Splendor and Intrigue in the Georgian Court at Kensington Palace,"Worsley, Lucy",0802719872,9780802719874,0802719872,402        pp,4.03,"2,093","Jan 01, 2010","Aug 24, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This one was fascinating and very engaging to me. It was quite in depth, but I can understand how the author felt invested in her research and probablThis one was fascinating and very engaging to me. It was quite in depth, but I can understand how the author felt invested in her research and probably hated to pare down. I also loved the premise for why Worsley chose to write this book--she worked at Kensington Palace and passed these portraits of people from the Georgian Court (both royalty and servants) and wanted to know who they were. So she found out! It's the kind of thing I'd love to do myself, and the book she turned out shows both her skill as a researcher and as a writer.I've been surprised since reading this book at how many pieces of knowledge gained from it have come up. It's a great introduction to the time period (one I wasn't super familiar with) in addition to the royalty. Anyway, if you have any interest in the life and times of English royalty, or just like getting a sneak peek into a very different way of life, you'll enjoy this book....more",Notes are private!,0,1,1,not set,not set,"Feb 02, 2022",,Hardcover,view (with text),/book/show/8107171-the-courtiers
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Woman of Independent Means,"Forsythe-Hailey, E",1860497667,9781860497667,1860497667,288        pp,3.97,"3,810",1978,"Jan 01, 2000",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I was expecting something a bit different, but I found this book very readable and I felt invested in Bess and her story. I like a book every now and I was expecting something a bit different, but I found this book very readable and I felt invested in Bess and her story. I like a book every now and then that follows a whole life. ...more",Notes are private!,0,2,1,not set,not set,"Feb 02, 2022",,Paperback,view (with text),/book/show/340258.A_Woman_of_Independent_Means
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Molly's Game: From Hollywood's Elite to Wall Street's Billionaire Boys Club, My High-Stakes Adventure in the World of Underground Poker","Bloom, Molly",0062213075,9780062213075,0062213075,272        pp,3.83,"23,417","Mar 11, 2014","Jun 24, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"**spoiler alert** This was a quick, compelling read. She brought up in the first few pages how she was a good student and loved reading and writing, s**spoiler alert** This was a quick, compelling read. She brought up in the first few pages how she was a good student and loved reading and writing, so of course I’m going to hold you to a higher standard, but no, the writing is not great. You just have to kind of look past it to enjoy the story.I would have given this 4 stars except that the ending felt very suspish. Like, “oh, these darn organized-crime Russians got me mixed up in their indictment when I had NO IDEA anything untoward was going on, but I refused to cooperate with the FBI.” If your game is legal, and you had no knowledge of their criminal behavior, wouldn’t you cooperate fully with the FBI?Also, the whole thing was painfully self-aggrandizing. She is literally good at everything, and any setback lasts for about 2.5 seconds before she comes back stronger than ever through grit and determination. Another contention I have with her riches-to-rags claims at the end is that if she really is sooo smart and learned so much from observing these genius business men for years, why didn’t she stash some money away where it couldn’t be entirely seized by the attorney general? That seems exceptionally naive for someone who knew she was in a legal gray area and had lawyers on speed dial.And speaking of that legal gray area, she makes a HUGE deal about how it was technically legal as long as she didn’t take a “rake” (a cut of the winnings). But it turns out (follow up online research) that she had a drug addiction and was taking a rake of her New York game. *Also* the ponzi-scheme thing from the LA game happened several years ago, and the FBI had been surveilling her ever since. Her arrest was because they had proof she was taking a rake and not because of these Russians she was somehow innocently lumped in with.Sooo, I’d like the book more if she’d been fully honest. Every bad thing that happened was someone else’s fault (or her not listening to her infallible ‘gut,) so that got a little tiresome and (understandably) didn’t ring true, so I ended up not feeling invested in her or rooting for her. IMO, she got what she deserved (about 5 years too late) but the book was still fun and readable....more",Notes are private!,0,2,1,not set,"Jan 20, 2022","Jan 20, 2022",,Hardcover,view (with text),/book/show/18090048-molly-s-game
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Jane Austen Society,"Jenner, Natalie*",1250248736,9781250248732,1250248736,304        pp,3.74,"47,092","May 26, 2020","May 26, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 03, 2020",,Hardcover,view,/book/show/43557477-the-jane-austen-society
