,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Lauren's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Mountains Sing,Nguyễn Phan Quế Mai *,161620818X,9781616208189,161620818X,352        pp,4.32,"43,953","Mar 17, 2020","Mar 17, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Hardcover,view,/book/show/49631287-the-mountains-sing
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Sympathizer        (The Sympathizer, #1)","Nguyen, Viet Thanh*",0802123457,9780802123459,0802123457,371        pp,4.01,"113,608","Apr 02, 2015","Apr 07, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/23168277-the-sympathizer
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Annie Bot,"Greer, Sierra*",0063312697,9780063312692,0063312697,240        pp,3.84,"7,948","Mar 19, 2024","Mar 19, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Fun read, interesting concept, but read more like a diary entry recounting daily life than a novel. No real climax or conflict, plot just kinda ambledFun read, interesting concept, but read more like a diary entry recounting daily life than a novel. No real climax or conflict, plot just kinda ambled along. ...more",Notes are private!,0,1,1,"Apr 05, 2024","Apr 07, 2024","Mar 05, 2024",,Hardcover,view (with text),/book/show/156023123-annie-bot
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Between Two Kingdoms: A Memoir of a Life Interrupted,"Jaouad, Suleika*",0399588582,9780399588587,0399588582,352        pp,4.43,"88,866","Feb 09, 2021","Feb 09, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 28, 2024",,Hardcover,view,/book/show/50743767-between-two-kingdoms
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rose Code,"Quinn, Kate*",0062943472,9780062943477,0062943472,624        pp,4.45,"251,517","Mar 09, 2021","Mar 09, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 20, 2024",,Paperback,view,/book/show/53914938-the-rose-code
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Day the World Came to Town: 9/11 in Gander, Newfoundland","DeFede, Jim",,,,256        pp,4.24,"52,630","Sep 03, 2002","Aug 14, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Paperback,view,/book/show/148775.The_Day_the_World_Came_to_Town
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Court of Frost and Starlight        (A Court of Thorns and Roses, #3.5)","Maas, Sarah J.*",1635575621,9781635575620,1635575621,232        pp,3.77,"1,155,373","May 01, 2018","Jun 02, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Definitely just fluff but nice to stay in the world of ACOTAR nonetheless. Character development, some sweet moments etc. not much happens but that’s Definitely just fluff but nice to stay in the world of ACOTAR nonetheless. Character development, some sweet moments etc. not much happens but that’s ok! ...more",Notes are private!,0,3,1,"Mar 08, 2024","Mar 13, 2024","Feb 07, 2024",,Paperback,view (with text),/book/show/50659471-a-court-of-frost-and-starlight
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A ​Court of Silver Flames        (A Court of Thorns and Roses, #4)","Maas, Sarah J.*",168119628X,9781681196282,168119628X,757        pp,4.47,"1,084,807","Feb 16, 2021","Feb 16, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I was surprised by how much I liked this even though I missed Feyre/Rhysand’s perspective (both of whom were made to be kinda lame in this book). NestI was surprised by how much I liked this even though I missed Feyre/Rhysand’s perspective (both of whom were made to be kinda lame in this book). Nesta is kinda unbearable at times but I liked her POV overall. Nothing really happened for most of the book but it was QUITE spicy and I enjoyed reading it of course. ...more,Notes are private!,2,2,1,"Mar 19, 2024","Apr 06, 2024","Feb 07, 2024",,Hardcover,view (with text),/book/show/53138095-a-court-of-silver-flames
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Court of Wings and Ruin        (A Court of Thorns and Roses, #3)","Maas, Sarah J.*",1635575605,9781635575606,1635575605,703        pp,4.48,"1,538,743","May 02, 2017","Jun 02, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I would say I solidly enjoyed the first half of the book and then LOVED again when the war began. The battle scenes were unreal. I liked that there waI would say I solidly enjoyed the first half of the book and then LOVED again when the war began. The battle scenes were unreal. I liked that there was complexity added to some of the characters (ex. Tamlin) during this book. Love the twists. I want so desperately for this to become a movie or tv show so I can see what all these people, places, and things look like for real. Ready for the next one!...more",Notes are private!,1,3,1,"Feb 10, 2024","Feb 29, 2024","Feb 07, 2024",,Paperback,view (with text),/book/show/50659472-a-court-of-wings-and-ruin
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Klara and the Sun,"Ishiguro, Kazuo*",059331817X,9780593318171,059331817X,303        pp,3.75,"336,727","Mar 02, 2021","Mar 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 06, 2024",,Hardcover,view,/book/show/54120408-klara-and-the-sun
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Have Some Questions for You,"Makkai, Rebecca*",0593490169,9780593490167,0593490169,464        pp,3.62,"101,918","Feb 21, 2023","Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 06, 2024",,Paperback,view,/book/show/202514144-i-have-some-questions-for-you
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Migrations,"McConaghy, Charlotte*",125020402X,9781250204028,125020402X,256        pp,4.14,"73,128","Aug 04, 2020","Aug 04, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Hardcover,view,/book/show/42121525-migrations
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Court of Mist and Fury        (A Court of Thorns and Roses, #2)","Maas, Sarah J.*",1635575583,9781635575583,,626        pp,4.65,"1,866,326","May 03, 2016","Jun 02, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Speechless. Some great twists and turns, slow burn of romance. Loving the characters and world SJM created. Couldn’t get enough and excited I can diveSpeechless. Some great twists and turns, slow burn of romance. Loving the characters and world SJM created. Couldn’t get enough and excited I can dive right into #3. Haven’t read a series that’s pulled me in like this in ages. ...more",Notes are private!,1,2,1,Feb 2024,"Feb 07, 2024","Feb 01, 2024",,Paperback,view (with text),/book/show/50659468-a-court-of-mist-and-fury
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Alice Network,"Quinn, Kate*",,,,503        pp,4.32,"491,891","Jun 06, 2017","Jun 06, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book, while long, did do a good job of keeping me interested. Initially, I really liked having the two perspectives and learning about the two waThis book, while long, did do a good job of keeping me interested. Initially, I really liked having the two perspectives and learning about the two wars side-by-side, but toward the end I found I really liked Eve's storyline and was somewhat meh about Charlie's. I loved learning about the Alice Network and found myself interested enough to do some reading about the history after I finished the book. Kate Quinn incorporated a few real historical figures which is always fun. I found Charlie to be kinda annoying (especially when she randomly added in mathematical statements, which didn't seem to be a big part of her personality for anything other than saying something quirky from time to time). I also thought that there were too many random weird coincidences (like someone always being there to explain/move the plot along when they show up) to be believable--though maybe that's what the aftermath of a war is like? Also found the relationships to be somewhat fake--I wasn't convinced that Charlie and Rose were really that tight and the development of the relationships between Eve, Charlie, and Finn seemed somewhat forced. Overall, I enjoyed and I'm looking forward to discussing in bookclub tonight! (finished just in time!) ...more",Notes are private!,0,2,1,Feb 2024,"Feb 20, 2024","Jan 31, 2024",,Paperback,view (with text),/book/show/32051912-the-alice-network
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Project Hail Mary,"Weir, Andy*",0593135202,9780593135204,0593135202,476        pp,4.51,"565,698","May 04, 2021","May 04, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 25, 2024",,Hardcover,view,/book/show/54493401-project-hail-mary
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fury,"Michaelides, Alex*",125075898X,9781250758989,125075898X,298        pp,3.42,"79,777","Jan 16, 2024","Jan 16, 2024",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Obviously sped through this (partially because I'm itching to move back to ACOTAR...) but I did not think this was a good book. There was one little iObviously sped through this (partially because I'm itching to move back to ACOTAR...) but I did not think this was a good book. There was one little itty bitty twist at the end that made me think oh nice but otherwise, I was honestly annoyed by the narrator and the concept of the whole book being written as a play. It does read the way someone would talk/tell a story (which I think is the intention) but I didn't love that style. I thought the parts about the inner child were cheesy (though at first, I thought it was nice to see a representation of a man in therapy!!). All the characters seemed fake and didn't seem to have real relationships with one another. None of them are likable. He mentions how this is not another Agatha Christie thriller and it kinda made me wish I had chosen to pick up another AC instead. I will give +1 for short chapters because that did make it go quickly but overall pretty darn disappointed!Intrigued by reading some of the fan theories out there but that's all I'll give it. ...more",Notes are private!,0,1,1,"Feb 09, 2024","Feb 09, 2024","Jan 23, 2024",,Hardcover,view (with text),/book/show/123206645-the-fury
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Story of the Lost Child        (The Neapolitan Novels, #4)","Ferrante, Elena",1609452860,9781609452865,1609452860,473        pp,4.44,"137,122","Oct 29, 2014","Sep 01, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 22, 2024",,Paperback,view,/book/show/25242224-the-story-of-the-lost-child
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Those Who Leave and Those Who Stay        (The Neapolitan Novels, #3)","Ferrante, Elena",,,,418        pp,4.35,"148,731","Oct 30, 2013","Sep 02, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 22, 2024",,Paperback,view,/book/show/23156040-those-who-leave-and-those-who-stay
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Have Some Questions for You,"Makkai, Rebecca*",0593490142,9780593490143,0593490142,438        pp,3.62,"101,918","Feb 21, 2023","Feb 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 20, 2024",,Hardcover,view,/book/show/61053829-i-have-some-questions-for-you
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lying Life of Adults,"Ferrante, Elena",1609455916,9781609455910,1609455916,336        pp,3.66,"70,651","Nov 07, 2019","Sep 01, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 20, 2024",,Hardcover,view,/book/show/48616787-the-lying-life-of-adults
