,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Jolanta (knygupė)'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
389,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Aštuoni lapai. Devintas lapas,"Pūkelevičiūtė, Birutė",,,,642        pp,4.27,11,unknown,2003,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2023",,Hardcover,view,/book/show/27877369-a-tuoni-lapai-devintas-lapas
390,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rouge Street: Three Novellas,"Xuetao, Shuang",1250835879,9781250835871,1250835879,240        pp,3.87,528,"Apr 19, 2022","Apr 19, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3,5*",Notes are private!,0,7,1,"Jan 20, 2023","Jan 22, 2023","Jan 19, 2023",,Hardcover,view (with text),/book/show/57771220-rouge-street
391,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vivian,"Hesselholdt, Christina",1910695610,9781910695616,1910695610,200        pp,3.32,453,"Sep 30, 2016","Jun 19, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 17, 2023",,Paperback,view,/book/show/41066535-vivian
392,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mrs. Caliban,"Ingalls, Rachel",,,,128        pp,3.76,"9,490","Jan 15, 1982","Sep 13, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5*Labai faina yra atradinėti man negirdėtus autorius. Ne naujus šiuolaikinius, bet senesnius ir primirštus. Rachel Ingalls (1940 – 2019) – kaip tik 3.5*Labai faina yra atradinėti man negirdėtus autorius. Ne naujus šiuolaikinius, bet senesnius ir primirštus. Rachel Ingalls (1940 – 2019) – kaip tik tokia JAV rašytoja ilgą laiką gyvenusi Anglijoje. Trumputis jos romanas “Mrs. Caliban” parašytas 1982-iais ir paskutiniu metu JAV ir Anglijoje perleidžiamas jau trečią kartą.Vieniša namų šeimininkė, pavargusi nuo kasdienybės, vyro nedėmesingumo priglaudžia namuose pabėgusį iš kokio tai tyrimų instituto ir visų tarnybų ieškomą varliažmogį. Ne tik priglaudžia, bet ir užmezga su juo intymius santykius.Siužetas panašus į Guillermo del Toro filmo “The Shape of Water”, bet tas panašumas toks paviršutiniškas. Filmas man, beje, nepatiko. Ir ne tik dėl pabaigos, Kabino jis kai kurias tas pačias temas (vienatvė/izoliacija, bėgimas į kitą realybę), bet man tiesiog labai kliuvo klišinės detalės.O va knyga patiko. Ji – kitokia. Patiko išskirtinis autorės stilius (balsas), saviti dialogai, keista, puikiai sukurta erdviška nerealybės atmosfera. Aš ją perskaičiau, kaip knygą apie vienatvę, bėgimą nuo realybės, apie tą neretai labai kitokį vidinį gyvenimą, kurį gyvenam paraleliai su išoriniu, jų persipynimą. Man patiko autorės nutylėjimai, kuomet skaitytojai verčiami nuspėti – kas gi čia (ne)(į)vyksta.Apie knygą sunku kalbėti jos nespoilinant. Tiesiog rekomenduoju, tikrai verta dėmesio. Tuo labiau, kad tik ką leidykla RARA išleido lietuviškai - Ponia Kaliban....more",Notes are private!,0,34,1,"Jan 16, 2023","Jan 23, 2023","Jan 16, 2023",,Kindle Edition,view (with text),/book/show/31979077-mrs-caliban
393,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Magpie Murders        (Susan Ryeland, #1)","Horowitz, Anthony*",0062645226,9780062645227,0062645226,477        pp,3.95,"135,211","Oct 06, 2016","Jun 06, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.9*,Notes are private!,0,12,1,"Jan 15, 2023","Jan 18, 2023","Jan 15, 2023",,Hardcover,view (with text),/book/show/32075854-magpie-murders
394,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Blood Meridian, or, the Evening Redness in the West","McCarthy, Cormac",,,,351        pp,4.16,"164,495","Apr 28, 1985",May 1992,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 16, 2023","Apr 09, 2023","Jan 15, 2023",,Paperback,view,/book/show/394535.Blood_Meridian_or_the_Evening_Redness_in_the_West
395,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rimtas žaidimas / Daktaras Glasas,"Söderberg, Hjalmar",,,,300        pp,3.33,3,unknown,1971,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,not set,not set,"Jan 11, 2023",,Hardcover,view,/book/show/75643220-rimtas-aidimas-daktaras-glasas
396,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vėtrų kalnas,"Brontë, Emily",,9786090132067,,376        pp,3.89,"1,805,367",Dec 1847,May 2018,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,7,1,"Jan 24, 2023","Jan 30, 2023","Jan 10, 2023",,Hardcover,view,/book/show/40001310-v-tr-kalnas
397,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Things Have Gotten Worse Since We Last Spoke,"LaRocca, Eric*",1951658132,,B08YN53M5X,120        pp,2.97,"47,928","Jun 01, 2021","Jun 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 07, 2023",,Kindle Edition,view,/book/show/57876868-things-have-gotten-worse-since-we-last-spoke
398,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Aurelia, Aurélia: A Memoir","Davis, Kathryn",164445078X,9781644450789,164445078X,128        pp,3.91,232,"Mar 01, 2022","Mar 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2023",,Paperback,view,/book/show/57693626-aurelia-aur-lia
399,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Exteriors,"Ernaux, Annie*",1888363312,9781888363319,1888363312,96        pp,3.57,"2,825","Dec 01, 1993","Oct 08, 1996",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Kiek kitokia Annie Ernaux. Nebe autofikcija, bet aplinkos stebėjimas. Pavadinimas labai taiklus. Esė sunku pavadinti, labiau 1985-1992 metų kasdienybėKiek kitokia Annie Ernaux. Nebe autofikcija, bet aplinkos stebėjimas. Pavadinimas labai taiklus. Esė sunku pavadinti, labiau 1985-1992 metų kasdienybės pastebėjimai....more",Notes are private!,0,7,1,"Jan 10, 2023","Jan 11, 2023","Jan 06, 2023",,Hardcover,view (with text),/book/show/229018.Exteriors
400,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Madly, Deeply: The Diaries of Alan Rickman","Rickman, Alan",1250847958,9781250847959,1250847958,469        pp,3.59,"12,265","Oct 04, 2022","Oct 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,dnf @ 50%,Notes are private!,0,1,1,not set,not set,"Jan 06, 2023",,Hardcover,view (with text),/book/show/59808451-madly-deeply
401,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Simple Passion,"Ernaux, Annie*",1583225749,9781583225745,1583225749,80        pp,3.93,"30,123",1991,"May 01, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 05, 2023","Jan 06, 2023","Jan 05, 2023",,Paperback,view,/book/show/399257.Simple_Passion
402,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Blind Owl,"Hedayat, Sadegh",0802131808,9780802131805,B000NKQDGC,148        pp,3.97,"28,357",1936,1957,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2023",,Paperback,view,/book/show/45967.The_Blind_Owl
403,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,2022 on Goodreads,Various,,,,unknown,4.08,"1,304",2022,2022,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"2022-ieji buvo sunkūs metai ir tas sunkumas dar niekur nedingo. Jau nebeverkiu, bet gumulas gerklėje vis dar susivelia. Kaip ir dauguma daugiau laiko 2022-ieji buvo sunkūs metai ir tas sunkumas dar niekur nedingo. Jau nebeverkiu, bet gumulas gerklėje vis dar susivelia. Kaip ir dauguma daugiau laiko praleidau klausydamasi žinių ir karo komentatorių, bet knygų skaitymo priklausomybė man padėjo nors kažkiek pabėgti į kitas realybes. Tas kažkiek, pasirodo, ne taip jau ir mažai. Perskaityta virš šimtas knygų, nebaigiau 15. Daugiausia JAV autorių knygų, toliau po lygiai britų ir lietuvių (8), japonų (7), indų, danų ir prancūzų (4), ukrainiečių, italų, čiliečių, meksikiečių (3), lenkų, argentiniečių, australų, kanadiečių, vokiečių, kinų, PAR (2) ir po vieną brazilų, ispanų, korėjiečių, kolumbiečių, armėnų, rusų, bosnių, islandų, iraniečių, omaniečių, šrilankiečių, ruandiečių, nigeriečių ir somaliečių autorių. Tik 23 negrožinės, iš kurių 6 memuarai. 6 esė, 7 autofikcijos, 10 apsakymo rinkinių, 7 detektyvai, 7 mokslinė fantastika ir distopijos, 5+ klasika, tik viena poezijos :( , 2 komiksai, 5 ukrainos tematika. TOPAS:GROŽINĖS/ROMANAIТарас Прохасько “НепрОстые” (Ukraina)Ukrainietiškas magiškasis realizmas visame gražume. Savotiška odė Ukrainos Karpatų regionui, Hutsulų kulturai ir kartu filosofinių gyvenimo apmąstymų dienoraštis. Į šią knygą įeina ir Taraso Prokhasko 16 esė. Autorius – metų atradimas. Paolo Maurensig “A Devil Comes to Town” (Italija) Labai nustebinusi mane knyga. Gotikinėje atmosferoje rutuliuojasi filosofinis beveik trileris.Cormac McCarthy “The Passenger” #1 (JAV) Po 16-kos metų pertraukos autorius išleido dvi tarpusavyje susijusias knygas. Kaip tik dabar skaitau dar labiau mane vežančią antrąją knygą– “Stella Maris”. Pažįstantys McCarthy čia atras daug sąsajų su jo ankstesnėmis knygomis. Skaityma apsunkina matematikos ir kvantinės fizikos teorijų inkliūzai, bet Cormaco filosofija ir pamąstimai religine tematika man be galo įdomu. Keistai susišaukė kontraversiški motyvai (incestas) su Taraso Prokhasko “Nepaprastaisiais”. Vis dar bandau suprast ką McCarthy tuo nori pasakyti. Claudia Pineiro “Elena Knows” (Argentina) Autorė kriminalinio romano formą kalba apie labai svarbias šiuolaikinės visuomenės problemas (pav. stiprėjantį priešiškumą abortams). Alejandro Zambra “Čilės poetas” (Čilė) Paprastai ir tobulai apie pašaukimą tikrą ir išnorėtą. Aš ją taip perskaičiau. John Steinbeck “Apie peles ir žmones” (JAV) Pravirkdymo klasika. Clarice Lispector “The Hour of the Star” (Brazilija) Ukrainoje gimusios ir su tėvais pabėgusios į Braziliją žydaitės eksperimentinis romanas. Knyga – žvaigždė. Viena iš tų, kurią visi perskaitom ypač skirtingai. Birutė Pūkelivičiūtė “Aštuoni lapai” (Lietuva) Nesvietiškai gražia kalba ir labai stipriai, be verkšlenimų, daugiau nutylint, nei kalbant apie klaikias moterų patirtis, tik ką tarybinių karių užimtame Gdanske. Skaičiau dar prieš karą Ukrainoje. Šiandien skaityti ją būtų ne mano jėgoms. J.M. Coetzee “Jėzaus mokyklos metai” #2 (PAR) Tiesiog myliu Coetzee. Percival Everett “Dr. No” ir “The Trees” (JAV) Irgi puikus atradimas. Satyros meistras. Skaitysiu jo viską. APSAKYMAIBitė Vilimaitė “Užpustytas traukinys” (apsakymai) (Lietuva) Seni geri lietuviški apsakymai. Ir sena nemari mano meilė jiems.Tovė Ditlevsen “The Trouble with Happiness: And Other Stories” (apsakymai ir ištrauka iš jos atsiminimų knygos) (Danija) “Kopenhagos trilogijos” autorės jautrūs ir liūdni apsakymai. Sayaka Murata “Life Ceremony” (apsakymai) (Japonija) Autorė rašo apie kitokią maisto kultūrą (nebūtinai kanibalizmą ;)), kitokius šeimos modelius (nebūtinai LGBTQ), žodžiu, apie kitoniškumą.Toni Morrison “Recitatif” (apsakymas) (JAV) Atskira knyga išleistame apsakyme Toni Morrison žaidžia su skaitytojo klišiniu požiūriu į rases.AUTOFIKCIJAAkvilina Cicėnaitė “Anglų kalbos žodynas” (autofikcija) (Lietuva) Visiškai mano skaitinys. Nostalgiška kelio (įvairiausiomis prasmėmis) knyga. Apie bandymus prisijaukinti kitas vietas, kitas kalbas…Annie Ernaux “A Girl’s Story“ (autofikcija) (Prancūzija) Prieš porą metų perskaičius jos greit lietuviškai išeisenčius “Metus” supratau, jog atradau dar vieną mane žavinčią rašytoją. Šių metų Nobelio laimėjimas paskatino mano biblioteką įsigyti jos autofikcas. Ši, savo stilistika, man pasirodė jau gerokai artimesnė “Metams”. Daug brandesnė už pirmuosius jos tekstus. ESĖOlga Tokarczuk “Jautrusis pasakotojas” (esė) (Lenlija) Olgos pristatynėti nereikia. Ji tiesiog yra mano rašytoja. NEGROŽINĖSJames Baldwin “I Am Not Your Negro” (negrožinė) (JAV) Rekomenduoju dokumentinį filmą ""I AM NOT YOUR NEGRO"", kurio teksto santrauka su fotografijomis ir yra ši nedidukė knygutė. Ir “Notes from Native Son” – pirmas autoriaus negrožinių esė rinkinys. Ed Young “An Immense World” (negrožinė) Labai gera knyga apie įvairiausių dyvių (nuo vabaliukų iki beždioniukų) pojūčius. Labai informatyvi ir, kas svarbiausia, puikiai parašyta. Merlin Sheldrake “Raizgus gyvenimas”Dar negaliu nepaminėti:G. G. Marquez “No One Writes to the Colonel and Other Stories”Ulrich Alexander Boschwitz “Keleivis”Dmitri Lipskerov “Последний сон разумаOlga Rawn “The Employees” (Rara leis)Fernanda Melchor “Paradais” (Rara leis)Elena Ferrante “ My Brilliat Friend”Andrey Kurkov “Серые пчелы”Juozas Aputis “Smėlynuose negalima sustoti”Tadeusz Konwicki “Baina”Ali Smith “Winrer”Claudia Durastanti “Stranders I Know”Dan Chaon “Sleepwalk”Mohsin Hamid “The Last White Man”Phil Klay “Missionaries”Andrea Abreu “Dogs of Summer”Mieko Kiewakami “ All the Lovers in the Night” Scholastique Mukasonga “Kibogo”Julia Armfield “Our Wives Under the Sea”Jonas Eika “After the Sun”Czeslaw Milosz “Valdžios užėmimas”Luis Sepulveda “Full Circle”Semezdin Mehmedinovič “My Heart”Robert Gottlieb “Garbo”Metų viršelis[image]Metų autoriųs Тарас ПрохаськоMetų nusivylimasIsabel Allende “Violeta” ir Max Tegmark “AI 2041: Ten Visions for Our Future”...more",Notes are private!,0,34,1,Jan 2023,"Jan 14, 2023","Jan 01, 2023",,,view (with text),/book/show/58628750-2022-on-goodreads
404,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Separation,"Kitamura, Katie*",039957610X,9780399576102,039957610X,231        pp,3.01,"16,408","Feb 07, 2017","Feb 07, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,2.5*,Notes are private!,0,3,1,"Dec 28, 2022","Dec 29, 2022","Dec 28, 2022",,Hardcover,view (with text),/book/show/30407998-a-separation
405,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This World Does Not Belong to Us,"García Freire, Natalia",1642861154,9781642861150,1642861154,160        pp,3.74,781,2021,"May 24, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 24, 2022",,Paperback,view,/book/show/59426069-this-world-does-not-belong-to-us
406,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Girl's Story,"Ernaux, Annie*",1690592214,9781690592211,,5        pp,3.89,"13,226","Apr 01, 2016","Apr 07, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,4.5*,Notes are private!,0,2,1,"Dec 21, 2022","Dec 23, 2022","Dec 21, 2022",,Audiobook,view (with text),/book/show/53262829-a-girl-s-story
407,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,City of Glass,"Karasik, Paul",0312423608,9780312423605,0312423608,138        pp,3.97,"8,219",1994,"Aug 01, 2004",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Dec 20, 2022","Dec 20, 2022","Dec 20, 2022",,Paperback,view,/book/show/89053.City_of_Glass
408,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Cat At the End of the World,"Perišić, Robert",9533513993,9789533513997,9533513993,401        pp,4.47,234,2022,"Nov 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 17, 2022",,Paperback,view,/book/show/60694078-a-cat-at-the-end-of-the-world
409,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Stella Maris        (The Passenger, #2)","McCarthy, Cormac",0307269000,9780307269003,0307269000,190        pp,3.88,"16,970","Dec 06, 2022","Dec 06, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Manau, ją reikėtų skaityti prieš The Passenger.",Notes are private!,0,17,1,"Dec 26, 2022","Jan 05, 2023","Dec 15, 2022",,Hardcover,view (with text),/book/show/60526802-stella-maris
