,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Maggie's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fairy Tale,"King, Stephen*",1668002175,9781668002179,1668002175,608        pp,4.12,"233,850","Sep 06, 2022","Sep 06, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.5 stars.So good, so engrossing. I stayed up until 3a on multiple nights because I didn’t want to stop reading.Very EPIC, tale of tales.",Notes are private!,0,0,2,not setnot set,"Jun 05, 2023not set","Jun 05, 2023",,Hardcover,view (with text),/book/show/60177373-fairy-tale
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Candy House,"Egan, Jennifer*",1476716765,9781476716763,1476716765,352        pp,3.65,"57,139","Apr 05, 2022","Apr 05, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jan 04, 2023","Jan 08, 2023",,Hardcover,view,/book/show/58437521-the-candy-house
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Young Dudes,MsKingBean89,,,,"1,799        pp",4.78,"29,840","Nov 12, 2018","Nov 12, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"**spoiler alert** My first piece of fanfic and also the first thing I’ve read since before pregnancy (so at least 5+ years?) that I couldn’t put down **spoiler alert** My first piece of fanfic and also the first thing I’ve read since before pregnancy (so at least 5+ years?) that I couldn’t put down at all.I loved this, unexpectedly. Pulled in by a Slate article. This was such an enjoyable, beautiful, fun, painful read. How does someone still bawl over Lily & James’s deaths when it can’t even be called a spoiler alert because it’s a foundational premise to all of Harry Potter??It is definitely geared towards Potter fans and you’ll not get nearly the same gratifying experience if you haven’t read the original series. It’s still a worthwhile read on it’s own, though there will be a couple of parts where you’ll be lost and not understand the references....more",Notes are private!,0,0,1,"Dec 04, 2021","Dec 06, 2021","Dec 04, 2021",,ebook,view (with text),/book/show/37887580-all-the-young-dudes
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Charlotte's Web,"White, E.B.",,,B00T3DNKE8,260        pp,4.20,"1,834,738","Oct 15, 1952","Mar 17, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 22, 2021",not set,"Oct 22, 2021",,Kindle Edition,view,/book/show/24916066-charlotte-s-web
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Mina Goes to the Beach - Written in Traditional Chinese, Pinyin, and English (Mina Learns Chinese","Liu, Katrina*",,,B09GDK6RJ2,27        pp,4.60,20,unknown,"Sep 14, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 21, 2021",not set,"Oct 21, 2021",,Kindle Edition,view,/book/show/59426708-mina-goes-to-the-beach---written-in-traditional-chinese-pinyin-and-eng
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jack,"Robinson, Marilynne",,,,320        pp,3.86,"8,830","Sep 29, 2020","Sep 29, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 13, 2021",not set,"Jul 13, 2021",,Kindle Edition,view,/book/show/53715647-jack
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Thing He Told Me,"Dave, Laura*",,,B08LDY1MKW,316        pp,3.84,"941,255","May 04, 2021","May 04, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 13, 2021",not set,"Jul 13, 2021",,Kindle Edition,view,/book/show/56169546-the-last-thing-he-told-me
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Midnight Library,"Haig, Matt*",,,B085BVSXS9,289        pp,4.00,"1,766,897","Aug 13, 2020","Sep 29, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 13, 2021",not set,"Jul 13, 2021",,Kindle Edition,view,/book/show/53568397-the-midnight-library
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secrets We Keep,"Hewitt, Kate*",1786816296,,B07DLWQNGT,374        pp,3.84,"17,108","Sep 04, 2018","Sep 06, 2018",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A little bit hamhandedly sets up the “we never know what’s going in another person’s head/life” thing. Very predictable; can see some things coming a A little bit hamhandedly sets up the “we never know what’s going in another person’s head/life” thing. Very predictable; can see some things coming a mile away. Character development also felt a bit superficial/stereotypical - do people even still fall for the fallacy that someone else “has it all”?Though still gut punch of an ending.......more,Notes are private!,0,0,1,"Jun 11, 2021","Jun 12, 2021","Jun 11, 2021",,Kindle Edition,view (with text),/book/show/40501497-the-secrets-we-keep
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Confession Club        (Mason, #3)","Berg, Elizabeth",1984855182,,B07P1PSX3D,305        pp,3.75,"15,841","Nov 19, 2019","Nov 19, 2019",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I like the theme of female friendships that this installment explores, but everything remains at a superficial/surface level. Pretty predictable and nI like the theme of female friendships that this installment explores, but everything remains at a superficial/surface level. Pretty predictable and not very compelling. Every book in this trilogy just got progressively more trite and superficial.......more",Notes are private!,0,0,2,"Jun 10, 2021not set","Jun 10, 2021not set","Jun 10, 2021",,Kindle Edition,view (with text),/book/show/44108420-the-confession-club
