,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Libby's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ask Again, Yes","Keane, Mary Beth*",1982106980,9781982106980,1982106980,388        pp,3.94,"192,354","May 28, 2019","May 28, 2019",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 21, 2019",,Hardcover,view,/book/show/42201996-ask-again-yes
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lightning Field,"Spiotta, Dana*",0743223756,9780743223751,0743223756,224        pp,3.30,393,"Jan 01, 2001","Aug 01, 2002",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Aug 13, 2011",,Paperback,view,/book/show/290239.Lightning_Field
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Madonnas of Echo Park,"Skyhorse, Brando*",1439170800,9781439170809,1439170800,199        pp,3.63,"2,565","Jun 01, 2010","Jun 01, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Aug 13, 2011",,Hardcover,view,/book/show/7356329-the-madonnas-of-echo-park
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sharp Teeth,"Barlow, Toby*",0061430226,9780061430220,0061430226,312        pp,3.87,"4,711",2007,"Jan 29, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 13, 2011",,Hardcover,view,/book/show/1724365.Sharp_Teeth
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nothing to Envy: Ordinary Lives in North Korea,"Demick, Barbara*",0385529619,9780385529617,,277        pp,4.45,"86,689","Dec 29, 2009","Dec 29, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 21, 2011",,ebook,view,/book/show/7519544-nothing-to-envy
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Gate at the Stairs,"Moore, Lorrie",0375409289,9780375409288,0375409289,322        pp,3.17,"18,240","Sep 01, 2009","Sep 01, 2009",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 29, 2009",,Hardcover,view,/book/show/6076387-a-gate-at-the-stairs
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Anthologist        (The Paul Chowder Chronicles #1),"Baker, Nicholson*",1416572449,9781416572442,1416572449,256        pp,3.76,"4,003","Jan 01, 2009","Sep 08, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Feb 05, 2014","Dec 29, 2009",,Hardcover,view,/book/show/6364068-the-anthologist
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Place of Greater Safety,"Mantel, Hilary",0312426399,9780312426392,0312426399,749        pp,3.99,"10,081",1992,"Nov 14, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 29, 2009",,Paperback,view,/book/show/101921.A_Place_of_Greater_Safety
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Children's Book,"Byatt, A.S.",0307272095,9780307272096,0307272095,675        pp,3.67,"18,127",2009,"Oct 06, 2009",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 29, 2009",,Hardcover,view,/book/show/6280379-the-children-s-book
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Her Fearful Symmetry,"Niffenegger, Audrey*",0224085611,9780224085618,0224085611,406        pp,3.26,"94,288","Sep 29, 2009","Sep 29, 2009",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 29, 2009",,Hardcover,view,/book/show/6202342-her-fearful-symmetry
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mathilda Savitch,"Lodato, Victor*",0374204004,9780374204006,0374204004,304        pp,3.18,"2,701",2009,"Sep 15, 2009",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Mathilda Savitch wants to be awful. Like so many adolescent girls, she lies to her parents; steals cigarettes; coerces her friends into illicit activiMathilda Savitch wants to be awful. Like so many adolescent girls, she lies to her parents; steals cigarettes; coerces her friends into illicit activity; riffles through her sibling’s belongings; and ponders that great teenaged imponderable: sex. 	What casts her desire to be bad in more uncertain light, however, is the calamity that has produced it: the violent death, a year prior to the novel’s opening, of her older sister, Helene. Emotionally stranded by her parents—torpor-consumed in the wake of Helene’s death—Mathilda’s urgent need to be rescued from her “island of grief” fuels her misdeeds. About the island she wonders, “how large it is and how long it will take me to explore it [and:] how long I’ve been here without even knowing it.” Mathilda Savitch, playwright Victor Lodato’s debut novel, is the log of that exploration, narrated by its namesake in an attempt to navigate and then chart the territory of loss.	Since September 11th, the novel-of-loss-as-experienced-by-precocious-child-narrator has come into particular vogue, from Nicole Krauss’s The History of Love to Jonathan Safran Foer’s Extremely Loud and Incredibly Close (which deals explicitly with the World Trade Center attacks) to Marissa Peshl’s blockbuster Special Topics in Calamity Physics. These novels offer the possibility that the unsullied, slightly skewed vision of an innocent will recalibrate the vision of the adult reader—rendering incomprehensibly painful events less painful and more bittersweet via the transformative power of the child’s love and (loss of) innocence. These novels owe almost everything, of course, to Catcher in the Rye, from its originating plot mechanism—it is the death of his little brother, Allie, that is Holden’s undoing—to its supremely voice-driven narrative. And Mathilda Savitch fits neatly into the tradition. 	Lodato has a particular gift for voice. As a dramatist (he’s received both a Guggenheim fellowship and NEA funding for his theater work, among other accolades and awards) this should be his métier—dialogue is the sine qua non of theater. And from moment one, Mathilda’s hungry voice, its rhythm and its logic, is the vital, animating force powering the book. “I want to be awful. I want to do awful things and why not?” she announces, and the reader can’t help but follow along. Whether or not a given reader will find much of thirteen-year-old Mathilda’s insights plausible seems a matter of taste; Lodato indulges with little restraint in observations and ruminations on Mathilda’s behalf—“I wondered why God would open a door only to show you emptiness”—that some may find overly precious, which others will undoubtedly delight in. (Kids do say the darndest things.)	While Mathilda’s ruminations on such diverse subjects as the nature of infinity, why people become terrorists, and the shape and texture of adult desire may grow tiresome, the real difficulty for the novel is not what Mathilda gives voice to but how controlling that voice is, and how little control Lodato has over it. Speaking to the Wall Street Journal about Mathilda, Lodato said that “for a long time I felt more like a secretary than a writer, I just let her babble and I wrote everything down that I heard.” Taking dictation from a character is one way for a writer way to enter a story, and one can see how that would be an especially useful method for a playwright. But Lodato, in writing a novel, is bereft of some of the theater’s other gifts: direction and staging; his infatuation with Mathilda’s voice has allowed it to subsume the other essential fictive elements that constitute a whole work.	The novel makes explicit that its events occur in a post-September 11th world, perhaps a very near future. “In our history book, there’s a picture of the burning towers. I was only a kid when it happened, but they don’t let you forget stuff like that,” Mathilda tells us. But beyond that, the novel’s setting is willfully nebulous and vague, both chronologically and geographically. Instead of universalizing the story, or lending it a timelessness that allows it to escape an expiration date, this vagueness flattens the novel, removes it a from a universe in which we might invest ourselves, without providing a compelling substitute. Lodato has lavished so much attention on Mathilda’s voice that he has forgotten the reader’s need to partake in some sensory experience of the novel—something the set would accomplish in a theater production. In Mathilda Savitch there is little to see, to taste, to hear. 	This troubling flatness is pervasive in the action as well. The events at hand suffer from a quality of lazy melodrama: Helene meets her death under the wheels of a train; whether she’s been pushed or has killed herself is the novel’s central mystery, the solution to which is embarrassingly prosaic, especially given the overt quirkiness the book relishes in its narrator. The flabbiness of the action and the paucity of texture in the novel make the inclusion of a terrorism motif seem especially cheap. Conveniently for the story, a generalized terrorist attack takes place on the first anniversary of Helene’s death. The novel’s gesture toward a parallel between the two incidents of violence, its half-hearted attempt to comment on the intersection of the historical and the personal (or the political and the personal) is not only easy, but half-baked.	If grief and loss are an island, as Mathilda suggests, then it’s not a desert island, uncharted and undiscovered. If anything, it’s more like an Australia—an enormous continent of an island, its perimeter fairly mapped and populated, but its stark interior less easily inhabited or articulated, so expansive that new and updated information is always welcome. Mathilda Savitch, deprived of too many of the working parts that such an undertaking requires, can provide only a rough accounting of the journey....more",Notes are private!,0,4,1,not set,Sep 2009,"Oct 06, 2009",,Hardcover,view (with text),/book/show/6417409-mathilda-savitch
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Year of the Flood        (MaddAddam, #2)","Atwood, Margaret*",0385528779,9780385528771,0385528779,431        pp,4.06,"124,777","Sep 22, 2009","Sep 22, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Aug 08, 2009",,Hardcover,view,/book/show/6080337-the-year-of-the-flood
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lazarus Project,"Hemon, Aleksandar",1594483752,9781594483752,1594483752,304        pp,3.57,"6,579",May 2008,"May 05, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Feb 05, 2014","Jul 12, 2009",,Paperback,view,/book/show/6015659-the-lazarus-project
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No Saints or Angels,"Klíma, Ivan",1862075360,9781862075368,1862075360,272        pp,3.70,"1,254",1999,"Jan 01, 2002",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Oct 06, 2009","Jul 12, 2009",,Paperback,view,/book/show/184671.No_Saints_or_Angels
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Magicians        (The Magicians, #1)","Grossman, Lev*",0670020559,9780670020553,0670020559,402        pp,3.53,"262,830","Aug 11, 2009","Aug 11, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 21, 2009",,Hardcover,view,/book/show/6101718-the-magicians
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Others' Paradise,"Leppin, Paul",8086264076,9788086264073,8086264076,141        pp,3.64,64,1921,"Feb 25, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 14, 2009",,Paperback,view,/book/show/2611771-others-paradise
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Fortunate Age,"Rakoff, Joanna*",1416590773,9781416590774,1416590773,416        pp,3.12,"1,280",Jan 2009,"Apr 07, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 13, 2009",,Hardcover,view,/book/show/4052110-a-fortunate-age
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Everything Ravaged, Everything Burned","Tower, Wells",0374292191,9780374292195,0374292191,238        pp,3.87,"8,878","Jan 01, 2009","Mar 17, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2009",,Hardcover,view,/book/show/4291946-everything-ravaged-everything-burned
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Selected Poems,"Cavafy, Constantinos P.",0141185619,9780141185613,0141185619,220        pp,4.15,423,1972,"Jun 24, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Hi all, have any of you read any of Cavafy's poetry? I'm not sure where to start; I know that his published body of work consists of 154 poems, but thHi all, have any of you read any of Cavafy's poetry? I'm not sure where to start; I know that his published body of work consists of 154 poems, but there are SO MANY EDITIONS. Does anyone have a take on which translation might be best? Is there a difference as to how the works are organized from edition to edition? I need guidance, majorly. Thanks....more",Notes are private!,0,1,0,not set,not set,"Apr 01, 2009",,Paperback,view (with text),/book/show/565323.Selected_Poems
