,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Joyce's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,California Sister,"Mattioni, Gloria*",1639884424,9781639884421,B0B34L213S,304        pp,4.60,89,unknown,"Sep 15, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"“I had to rise up, ride this wave on its crest, all the way to shore. All the way to safety.” This is Chiara aka Claire’s realization after months of “I had to rise up, ride this wave on its crest, all the way to shore. All the way to safety.” This is Chiara aka Claire’s realization after months of struggling to motivate her sister Ondina to miraculously break free of the “locked-in syndrome” brought on by an aneurism and return to the world. The metaphor relates to Claire’s love of surfing and is also a central philosophical dilemma beautifully threaded throughout this immensely engaging and at times overwhelming story. Can a “warrior” like Claire, who thrives on tackling life’s challenges and whose only fear is losing her beloved sister, reach into herself deeply enough to find the strength to let her go? Would this be the ultimate failure or something else entirely?We get to know both sisters intimately, their past exploits and tangled relationships with family and loved ones, so that in spite of their inability to reach across the barrier of Ondina’s comatose state their relationship shines brightly, their love for each other illuminating every page. Claire’s fierceness is echoed by the protagonist of her novels, a detective appropriately named Nails. Her volatile nature both contrasts and complements Ondina’s meditative artistry. The sisters are equally committed to creative expression as a way of life, which makes this work of women’s fiction especially compelling.The vivid descriptions of both Italy and California, as Claire travels back and forth on her odyssey to help her sister heal, add a 3-dimensional colorful quality to the writing that serves to balance the depressing and at times terrifying realism of the depiction of Ondina’s medical treatment and mistreatment. Just as Claire refuses to turn away from witnessing her sister’s suffering, the reader who fully connects with this book may find reserves of empathy previously unknown….as well as the rewards that follow.Highly recommended....more",Notes are private!,0,1,1,"Apr 06, 2024","Apr 09, 2024","Apr 09, 2024",,Paperback,view (with text),/book/show/61252206-california-sister
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Corpse in the Trash Room,"Tajemna, Colette",1961852063,9781961852068,B0CX5MMBSW,250        pp,5.00,2,unknown,"Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2024",,Kindle Edition,view,/book/show/210002455-the-corpse-in-the-trash-room
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,An affair of Honor in Algiers: Book Five in the Muhammad Amalfi Mystery Series        (The Muhammad Amalfi Mysteries 5),"Lewis, AJ",,,B0CV8592KS,210        pp,4.33,6,unknown,"Feb 07, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"As rich in atmosphere as it is in historical detail, this fifth book in the Muhammad Amalfi series captivated me from the start. It is the first book As rich in atmosphere as it is in historical detail, this fifth book in the Muhammad Amalfi series captivated me from the start. It is the first book in the series I have read and I will definitely backtrack to Book I and continue reading. I love learning about history while being kept on the edge of my seat!Muhammad Amalfi is now the Chief Commissioner of the Hinterlands, appointed by the all-feared Dey of Algiers. He has acquired a sophisticated view of the politics of that country, which is under Turkish rule in the 1790’s and at a point in its history where piracy and respectable trade are of equal importance to its economy. In some ways Amalfi is still an Italian outsider – but he has also converted to Islam and adopted many local customs as his own. He is a friend of one of the most notorious corsair that the Mediterranean has ever known, and that’s what draws him into the main conflict of the book – his quest to rescue two hunted children before they can be sacrificed on the altar of honor.Caught up in murder and intrigue, Muhammad takes action, but he also reflects on the nature of honor and many other philosophical questions that add depth to is character and appealed to this reader. The author is steeped in his subject and it shows in every word....more",Notes are private!,0,0,1,"Mar 29, 2024","Mar 31, 2024","Mar 31, 2024",,Kindle Edition,view (with text),/book/show/207929153-an-affair-of-honor-in-algiers
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kids Can Change the World!: A World Patrol Kids Environmental Adventure Story and Activity Book,"Goldstein, Ben*",,,B0C2VMJCZJ,27        pp,4.67,18,unknown,"Apr 17, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 25, 2024","Mar 25, 2024",,Kindle Edition,view,/book/show/134979612-kids-can-change-the-world
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Spiricom: An Early Mystery,"Reid, Roslyn*",,9798480552652,B09HFT3RBR,222        pp,4.75,4,unknown,"Sep 19, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Paperback,view,/book/show/59215237-the-spiricom
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dead of Winter        (Lydia Barnwell Mysteries Book 1),"Lewis, James H.*",,9798990203709,B0CW19W5K1,249        pp,5.00,1,unknown,"May 16, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Detective Lydia Barnwell is the protagonist of James H. Lewis’s new series of police procedurals set in Allegheny County, Pennsylvania. As capable as Detective Lydia Barnwell is the protagonist of James H. Lewis’s new series of police procedurals set in Allegheny County, Pennsylvania. As capable as any man on the department, if not more so, Lydia faces the challenge of proving herself to her new boss because of her recent transfer as well as her gender. This situation motivates her to work even harder at solving a murder that at first looks like an accidental death.The rural/suburban setting is rich with characters from many walks of life and Lewis does an excellent job developing them, from the neighbor who calls the police when she notices Barnwell’s boyfriend – a Black detective who uses his personal car when visiting her – to a trio of female suspects trying to hold on to their jobs as the police close in on them.The story is told from dual perspectives – Barnwell’s as she works the case, and from the POV of the suspects, who are well drawn and believable. This increases the suspense, since the reader often becomes privy to information before Barnwell does. Altogether a well-written, immersive mystery with a surprise ending set up by clues that make it totally believable.Readers who enjoy procedurals grounded in solid research combined with compelling characters will enjoy this book....more",Notes are private!,0,2,1,"Mar 25, 2024",Apr 2024,"Mar 18, 2024",,Kindle Edition,view (with text),/book/show/209635583-the-dead-of-winter
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,By Any Other Name,"Picoult, Jodi*",059349721X,9780593497210,059349721X,544        pp,4.30,53,"Aug 20, 2024","Aug 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Hardcover,view,/book/show/203164368-by-any-other-name
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hidden Rooms,"Michaelson, Kate*",0744310156,9780744310153,0744310156,320        pp,4.58,24,"Apr 30, 2024","Apr 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/202121404-hidden-rooms
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Hear the Sirens in the Street: A Detective Sean Duffy Novel        (The Sean Duffy Series Book 2),"McKinty, Adrian",1094061352,9781094061351,B0BWNZT76H,347        pp,4.07,"8,611","Jan 01, 2013","Feb 22, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Feb 04, 2024","Feb 04, 2024",,Kindle Edition,view,/book/show/123231640-i-hear-the-sirens-in-the-street
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Modern Method for Guitar, Volume 1","Leavitt, William",0876390130,9780876390139,0876390130,128        pp,4.18,92,Aug 1995,"Nov 01, 1986",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 03, 2024",,Paperback,view,/book/show/2696551-a-modern-method-for-guitar-volume-1
