,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Cher 'N Books's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Table for Two,"Towles, Amor*",0593296370,9780593296370,0593296370,464        pp,4.37,724,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Hardcover,view,/book/show/195474144-table-for-two
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Within Arm's Reach,"Napolitano, Ann*",0593732499,9780593732496,0593732499,352        pp,3.41,691,2004,"Apr 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Paperback,view,/book/show/203019737-within-arm-s-reach
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Last House,"Shattuck, Jessica*",0062979892,9780062979896,0062979892,336        pp,3.90,123,"May 14, 2024","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Hardcover,view,/book/show/196774466-last-house
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Cemetery of Untold Stories,"Alvarez, Julia*",1643753843,9781643753843,1643753843,256        pp,3.86,422,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Hardcover,view,/book/show/195820829-the-cemetery-of-untold-stories
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Short Walk Through a Wide World,"Westerbeke, Douglas",1668026066,9781668026069,1668026066,400        pp,3.80,757,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Hardcover,view,/book/show/176443045-a-short-walk-through-a-wide-world
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Good Happy Girl,"Higgins, Marissa*",1646221974,9781646221974,1646221974,256        pp,3.68,191,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Hardcover,view,/book/show/185767237-a-good-happy-girl
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Stone Home,"Kim, Crystal Hana*",006331097X,9780063310971,006331097X,352        pp,4.12,104,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Hardcover,view,/book/show/181109975-the-stone-home
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I've Tried Being Nice: Essays,"Leary, Ann*",1982120347,9781982120344,1982120347,240        pp,4.09,32,2024,"Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Hardcover,view,/book/show/199798580-i-ve-tried-being-nice
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Foundling,"Leary, Ann*",198212038X,9781982120382,198212038X,336        pp,3.89,"11,850","May 31, 2022","May 31, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Hardcover,view,/book/show/59366094-the-foundling
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Like Happiness,"Villarreal-Moura, Ursula",1250882834,9781250882837,,304        pp,3.99,538,"Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/127305658-like-happiness
