,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Tung's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,West with Giraffes,"Rutledge, Lynda*",1542023351,9781542023351,B088FF4S7Q,381        pp,4.37,"128,582","Feb 01, 2021","Feb 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 25, 2023",,Kindle Edition,view,/book/show/56449476-west-with-giraffes
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Above Ground,"Smith, Clint*",0316543039,9780316543033,0316543039,128        pp,4.57,"3,526","Mar 28, 2023","Mar 28, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A good friend recommended this book to me because he knew (a) I appreciate good literature; and (b) I love family, and the bonds between fathers and tA good friend recommended this book to me because he knew (a) I appreciate good literature; and (b) I love family, and the bonds between fathers and their children. This was a solid recommendation because it hits both truths – this book is great literature and it’s a terrific reflection of the bonds between a father and his child. This book is a collection of Smith’s poetry, with the majority of these poems about Smith’s heart and mind as his wife went through pregnancy, as they experienced a complication with their child, and as the child was born and as the child grew. We get to see the full spectrum of parental emotion: joy, fear, wonder, fatigue, more wonder, and more. Not all of the poems are about family. Smith also uses his poetry to speak to being a black man in America, and the fear and anger of his child growing up black in America. Some of the strongest poems are about the latter. Smith’s prose is tight throughout, with every word feeling perfectly intentional. A terrific collection. ...more",Notes are private!,0,1,1,Jun 2023,Jun 2023,"Jul 09, 2023",,Hardcover,view (with text),/book/show/61398927-above-ground
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Searching for Christmas: What If There's More to the Story Than You Thought?,"Greear, J.D.",1784985538,9781784985530,B08H8QJ7B2,54        pp,4.18,311,unknown,"Oct 01, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Greear is a pastor I routinely read and listen to. He is an engaging speaker, and he has a sharp gospel focus in everything he says. In this book, GreGreear is a pastor I routinely read and listen to. He is an engaging speaker, and he has a sharp gospel focus in everything he says. In this book, Greear unpacks the four names of God (Wonderful Counselor, Mighty God, Eternal Father, Prince of Peace) from Isaiah 9 in order to illuminate certain aspects of what the Christmas story says about God and about us. In the first two names (WC, MG), Greear takes unique perspectives on their meanings. On the latter 2 (EF, PoP), he takes the standard positions on those name meanings, but relates them in his typically engaging manner. A quick, encouraging Christmas read....more",Notes are private!,0,0,1,not set,not set,"Jul 08, 2023",,Kindle Edition,view (with text),/book/show/55937117-searching-for-christmas
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"From a Certain Point of View: The Empire Strikes Back        (From a Certain Point of View, #2)","Schaefer, Elizabeth",0593157745,9780593157749,0593157745,561        pp,3.85,"4,750","Nov 10, 2020","Nov 10, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Disclaimer: I am currently writing this  at a desk on top of which sits a Darth Vader helmet mug and a Stormtrooper helmet mug; and from the booDisclaimer: I am currently writing this  at a desk on top of which sits a Darth Vader helmet mug and a Stormtrooper helmet mug; and from the bookcase next to my desk hangs a lightsaber. All that to say, I am not remotely objective when it comes to anything related to Star Wars. This book is a collection of short stories and slices of life told from the imagined vantage points of extraneous characters – all of whom give us a different flavor of Episode V: The Empire Strikes Back (ESB). For example, the first story is told from the viewpoint of an Imperial worker who scans the videos sent from probe droids that have been sent all over the galaxy in search of the hidden rebel base. Another story is told from the viewpoint of a Wampa (the creature that captured Luke on Hoth). We also see the perspectives of a Tauntaun, Boba Fett, people who work on Cloud City, and more. And these stories do more than simply re-tell ESB from their eyes; the individual lives of these characters are the focus, and their intersection with the events of ESB are simply the thread that ties these unique lives together. The Star Wars stories have primarily followed the Skywalker storyline, but this book makes it clear that all of the other non-Skywalker inhabitants of this vast Star Wars universe have their own lives, emotions, motivations, struggles, and redemption arcs. These stories aren’t about Star Wars; these stories are about very human experiences. I liked this collection slightly less than I did the first volume which connected to A New Hope (ANH). This collection felt overly weighted on the events of people on Hoth, with several stories feeling repetitive. Still, an absolute must-read for Star Wars fans....more",Notes are private!,0,0,1,Jun 2023,Jun 2023,"Jul 08, 2023",,Hardcover,view (with text),/book/show/53965796-from-a-certain-point-of-view
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Are Becoming Unbound: A Poem,"Tessitore, John*",,,B09WCFVLBK,40        pp,3.00,1,unknown,"Apr 11, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Disclaimer: John is a friend I’ve known since college. At the beginning of this long-form poem, Tessitore sets the scene of him spilling a cup of coffDisclaimer: John is a friend I’ve known since college. At the beginning of this long-form poem, Tessitore sets the scene of him spilling a cup of coffee on papers on which he is scribbling thoughts and memories. He then writes “I scribbled my way through dozens of notebooks, for years, before I started to undo real damage, the violence of defining my character, So much easier to spill today and see what happens later.” And the remainder of the poem is a stream-of-consciousness, poetic meandering of thoughts and impressions. The sections of the poem vary in style and structure and tone and content; so there are parts where Tessitore would swing from a meditation on current events back to a childhood memory and then leap to something else; it was hard to follow in some places. But overall, I think the poem hangs together well across these impressionistic scribbles. My second Tessitore read of the year, and I’m a fan....more",Notes are private!,0,0,1,Jan 2023,Jan 2023,"Jul 08, 2023",,Kindle Edition,view (with text),/book/show/60790727-we-are-becoming-unbound
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Parchment: A Prayer Quintet,"Tessitore, John*",,9798360000471,B0BKRYNPRX,28        pp,4.00,1,unknown,"Oct 27, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Disclaimer: John is a friend I’ve known since college. This is my fourth Tessitore read this year; but whereas the first 3 were long-form poems, this Disclaimer: John is a friend I’ve known since college. This is my fourth Tessitore read this year; but whereas the first 3 were long-form poems, this is a collection of five poems organized around a common theme. The dedication gives us a clue as to that theme – it’s dedicated to Harry Partch, a composer and music theorist known for his experimentation within the bounds of classical structure. The poems, then, speak to themes of personal growth and exploration through both new and ancient themes of life. For example, in ""Chromolodeon"", Tessitore writes of fighting off conformity: “The spirit of my rebellion must be . . . adolescent. Its genius is lust, to regain the wonder, the excitement of lawless change, to feel the surge and reject the enormous apparatus of our freedoms – school boards and senatesm pundits and police forces – to remember all the ways we trade the simple for complication.” And yet in ""Prophesy I"", he alludes to the spiritual: “the prophet is not his story not illness sorrow anxiety not the sanctioned murder not the severed finger not the gruesome martyr not the iron fetter not the shrinking tumor not the barren womb the prophet is the word on paper the poison we swallow together the only sound in a quiet room”. There is a spirituality that runs underneath all 5 poems. I continue to appreciate the internal alliteration and cadence of his poetry. Recommended....more",Notes are private!,0,0,1,Jan 2023,Jan 2023,"Jul 08, 2023",,Paperback,view (with text),/book/show/63137702-parchment
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Lonely American Roads,"Tessitore, John*",,,,40        pp,4.00,1,unknown,2022,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Disclaimer: John is a friend I’ve known since college. Roads are a common metaphor in art; they represent journeys and movement. Whether an actual phyDisclaimer: John is a friend I’ve known since college. Roads are a common metaphor in art; they represent journeys and movement. Whether an actual physical travel; or personal or spiritual growth; or a timeline of events; roads represent our journeys. In this long-form poem, Tessitore explores a personal past and present across all these types of roads. Example of actual travel: “We were typical boys with a typical plan, We set out to see the rest of the country in a rented minivan. I wanted to read the land, speak to strangers, find the dark heart of a nation.” Example of personal journey: “In a terrible season of sickness and loss, I suffered a series of special hurts, told myself I that I was cursed”. There is such a strong influence of Whitman here (particularly “Song of Myself” and “Song of the Open Road”, which is explicitly noted as inspiration) both in tone, theme, and prose. And that’s a good compliment, if there ever was one. My third Tessitore read this year, and I remain a fan....more",Notes are private!,0,0,1,Jan 2023,Jan 2023,"Jul 08, 2023",,,view (with text),/book/show/62831541-all-the-lonely-american-roads
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Sit At This Desk and Dream: Notes from a Sunday Morning on Instagram,"Tessitore, John*",,,B09J1SSJRJ,unknown,4.00,1,unknown,"Oct 18, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Disclaimer: John is a friend I’ve known since college. In this long form poem, Tessitore gives us poetic slices of life ostensibly drawn from scrollinDisclaimer: John is a friend I’ve known since college. In this long form poem, Tessitore gives us poetic slices of life ostensibly drawn from scrolling through an Instagram feed. Each slice of life is more impressionistic than descriptive (in a good way). Throughout, there is a consistent voice across each section – particularly in its energetic prose, and internal rhyming and alliteration. For ex: “I used to pick grasses, study seeds, watch the blue sky wash through the trees”. What I loved most about this piece was the juxtaposition of something modern (an Insta feed) with much older allusions (Marcus Aurelius, Saul and David, Leonard Cohen, to name a few). I think Tessitore is making the point that our contemporary stories are the same human stories that have existed throughout time regardless of the platform; and the slices of life reveal this to be true. Just a terrific, well thought-out poem. ...more",Notes are private!,0,0,1,Jan 2023,Jan 2023,"Jul 08, 2023",,Kindle Edition,view (with text),/book/show/59390613-i-sit-at-this-desk-and-dream
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Gospel According to Satan: Eight Lies about God that Sound Like the Truth,"Wilson, Jared C.*",,,B07Q78YWXQ,219        pp,4.24,723,"Jan 14, 2020","Jan 14, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 23, 2021","Jul 15, 2023","Sep 23, 2021",,Kindle Edition,view,/book/show/45274096-the-gospel-according-to-satan
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Klara and the Sun,"Ishiguro, Kazuo*",059331817X,9780593318171,059331817X,303        pp,3.75,"336,684","Mar 02, 2021","Mar 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 10, 2021",,Hardcover,view,/book/show/54120408-klara-and-the-sun
