,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Coral Rose's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Exit Strategy        (The Murderbot Diaries, #4)","Wells, Martha*",,,B078X1N8VF,176        pp,4.39,"99,349","Oct 02, 2018","Oct 02, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 03, 2024",not set,"Mar 03, 2024",,Kindle Edition,view,/book/show/35519109-exit-strategy
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Vicious        (Villains, #1)","Schwab, V.E.*",,,B00CQY7WBI,366        pp,4.21,"242,173","Sep 24, 2013","Sep 24, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 03, 2024",,Kindle Edition,view,/book/show/40874032-vicious
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"We Hunt the Flame        (Sands of Arawiya, #1)","Faizal, Hafsah*",0374311544,9780374311544,0374311544,472        pp,3.90,"92,681","May 14, 2019","May 14, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2024",,Hardcover,view,/book/show/36492488-we-hunt-the-flame
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,These Violent Delights,"Nemerever, Micah*",0062963635,9780062963635,0062963635,460        pp,3.99,"17,682","Sep 15, 2020","Sep 15, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Maybe I'll come back and lower this but this book grabbed me and pulled me in. The obsessive love, the deep intellectual arrogance of smart kids, the Maybe I'll come back and lower this but this book grabbed me and pulled me in. The obsessive love, the deep intellectual arrogance of smart kids, the ways that feelings and lies were seen, dismissed or acknowledged. It was brilliant and horrible and I loved it....more",Notes are private!,0,0,1,"Feb 24, 2024","Feb 26, 2024","Feb 24, 2024",,Hardcover,view (with text),/book/show/49203397-these-violent-delights
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Deed of Paksenarrion        (The Deed of Paksenarrion, #1-3)","Moon, Elizabeth",0671721046,9780671721046,0671721046,"1,040        pp",4.32,"13,552","Feb 01, 1992","Feb 01, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Paperback,view,/book/show/96281.The_Deed_of_Paksenarrion
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Winner's Curse        (The Winner's Trilogy, #1)","Rutkoski, Marie*",0374384681,9780374384685,,355        pp,3.95,"109,503","Mar 04, 2014","Mar 04, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,ebook,view,/book/show/16069030-the-winner-s-curse
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Where the Dark Stands Still,"Poranek, A.B.*",,,,336        pp,4.21,"3,364","Feb 27, 2024","Feb 27, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 11, 2024","Feb 14, 2024",,ebook,view,/book/show/61287784-where-the-dark-stands-still
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Blighted Stars        (The Devoured Worlds, #1)","O'Keefe, Megan E.*",0316290793,9780316290791,0316290793,491        pp,4.11,"2,665","May 23, 2023","May 23, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 14, 2024",,Paperback,view,/book/show/58340705-the-blighted-stars
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"These Burning Stars        (The Kindom Trilogy, #1)","Jacobs, Bethany*",0316463329,9780316463324,0316463329,464        pp,4.22,"1,428","Oct 17, 2023","Oct 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 14, 2024",,Paperback,view,/book/show/75593500-these-burning-stars
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Rogue Protocol        (The Murderbot Diaries, #3)","Wells, Martha*",,,B0756JSWGL,158        pp,4.26,"111,661","Aug 07, 2018","Aug 07, 2018",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 10, 2024","Feb 23, 2024","Feb 10, 2024",,Kindle Edition,view,/book/show/36153880-rogue-protocol
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Artificial Condition        (The Murderbot Diaries, #2)","Wells, Martha*",,,,158        pp,4.27,"139,166","May 08, 2018","May 08, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 10, 2024","Feb 10, 2024","Feb 10, 2024",,Hardcover,view,/book/show/36223860-artificial-condition
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fathomfolk        (Drowned World, #1)","Chan, Eliza*",0316564923,9780316564922,0316564923,448        pp,3.27,982,"Feb 27, 2024","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,Paperback,view,/book/show/173404001-fathomfolk
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sex, Lies and Sensibility","Payne, Nikki*",059344096X,9780593440964,059344096X,400        pp,3.80,948,"Feb 13, 2024","Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,Paperback,view,/book/show/122993486-sex-lies-and-sensibility
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Tainted Cup        (Shadow of the Leviathan, #1)","Bennett, Robert Jackson*",1984820702,9781984820709,1984820702,413        pp,4.36,"7,145","Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,Hardcover,view,/book/show/150247395-the-tainted-cup
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bride,"Hazelwood, Ali*",0593550404,9780593550403,,416        pp,4.11,"180,300","Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,Paperback,view,/book/show/181350812-bride
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Dirty Word: How a Sex Writer Reclaimed Her Sexuality,"Auteri, Steph*",1627782761,9781627782760,1627782761,258        pp,4.14,50,"Oct 09, 2018","Oct 09, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 31, 2024",,Paperback,view,/book/show/38643391-a-dirty-word
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Come Together: The Science (and Art!) of Creating Lasting Sexual Connections,"Nagoski, Emily*",0593500822,9780593500828,0593500822,368        pp,4.13,674,"Jan 30, 2024","Jan 30, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 31, 2024",Feb 2024,"Jan 31, 2024",,Hardcover,view,/book/show/62926962-come-together
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"You, Again","Goldbeck, Kate*",059344812X,9780593448120,059344812X,448        pp,3.64,"34,479","Sep 12, 2023","Sep 12, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,It was fine. I wanted it to be better.,Notes are private!,0,0,1,not set,"Jan 19, 2024","Jan 29, 2024",,Paperback,view (with text),/book/show/75665887-you-again
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Yours for the Taking,"Korn, Gabrielle*",1250283361,9781250283368,1250283361,336        pp,3.69,"1,833","Dec 05, 2023","Dec 05, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Dystopia - much better than expected. Picked it up at the library while my kid was browsing as we waited for sportsing to be over, and read half of itDystopia - much better than expected. Picked it up at the library while my kid was browsing as we waited for sportsing to be over, and read half of it before we went to bed that night. Good pacing, a lot of movement. Could use some tightening up of a couple plot points, but had some decent points about power. It's like....Crooks' Under the Influence (https://www.goodreads.com/book/show/6...) meets The Unit (https://www.goodreads.com/book/show/5...) or Never Let Me Go (https://www.goodreads.com/book/show/6...) but make it really queer....more",Notes are private!,0,0,1,"Jan 23, 2024","Jan 24, 2024","Jan 23, 2024",,Hardcover,view (with text),/book/show/65213204-yours-for-the-taking
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Day of Fallen Night        (The Roots of Chaos #0),"Shannon, Samantha*",1639732993,9781639732999,1639732993,880        pp,4.39,"28,659","Feb 28, 2023","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 22, 2024",,Paperback,view,/book/show/182635270-a-day-of-fallen-night
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Tempest of Tea        (Blood and Tea, #1)","Faizal, Hafsah*",0374389403,9780374389406,0374389403,338        pp,3.73,"7,318","Feb 20, 2024","Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 22, 2024",,Hardcover,view,/book/show/59406549-a-tempest-of-tea
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Waiting to Be Arrested at Night: A Uyghur Poet's Memoir of China's Genocide,Tahir Hamut Izgil,0593491793,9780593491799,0593491793,272        pp,4.31,"1,018",2023,"Aug 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2024",,Hardcover,view,/book/show/63249763-waiting-to-be-arrested-at-night
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mother Tongue: The Surprising History of Women's Words,"Nuttall, Jenni*",0593299574,9780593299579,0593299574,292        pp,3.85,517,"Aug 29, 2023","Aug 29, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2024",,Hardcover,view,/book/show/63946906-mother-tongue
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Love Song for Ricki Wilde,"Williams, Tia*",153872670X,9781538726709,153872670X,352        pp,4.11,"10,257","Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 17, 2024",,Hardcover,view,/book/show/173404023-a-love-song-for-ricki-wilde
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Aftershock,"Ling, Zhang",1662509030,9781662509032,B0C1QB8B56,220        pp,4.28,198,2010,"Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2024",,Kindle Edition,view,/book/show/125706024-aftershock
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Cheerfully Refuse,"Enger, Leif",0802162932,9780802162939,0802162932,336        pp,4.19,336,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2024",,Hardcover,view,/book/show/198276006-i-cheerfully-refuse
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Hope This Finds You Well,"Sue, Natalie*",0063320363,9780063320369,0063320363,352        pp,4.21,307,"May 21, 2024","May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2024",,Hardcover,view,/book/show/200987323-i-hope-this-finds-you-well
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"They Came for the Schools: One Town's Fight Over Race and Identity, and the New War for America's Classrooms","Hixenbaugh, Mike*",0063307243,9780063307247,,288        pp,4.12,16,"May 14, 2024","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2024",,Hardcover,view,/book/show/196775540-they-came-for-the-schools
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Birding with Benefits,"Dubb, Sarah T.*",1668037831,9781668037836,1668037831,336        pp,4.27,224,"Jun 04, 2024","Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2024",,Paperback,view,/book/show/199797869-birding-with-benefits
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,10 Minute Therapist: The Ultimate Anti-Anxiety Quick Guide: When and how to tell your Fear Brain to politely f*ck off,"Steadman, Sage*",,,B094SK1RNL,48        pp,3.97,36,unknown,"Aug 13, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2024",,Kindle Edition,view,/book/show/60436315-10-minute-therapist
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Tearsmith,"Doom, Erin",0593874382,9780593874387,0593874382,576        pp,3.71,"39,306","Dec 20, 2020","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2024",,Paperback,view,/book/show/201874190-the-tearsmith
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fight Right: How Successful Couples Turn Conflict Into Connection,"Schwartz Gottman, Julie",0593579658,9780593579657,0593579658,352        pp,4.59,523,"Jan 30, 2024","Jan 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2024",,Hardcover,view,/book/show/145625059-fight-right
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One Last Word,"Park, Suzanne*",0063216094,9780063216099,0063216094,288        pp,3.68,128,unknown,"Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2024",,Paperback,view,/book/show/181109954-one-last-word
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jaded,"Lee, Ela*",1668010992,9781668010990,1668010992,384        pp,4.29,920,"Feb 08, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2024",,Hardcover,view,/book/show/176442986-jaded
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blackouts,"Torres, Justin*",0374293570,9780374293574,0374293570,306        pp,3.81,"5,176","Oct 10, 2023","Oct 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2024",,Hardcover,view,/book/show/65215321-blackouts
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Librarianist,"deWitt, Patrick",0063085127,9780063085121,,352        pp,3.43,"14,045","Jul 04, 2023","Jul 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2024",,Hardcover,view,/book/show/62645180-the-librarianist
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chetna's Indian Feasts: Everyday meals and easy entertaining,"Makan, Chetna",0600637670,9780600637677,0600637670,224        pp,4.03,34,unknown,"Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2024",,Hardcover,view,/book/show/63251787-chetna-s-indian-feasts
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Two Twisted Crowns        (The Shepherd King, #2)","Gillig, Rachel*",0356519503,9780356519500,0356519503,464        pp,4.48,"87,819","Oct 17, 2023","Oct 19, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 07, 2024","Jan 09, 2024","Jan 07, 2024",,Paperback,view,/book/show/63910262-two-twisted-crowns
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"One Dark Window        (The Shepherd King, #1)","Gillig, Rachel*",0316312487,9780316312486,0316312487,399        pp,4.32,"138,573","Sep 27, 2022","Sep 27, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jan 07, 2024","Jan 07, 2024",,Paperback,view,/book/show/58340706-one-dark-window
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Devil You Know        (The Devils, #3)","O'Roark, Elizabeth*",,,B09Q1CQZZ6,296        pp,4.16,"20,795","Jun 23, 2022","Jun 23, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Kindle Edition,view,/book/show/60062931-the-devil-you-know
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Grief Is for People,"Crosley, Sloane*",0374609845,9780374609849,0374609845,208        pp,4.03,"2,616","Feb 27, 2024","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 20, 2023",,Hardcover,view,/book/show/127282631-grief-is-for-people
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Womb City,"Tsamaase, Tlotlo*",1645660761,9781645660767,B0C3WWFR23,418        pp,3.25,"1,052","Jan 23, 2024","Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 23, 2024",not set,"Dec 20, 2023",,Kindle Edition,view,/book/show/144382134-womb-city
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Funny Story,"Henry, Emily*",0593441222,9780593441282,B0CCNBRNRQ,395        pp,4.52,"3,546","Apr 23, 2024","Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 20, 2023",,Hardcover,view,/book/show/194802722-funny-story
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Familiar,"Bardugo, Leigh*",125088425X,9781250884251,125088425X,400        pp,4.32,"1,079","Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 20, 2023",,Hardcover,view,/book/show/133286777-the-familiar
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Atlas Complex        (The Atlas, #3)","Blake, Olivie*",1250855136,9781250855138,1250855136,496        pp,2.98,"10,406","Jan 09, 2024","Jan 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 20, 2023",,Hardcover,view,/book/show/83668117-the-atlas-complex
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In the Ravenous Dark,"Strickland, A.M.*",1250776600,9781250776600,1250776600,390        pp,3.78,"4,712","May 18, 2021","May 18, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 20, 2023",,Hardcover,view,/book/show/54017941-in-the-ravenous-dark
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Darker Shade of Magic        (Shades of Magic, #1)","Schwab, V.E.*",,,B00ME0TBFE,401        pp,4.06,"361,620","Feb 24, 2015","Feb 24, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 15, 2023","Dec 17, 2023","Dec 15, 2023",,Kindle Edition,view,/book/show/23211076-a-darker-shade-of-magic
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Black Witch        (The Black Witch Chronicles, #1)","Forest, Laurie*",0373212313,9780373212316,0373212313,601        pp,4.10,"36,062","May 02, 2017","May 02, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 15, 2023",,Hardcover,view,/book/show/25740412-the-black-witch
