,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Yuliya's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Study for Obedience,"Bernstein, Sarah",1039009069,9781039009066,1039009069,208        pp,3.10,"7,224","Jul 06, 2023","Aug 22, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Мені книжка сподобалась настільки, що я не могла її відкласти і прочитала за один вечір. Вона може здатися дуже дивною (тому така низька оцінка на гудМені книжка сподобалась настільки, що я не могла її відкласти і прочитала за один вечір. Вона може здатися дуже дивною (тому така низька оцінка на гудрідз), але ті, хто люблять прозу з різними рівнями значень, її точно оцінять (тому не дивно, що цю книгу високо оцінюють в багатьох професійних рейтингах).В The Guardian, як на мене, найкраще написали про що книжка: «This masterly follow-up to her debut acts as a meditation on survival, the dangers of absorbing the narratives of the powerful, and a warning that the self-blame of the oppressed often comes back to bite.»...more",Notes are private!,0,4,1,not set,"Feb 25, 2024","Feb 25, 2024",,Hardcover,view (with text),/book/show/123636870-study-for-obedience
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Horde: How the Mongols Changed the World,"Favereau, Marie",0674244214,9780674244214,0674244214,377        pp,3.83,773,"Apr 20, 2021","Apr 20, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 21, 2024",,Hardcover,view,/book/show/55437277-the-horde
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Swimming Home,"Levy, Deborah",1908276029,9781908276025,1908276029,165        pp,3.41,"13,966","Oct 06, 2011","Oct 06, 2011",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Цю книжку треба читати, не відриваючись, її треба просто прожити, від першої до останньої сторінки, хоч якою б дивною вона не здавалася місцями.",Notes are private!,0,1,1,not set,"Feb 21, 2024","Feb 21, 2024",,Paperback,view (with text),/book/show/11700333-swimming-home
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"What Happened To You?: Conversations on Trauma, Resilience, and Healing","Perry, Bruce D.",1250223180,9781250223180,1250223180,304        pp,4.45,"79,857","Apr 27, 2021","Apr 27, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 21, 2024",,Hardcover,view,/book/show/53238858-what-happened-to-you
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Oh William!        (Amgash, #3)","Strout, Elizabeth*",,,B08QTXBXBM,240        pp,3.86,"80,111","Oct 19, 2021",Jun 2022,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,"Jan 30, 2024","Jan 30, 2024",,Kindle Edition,view,/book/show/61236649-oh-william
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Our Hideous Progeny,"McGill, C.E.*",0857529048,9780857529046,0857529048,400        pp,3.98,"4,350","May 04, 2023","May 04, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Уявіть, що у Віктора Франкенштейна була внучата племінниця – онучка якраз тієї сестри, до якої він писав листи (памʼятаєте у Мері Шеллі все починаєтьсУявіть, що у Віктора Франкенштейна була внучата племінниця – онучка якраз тієї сестри, до якої він писав листи (памʼятаєте у Мері Шеллі все починається з листів брата до сестри в Англії?) Тепер уявіть, що ця племінниця не менш талановита за свого відомого родича. Цю племінницю звати Мері, вона сирота з дитинства (батько так і не встиг одружитися з її матірʼю, бо матір померла в пологах - бачите паралелі з Мері Шеллі, так? - зате він встиг принести дочку додому і пожити з нею ще два роки, так щоб його мати, себто бабуся дитини і відповідно родичка Франкенштейна, – вже не змогла виставити дитину за поріг). Отже, маємо молоду жінку, яка обсесивно цікавиться геологією і палеонтологією, та світ їй закриває будь-які можливості розвитку цих зацікавлень: у середині 19 століття жінки не мають права бути членкинями в Геологічному товаристві, їх навіть на поріг цього самого товариства не пускають слухати лекції, не кажучи вже про можливість щось писати чи видавати (хоча вони таки знаходять спосіб пробиратися крізь тернії, але поки ще не до зірок). У Мері є чоловік Генрі. Такий-сякий геолог, зате він - просто по праву, що він чоловік з певними статками - має можливість публікуватися і виступати, а вона може йому «допомагати», тобто робити за нього ледь не усю роботу, бо таланту Бог дав явно більше їй, а не Генрі. Та він навіть членом Геологічного товариства був, поки в родині були гроші сплачувати внески і доки він не пересварився з усіма достойниками через свій нестримний характер. У Мері теж характер нівроку, так що репутацією в гарному товаристві ця пара не дуже користується. Одним словом, вони повні невдахи, з якого боку не подивися. Треба з цим щось робити, якось таки жити. Але як?Тут Мері знаходить листи свого далекого діда. У неї родиться ідея: якщо Віктор Франкенштейн зміг оживити людину, то вони з чоловіком зможуть оживити нікого іншого як плезіузавра (то такий морський ящуро-динозавр, якщо забули)! В той час, коли всі були схиблені на усіляких динозаврах і мамонтах, а Чарльз Дарвін мав ось-ось видати свій опус магнум, така затія могла принести їм таку славу, що на всі їхні випади проти естеблішменту закрили би очі. Наша пара це розуміє і із завзяттям, яке притаманне лише таким ауткаста , як вони, береться за роботу! Чим все закінчилося, я спойлерити не буду, але скажу одне: коли в книжці ви зустрічаєте родичку Франкенштейна, а книжка написана у 2023 році з позиції фемінізму і квір-теорій, то сумувати вам не прийдеться.Ось як МакГілл пишуть про свою книжку: “It’s weird, it’s queer, and it’s finally here! OUR HIDEOUS PROGENY is my debut novel, a spiritual sequel to Mary Shelley’s Frankenstein and a love letter to women in science and the fascinating history of Victorian paleoart.Are you a fan of Victorian mad science? Gothic gays? Women who are angry, and ambitious? Then you should read it!” І я не можу не погодитись!...more",Notes are private!,0,5,1,not set,"Jan 07, 2024","Jan 07, 2024",,Hardcover,view (with text),/book/show/61067597-our-hideous-progeny
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Weyward,"Hart, Emilia",125028080X,9781250280800,125028080X,329        pp,4.09,"139,927","Feb 02, 2023","Mar 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Hardcover,view,/book/show/60654349-weyward
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Covenant of Water,"Verghese, Abraham*",0802162177,9780802162175,0802162177,724        pp,4.47,"150,446","May 02, 2023",Jun 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Hardcover,view,/book/show/180357146-the-covenant-of-water
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lady Tan’s Circle of Women,"See, Lisa*",1982117087,9781982117085,1982117087,368        pp,4.37,"83,892","Jun 06, 2023","Jun 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Hardcover,view,/book/show/62919732-lady-tan-s-circle-of-women
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Keeper of Hidden Books,"Martin, Madeline*",1335455027,9781335455024,1335455027,416        pp,4.15,"14,130","Aug 01, 2023","Aug 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Paperback,view,/book/show/62054146-the-keeper-of-hidden-books
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House of Eve,"Johnson, Sadeqa*",1982197366,9781982197360,1982197366,384        pp,4.26,"75,039","Feb 07, 2023","Feb 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Hardcover,view,/book/show/61273858-the-house-of-eve
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let Us Descend,"Ward, Jesmyn*",198210449X,9781982104498,B0BT642ZDK,320        pp,3.73,"20,549","Oct 24, 2023","Oct 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Hardcover,view,/book/show/87556695-let-us-descend
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vaster Wilds,"Groff, Lauren*",0593418395,9780593418390,0593418395,272        pp,3.79,"24,329","Sep 12, 2023","Sep 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Hardcover,view,/book/show/62952130-the-vaster-wilds
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Woman Who Went to Bed for a Year,"Townsend, Sue",071815715X,9780718157159,071815715X,437        pp,2.95,"14,621",2012,"Mar 27, 2012",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Dec 23, 2023","Dec 23, 2023",,Hardcover,view,/book/show/13160430-the-woman-who-went-to-bed-for-a-year
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ворошиловград,"Zhadan, Serhiy",9660352441,9789660352445,9660352441,448        pp,4.03,"2,972",2010,2011,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Шведський переклад Давида Шибека дуже хороший,Notes are private!,0,1,1,not set,"Dec 23, 2023","Dec 23, 2023",,Paperback,view (with text),/book/show/12365588
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Московіада: роман жахів,"Andrukhovych, Yuri",9667263606,9789667263607,9667263606,140        pp,3.89,"1,546",1993,"Jan 01, 2000",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Прочитала шведський переклад. Софія Уґґла виконала роботи блискуче.,Notes are private!,0,1,1,not set,"Dec 23, 2023","Dec 23, 2023",,Paperback,view (with text),/book/show/6318097
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sniglar och snö,"Pleijel, Agneta",,9789113127736,,358        pp,3.91,314,"Oct 09, 2023","Oct 09, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Dec 22, 2023","Dec 22, 2023",,Hardcover,view,/book/show/123190527-sniglar-och-sn
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Between the World and Me,"Coates, Ta-Nehisi",,,,152        pp,4.40,"333,000","Jul 14, 2015","Jul 14, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 19, 2023",,Hardcover,view,/book/show/25489625-between-the-world-and-me
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Intimacies of Four Continents,"Lowe, Lisa",0822358638,9780822358633,0822358638,328        pp,4.35,423,"May 20, 2015","Jun 08, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Dec 16, 2023","Dec 16, 2023",,Hardcover,view,/book/show/22825433-the-intimacies-of-four-continents
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Inter-imperiality: Vying Empires, Gendered Labor, and the Literary Arts of Alliance","Doyle, Laura",1478011092,9781478011095,1478011092,392        pp,4.33,6,unknown,"Dec 11, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Nov 27, 2023","Nov 27, 2023",,Paperback,view,/book/show/52665187-inter-imperiality
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Finding Me,"Davis, Viola",0063037327,9780063037328,0063037327,304        pp,4.56,"116,040","Apr 26, 2022","Apr 26, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Так люблю мемуари і біографії, що цією книжкою я себе справді потішила. Прекрасна актриса Віола Дейвіс ділиться своїми спогадами про дитинство за межеТак люблю мемуари і біографії, що цією книжкою я себе справді потішила. Прекрасна актриса Віола Дейвіс ділиться своїми спогадами про дитинство за межею бідності, постійне потерпаючи від расизму, сексуального насильства, а також розмірковує про важливість нікому не дозволяти визначати, хто ми є. Дуже empowering книжка, одним словом....more",Notes are private!,0,3,1,not set,"Nov 14, 2023","Nov 14, 2023",,Hardcover,view (with text),/book/show/58687126-finding-me
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vi er ikke her for å ha det morsomt,"Lykke, Nina",,9788249523757,,275        pp,3.61,"1,675","Oct 10, 2022","Oct 10, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Що добре, коли живеш у Швеції, тобі тоннами перекладають авторів з сусідніх країн. Норвезька письменниця Ніна Люкке створила чудовий роман про старогоЩо добре, коли живеш у Швеції, тобі тоннами перекладають авторів з сусідніх країн. Норвезька письменниця Ніна Люкке створила чудовий роман про старого письменника, який не вписується в сучасний світ. Він жалюгідний своєю мізогінією, сліпотою до суспільних змін, та переконаністю у свою геніальність. Але все написано так, що і йому можна поспівчувати....more",Notes are private!,0,3,1,not set,"Nov 14, 2023","Nov 14, 2023",,Hardcover,view (with text),/book/show/62992370-vi-er-ikke-her-for-ha-det-morsomt
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Den längsta av resor,"Zabuzhko, Oksana",,9789113127491,,unknown,4.54,843,2022,"Sep 16, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Кращ -курс з українського життя для західної аудиторії. Окрема подяка перекладачу на шведську за чудову роботу!,Notes are private!,0,2,1,not set,"Nov 14, 2023","Nov 14, 2023",,Paperback,view (with text),/book/show/62816757-den-l-ngsta-av-resor
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stargate - en julefortelling,"Rishøi, Ingvild H.",,,,133        pp,4.23,"4,881","Nov 01, 2021","Nov 01, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Моя улюблена норвезька письменниця. Над кожною книжкою плачу. Це одна з найкрасивіших і найсумніших різдвяних історій.,Notes are private!,0,3,1,not set,"Nov 14, 2023","Nov 14, 2023",,Hardcover,view (with text),/book/show/59359016-stargate---en-julefortelling
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bakom och bortom järnridån : de sovjetiska åren och frigörelsen i Baltikum och Ukraina,"Bennich-Björkman, Li",,9789198664317,,446        pp,4.25,4,unknown,"Nov 15, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Nov 14, 2023","Nov 14, 2023",,Hardcover,view,/book/show/87557525-bakom-och-bortom-j-rnrid-n
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Book Woman's Daughter        (The Book Woman of Troublesome Creek, #2)","Richardson, Kim Michele*",1728242592,9781728242590,1728242592,336        pp,4.23,"64,164","May 03, 2022","May 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 12, 2023",,Paperback,view,/book/show/58803339-the-book-woman-s-daughter
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Andromeda,"Bohman, Therese",,9789113121758,,196        pp,3.64,"2,860","Aug 15, 2022","Aug 15, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Одна з найкращих книжок цього літа! Тут є все, що я люблю: книжки, заплутані відносини, робота в видавництві! Хочу ще щось читати де події відбуваютьсОдна з найкращих книжок цього літа! Тут є все, що я люблю: книжки, заплутані відносини, робота в видавництві! Хочу ще щось читати де події відбуваються у видавництві. Є рекомендації?...more",Notes are private!,0,4,1,not set,"Sep 03, 2023","Sep 03, 2023",,Hardcover,view (with text),/book/show/61487462-andromeda
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mean Mothers: Overcoming the Legacy of Hurt,"Streep, Peg",0061651362,9780061651366,0061651362,256        pp,3.67,538,2009,"Oct 13, 2009",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A book about different types of mothering, with main focus on negative examples of mothering when the mother is detached and/or abusive. While the topA book about different types of mothering, with main focus on negative examples of mothering when the mother is detached and/or abusive. While the topic is very important and interesting the book is somewhat chaotic, I would like to see a better structured material. Hundreds of examples from lives of real women are interesting but put together one after another makes the narrative hard to follow. What I also wanted to see more is more advice for women who had mean mothers or who are mothering now and want to avoid mistakes handled by this book....more",Notes are private!,0,1,1,not set,"Aug 13, 2023","Aug 13, 2023",,Hardcover,view (with text),/book/show/6691129-mean-mothers
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Detaljerna,"Genberg, Ia",9127175545,9789127175549,9127175545,152        pp,3.90,"10,006","Jan 07, 2022","Jan 07, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Augustpriset 2022 laureate Ia Genberg and her Detaljerna. Liked the book a lot. It’s short and can be read in one evening but I read each of four partAugustpriset 2022 laureate Ia Genberg and her Detaljerna. Liked the book a lot. It’s short and can be read in one evening but I read each of four parts separately. All chapters are seemingly not related to each other but at the end you as a reader have a fuller picture of the narrator’s life. For me this book will be most about the last part, about the narrator’s mother, a woman living in a constant terror of anxiety that in the end consumes her life. ”Jag förmodar att det är så enstaka upplevelser präglar en människa, genom att kapslas in med giftet kvar, liksom sipprande, ett långsamt kommando.”...more",Notes are private!,0,0,1,not set,"Aug 13, 2023","Aug 13, 2023",,Hardcover,view (with text),/book/show/60065606-detaljerna
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Light We Carry: Overcoming in Uncertain Times,"Obama, Michelle*",0593237463,9780593237465,0593237463,319        pp,4.27,"79,072","Nov 15, 2022","Nov 15, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Дуже класна книжка про усі «уроки життя», які винесла Мішель Обама за своє уже досить довге життя) Поставила 4 лише тому, що Becoming сподобалось трішДуже класна книжка про усі «уроки життя», які винесла Мішель Обама за своє уже досить довге життя) Поставила 4 лише тому, що Becoming сподобалось трішки більше, а за нього я поставила 5. ...more",Notes are private!,0,4,1,not set,"Jul 25, 2023","Jul 25, 2023",,Hardcover,view (with text),/book/show/61355265-the-light-we-carry
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Recollections of My Nonexistence: A Memoir,"Solnit, Rebecca",0593083334,9780593083338,0593083334,256        pp,4.21,"7,071","Mar 10, 2020","Mar 10, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Love books which are read as if you’re speaking with a friend. Best books for me are always written by women who are so much relatable. Here Solnit shLove books which are read as if you’re speaking with a friend. Best books for me are always written by women who are so much relatable. Here Solnit shares her experiences of becoming a writer while being a woman in the turbulences of mid twentieth century.You probably know her from her essay “Men explaining things to me” (mansplaining is a word coined after that essay). This book was a pure pleasure.“Growing up, we say, as though we were trees, as though altitude was all that there was to be gained, but so much of the process is growing whole as the fragments are gathered, the patterns found.”“Open enough to grow and closed enough to hold together is what a life must also be. We collage ourselves into being, finding the pieces of the worldview and people to love and reasons to live and then integrate them into a whole, a life consistent with its beliefs and desires, at least if we are lucky.”“The stories I wanted to write and the person who would write them were not yet born. I knew who I admired, but not who I was.”...more",Notes are private!,0,1,1,not set,"Jul 22, 2023","Jul 22, 2023",,Hardcover,view (with text),/book/show/49985046-recollections-of-my-nonexistence
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Portuguese: A Modern History,"Hatton, Barry",,,B0071LIY4A,312        pp,3.89,894,2015,"Jan 06, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,"Jul 16, 2023","Jul 16, 2023",,Kindle Edition,view,/book/show/19194379-the-portuguese
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Florence Diary,"Athill, Diana",1487002203,9781487002206,1487002203,80        pp,3.56,393,"Nov 05, 2016","Apr 11, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Jul 16, 2023","Jul 16, 2023",,Hardcover,view,/book/show/30624635-a-florence-diary
