,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Huongta's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sống mòn,"Nam, Cao",,,,298        pp,4.22,733,Dec 2008,Dec 2008,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Bìa mềm,view,/book/show/12405088-s-ng-m-n
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Đôi mắt,"Nam, Cao",,,,unknown,3.82,178,"Jan 01, 1954",1954,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Bìa mềm,view,/book/show/14759313-i-m-t
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nghệ Sĩ Dương Cầm,"Szpilman, Wladyslaw",,,,334        pp,4.24,"77,519",1946,2004,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2024",,,view,/book/show/58616488-ngh-s-d-ng-c-m
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nhật ký Phi công tiêm kích,"Đức, Soát, Nguyễn",,9786041175853,,440        pp,4.80,5,unknown,2020,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Paperback,view,/book/show/56899399-nh-t-k-phi-c-ng-ti-m-k-ch
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Truyện Kiều,"Du, Nguyễn",,,,187        pp,4.30,"1,472",1820,"Mar 29, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,[Ebook]Cần tìm một bản giải nghĩa nữa.Đọc tới mức nghĩ sang chuyện khác cũng bật thành cấu trúc 6-8.Tác phẩm của một Vĩ Nhân,Notes are private!,0,0,1,"Feb 05, 2024",not set,"Jan 30, 2024",,Paperback,view (with text),/book/show/39800137-truy-n-ki-u
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Giáo dục châu Âu,"Gary, Romain",,,,328        pp,3.99,"1,415",1944,"Sep 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,Paperback,view,/book/show/203112608-gi-o-d-c-ch-u-u
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nghệ nhân và Margarita,"Bulgakov, Mikhail",,,,591        pp,4.29,"353,359",1967,2016,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Mar 2024,"Mar 21, 2024","Jan 30, 2024",,Paperback,view,/book/show/40128862-ngh-nh-n-v-margarita
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cuốn vở lớn - Chứng cứ - Lời nói dối thứ ba,"Kristóf, Ágota",,,,601        pp,4.41,"29,016",1991,1999,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,[ebook] Ôi,Notes are private!,0,0,1,"Mar 25, 2024","Mar 27, 2024","Jan 28, 2024",,Bìa mềm,view (with text),/book/show/22015777-cu-n-v-l-n---ch-ng-c---l-i-n-i-d-i-th-ba
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Thằng Gù Nhà Thờ Đức Bà,"Hugo, Victor",,,,unknown,4.25,104,unknown,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 24, 2024",,,view,/book/show/40208539-th-ng-g-nh-th-c-b
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tuyến Hoả Xa Ngầm,"Whitehead, Colson*",,9786045661123,,352        pp,4.06,"401,192","Aug 02, 2016",Apr 2019,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 23, 2024",,Paperback,view,/book/show/45021069-tuy-n-ho-xa-ng-m
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dựa trên một câu chuyện có thật,"Vigan, Delphine de",,9786043681291,,448        pp,3.93,"10,918","Aug 26, 2015",May 2022,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 23, 2024",,Paperback,view,/book/show/61135296-d-a-tr-n-m-t-c-u-chuy-n-c-th-t
