,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Rebecca's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Becoming Earth: How Our Planet Came to Life,"Jabr, Ferris*",0593133978,9780593133972,,304        pp,4.67,3,unknown,"Jun 25, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 25, 2024",,Hardcover,view,/book/show/200634712-becoming-earth
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Woman Is No Man,"Rum, Etaf*",0062699768,9780062699763,0062699768,339        pp,4.26,"149,512","Mar 05, 2019","Mar 05, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2024",,Hardcover,view,/book/show/34313931-a-woman-is-no-man
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Evil Eye,"Rum, Etaf*",0062987909,9780062987907,0062987909,352        pp,3.96,"14,432","Sep 05, 2023","Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2024",,Hardcover,view,/book/show/59381516-evil-eye
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Platonic: How the Science of Attachment Can Help You Make—and Keep—Friends,"Franco, Marisa G.*",0593331893,9780593331897,0593331893,336        pp,4.05,"5,330","Sep 06, 2022","Sep 06, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 21, 2024","Jan 24, 2024","Jan 21, 2024",,Hardcover,view,/book/show/59883574-platonic
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Rome of One's Own: The Forgotten Women of the Roman Empire,"Southon, Emma",1419760181,9781419760181,1419760181,416        pp,4.36,644,"Sep 07, 2023","Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 20, 2024",,Hardcover,view,/book/show/98652084-a-rome-of-one-s-own
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Divine Might: Goddesses in Greek Myth,"Haynes, Natalie*",0063377098,9780063377097,0063377098,288        pp,4.11,"3,101","Sep 28, 2023","Jan 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 20, 2024",,Hardcover,view,/book/show/187016352-divine-might
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Soul of an Octopus,"Montgomery, Sy",1451697716,9781451697711,1451697716,261        pp,3.93,"48,777","May 12, 2015","May 12, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I get the hype. I love this book. I'll do a more thorough  later.I get the hype. I love this book. I'll do a more thorough  later....more,Notes are private!,0,3,1,"Jan 20, 2024","Jan 21, 2024","Jan 20, 2024",,Hardcover,view (with text),/book/show/22609485-the-soul-of-an-octopus
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Unruly: The Ridiculous History of England's Kings and Queens,"Mitchell, David",0593728491,9780593728499,B0C4SNV366,433        pp,4.19,"9,290","Sep 28, 2023","Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 20, 2024",,ebook,view,/book/show/152034931-unruly
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Babylon: Mesopotamia and the Birth of Civilization,"Kriwaczek, Paul",1848871562,9781848871564,1848871562,310        pp,3.91,"2,426","Jan 01, 2010","Jul 01, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2024",,Hardcover,view,/book/show/8617614-babylon
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heat Will Kill You First: Life and Death on a Scorched Planet,"Goodell, Jeff*",0316497576,9780316497572,0316497576,400        pp,4.32,"4,828","Jul 11, 2023","Jul 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2024",,Hardcover,view,/book/show/63251778-the-heat-will-kill-you-first
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"1000 Words: A Writer's Guide to Staying Creative, Focused, and Productive All Year Round","Attenberg, Jami*",1668023601,9781668023600,1668023601,272        pp,4.32,524,"Jan 09, 2024","Jan 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 17, 2024",,Hardcover,view,/book/show/169272349-1000-words
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Our Moon: How Earth's Celestial Companion Transformed the Planet, Guided Evolution, and Made Us Who We Are","Boyle, Rebecca*",0593129725,9780593129722,0593129725,336        pp,4.08,359,"Jan 16, 2024","Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 02, 2024","Mar 02, 2024","Jan 09, 2024",,Hardcover,view,/book/show/134117265-our-moon
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Portrait of an Unknown Woman        (Gabriel Allon, #22)","Silva, Daniel",,,B09JPBWVMF,496        pp,4.25,"27,768","Jul 19, 2022","Jul 19, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Kindle Edition,view,/book/show/59609728-portrait-of-an-unknown-woman
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Art Forger,"Shapiro, Barbara A.",1616201320,9781616201326,1616201320,355        pp,3.75,"88,656","Oct 23, 2012","Oct 23, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Hardcover,view,/book/show/14568987-the-art-forger
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Be a Renaissance Woman: The Untold History of Beauty & Female Creativity,"Burke, Jill",1639365907,9781639365906,1639365907,336        pp,3.93,215,unknown,Aug 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Hardcover,view,/book/show/176443632-how-to-be-a-renaissance-woman
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pax: War and Peace in Rome's Golden Age,"Holland, Tom",1408706989,9781408706985,1408706989,400        pp,4.24,"1,458","Sep 14, 2023","Sep 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Hardcover,view,/book/show/62712920-pax
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Mysterious Case of the Alperton Angels,"Hallett, Janice",1800810407,9781800810402,1800810407,416        pp,4.03,"14,123","Sep 14, 2023","Sep 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 03, 2024",not set,"Jan 03, 2024",,Hardcover,view,/book/show/61157639-the-mysterious-case-of-the-alperton-angels
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Sandman, Vol. 1: Preludes & Nocturnes","Gaiman, Neil*",1563892278,9781563892271,1563892278,240        pp,4.25,"264,350",1988,"Dec 01, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 03, 2024","Jan 03, 2024","Jan 03, 2024",,Hardcover,view,/book/show/23754.The_Sandman_Vol_1
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bride of Death,"Aden, F.M.*",1738963136,9781738963133,1738963136,378        pp,3.66,357,"Mar 01, 2024","Mar 01, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 03, 2024",not set,"Jan 03, 2024",,Paperback,view,/book/show/203884665-the-bride-of-death
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Age of Deer: Trouble and Kinship with our Wild Neighbors,"Howsare, Erika",1646221354,9781646221356,B0C1B7YQKD,397        pp,3.83,161,"Jan 02, 2024","Jan 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Hardcover,view,/book/show/125092587-the-age-of-deer
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Golden Thread: How Fabric Changed History,"St. Clair, Kassia",1631494805,9781631494802,1631494805,368        pp,4.11,"2,991","Oct 04, 2018","Nov 12, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 01, 2024",,Hardcover,view,/book/show/43862307-the-golden-thread
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fury,"Michaelides, Alex*",125075898X,9781250758989,125075898X,298        pp,3.42,"79,367","Jan 16, 2024","Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 16, 2024","Jan 17, 2024","Dec 30, 2023",,Hardcover,view,/book/show/123206645-the-fury
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Martyr!,"Akbar, Kaveh",0593537610,9780593537619,0593537610,352        pp,4.25,"6,733","Jan 23, 2024","Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 30, 2023",,Hardcover,view,/book/show/139400713-martyr
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"We Were Once a Family: A Story of Love, Death, and Child Removal in America","Asgarian, Roxanna",0374602298,9780374602291,0374602298,320        pp,4.33,"6,007","Mar 14, 2023","Mar 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 30, 2023",,Hardcover,view,/book/show/60784741-we-were-once-a-family
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Raise the Blood,"Campbell, Nenia*",,,,448        pp,3.92,177,"Jun 20, 2023","Jun 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 30, 2023",not set,"Dec 30, 2023",,Kindle Vella,view,/book/show/61368350-raise-the-blood
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Amerikaland,"Goodman, Danny*",,9798985107067,B0CPFXRKZZ,285        pp,4.76,17,unknown,"Jun 04, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I had the privilege to blurb this book. Here's what I said: ""In Amerikaland, Danny Goodman subtly unfolds a world that seems much like our own—until iI had the privilege to blurb this book. Here's what I said: ""In Amerikaland, Danny Goodman subtly unfolds a world that seems much like our own—until it isn’t. Lush and eerily prescient, Amerikaland is reminiscent of the works of Pynchon and DeLillo.""...more",Notes are private!,0,3,1,"Dec 30, 2023","Jan 20, 2024","Dec 30, 2023",,Paperback,view (with text),/book/show/203187364-amerikaland
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Parrot and the Igloo: Climate and the Science of Denial,"Lipsky, David",039386670X,9780393866704,039386670X,496        pp,3.86,651,"Jul 11, 2023","Jul 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 30, 2023",,Hardcover,view,/book/show/56769547-the-parrot-and-the-igloo
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fire Weather: A True Story from a Hotter World,"Vaillant, John",1524732850,9781524732851,1524732850,432        pp,4.38,"4,062","Jun 06, 2023","Jun 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 30, 2023",,Hardcover,view,/book/show/61966364-fire-weather
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Great Displacement: Climate Change and the Next American Migration,"Bittle, Jake",1982178256,9781982178253,1982178256,368        pp,4.28,"2,084","Feb 21, 2023","Feb 21, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 30, 2023","Jan 19, 2024","Dec 30, 2023",,Hardcover,view,/book/show/59366223-the-great-displacement
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Foster,"Keegan, Claire",0571255655,9780571255658,0571255655,89        pp,4.33,"80,790",Feb 2010,"Feb 10, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 29, 2024",not set,"Dec 30, 2023",,Paperback,view,/book/show/8143909-foster
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sounds Wild and Broken: Sonic Marvels, Evolution's Creativity, and the Crisis of Sensory Extinction","Haskell, David George",1984881558,,B098JJNH8N,446        pp,3.91,272,"Mar 01, 2022","Mar 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Kindle Edition,view,/book/show/58935237-sounds-wild-and-broken
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kingdom of Characters: The Language Revolution That Made China Modern,"Tsu, Jing",0735214727,9780735214729,0735214727,336        pp,3.88,"1,374","Jan 18, 2022","Jan 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Hardcover,view,/book/show/57866423-kingdom-of-characters
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chain-Gang All-Stars,"Adjei-Brenyah, Nana Kwame*",0593317335,9780593317334,0593317335,367        pp,4.14,"37,738","May 02, 2023","May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Hardcover,view,/book/show/61190770-chain-gang-all-stars
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Will of the Many        (Hierarchy, #1)","Islington, James*",1982141174,9781982141172,1982141174,630        pp,4.64,"27,688","May 23, 2023","May 23, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Hardcover,view,/book/show/62919748-the-will-of-the-many
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Happiness Falls,"Kim, Angie*",0593448200,9780593448205,0593448200,387        pp,3.76,"47,015","Aug 29, 2023","Aug 29, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Hardcover,view,/book/show/75495002-happiness-falls
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Say Babylon,"Sinclair, Safiya",1982132337,9781982132330,1982132337,352        pp,4.49,"9,751","Oct 03, 2023","Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Hardcover,view,/book/show/62919742-how-to-say-babylon
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Living Remedy: A Memoir,"Chung, Nicole*",0063031612,9780063031616,0063031612,256        pp,4.04,"4,747","Apr 04, 2023","Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 30, 2023",not set,"Dec 29, 2023",,Hardcover,view,/book/show/62050250-a-living-remedy
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,King: A Life,"Eig, Jonathan*",0374279292,9780374279295,0374279292,688        pp,4.68,"5,575","May 16, 2023","May 16, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Hardcover,view,/book/show/62039291-king
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Creative Act: A Way of Being,"Rubin, Rick",0593652886,9780593652886,0593652886,406        pp,4.08,"32,125","Jan 17, 2023","Jan 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 29, 2023",not set,"Dec 29, 2023",,Hardcover,view,/book/show/60965426-the-creative-act
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mercury,"Burns, Amy Jo*",,,1250908566,336        pp,3.89,"10,355","Jan 02, 2024","Jan 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Hardcover,view,/book/show/127305817-mercury
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vulnerables,"Nunez, Sigrid",0593715519,9780593715512,0593715519,256        pp,3.66,"6,019","Nov 07, 2023","Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Hardcover,view,/book/show/125930473-the-vulnerables
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Prophet Song,"Lynch, Paul*",,,B0C5Y3JG4S,259        pp,4.15,"26,448","Aug 24, 2023","Aug 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Kindle Edition,view,/book/show/158875813-prophet-song
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Sinners Bleed,"Cosby, S.A.*",1250831911,9781250831910,1250831911,341        pp,4.26,"50,090","Jun 06, 2023","Jun 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 23, 2023",,Hardcover,view,/book/show/61884832-all-the-sinners-bleed
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Alena,"Pastan, Rachel*",1594632472,9781594632471,1594632472,320        pp,3.24,"1,349","Jan 01, 2014","Jan 23, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 23, 2023",,Hardcover,view,/book/show/18079673-alena
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wild Swans: Three Daughters of China,"Chang, Jung",,,,562        pp,4.28,"112,965",1991,"Aug 12, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 23, 2023",,Paperback,view,/book/show/1848.Wild_Swans
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,None of This Is True,"Jewell, Lisa*",1982179007,9781982179007,1982179007,380        pp,4.15,"425,067","Jul 20, 2023","Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 22, 2023",,Hardcover,view,/book/show/62334530-none-of-this-is-true
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Family,"Jin, Ba",0881333735,9780881333732,0881333735,329        pp,3.88,"1,333",1933,"Dec 31, 1971",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 21, 2023",,Paperback,view,/book/show/830985.Family
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vanishing Velázquez: A 19th-Century Bookseller's Obsession with a Lost Masterpiece,"Cumming, Laura",1476762155,9781476762159,1476762155,304        pp,3.82,"1,724","Jan 07, 2016","Apr 12, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 21, 2023",,Hardcover,view,/book/show/25814370-the-vanishing-vel-zquez
