,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Sarah's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Seven Husbands of Evelyn Hugo,"Reid, Taylor Jenkins*",1501139231,9781501139239,1501139231,389        pp,4.42,"3,003,022","Jun 13, 2017","Jun 13, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 31, 2024","Apr 05, 2024","Mar 31, 2024",,Hardcover,view,/book/show/32620332-the-seven-husbands-of-evelyn-hugo
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Remarkably Bright Creatures,"Van Pelt, Shelby",0063204150,9780063204157,0063204150,360        pp,4.40,"541,350","May 03, 2022","May 03, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book was one of the best I've read in a long time. It's a quiet but powerful story, and I never in a million years thought reading an octopus' POThis book was one of the best I've read in a long time. It's a quiet but powerful story, and I never in a million years thought reading an octopus' POV would make me cry. ...more",Notes are private!,0,0,1,not set,not set,"Mar 19, 2024",,Hardcover,view (with text),/book/show/58733693-remarkably-bright-creatures
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heaven & Earth Grocery Store,"McBride, James*",0593422945,9780593422946,0593422945,380        pp,4.08,"129,419","Aug 08, 2023","Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,Hardcover,view,/book/show/65678550-the-heaven-earth-grocery-store
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",006332752X,9780063327528,006332752X,309        pp,4.04,"241,921","Aug 01, 2023","Aug 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,Hardcover,view,/book/show/63241104-tom-lake
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,True Biz,"Nović, Sara*",0593241509,9780593241509,0593241509,386        pp,4.09,"64,539","Apr 05, 2022","Apr 05, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 08, 2024","Mar 31, 2024","Feb 08, 2024",,Hardcover,view,/book/show/58395049-true-biz
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,None of This Is True,"Jewell, Lisa*",1982179007,9781982179007,1982179007,380        pp,4.15,"426,545","Jul 20, 2023","Aug 08, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 04, 2024","Feb 07, 2024","Feb 04, 2024",,Hardcover,view,/book/show/62334530-none-of-this-is-true
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Are the Brennans,"Lange, Tracey*",1250796229,9781250796226,1250796229,274        pp,3.81,"74,545","Aug 03, 2021","Aug 03, 2021",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 14, 2024",,Hardcover,view,/book/show/55169040-we-are-the-brennans
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mad Honey,"Picoult, Jodi*",1984818384,9781984818386,1984818384,464        pp,4.10,"388,057","Oct 04, 2022","Oct 04, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 03, 2023","Dec 19, 2023","Dec 03, 2023",,Hardcover,view,/book/show/59912428-mad-honey
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Book Lovers,"Henry, Emily*",,,0593440870,377        pp,4.14,"1,050,005","May 03, 2022","May 03, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What a lovable protagonist. She felt like my friend! I rooted for and empathized with her for the whole story. This book was like a little vacation, aWhat a lovable protagonist. She felt like my friend! I rooted for and empathized with her for the whole story. This book was like a little vacation, and I loved the way the plot both leaned into and rejected common romance tropes. ...more",Notes are private!,0,0,1,not set,not set,"Oct 29, 2023",,Hardcover,view (with text),/book/show/58690308-book-lovers
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Icebreaker        (Maple Hills, #1)","Grace, Hannah*",,,B0B69VVD6C,435        pp,3.90,"719,543","Aug 23, 2022","Nov 22, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"More like a 3.5 — very cute love story with some funs twists/turns! I wish Aaron's character had been more fleshed out. He had so much potential to beMore like a 3.5 — very cute love story with some funs twists/turns! I wish Aaron's character had been more fleshed out. He had so much potential to be a compelling antagonist, but he ended up falling a little flat. ...more",Notes are private!,0,0,1,not set,not set,"Oct 29, 2023",,Kindle Edition,view (with text),/book/show/61767292-icebreaker
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Romantic Comedy,"Sittenfeld, Curtis*",0399590943,9780399590948,0399590943,309        pp,3.66,"176,387","Apr 04, 2023","Apr 04, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 13, 2023",,Hardcover,view,/book/show/62628727-romantic-comedy
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Mothers,"Bennett, Brit*",0399184511,9780399184512,0399184511,288        pp,3.89,"119,150","Oct 11, 2016","Oct 11, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 13, 2023","Oct 09, 2023","Sep 13, 2023",,Hardcover,view,/book/show/28815371-the-mothers
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hello Beautiful,"Napolitano, Ann*",,,B0B7R4Q5DJ,416        pp,4.18,"297,832","Mar 14, 2023","Mar 14, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 13, 2023",,Kindle Edition,view,/book/show/61771675-hello-beautiful
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Liberation Day,"Saunders, George",0525509593,9780525509592,0525509593,256        pp,4.00,"12,171","Oct 18, 2022","Oct 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2023",,Hardcover,view,/book/show/60471573-liberation-day
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Five Tuesdays in Winter,"King, Lily*",0802158765,9780802158765,0802158765,240        pp,3.73,"19,197","Nov 02, 2021","Nov 09, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2023",,Hardcover,view,/book/show/57812401-five-tuesdays-in-winter
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pulse,"Harvey, Michael*",0062443038,9780062443038,0062443038,400        pp,3.39,896,"Oct 23, 2018","Oct 23, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2023",,Hardcover,view,/book/show/38254388-pulse
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Guernsey Literary and Potato Peel Pie Society,"Shaffer, Mary Ann",1984801813,9781984801814,1984801813,291        pp,4.19,"752,871","Jul 29, 2008","Jul 10, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2023",,Paperback,view,/book/show/39832183-the-guernsey-literary-and-potato-peel-pie-society
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Apples Never Fall,"Moriarty, Liane*",1250220254,9781250220257,1250220254,467        pp,3.77,"348,176","Sep 14, 2021","Sep 14, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2023",,Hardcover,view,/book/show/56143578-apples-never-fall
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Summertime Guests,"Francis, Wendy*",1525895982,9781525895982,1525895982,320        pp,3.36,"1,234","Apr 06, 2021","Apr 06, 2021",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I was expecting a fun and easy vacation read, but I found this book to be unpleasant instead. I wasn't invested in any of the characters, I found the I was expecting a fun and easy vacation read, but I found this book to be unpleasant instead. I wasn't invested in any of the characters, I found the plot to be predictable (despite the author's heavy-handed attempts at obscuring the truth), and it was fairly boring. ...more",Notes are private!,0,0,1,not set,not set,"Apr 05, 2022",,Paperback,view (with text),/book/show/53288433-summertime-guests
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dear Edward,"Napolitano, Ann*",198485478X,9781984854780,198485478X,340        pp,4.08,"179,460","Jan 06, 2020","Jan 06, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 05, 2022",,Hardcover,view,/book/show/45294613-dear-edward
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fangirl,"Rowell, Rainbow*",1250030951,9781250030955,1250030951,438        pp,3.95,"745,494","Sep 10, 2013","Sep 10, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 25, 2021",,Hardcover,view,/book/show/17286849-fangirl
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Little Fires Everywhere,"Ng, Celeste*",0735224293,9780735224292,0735224293,338        pp,4.08,"1,175,409","Sep 12, 2017","Sep 12, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 25, 2021",,Hardcover,view,/book/show/34273236-little-fires-everywhere
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book Thief,"Zusak, Markus*",,,0375831002,592        pp,4.39,"2,557,639","Sep 01, 2005","Mar 14, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 25, 2021",,Kindle Edition,view,/book/show/19063.The_Book_Thief
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Outline,"Cusk, Rachel",0571233627,9780571233625,0571233627,249        pp,3.68,"52,267","Sep 14, 2014","Jan 01, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 25, 2021",,Hardcover,view,/book/show/21400742-outline
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Such a Fun Age,"Reid, Kiley",,,,310        pp,3.79,"521,209","Dec 31, 2019","Dec 31, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 25, 2021",,Hardcover,view,/book/show/43923951-such-a-fun-age
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Writers & Lovers,"King, Lily*",,,,320        pp,4.02,"142,126","Mar 03, 2020",2020,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 25, 2021",,Hardcover,view,/book/show/45289222-writers-lovers
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Silver Sparrow,"Jones, Tayari*",1565129903,9781565129900,1565129903,352        pp,3.91,"42,006","May 24, 2011","May 24, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 25, 2021",,Hardcover,view,/book/show/9749711-silver-sparrow
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blood Water Paint,"McCullough, Joy*",0735232113,9780735232112,0735232113,298        pp,4.15,"8,928","Mar 06, 2018","Mar 06, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 25, 2021",,Hardcover,view,/book/show/35540804-blood-water-paint
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Anxious People,"Backman, Fredrik*",198216963X,9781982169633,198216963X,336        pp,4.18,"633,829","Apr 25, 2019","Jan 01, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 25, 2021",,Hardcover,view,/book/show/49127718-anxious-people
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Faithful Place        (Dublin Murder Squad, #3)","French, Tana*",0670021873,9780670021871,0670021873,400        pp,3.99,"120,868","Jul 13, 2010","Jul 13, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 21, 2019",,Hardcover,view,/book/show/7093952-faithful-place
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Frankenstein: The 1818 Text,"Shelley, Mary",,,,260        pp,3.87,"1,597,704",1818,"Mar 08, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 21, 2019",,Paperback,view,/book/show/35031085-frankenstein
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Little Life,"Yanagihara, Hanya*",,,0385539258,720        pp,4.34,"618,501","Mar 10, 2015","Mar 10, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 08, 2019","Sep 25, 2021","Apr 08, 2019",,Hardcover,view,/book/show/22822858-a-little-life
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Northanger Abbey,"Austen, Jane",1593082649,9781593082642,1593082649,260        pp,3.85,"401,157","Dec 20, 1817","Mar 03, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 08, 2019",,Paperback,view,/book/show/50398.Northanger_Abbey
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Romance of the Forest,"Radcliffe, Ann",0543930130,9780543930132,0543930130,326        pp,3.49,"2,729","Oct 15, 1791","Jan 24, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 08, 2019",,Paperback,view,/book/show/93135.The_Romance_of_the_Forest
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Sentimental Journey,"Sterne, Laurence",0140437797,9780140437799,0140437797,170        pp,3.32,"6,013",1768,"Mar 26, 2002",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 08, 2019",,Paperback,view,/book/show/762821.A_Sentimental_Journey
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pamela,"Richardson, Samuel",0192829602,9780192829603,0192829602,592        pp,2.77,"12,564",1740,"Jul 12, 2001",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 08, 2019",,Paperback,view,/book/show/417549.Pamela
