,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kim's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Changeling,"LaValle, Victor",0812995945,9780812995947,0812995945,431        pp,3.79,"23,343","Jun 13, 2017","Jun 13, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 12, 2023",,Hardcover,view,/book/show/31147267-the-changeling
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Battle of the Labyrinth        (Percy Jackson and the Olympians, #4)","Riordan, Rick*",,,,361        pp,4.42,"1,081,843","Mar 06, 2008","May 02, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 16, 2023",,Kindle Edition,view,/book/show/8130423-the-battle-of-the-labyrinth
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wellness,"Hill, Nathan",0593536118,9780593536117,0593536118,607        pp,4.01,"33,040","Sep 26, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 30, 2023",,Hardcover,view,/book/show/65650229-wellness
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Time's Mouth,"Lepucki, Edan*",1640095721,9781640095724,1640095721,416        pp,3.85,"1,331","Aug 01, 2023","Aug 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 12, 2023",,Hardcover,view,/book/show/90564440-time-s-mouth
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I'm Glad My Mom Died,"McCurdy, Jennette",,,B09JPJ833S,320        pp,4.47,"964,636","Aug 09, 2022","Aug 09, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 10, 2023","Aug 15, 2023","Aug 10, 2023",,Kindle Edition,view,/book/show/60763786-i-m-glad-my-mom-died
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rabbit Hutch,"Gunty, Tess",0593467876,9780593467879,0593467876,416        pp,3.52,"27,379","Jul 21, 2022","Jun 27, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 05, 2023",,Paperback,view,/book/show/122769174-the-rabbit-hutch
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Billie Blaster and the Robot Army from Outer Space,"Taylor, Laini*",1419753843,9781419753848,,208        pp,3.82,104,"Aug 15, 2023","Aug 15, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 02, 2023",,Hardcover,view,/book/show/190125135-billie-blaster-and-the-robot-army-from-outer-space
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Unfolding,"Homes, A.M.*",0735225370,9780735225374,0735225370,416        pp,3.37,"1,747","Sep 06, 2022","Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 02, 2023",,Paperback,view,/book/show/171677542-the-unfolding
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wild Things,"Eggers, Dave",1934781614,9781934781616,1934781614,288        pp,3.45,"8,942",2009,"Oct 13, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Aug 02, 2023",,Hardcover,view,/book/show/6387925-the-wild-things
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Circle,"Eggers, Dave",,,B00EGMQIJ0,524        pp,3.43,"217,666","Oct 08, 2013","Oct 08, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 05, 2023","Oct 12, 2023","Jul 05, 2023",,Kindle Edition,view,/book/show/18659415-the-circle
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Open Throat,"Hoke, Henry*",037460987X,9780374609870,037460987X,176        pp,4.00,"7,118","Jun 06, 2023","Jun 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 24, 2023",,Hardcover,view,/book/show/62039259-open-throat
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Candy House,"Egan, Jennifer*",,,B09841S3P4,342        pp,3.65,"57,125","Apr 05, 2022","Apr 05, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Jun 12, 2023not set","Jul 15, 2023not set","Jun 12, 2023",,Kindle Edition,view,/book/show/58939642-the-candy-house
