,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Romina's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trilogia della città di K.,"Kristóf, Ágota",8806173987,9788806173982,8806173987,384        pp,4.41,"29,013",1991,"May 03, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jan 04, 2016","Jan 06, 2016","Mar 15, 2016",,Paperback,view,/book/show/3949125-trilogia-della-citt-di-k
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Diario d'inverno,"Auster, Paul",8806213067,9788806213060,8806213067,192        pp,3.89,"8,414","Aug 21, 2012",Nov 2012,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,"Mar 03, 2016","Mar 15, 2016",,Hardcover,view,/book/show/16174419-diario-d-inverno
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Noi, i ragazzi dello zoo di Berlino","Felscherinow, Christiane V.",8817135356,9788817135351,8817135356,346        pp,4.33,"61,289",1978,"Jan 25, 1984",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Noi, i ragazzi dello zoo di BerlinoQuesta storia è una stria dura, forte, dove come protagonista è la droga. La droga è una tappa di un percorso che iNoi, i ragazzi dello zoo di BerlinoQuesta storia è una stria dura, forte, dove come protagonista è la droga. La droga è una tappa di un percorso che inizia ancor prima con manifestazioni che non sanno di sostanza chimiche, ma che esprimono difficoltà, mal essere e dolore mascherato in qualche, persino eroismo.E’ una storia di droga non comincia con l’hashish e corre verso l’eroina, ma prende l’avvia ben prima, quando la droga non c’è, ma già si annuncia. E ciò richiama la necessità di stare con i figli sempre, continuamente, e se padri e madri sono assenti o violenti, allora i figli fuggono anche se stanno dentro casa, e nessuno vedrà nulla, perché è più facile chiudere gli occhi, anche quando la droga è evidente.Questo libro è diventato un documento storico, una fotografia realistica di un teatro di vita che dominava gli anni dal ’75 al ’79 non solo a Berlino, ma soprattutto in Europa.Questa è una storia vera, la storia di Christiane F. dove non c’è spazio per pensare alla scuola, all’adolescenza alla letteratura, le parole sono pugni dentro la coscienza di qualcuno.Drammaticamente non si tratta di letteratura dell’orrido, ma bensì ad una storia vera, fin troppo vera purtroppo.Un neorealismo della droga.Christiane deve prostituirsi a solo dodici anni, non aveva neppure il ciclo, per permettersi di comprare una dose.Oggi le cose cambiate sono entrate le nuove sostanze, , il dominio dell’eroina lascia spazio alla cocaina.Oggi però c’è più conoscenza su questo fenomeno.Il quadro non è più quello dello zoo di Berlino, ma il problema ed il dramma dei ragazzi e delle loro famiglie e ancora di attualità.Questo libro, questa storia durissima non deve spaventare, nonostante sia forte, cruda, non deve essere esibita come immagine dell’orrore, alla maniera di chi per dire che la droga fa male mette teschi in giro e spaventa la morte domani mattina. Semplicemente serve a sottolineare che è tempo che si ponga maggior attenzione alla droga, a questa modalità attraverso cui i giovani si rovinano. Christiane ce la fa e la storia termina con la speranza che la vita possa continuare.Il mondo della droga è veramente un mondo, intenso come spazio, come dinamica esistenziale e per i personaggi che lo occupano.Un mondo dentro un mondo e sempre più il passare da uno all’altro che si fa difficile poiché quello della droga diventa il proprio vero mondo.“ Questo mi buttava giù. La vita senza la droga me l’ero immaginata diversamente”.Questo è un libro profondo che parla del mondo della droga, indubbiamente agli occhi di una ragazza può apparire così miserevole, da ritenere che quello della droga sia migliore, se non altro perché là tutto si muove sul filo della vita e della morte e i rapporti sono essenziali, drammatici. E il dramma di fronte alla banalità finisce persino per attirare.Dice Christiane “L’eroina ci rendeva fratelli. Eravamo tutti e tre uguali e in altra parte, mentre era in un gruppo di sballati “ Di nuovo mi sentii in famiglia, proprio in una bella famiglia”.Cc’è un passo nel libro veramente straordinario, laddove proprio Christiane è scissa tra i due mondi lei dice:“ Senza rifletterci sopra granchè mi ero scissa in due persone radicalmente diverse. Scrivevo lettere a me stessa. Christiane scriveva lettere a Vera. Vera era il mio secondo nome. Christiane era la quattordicenne che voleva andare dalla nonna, era la buona, Vera era la bucomane, e i due litigavano ore per lettera”.Un passo che vede come questa adolescente si trovasse dentro una realtà che non sapeva gestire e che dunque la soffocava.Un libro, in definitiva, per pensare non solo alla droga, prima ancora al senso della vita, quella dei nostri figli, giovani che vengono a questo mondo e sovente non riescono a stabilire un rapporto con il padre e con la propria madre, magari in una città nascosta da cui si vorrebbe scappare ma che finisce per diventare il loro ghetto. Il ghetto della droga e, per vivere di droga, il ghetto del rubare, del prostituirsi, dello spaccio. Una vita verso la galera e poi molto presto verso la morte, quando ancora non sai cosa sia la vita....more",Notes are private!,0,6,1,"Mar 03, 2016","Mar 03, 2016","Mar 03, 2016",,Paperback,view (with text),/book/show/2973310-noi-i-ragazzi-dello-zoo-di-berlino
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Z: A Novel of Zelda Fitzgerald,"Fowler, Therese Anne*",1250028647,9781250028648,,464        pp,3.86,"55,898","Apr 09, 2013","Mar 26, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 19, 2016","Feb 28, 2016","Feb 28, 2016",,ebook,view,/book/show/15994634-z
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Capodanno da mia madre,"Palomas, Alejandro",8854512133,,B017RNPZFM,226        pp,4.10,"3,339",2014,"Nov 09, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 13, 2016","Feb 18, 2016","Feb 18, 2016",,Kindle Edition,view,/book/show/28265608-capodanno-da-mia-madre
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La sarta di Dachau,"Chamberlain, Mary*",8811144248,9788811144243,B018EMPQZY,297        pp,3.67,"6,676","Mar 23, 2015","Jan 14, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"La sarta di dachauVi è mai capitato di comprare un libro e pensare, dal titolo, che avesse una evolversi differente? Ebbene a me con questo libro è suLa sarta di dachauVi è mai capitato di comprare un libro e pensare, dal titolo, che avesse una evolversi differente? Ebbene a me con questo libro è successo!Pensavo di leggere tutt’altra storia commovente, triste si, ma con un intreccio e un finale diverso.Dopo tanta sofferenza sicuramente meritava una fine differente la povera Ada.Ho messo quattro stelline perché è raccontato bene, ti immergi completamente nella sofferenza della protagonista, assapori i vari tessuti con cui lei crea gli abiti per le mogli dei nazisti, ma nonostante tutto mi aspettavo qualcosa di diverso.Questa storia è ambientata nella seconda guerra mondiale. Di pura invenzione , è pur sempre la guerra di Ada di sopravvivenza , una guerra diversa ; ne rimase coinvolta nel suo corso come il frammento di un relitto alla deriva, completamente sola.Tutto ciò che vide fu la spessa foschia verdastra che aleggiava nelle maleodoranti strade e nel fetore della sua stanza. ...more",Notes are private!,0,1,1,Feb 2016,"Feb 04, 2016","Feb 04, 2016",,Kindle Edition,view (with text),/book/show/28550922-la-sarta-di-dachau
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Scorpion Dance,"Horn, Shifra",8876257748,9788876257742,8876257748,425        pp,3.58,38,unknown,"Jan 21, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Jan 27, 2016","Jan 26, 2016",,Paperback,view,/book/show/28678746-scorpion-dance
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'arte di ascoltare i battiti del cuore,"Sendker, Jan-Philipp*",8865590424,9788865590423,8865590424,303        pp,4.02,"82,243",2002,"Dec 01, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"L’arte di ascoltare i battiti del cuoreL’arte di ascoltare i battiti del cuore è una splendida e commovente storia d’amore.E’ capace di trasportarti, L’arte di ascoltare i battiti del cuoreL’arte di ascoltare i battiti del cuore è una splendida e commovente storia d’amore.E’ capace di trasportarti, di perderti nelle sue descrizioni ed è ben scritto.Racconta di una storia d’amore lunga decenni dove, nonostante la lontananza l’amore resiste.Parlo di amore puro, sincero, tanto da dare la vista ai ciechi. Un libro scorrevole senza tanti fronzoli che ti permette di leggerlo velocemente.Consiglio vivamente la sua lettura.“ Sentì il cuore di Mi Mi, poi il proprio, a ogni battito il ritmo dei loro due cuori si somigliavano sempre di più, si avvicinava, e per alcuni secondi che sembravano un’eternità li senti battere all’unisono, come un cuore solo”....more",Notes are private!,0,3,1,"Jan 20, 2016","Jan 22, 2016","Jan 22, 2016",,Paperback,view (with text),/book/show/13541289-l-arte-di-ascoltare-i-battiti-del-cuore
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cassandra al matrimonio,"Baker, Dorothy",8876254927,9788876254925,8876254927,274        pp,3.94,"5,365",1962,"Oct 16, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Cassandra al matrimonioE’ un libro commovente sulla famiglia, sui conflitti e sulle dolcezze che accompagnano i nostri rapporti.In Cassandra al matrimCassandra al matrimonioE’ un libro commovente sulla famiglia, sui conflitti e sulle dolcezze che accompagnano i nostri rapporti.In Cassandra al matrimonio si affrontano molti temi tra cui il tema del doppio infatti, quello dell'impossibilità di essere se stessi, quando nel mondo esiste un individuo come te.Il tema dell’amore, l’amore ossessivo tra sorelle, l’amore del padre e della nonna. Tocca temi come quello della morte, la madre che muore lasciando un vuoto enorme, incolmabile, e il tentato suicidio della protagonista.L’amore che Cassandra nutre per la sorella è un amore morboso, incondizionato. L’annuncio del matrimonio della sorella lo vive come un lutto, un tradimento, tanto da arrivare a tentare di suicidarsi perché per lei impensabile vivere separata da Judith.E’ scritto molto bene, anche se ho trovato la prima parte molto lenta, la seconda e la terza invece emozionante. E’ un romanzo scritto nel 1965, ma attuale nei temi...more",Notes are private!,0,5,1,"Jan 18, 2016","Jan 20, 2016","Jan 20, 2016",,Paperback,view (with text),/book/show/23383304-cassandra-al-matrimonio
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Atti osceni in luogo privato,"Missiroli, Marco",8807031256,9788807031250,8807031256,256        pp,3.90,"5,440","Feb 11, 2015","Feb 11, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Jan 16, 2016","Jan 18, 2016",,Paperback,view,/book/show/24677851-atti-osceni-in-luogo-privato
