,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Barbara (The Bibliophage)'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blank,"Owens, Zibby*",1662511191,9781662511196,B0C6B5RKJS,234        pp,3.75,"5,580","Mar 05, 2024","Mar 01, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"So funny and joyful even though the main character is dealing with a LOT. Pippa is an everywoman, everymom, and reflects so much of today’s real life So funny and joyful even though the main character is dealing with a LOT. Pippa is an everywoman, everymom, and reflects so much of today’s real life concerns. As a bibliophage, I love all the publishing details. I cheered for Pippa to burn it all down!...more",Notes are private!,0,2,1,"Feb 07, 2024","Feb 09, 2024","Feb 10, 2024",,Kindle Edition,view (with text),/book/show/162505506-blank
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eve: How the Female Body Drove 200 Million Years of Human Evolution,"Bohannon, Cat",0385350546,9780385350549,0385350546,624        pp,4.38,"3,861","Oct 03, 2023","Oct 03, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"If you love science, evolution, and learning about the female body's workings, read this fascinating book. It's densely packed with ideas, informationIf you love science, evolution, and learning about the female body's workings, read this fascinating book. It's densely packed with ideas, information, and cogent analysis. Bohannon often lightens the mood with humor, but it's a slow read overall. This isn't a negative. If you like female-focused details, that's the entire point of this book. I particularly liked how she ties evolution to present-day issues in her last chapter.Thanks to NetGalley, Knopf, Pantheon, Vintage, and Anchor, and the author for a digital advanced reader’s copy in exchange for this honest ....more",Notes are private!,0,1,1,not set,"Oct 20, 2023","Oct 20, 2023",,Hardcover,view (with text),/book/show/75494215-eve
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nice Racism: How Progressive White People Perpetuate Racial Harm,"DiAngelo, Robin",,,B08HL9XNYK,220        pp,3.95,"2,547","Jun 29, 2021","Jun 29, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 27, 2023",,Kindle Edition,view,/book/show/57205027-nice-racism
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Widowish,"Gould, Melissa*",1542018773,9781542018777,B086SWHRD8,202        pp,4.12,"5,996","Feb 01, 2021","Feb 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2023",,Kindle Edition,view,/book/show/56171498-widowish
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Life or the Next,"Vitanza, Demian",1503958817,9781503958814,B0793T8C24,352        pp,3.76,"1,723","Jan 31, 2017","Oct 09, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2023",,Kindle Edition,view,/book/show/38128524-this-life-or-the-next
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In Sickness: A Memoir,"Rollins, Barrett*",1637585586,9781637585580,1637585586,248        pp,3.77,615,unknown,"Nov 15, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2023",,Hardcover,view,/book/show/60407613-in-sickness
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Oona Out of Order,"Montimore, Margarita*",1250236606,9781250236609,1250236606,339        pp,3.86,"82,074","Feb 25, 2020","Feb 25, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2023",,Hardcover,view,/book/show/45046893-oona-out-of-order
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ballad of Perilous Graves,"Jennings, Alex",0759557217,,B09HQLGSSY,450        pp,3.58,"2,453","Jun 21, 2022","Jun 21, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2023",,Kindle Edition,view,/book/show/60376501-the-ballad-of-perilous-graves
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Where Waters Meet,"Ling, Zhang",1662509014,9781662509018,B0B3HRYSH5,281        pp,3.86,"5,901","May 01, 2023","May 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2023",,Kindle Edition,view,/book/show/61261086-where-waters-meet
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Palo Alto: A History of California, Capitalism, and the World","Harris, Malcolm*",031659203X,9780316592031,031659203X,720        pp,3.91,"1,546","Feb 14, 2023","Feb 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2023",,Hardcover,view,/book/show/61108472-palo-alto
