,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Lynn's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Discipline and Punish: The Birth of the Prison,"Foucault, Michel",0679752552,9780679752554,0679752552,333        pp,4.23,"32,792",1975,"Apr 25, 1995",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Sep 03, 2023",,Paperback,view,/book/show/80369.Discipline_and_Punish
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Idea of Israel: A History of Power and Knowledge,"Pappé, Ilan",1844678563,9781844678563,1844678563,346        pp,4.28,257,"Aug 21, 2012","Feb 04, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 03, 2023",,Hardcover,view,/book/show/14451258-the-idea-of-israel
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Arab Is Queer: An Anthology by LGBTQ+ Arab Writers,"Jahshan, Elias*",086356478X,9780863564789,086356478X,216        pp,4.42,503,"Oct 18, 2022","Oct 18, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 03, 2023",,Paperback,view,/book/show/60255208-this-arab-is-queer
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Flowers for Algernon,"Keyes, Daniel",,,,311        pp,4.21,"671,512",Apr 1966,"May 01, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 03, 2023",,Paperback,view,/book/show/18373.Flowers_for_Algernon
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kafka on the Shore,"Murakami, Haruki",1400079276,9781400079278,1400079276,467        pp,4.13,"468,887",Sep 2002,"Jan 03, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 03, 2023",,Paperback,view,/book/show/4929.Kafka_on_the_Shore
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Orientalism,"Said, Edward W.",,,,424        pp,4.11,"25,318",1978,May 2003,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 14, 2020",,Paperback,view,/book/show/355190.Orientalism
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Economic Analysis, Moral Philosophy and Public Policy","Hausman, Daniel M.",052160866X,9780521608664,052160866X,354        pp,3.88,66,"Apr 26, 1996","Mar 20, 2006",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 06, 2020",,Paperback,view,/book/show/153091.Economic_Analysis_Moral_Philosophy_and_Public_Policy
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Why Nations Fail: The Origins of Power, Prosperity, and Poverty","Acemoğlu, Daron",0307719219,9780307719218,0307719219,529        pp,4.08,"49,884",Mar 2012,"Mar 20, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 06, 2020",,Hardcover,view,/book/show/12158480-why-nations-fail
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Das Kapital,"Marx, Karl",089526711X,9780895267115,089526711X,356        pp,3.89,"10,831",1867,"Jul 01, 1996",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 06, 2020",,Paperback,view,/book/show/238953.Das_Kapital
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Capital and Ideology,"Piketty, Thomas",0674980824,9780674980822,0674980824,"1,104        pp",4.29,"2,538","Sep 12, 2019","Mar 10, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2020",,Hardcover,view,/book/show/50849430-capital-and-ideology
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Art of Loving,"Fromm, Erich",0061129739,9780061129735,0061129739,192        pp,4.01,"80,338",1956,"Aug 06, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 08, 2017",,Paperback,view,/book/show/14142.The_Art_of_Loving
