,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Elle's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Psalm for the Wild-Built        (Monk & Robot, #1)","Chambers, Becky*",,,,160        pp,4.28,"106,144","Jul 13, 2021","Jul 13, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Kindle Edition,view,/book/show/40864002-a-psalm-for-the-wild-built
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shigidi and the Brass Head of Obalufon,"Talabi, Wole*",0756418267,9780756418267,0756418267,320        pp,3.72,508,"Aug 08, 2023","Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Hardcover,view,/book/show/63896470-shigidi-and-the-brass-head-of-obalufon
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Terraformers,"Newitz, Annalee*",1250228018,9781250228017,1250228018,338        pp,3.39,"4,831","Jan 31, 2023","Jan 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Hardcover,view,/book/show/60784471-the-terraformers
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Translation State,"Leckie, Ann*",031628971X,9780316289719,031628971X,422        pp,4.13,"8,720","Jun 06, 2023","Jun 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Hardcover,view,/book/show/62873999-translation-state
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Some Desperate Glory,"Tesh, Emily*",1250834988,9781250834980,1250834988,438        pp,4.06,"7,087","Apr 11, 2023","Apr 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Hardcover,view,/book/show/58388343-some-desperate-glory
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Saint of Bright Doors,"Chandrasekera, Vajra*",1250847389,9781250847386,1250847389,356        pp,3.72,"1,511","Jul 11, 2023","Jul 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Hardcover,view,/book/show/61884985-the-saint-of-bright-doors
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Galaxy, and the Ground Within        (Wayfarers #4)","Chambers, Becky*",1473647681,9781473647688,1473647681,324        pp,4.41,"31,773","Feb 19, 2021","Mar 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I adore this series so much,Notes are private!,0,11,1,"Apr 10, 2024",not set,"Mar 27, 2024",,Paperback,view (with text),/book/show/57562102-the-galaxy-and-the-ground-within
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Record of a Spaceborn Few        (Wayfarers, #3)","Chambers, Becky*",1473647606,9781473647602,1473647606,359        pp,4.11,"47,646","Jul 24, 2018","Jul 24, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"So far, perhaps my favorite in this universe. Just utterly incredible world.Record of a Spaceborn Few begins with the explosion of Oxomoco, one of theSo far, perhaps my favorite in this universe. Just utterly incredible world.Record of a Spaceborn Few begins with the explosion of Oxomoco, one of the 30 Exodan ships which carry part of the human race - and, along with it, the death of forty-three thousand people. But this novel isn't one focused on these deaths, per se. The bulk of the novel takes place just moments past the Toremi attack at Hedra Ke that ended Long Way to a Small Angry Planet, as the Exodan fleet continues to recover and rebuild in its way. The members of the Exodan Fleet – the 30-in-number set of ships to evacuate a destroyed Earth nine generations earlier, and the largest conglomerate of humans outside of the Solar System – live in a society based around sharing. Food portions are provided equally, and vocations are not paid but simply encouraged. Though it isn't a planet, in some ways the ships are utopian. Yet as the fleet ages, the ships are becoming wildly less stable, and even supplemental power from the Aeluons or from their adoptive sun Risheth can’t fix the issue. Humans have only been members of the GC for seventy years, and already new generations are learning galactic Klip before their home Ensk. Tessa Santoso, sister to Ashby, spends her days sorting the technical remnants of the exploded Oxomoco, as new GC technologies threaten her livelihood. Aged human archivist Isabel hosts Harmagian archivist Ghuh’loloàn to teach her of their ships. Eyas Parata works the compost system, which recycles human bodies, and builds a relationship with a sex worker named Sunny. Kip works as an apprentice while his friend Ras dreams of escaping the Exodan ship. And Sawyer has just come to town. I found this book to be utterly arresting. Becky Chambers takes on humanity, and non-humanity, with such an eye towards hope - she believes utterly both in our capacity for negligence and cruelty, and in our capacity for good. Though the Exodans are constantly changing, defined by their willingness to recycle bodies and repurpose old technology, Record of a Spaceborn Few still finds hope in archives, in the ways the Exodans have held on to what once made them Earthen. They find ways to preserve the old ways and the new. On a plot level, this is decidedly the most fast-paced of this series so far, and much faster than A Closed and Common Orbit. I adored this, and it may be my favorite of the series so far. Youtube | TikTok | Spotify | About | ...more",Notes are private!,0,25,1,"Apr 02, 2024","Apr 05, 2024","Mar 24, 2024",,Hardcover,view (with text),/book/show/32802595-record-of-a-spaceborn-few
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Polysecure: Attachment, Trauma and Consensual Nonmonogamy","Fern, Jessica",1944934987,9781944934989,1944934987,268        pp,4.42,"10,069","Oct 23, 2020","Oct 23, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Paperback,view,/book/show/52569124-polysecure
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Floating Hotel,"Curtis, Grace*",075641931X,9780756419318,B0CD1JQR35,324        pp,3.84,555,"Mar 19, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2024",,Kindle Edition,view,/book/show/195177497-floating-hotel
